year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_nac_hes
1981,NUTS,2010,AT,0,293.933
1985,NUTS,2010,AT,0,435.354
1989,NUTS,2010,AT,0,540.65
1993,NUTS,2010,AT,0,805.317
1998,NUTS,2010,AT,0,1009.721
2002,NUTS,2010,AT,0,1266.104
2004,NUTS,2010,AT,0,1401.649
2005,NUTS,2010,AT,0,1490.337
2006,NUTS,2010,AT,0,1523.16
2007,NUTS,2010,AT,0,1637.277
2008,NUTS,2010,AT,0,1884.56
2009,NUTS,2010,AT,0,1951.845
2010,NUTS,2010,AT,0,2084.397
2011,NUTS,2010,AT,0,2117.553
2012,NUTS,2010,AT,0,2281.625
2013,NUTS,2010,AT,0,2327.754
2014,NUTS,2010,AT,0,2434.305
2015,NUTS,2010,AT,0,2468.207
2016,NUTS,2010,AT,0,2476.39
2017,NUTS,2010,AT,0,2533.182
2018,NUTS,2010,AT,0,2672.76
2019,NUTS,2010,AT,0,2711.41
2020,NUTS,2010,AT,0,2769.85
1981,NUTS,2010,AT1,1,173.34
1985,NUTS,2010,AT1,1,267.58
1989,NUTS,2010,AT1,1,315.69
1993,NUTS,2010,AT1,1,438.01
1998,NUTS,2010,AT1,1,567.0
2011,NUTS,2010,AT1,1,1137.161
2013,NUTS,2010,AT1,1,1284.697
2019,NUTS,2010,AT1,1,1458.123
1985,NUTS,2010,AT11,2,0.07
1989,NUTS,2010,AT11,2,0.15
2011,NUTS,2010,AT11,2,3.034
2013,NUTS,2010,AT11,2,4.807
2019,NUTS,2010,AT11,2,10.812
1981,NUTS,2010,AT12,2,0.12
1985,NUTS,2010,AT12,2,0.36
1989,NUTS,2010,AT12,2,0.22
1993,NUTS,2010,AT12,2,0.45
1998,NUTS,2010,AT12,2,1.0
2002,NUTS,2010,AT12,2,6.163
2004,NUTS,2010,AT12,2,8.3
2006,NUTS,2010,AT12,2,14.176
2007,NUTS,2010,AT12,2,15.502
2009,NUTS,2010,AT12,2,25.404
2011,NUTS,2010,AT12,2,37.246
2013,NUTS,2010,AT12,2,73.385
2015,NUTS,2010,AT12,2,85.798
2017,NUTS,2010,AT12,2,128.584
2019,NUTS,2010,AT12,2,137.242
1981,NUTS,2010,AT13,2,173.21
1985,NUTS,2010,AT13,2,267.15
1989,NUTS,2010,AT13,2,315.33
1993,NUTS,2010,AT13,2,437.56
1998,NUTS,2010,AT13,2,566.0
2002,NUTS,2010,AT13,2,685.414
2004,NUTS,2010,AT13,2,751.768
2006,NUTS,2010,AT13,2,789.513
2007,NUTS,2010,AT13,2,845.244
2009,NUTS,2010,AT13,2,1024.03
2011,NUTS,2010,AT13,2,1096.881
2013,NUTS,2010,AT13,2,1206.505
2015,NUTS,2010,AT13,2,1269.527
2017,NUTS,2010,AT13,2,1236.613
2019,NUTS,2010,AT13,2,1310.069
1981,NUTS,2010,AT2,1,58.0
1985,NUTS,2010,AT2,1,83.5
1989,NUTS,2010,AT2,1,107.48
1993,NUTS,2010,AT2,1,162.96
1998,NUTS,2010,AT2,1,232.0
2006,NUTS,2010,AT2,1,341.897
2007,NUTS,2010,AT2,1,364.45
2009,NUTS,2010,AT2,1,418.297
2011,NUTS,2010,AT2,1,464.949
2013,NUTS,2010,AT2,1,490.312
2017,NUTS,2010,AT2,1,547.401
2019,NUTS,2010,AT2,1,572.85
1981,NUTS,2010,AT21,2,3.6
1985,NUTS,2010,AT21,2,5.6
1989,NUTS,2010,AT21,2,8.87
1993,NUTS,2010,AT21,2,12.44
1998,NUTS,2010,AT21,2,17.0
2006,NUTS,2010,AT21,2,30.062
2007,NUTS,2010,AT21,2,32.68
2009,NUTS,2010,AT21,2,40.943
2011,NUTS,2010,AT21,2,45.458
2013,NUTS,2010,AT21,2,45.121
2015,NUTS,2010,AT21,2,38.603
2017,NUTS,2010,AT21,2,44.252
2019,NUTS,2010,AT21,2,46.246
1981,NUTS,2010,AT22,2,54.41
1985,NUTS,2010,AT22,2,77.91
1989,NUTS,2010,AT22,2,98.62
1993,NUTS,2010,AT22,2,150.52
1998,NUTS,2010,AT22,2,215.0
2002,NUTS,2010,AT22,2,272.627
2004,NUTS,2010,AT22,2,282.411
2006,NUTS,2010,AT22,2,311.835
2007,NUTS,2010,AT22,2,331.77
2009,NUTS,2010,AT22,2,377.354
2011,NUTS,2010,AT22,2,419.491
2013,NUTS,2010,AT22,2,445.191
2015,NUTS,2010,AT22,2,486.937
2017,NUTS,2010,AT22,2,503.149
2019,NUTS,2010,AT22,2,526.604
1981,NUTS,2010,AT3,1,62.59
1985,NUTS,2010,AT3,1,84.23
1989,NUTS,2010,AT3,1,117.51
1993,NUTS,2010,AT3,1,174.02
1998,NUTS,2010,AT3,1,211.0
2002,NUTS,2010,AT3,1,275.896
2004,NUTS,2010,AT3,1,334.221
2011,NUTS,2010,AT3,1,515.443
2013,NUTS,2010,AT3,1,552.745
2019,NUTS,2010,AT3,1,680.437
1981,NUTS,2010,AT31,2,12.4
1985,NUTS,2010,AT31,2,13.81
1989,NUTS,2010,AT31,2,22.31
1993,NUTS,2010,AT31,2,37.11
1998,NUTS,2010,AT31,2,46.0
2002,NUTS,2010,AT31,2,72.247
2004,NUTS,2010,AT31,2,69.06
2006,NUTS,2010,AT31,2,75.514
2007,NUTS,2010,AT31,2,85.86
2009,NUTS,2010,AT31,2,107.165
2011,NUTS,2010,AT31,2,128.127
2013,NUTS,2010,AT31,2,142.036
2015,NUTS,2010,AT31,2,143.233
2017,NUTS,2010,AT31,2,156.027
2019,NUTS,2010,AT31,2,177.768
1981,NUTS,2010,AT32,2,14.14
1985,NUTS,2010,AT32,2,17.59
1989,NUTS,2010,AT32,2,34.08
1993,NUTS,2010,AT32,2,47.53
1998,NUTS,2010,AT32,2,44.0
2006,NUTS,2010,AT32,2,66.54
2007,NUTS,2010,AT32,2,72.618
2009,NUTS,2010,AT32,2,88.639
2011,NUTS,2010,AT32,2,92.338
2013,NUTS,2010,AT32,2,99.125
2015,NUTS,2010,AT32,2,106.944
2017,NUTS,2010,AT32,2,116.177
2019,NUTS,2010,AT32,2,145.782
1981,NUTS,2010,AT33,2,36.0
1985,NUTS,2010,AT33,2,52.76
1989,NUTS,2010,AT33,2,61.12
1993,NUTS,2010,AT33,2,89.37
1998,NUTS,2010,AT33,2,121.0
2002,NUTS,2010,AT33,2,146.599
2004,NUTS,2010,AT33,2,199.46
2006,NUTS,2010,AT33,2,230.148
2007,NUTS,2010,AT33,2,247.016
2009,NUTS,2010,AT33,2,279.789
2011,NUTS,2010,AT33,2,288.559
2013,NUTS,2010,AT33,2,303.322
2015,NUTS,2010,AT33,2,323.279
2017,NUTS,2010,AT33,2,330.188
2019,NUTS,2010,AT33,2,346.195
1981,NUTS,2010,AT34,2,0.05
1985,NUTS,2010,AT34,2,0.07
2011,NUTS,2010,AT34,2,6.419
2013,NUTS,2010,AT34,2,8.262
2019,NUTS,2010,AT34,2,10.692
1993,NUTS,2010,ATZ,1,30.34
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
1993,NUTS,2010,ATZZ,2,30.34
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,18.604
2013,NUTS,2010,BA,0,30.668
2014,NUTS,2010,BA,0,43.83
2019,NUTS,2010,BA,0,39.287
1983,NUTS,2010,BE,0,317.89
1984,NUTS,2010,BE,0,348.53
1985,NUTS,2010,BE,0,370.25
1986,NUTS,2010,BE,0,383.24
1987,NUTS,2010,BE,0,411.86
1988,NUTS,2010,BE,0,410.83
1989,NUTS,2010,BE,0,653.71
1991,NUTS,2010,BE,0,728.12
1993,NUTS,2010,BE,0,692.42
1994,NUTS,2010,BE,0,735.33
1995,NUTS,2010,BE,0,780.84
1996,NUTS,2010,BE,0,804.78
1997,NUTS,2010,BE,0,876.8
1998,NUTS,2010,BE,0,929.49
1999,NUTS,2010,BE,0,969.707
2000,NUTS,2010,BE,0,1004.74
2001,NUTS,2010,BE,0,1059.456
2002,NUTS,2010,BE,0,1100.428
2003,NUTS,2010,BE,0,1150.011
