year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_fte_total_bes
1998,NUTS,2010,AT,0,2913.0
2002,NUTS,2010,AT,0,3837.0
2004,NUTS,2010,AT,0,4582.0
2006,NUTS,2010,AT,0,5374.0
2007,NUTS,2010,AT,0,5853.0
2009,NUTS,2010,AT,0,6333.0
2011,NUTS,2010,AT,0,6866.0
2013,NUTS,2010,AT,0,7322.0
2015,NUTS,2010,AT,0,7933.0
2017,NUTS,2010,AT,0,8226.0
2019,NUTS,2010,AT,0,9199.0
2012,NUTS,2010,BA,0,158.0
2013,NUTS,2010,BA,0,161.0
2014,NUTS,2010,BA,0,112.0
2019,NUTS,2010,BA,0,208.0
1999,NUTS,2010,BE,0,6174.0
2000,NUTS,2010,BE,0,6579.0
2001,NUTS,2010,BE,0,7050.0
2002,NUTS,2010,BE,0,6984.0
2003,NUTS,2010,BE,0,7043.0
2004,NUTS,2010,BE,0,7212.0
2005,NUTS,2010,BE,0,7654.0
2006,NUTS,2010,BE,0,7837.0
2007,NUTS,2010,BE,0,8127.0
2008,NUTS,2010,BE,0,8199.0
2009,NUTS,2010,BE,0,8271.0
2010,NUTS,2010,BE,0,8390.0
2011,NUTS,2010,BE,0,8923.0
2000,NUTS,2010,BE1,1,631.0
2001,NUTS,2010,BE1,1,660.0
2002,NUTS,2010,BE1,1,632.0
2000,NUTS,2010,BE10,2,631.0
2001,NUTS,2010,BE10,2,660.0
2002,NUTS,2010,BE10,2,632.0
2000,NUTS,2010,BE2,1,4012.0
2001,NUTS,2010,BE2,1,4317.0
2002,NUTS,2010,BE2,1,4599.0
2000,NUTS,2010,BE3,1,1936.0
2001,NUTS,2010,BE3,1,2073.0
2002,NUTS,2010,BE3,1,2077.0
1993,NUTS,2010,BG,0,5034.0
1994,NUTS,2010,BG,0,2179.0
1995,NUTS,2010,BG,0,2126.0
1996,NUTS,2010,BG,0,1932.0
1997,NUTS,2010,BG,0,1743.0
1998,NUTS,2010,BG,0,1748.0
1999,NUTS,2010,BG,0,1309.0
2000,NUTS,2010,BG,0,1166.0
2001,NUTS,2010,BG,0,1011.0
2002,NUTS,2010,BG,0,923.0
2003,NUTS,2010,BG,0,1089.0
2004,NUTS,2010,BG,0,1033.0
2005,NUTS,2010,BG,0,1051.0
2006,NUTS,2010,BG,0,974.0
2007,NUTS,2010,BG,0,982.0
2008,NUTS,2010,BG,0,1209.0
