year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_gov_mio_eur
2011,NUTS,2010,AT,0,425.222
2012,NUTS,2010,AT,0,425.148
2013,NUTS,2010,AT,0,424.885
2014,NUTS,2010,AT,0,467.541
2015,NUTS,2010,AT,0,481.113
2016,NUTS,2010,AT,0,789.63
2017,NUTS,2010,AT,0,806.604
2018,NUTS,2010,AT,0,851.05
2019,NUTS,2010,AT,0,913.295
2020,NUTS,2010,AT,0,887.51
2011,NUTS,2010,AT1,1,283.799
2013,NUTS,2010,AT1,1,268.611
2019,NUTS,2010,AT1,1,652.452
2011,NUTS,2010,AT11,2,2.706
2013,NUTS,2010,AT11,2,3.03
2011,NUTS,2010,AT12,2,38.169
2013,NUTS,2010,AT12,2,42.302
2015,NUTS,2010,AT12,2,77.701
2017,NUTS,2010,AT12,2,104.208
2011,NUTS,2010,AT13,2,242.924
2013,NUTS,2010,AT13,2,223.279
2015,NUTS,2010,AT13,2,239.045
2017,NUTS,2010,AT13,2,467.627
2019,NUTS,2010,AT13,2,526.81
2015,NUTS,2010,AT2,1,67.921
2019,NUTS,2010,AT2,1,128.1
2011,NUTS,2010,AT21,2,11.492
2019,NUTS,2010,AT3,1,132.743
2011,NUTS,2010,AT31,2,16.994
2013,NUTS,2010,AT31,2,17.502
2015,NUTS,2010,AT31,2,21.394
2017,NUTS,2010,AT31,2,37.998
2019,NUTS,2010,AT31,2,51.374
2015,NUTS,2010,AT32,2,28.423
2017,NUTS,2010,AT32,2,26.449
2019,NUTS,2010,AT32,2,28.564
2011,NUTS,2010,AT33,2,23.723
2013,NUTS,2010,AT33,2,27.06
2019,NUTS,2010,AT33,2,39.603
2011,NUTS,2010,AT34,2,9.925
2013,NUTS,2010,AT34,2,11.406
2015,NUTS,2010,AT34,2,12.883
2017,NUTS,2010,AT34,2,12.694
2019,NUTS,2010,AT34,2,13.202
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,5.066
2013,NUTS,2010,BA,0,2.557
2014,NUTS,2010,BA,0,6.903
2019,NUTS,2010,BA,0,1.534
2011,NUTS,2010,BE,0,658.6
2012,NUTS,2010,BE,0,747.076
2013,NUTS,2010,BE,0,775.192
2014,NUTS,2010,BE,0,859.257
2015,NUTS,2010,BE,0,929.384
2016,NUTS,2010,BE,0,1045.794
2017,NUTS,2010,BE,0,1114.163
2018,NUTS,2010,BE,0,1206.776
2019,NUTS,2010,BE,0,1329.381
2020,NUTS,2010,BE,0,1417.785
2011,NUTS,2010,BE1,1,92.826
2012,NUTS,2010,BE1,1,110.961
2013,NUTS,2010,BE1,1,121.297
2014,NUTS,2010,BE1,1,137.163
2015,NUTS,2010,BE1,1,152.858
2016,NUTS,2010,BE1,1,155.927
2017,NUTS,2010,BE1,1,159.563
2018,NUTS,2010,BE1,1,183.067
2019,NUTS,2010,BE1,1,191.179
2011,NUTS,2010,BE10,2,92.826
2012,NUTS,2010,BE10,2,110.961
2013,NUTS,2010,BE10,2,121.297
2014,NUTS,2010,BE10,2,137.163
2015,NUTS,2010,BE10,2,152.858
2016,NUTS,2010,BE10,2,155.927
2017,NUTS,2010,BE10,2,159.563
2018,NUTS,2010,BE10,2,183.067
2019,NUTS,2010,BE10,2,191.179
2011,NUTS,2010,BE2,1,537.597
2012,NUTS,2010,BE2,1,604.701
2013,NUTS,2010,BE2,1,621.981
2014,NUTS,2010,BE2,1,673.51
2015,NUTS,2010,BE2,1,723.988
2016,NUTS,2010,BE2,1,854.348
2017,NUTS,2010,BE2,1,918.327
2018,NUTS,2010,BE2,1,991.015
2019,NUTS,2010,BE2,1,1104.893
2011,NUTS,2010,BE3,1,28.159
2012,NUTS,2010,BE3,1,31.414
2013,NUTS,2010,BE3,1,31.914
2014,NUTS,2010,BE3,1,48.584
2015,NUTS,2010,BE3,1,52.538
2016,NUTS,2010,BE3,1,35.519
2017,NUTS,2010,BE3,1,36.273
2018,NUTS,2010,BE3,1,32.694
2019,NUTS,2010,BE3,1,33.309
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,78.711
2012,NUTS,2010,BG,0,76.164
2013,NUTS,2010,BG,0,79.153
2014,NUTS,2010,BG,0,84.007
2015,NUTS,2010,BG,0,90.02
2016,NUTS,2010,BG,0,79.617
2017,NUTS,2010,BG,0,90.123
2018,NUTS,2010,BG,0,93.487
2019,NUTS,2010,BG,0,127.528
2020,NUTS,2010,BG,0,134.791
2011,NUTS,2010,BG3,1,11.003
2012,NUTS,2010,BG3,1,10.162
2013,NUTS,2010,BG3,1,10.934
2014,NUTS,2010,BG3,1,10.064
2015,NUTS,2010,BG3,1,10.682
2016,NUTS,2010,BG3,1,11.99
2017,NUTS,2010,BG3,1,11.99
2018,NUTS,2010,BG3,1,12.851
2019,NUTS,2010,BG3,1,15.776
2011,NUTS,2010,BG31,2,2.589
2012,NUTS,2010,BG31,2,2.461
2013,NUTS,2010,BG31,2,2.683
2015,NUTS,2010,BG31,2,2.86
2016,NUTS,2010,BG31,2,2.751
2018,NUTS,2010,BG31,2,3.524
2019,NUTS,2010,BG31,2,4.069
2011,NUTS,2010,BG32,2,0.98
2012,NUTS,2010,BG32,2,0.607
2013,NUTS,2010,BG32,2,0.518
2014,NUTS,2010,BG32,2,0.471
2015,NUTS,2010,BG32,2,0.195
2016,NUTS,2010,BG32,2,0.124
2017,NUTS,2010,BG32,2,0.164
2018,NUTS,2010,BG32,2,0.187
2019,NUTS,2010,BG32,2,0.284
2011,NUTS,2010,BG33,2,5.282
2012,NUTS,2010,BG33,2,5.17
2013,NUTS,2010,BG33,2,5.743
2015,NUTS,2010,BG33,2,5.495
2016,NUTS,2010,BG33,2,6.944
2017,NUTS,2010,BG33,2,6.492
2018,NUTS,2010,BG33,2,7.003
2019,NUTS,2010,BG33,2,8.23
2011,NUTS,2010,BG34,2,2.152
2012,NUTS,2010,BG34,2,1.925
2013,NUTS,2010,BG34,2,1.99
2014,NUTS,2010,BG34,2,2.178
2015,NUTS,2010,BG34,2,2.132
2016,NUTS,2010,BG34,2,2.171
2018,NUTS,2010,BG34,2,2.137
2019,NUTS,2010,BG34,2,3.193
2011,NUTS,2010,BG4,1,67.707
2012,NUTS,2010,BG4,1,66.002
2013,NUTS,2010,BG4,1,68.219
2014,NUTS,2010,BG4,1,73.943
2015,NUTS,2010,BG4,1,79.338
2016,NUTS,2010,BG4,1,67.627
2017,NUTS,2010,BG4,1,78.133
2018,NUTS,2010,BG4,1,80.636
2019,NUTS,2010,BG4,1,111.753
2011,NUTS,2010,BG41,2,64.163
2012,NUTS,2010,BG41,2,62.664
2013,NUTS,2010,BG41,2,64.708
2014,NUTS,2010,BG41,2,70.952
2015,NUTS,2010,BG41,2,75.525
2016,NUTS,2010,BG41,2,64.298
2017,NUTS,2010,BG41,2,74.084
2018,NUTS,2010,BG41,2,75.836
2019,NUTS,2010,BG41,2,106.047
2011,NUTS,2010,BG42,2,3.545
2012,NUTS,2010,BG42,2,3.338
2013,NUTS,2010,BG42,2,3.511
2014,NUTS,2010,BG42,2,2.991
2015,NUTS,2010,BG42,2,3.813
2016,NUTS,2010,BG42,2,3.329
2017,NUTS,2010,BG42,2,4.05
2018,NUTS,2010,BG42,2,4.8
2019,NUTS,2010,BG42,2,5.706
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,115.571
2014,NUTS,2010,CH,0,156.93
2015,NUTS,2010,CH,0,181.58
2017,NUTS,2010,CH,0,165.932
2019,NUTS,2010,CH,0,192.404
2012,NUTS,2010,CH0,1,115.571
2014,NUTS,2010,CH0,1,156.93
2015,NUTS,2010,CH0,1,181.58
2017,NUTS,2010,CH0,1,165.932
2019,NUTS,2010,CH0,1,192.404
2011,NUTS,2010,CN_X_HK,5,15771.727
2012,NUTS,2010,CN_X_HK,5,20673.299
2013,NUTS,2010,CN_X_HK,5,23443.141
2014,NUTS,2010,CN_X_HK,5,25127.343
2015,NUTS,2010,CN_X_HK,5,32838.777
2016,NUTS,2010,CN_X_HK,5,33466.84
2017,NUTS,2010,CN_X_HK,5,35128.329
2018,NUTS,2010,CN_X_HK,5,38246.475
2019,NUTS,2010,CN_X_HK,5,44278.592
2011,NUTS,2010,CY,0,14.731
2012,NUTS,2010,CY,0,13.696
2013,NUTS,2010,CY,0,12.318
2014,NUTS,2010,CY,0,12.351
2015,NUTS,2010,CY,0,11.075
2016,NUTS,2010,CY,0,10.469
2017,NUTS,2010,CY,0,11.013
2018,NUTS,2010,CY,0,11.144
2019,NUTS,2010,CY,0,12.199
2020,NUTS,2010,CY,0,12.2
2011,NUTS,2010,CY0,1,14.731
2012,NUTS,2010,CY0,1,13.696
2013,NUTS,2010,CY0,1,12.318
2014,NUTS,2010,CY0,1,12.351
2015,NUTS,2010,CY0,1,11.075
2016,NUTS,2010,CY0,1,10.469
2017,NUTS,2010,CY0,1,11.013
2018,NUTS,2010,CY0,1,11.144
2019,NUTS,2010,CY0,1,12.199
2020,NUTS,2010,CY0,1,12.2
2011,NUTS,2010,CY00,2,14.731
2012,NUTS,2010,CY00,2,13.696
2013,NUTS,2010,CY00,2,12.318
2014,NUTS,2010,CY00,2,12.351
2015,NUTS,2010,CY00,2,11.075
2016,NUTS,2010,CY00,2,10.469
2017,NUTS,2010,CY00,2,11.013
2018,NUTS,2010,CY00,2,11.144
2019,NUTS,2010,CY00,2,12.199
2020,NUTS,2010,CY00,2,12.2
2011,NUTS,2010,CZ,0,504.383
2012,NUTS,2010,CZ,0,529.731
2013,NUTS,2010,CZ,0,548.79
2014,NUTS,2010,CZ,0,562.773
2015,NUTS,2010,CZ,0,663.171
2016,NUTS,2010,CZ,0,538.192
2017,NUTS,2010,CZ,0,591.898
2018,NUTS,2010,CZ,0,655.06
2019,NUTS,2010,CZ,0,707.854
2020,NUTS,2010,CZ,0,734.701
2011,NUTS,2010,CZ0,1,504.383
2012,NUTS,2010,CZ0,1,529.731
2013,NUTS,2010,CZ0,1,548.79
2014,NUTS,2010,CZ0,1,562.773
2015,NUTS,2010,CZ0,1,663.171
2016,NUTS,2010,CZ0,1,538.192
2017,NUTS,2010,CZ0,1,591.898
2018,NUTS,2010,CZ0,1,655.06
2019,NUTS,2010,CZ0,1,707.854
2020,NUTS,2010,CZ0,1,734.701
2011,NUTS,2010,CZ01,2,393.761
2012,NUTS,2010,CZ01,2,402.044
2013,NUTS,2010,CZ01,2,417.003
2014,NUTS,2010,CZ01,2,453.917
2015,NUTS,2010,CZ01,2,524.137
2016,NUTS,2010,CZ01,2,358.56
2017,NUTS,2010,CZ01,2,373.453
2018,NUTS,2010,CZ01,2,411.45
2019,NUTS,2010,CZ01,2,451.045
2020,NUTS,2010,CZ01,2,488.293
2011,NUTS,2010,CZ02,2,42.963
2012,NUTS,2010,CZ02,2,38.409
2013,NUTS,2010,CZ02,2,37.895
2014,NUTS,2010,CZ02,2,40.623
2015,NUTS,2010,CZ02,2,45.495
2016,NUTS,2010,CZ02,2,85.835
2017,NUTS,2010,CZ02,2,109.596
2018,NUTS,2010,CZ02,2,123.611
2019,NUTS,2010,CZ02,2,122.335
2020,NUTS,2010,CZ02,2,118.444
2011,NUTS,2010,CZ03,2,21.635
2012,NUTS,2010,CZ03,2,20.119
2013,NUTS,2010,CZ03,2,19.474
2014,NUTS,2010,CZ03,2,18.536
2015,NUTS,2010,CZ03,2,22.05
2016,NUTS,2010,CZ03,2,20.253
2017,NUTS,2010,CZ03,2,26.599
2018,NUTS,2010,CZ03,2,28.878
2019,NUTS,2010,CZ03,2,31.424
2020,NUTS,2010,CZ03,2,28.669
2011,NUTS,2010,CZ04,2,0.703
2012,NUTS,2010,CZ04,2,0.842
2013,NUTS,2010,CZ04,2,1.133
2014,NUTS,2010,CZ04,2,1.014
2015,NUTS,2010,CZ04,2,1.04
2016,NUTS,2010,CZ04,2,0.954
2017,NUTS,2010,CZ04,2,1.423
2018,NUTS,2010,CZ04,2,1.643
2019,NUTS,2010,CZ04,2,1.667
2020,NUTS,2010,CZ04,2,1.699
2011,NUTS,2010,CZ05,2,4.93
2012,NUTS,2010,CZ05,2,8.91
2013,NUTS,2010,CZ05,2,5.137
2014,NUTS,2010,CZ05,2,4.967
2015,NUTS,2010,CZ05,2,5.466
2016,NUTS,2010,CZ05,2,5.267
2017,NUTS,2010,CZ05,2,5.016
2018,NUTS,2010,CZ05,2,5.571
2019,NUTS,2010,CZ05,2,7.57
2020,NUTS,2010,CZ05,2,6.845
2011,NUTS,2010,CZ06,2,55.942
2012,NUTS,2010,CZ06,2,75.535
2013,NUTS,2010,CZ06,2,84.238
2014,NUTS,2010,CZ06,2,62.904
2015,NUTS,2010,CZ06,2,59.847
2016,NUTS,2010,CZ06,2,62.392
2017,NUTS,2010,CZ06,2,68.497
2018,NUTS,2010,CZ06,2,76.104
