year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_hc_rse_f
2011,NUTS,2010,AT,0,19020.0
2013,NUTS,2010,AT,0,21145.0
2015,NUTS,2010,AT,0,23020.0
2017,NUTS,2010,AT,0,25144.0
2019,NUTS,2010,AT,0,28319.0
2011,NUTS,2010,AT1,1,10907.0
2013,NUTS,2010,AT1,1,11906.0
2015,NUTS,2010,AT1,1,12795.0
2017,NUTS,2010,AT1,1,13469.0
2019,NUTS,2010,AT1,1,15238.0
2011,NUTS,2010,AT11,2,104.0
2013,NUTS,2010,AT11,2,121.0
2015,NUTS,2010,AT11,2,137.0
2017,NUTS,2010,AT11,2,149.0
2019,NUTS,2010,AT11,2,161.0
2011,NUTS,2010,AT12,2,951.0
2013,NUTS,2010,AT12,2,1148.0
2015,NUTS,2010,AT12,2,1322.0
2017,NUTS,2010,AT12,2,1496.0
2019,NUTS,2010,AT12,2,1969.0
2011,NUTS,2010,AT13,2,9852.0
2013,NUTS,2010,AT13,2,10637.0
2015,NUTS,2010,AT13,2,11336.0
2017,NUTS,2010,AT13,2,11824.0
2019,NUTS,2010,AT13,2,13108.0
2011,NUTS,2010,AT2,1,3850.0
2013,NUTS,2010,AT2,1,4073.0
2015,NUTS,2010,AT2,1,4538.0
2017,NUTS,2010,AT2,1,5121.0
2019,NUTS,2010,AT2,1,6011.0
2011,NUTS,2010,AT21,2,544.0
2013,NUTS,2010,AT21,2,540.0
2015,NUTS,2010,AT21,2,569.0
2017,NUTS,2010,AT21,2,822.0
2019,NUTS,2010,AT21,2,1013.0
2011,NUTS,2010,AT22,2,3306.0
2013,NUTS,2010,AT22,2,3533.0
2015,NUTS,2010,AT22,2,3969.0
2017,NUTS,2010,AT22,2,4299.0
2019,NUTS,2010,AT22,2,4999.0
2011,NUTS,2010,AT3,1,4263.0
2013,NUTS,2010,AT3,1,5166.0
2015,NUTS,2010,AT3,1,5687.0
2017,NUTS,2010,AT3,1,6554.0
2019,NUTS,2010,AT3,1,7070.0
2011,NUTS,2010,AT31,2,1293.0
2013,NUTS,2010,AT31,2,1581.0
2015,NUTS,2010,AT31,2,1763.0
2017,NUTS,2010,AT31,2,1959.0
2019,NUTS,2010,AT31,2,2313.0
2011,NUTS,2010,AT32,2,938.0
2013,NUTS,2010,AT32,2,1150.0
2015,NUTS,2010,AT32,2,1353.0
2017,NUTS,2010,AT32,2,1563.0
2019,NUTS,2010,AT32,2,1660.0
2011,NUTS,2010,AT33,2,1907.0
2013,NUTS,2010,AT33,2,2258.0
2015,NUTS,2010,AT33,2,2375.0
2017,NUTS,2010,AT33,2,2780.0
2019,NUTS,2010,AT33,2,2830.0
2011,NUTS,2010,AT34,2,125.0
2013,NUTS,2010,AT34,2,177.0
2015,NUTS,2010,AT34,2,196.0
2017,NUTS,2010,AT34,2,252.0
2019,NUTS,2010,AT34,2,267.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,276.0
2013,NUTS,2010,BA,0,484.0
2014,NUTS,2010,BA,0,811.0
2019,NUTS,2010,BA,0,1061.0
2011,NUTS,2010,BE,0,21153.0
2013,NUTS,2010,BE,0,22286.0
2015,NUTS,2010,BE,0,25148.0
2017,NUTS,2010,BE,0,27465.0
2019,NUTS,2010,BE,0,29932.0
2011,NUTS,2010,BE1,1,1271.0
2013,NUTS,2010,BE1,1,4488.0
2015,NUTS,2010,BE1,1,5031.0
2017,NUTS,2010,BE1,1,5343.0
2019,NUTS,2010,BE1,1,6359.0
2011,NUTS,2010,BE10,2,1271.0
2013,NUTS,2010,BE10,2,4488.0
2015,NUTS,2010,BE10,2,5031.0
2017,NUTS,2010,BE10,2,5343.0
2019,NUTS,2010,BE10,2,6359.0
2011,NUTS,2010,BE2,1,4870.0
2013,NUTS,2010,BE2,1,12739.0
2015,NUTS,2010,BE2,1,14151.0
2017,NUTS,2010,BE2,1,15025.0
2019,NUTS,2010,BE2,1,17714.0
2011,NUTS,2010,BE21,2,1876.0
2013,NUTS,2010,BE21,2,3353.0
2015,NUTS,2010,BE21,2,3732.0
2011,NUTS,2010,BE22,2,250.0
2013,NUTS,2010,BE22,2,746.0
2015,NUTS,2010,BE22,2,810.0
2011,NUTS,2010,BE23,2,1028.0
2013,NUTS,2010,BE23,2,3786.0
2015,NUTS,2010,BE23,2,4240.0
2011,NUTS,2010,BE24,2,1375.0
2013,NUTS,2010,BE24,2,4221.0
2015,NUTS,2010,BE24,2,4679.0
2011,NUTS,2010,BE25,2,341.0
2013,NUTS,2010,BE25,2,632.0
2015,NUTS,2010,BE25,2,690.0
2011,NUTS,2010,BE3,1,2439.0
2013,NUTS,2010,BE3,1,5059.0
2015,NUTS,2010,BE3,1,5966.0
2017,NUTS,2010,BE3,1,7097.0
2019,NUTS,2010,BE3,1,5859.0
2011,NUTS,2010,BE31,2,1364.0
2013,NUTS,2010,BE31,2,2076.0
2015,NUTS,2010,BE31,2,2364.0
2011,NUTS,2010,BE32,2,524.0
2013,NUTS,2010,BE32,2,831.0
2015,NUTS,2010,BE32,2,1378.0
2011,NUTS,2010,BE33,2,319.0
2013,NUTS,2010,BE33,2,1649.0
2015,NUTS,2010,BE33,2,1626.0
2011,NUTS,2010,BE34,2,57.0
2013,NUTS,2010,BE34,2,43.0
2015,NUTS,2010,BE34,2,61.0
2011,NUTS,2010,BE35,2,175.0
2013,NUTS,2010,BE35,2,460.0
2015,NUTS,2010,BE35,2,537.0
2013,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,7259.0
2012,NUTS,2010,BG,0,7398.0
2013,NUTS,2010,BG,0,7999.0
2014,NUTS,2010,BG,0,8804.0
2015,NUTS,2010,BG,0,9268.0
2016,NUTS,2010,BG,0,10351.0
2017,NUTS,2010,BG,0,9935.0
2018,NUTS,2010,BG,0,10456.0
2019,NUTS,2010,BG,0,10777.0
2011,NUTS,2010,BG3,1,1685.0
2012,NUTS,2010,BG3,1,1977.0
2013,NUTS,2010,BG3,1,2132.0
2014,NUTS,2010,BG3,1,2566.0
2015,NUTS,2010,BG3,1,2946.0
2016,NUTS,2010,BG3,1,2590.0
2017,NUTS,2010,BG3,1,2736.0
2018,NUTS,2010,BG3,1,2898.0
2019,NUTS,2010,BG3,1,3050.0
2011,NUTS,2010,BG31,2,110.0
2012,NUTS,2010,BG31,2,221.0
2013,NUTS,2010,BG31,2,212.0
2014,NUTS,2010,BG31,2,176.0
2015,NUTS,2010,BG31,2,283.0
2016,NUTS,2010,BG31,2,310.0
2017,NUTS,2010,BG31,2,322.0
2018,NUTS,2010,BG31,2,335.0
2019,NUTS,2010,BG31,2,347.0
2011,NUTS,2010,BG32,2,517.0
2012,NUTS,2010,BG32,2,531.0
2013,NUTS,2010,BG32,2,589.0
2014,NUTS,2010,BG32,2,702.0
2015,NUTS,2010,BG32,2,840.0
2016,NUTS,2010,BG32,2,610.0
2017,NUTS,2010,BG32,2,701.0
2018,NUTS,2010,BG32,2,779.0
2019,NUTS,2010,BG32,2,713.0
2011,NUTS,2010,BG33,2,649.0
2012,NUTS,2010,BG33,2,764.0
2013,NUTS,2010,BG33,2,877.0
2014,NUTS,2010,BG33,2,1196.0
2015,NUTS,2010,BG33,2,1283.0
2016,NUTS,2010,BG33,2,1162.0
2017,NUTS,2010,BG33,2,1186.0
2018,NUTS,2010,BG33,2,1245.0
2019,NUTS,2010,BG33,2,1323.0
2011,NUTS,2010,BG34,2,409.0
2012,NUTS,2010,BG34,2,461.0
2013,NUTS,2010,BG34,2,454.0
2014,NUTS,2010,BG34,2,492.0
2015,NUTS,2010,BG34,2,540.0
2016,NUTS,2010,BG34,2,508.0
2017,NUTS,2010,BG34,2,527.0
2018,NUTS,2010,BG34,2,539.0
2019,NUTS,2010,BG34,2,667.0
2011,NUTS,2010,BG4,1,5574.0
2012,NUTS,2010,BG4,1,5421.0
2013,NUTS,2010,BG4,1,5867.0
2014,NUTS,2010,BG4,1,6238.0
2015,NUTS,2010,BG4,1,6322.0
2016,NUTS,2010,BG4,1,7761.0
2017,NUTS,2010,BG4,1,7199.0
2018,NUTS,2010,BG4,1,7558.0
2019,NUTS,2010,BG4,1,7727.0
2011,NUTS,2010,BG41,2,4931.0
2012,NUTS,2010,BG41,2,4828.0
2013,NUTS,2010,BG41,2,5159.0
2014,NUTS,2010,BG41,2,5470.0
2015,NUTS,2010,BG41,2,5489.0
2016,NUTS,2010,BG41,2,6916.0
2017,NUTS,2010,BG41,2,6142.0
2018,NUTS,2010,BG41,2,6366.0
2019,NUTS,2010,BG41,2,6242.0
2011,NUTS,2010,BG42,2,643.0
2012,NUTS,2010,BG42,2,593.0
2013,NUTS,2010,BG42,2,708.0
2014,NUTS,2010,BG42,2,768.0
2015,NUTS,2010,BG42,2,833.0
2016,NUTS,2010,BG42,2,845.0
2017,NUTS,2010,BG42,2,1057.0
2018,NUTS,2010,BG42,2,1192.0
2019,NUTS,2010,BG42,2,1485.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,19540.0
2015,NUTS,2010,CH,0,23762.0
2017,NUTS,2010,CH,0,25209.0
2019,NUTS,2010,CH,0,27752.0
2011,NUTS,2010,CY,0,716.0
2012,NUTS,2010,CY,0,718.0
2013,NUTS,2010,CY,0,854.0
2014,NUTS,2010,CY,0,826.0
2015,NUTS,2010,CY,0,804.0
2016,NUTS,2010,CY,0,812.0
2017,NUTS,2010,CY,0,897.0
2018,NUTS,2010,CY,0,989.0
2019,NUTS,2010,CY,0,1087.0
2011,NUTS,2010,CZ,0,12936.0
2012,NUTS,2010,CZ,0,13102.0
2013,NUTS,2010,CZ,0,14537.0
2014,NUTS,2010,CZ,0,14815.0
2015,NUTS,2010,CZ,0,15252.0
2016,NUTS,2010,CZ,0,14972.0
2017,NUTS,2010,CZ,0,16005.0
2018,NUTS,2010,CZ,0,16461.0
2019,NUTS,2010,CZ,0,17313.0
2020,NUTS,2010,CZ,0,17992.0
2011,NUTS,2010,CZ0,1,12936.0
2012,NUTS,2010,CZ0,1,13102.0
2013,NUTS,2010,CZ0,1,14537.0
2014,NUTS,2010,CZ0,1,14815.0
2015,NUTS,2010,CZ0,1,15252.0
2016,NUTS,2010,CZ0,1,14971.0
2017,NUTS,2010,CZ0,1,16005.0
2018,NUTS,2010,CZ0,1,16461.0
2019,NUTS,2010,CZ0,1,17313.0
2020,NUTS,2010,CZ0,1,17992.0
2011,NUTS,2010,CZ01,2,6060.0
2012,NUTS,2010,CZ01,2,6037.0
2013,NUTS,2010,CZ01,2,6651.0
2014,NUTS,2010,CZ01,2,6523.0
2015,NUTS,2010,CZ01,2,6375.0
2016,NUTS,2010,CZ01,2,6478.0
2017,NUTS,2010,CZ01,2,7134.0
2018,NUTS,2010,CZ01,2,7238.0
2019,NUTS,2010,CZ01,2,7315.0
2020,NUTS,2010,CZ01,2,7579.0
2011,NUTS,2010,CZ02,2,668.0
2012,NUTS,2010,CZ02,2,643.0
2013,NUTS,2010,CZ02,2,595.0
2014,NUTS,2010,CZ02,2,596.0
2015,NUTS,2010,CZ02,2,847.0
2016,NUTS,2010,CZ02,2,699.0
2017,NUTS,2010,CZ02,2,788.0
2018,NUTS,2010,CZ02,2,853.0
2019,NUTS,2010,CZ02,2,899.0
2020,NUTS,2010,CZ02,2,893.0
2011,NUTS,2010,CZ03,2,941.0
2012,NUTS,2010,CZ03,2,859.0
2013,NUTS,2010,CZ03,2,998.0
2014,NUTS,2010,CZ03,2,1168.0
2015,NUTS,2010,CZ03,2,1083.0
2016,NUTS,2010,CZ03,2,1169.0
2017,NUTS,2010,CZ03,2,1213.0
2018,NUTS,2010,CZ03,2,1246.0
2019,NUTS,2010,CZ03,2,1312.0
2020,NUTS,2010,CZ03,2,1334.0
2011,NUTS,2010,CZ04,2,195.0
2012,NUTS,2010,CZ04,2,196.0
2013,NUTS,2010,CZ04,2,267.0
2014,NUTS,2010,CZ04,2,258.0
2015,NUTS,2010,CZ04,2,256.0
2016,NUTS,2010,CZ04,2,268.0
2017,NUTS,2010,CZ04,2,299.0
2018,NUTS,2010,CZ04,2,316.0
2019,NUTS,2010,CZ04,2,295.0
2020,NUTS,2010,CZ04,2,332.0
2011,NUTS,2010,CZ05,2,1019.0
2012,NUTS,2010,CZ05,2,1030.0
2013,NUTS,2010,CZ05,2,1131.0
2014,NUTS,2010,CZ05,2,1135.0
2015,NUTS,2010,CZ05,2,1197.0
2016,NUTS,2010,CZ05,2,1216.0
2017,NUTS,2010,CZ05,2,1287.0
2018,NUTS,2010,CZ05,2,1298.0
2019,NUTS,2010,CZ05,2,1434.0
2020,NUTS,2010,CZ05,2,1476.0
2011,NUTS,2010,CZ06,2,2461.0
2012,NUTS,2010,CZ06,2,2382.0
2013,NUTS,2010,CZ06,2,2785.0
2014,NUTS,2010,CZ06,2,3021.0
2015,NUTS,2010,CZ06,2,3155.0
2016,NUTS,2010,CZ06,2,2834.0
2017,NUTS,2010,CZ06,2,3054.0
2018,NUTS,2010,CZ06,2,3134.0
2019,NUTS,2010,CZ06,2,3332.0
2020,NUTS,2010,CZ06,2,3571.0
2011,NUTS,2010,CZ07,2,715.0
2012,NUTS,2010,CZ07,2,969.0
2013,NUTS,2010,CZ07,2,1100.0
2014,NUTS,2010,CZ07,2,1135.0
2015,NUTS,2010,CZ07,2,1273.0
2016,NUTS,2010,CZ07,2,1208.0
2017,NUTS,2010,CZ07,2,1106.0
2018,NUTS,2010,CZ07,2,1188.0
