year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_rse_t_fte
2011,NUTS,2010,AT,0,23138.0
2012,NUTS,2010,AT,0,25180.0
2013,NUTS,2010,AT,0,25752.0
2014,NUTS,2010,AT,0,27361.0
2015,NUTS,2010,AT,0,27872.0
2016,NUTS,2010,AT,0,29615.0
2017,NUTS,2010,AT,0,29948.0
2018,NUTS,2010,AT,0,31598.0
2019,NUTS,2010,AT,0,33868.0
2020,NUTS,2010,AT,0,32588.0
2011,NUTS,2010,AT1,1,9322.0
2013,NUTS,2010,AT1,1,9860.0
2015,NUTS,2010,AT1,1,10173.0
2017,NUTS,2010,AT1,1,10162.0
2019,NUTS,2010,AT1,1,10798.0
2011,NUTS,2010,AT11,2,261.0
2013,NUTS,2010,AT11,2,340.0
2015,NUTS,2010,AT11,2,356.0
2017,NUTS,2010,AT11,2,428.0
2019,NUTS,2010,AT11,2,441.0
2011,NUTS,2010,AT12,2,2432.0
2013,NUTS,2010,AT12,2,2359.0
2015,NUTS,2010,AT12,2,2432.0
2017,NUTS,2010,AT12,2,2555.0
2019,NUTS,2010,AT12,2,3112.0
2011,NUTS,2010,AT13,2,6630.0
2013,NUTS,2010,AT13,2,7162.0
2015,NUTS,2010,AT13,2,7385.0
2017,NUTS,2010,AT13,2,7179.0
2019,NUTS,2010,AT13,2,7245.0
2011,NUTS,2010,AT2,1,6427.0
2013,NUTS,2010,AT2,1,6574.0
2015,NUTS,2010,AT2,1,7484.0
2017,NUTS,2010,AT2,1,8440.0
2019,NUTS,2010,AT2,1,10436.0
2011,NUTS,2010,AT21,2,1685.0
2013,NUTS,2010,AT21,2,1716.0
2015,NUTS,2010,AT21,2,1972.0
2017,NUTS,2010,AT21,2,2157.0
2019,NUTS,2010,AT21,2,2522.0
2011,NUTS,2010,AT22,2,4743.0
2013,NUTS,2010,AT22,2,4858.0
2015,NUTS,2010,AT22,2,5512.0
2017,NUTS,2010,AT22,2,6283.0
2019,NUTS,2010,AT22,2,7915.0
2011,NUTS,2010,AT3,1,7388.0
2013,NUTS,2010,AT3,1,9318.0
2015,NUTS,2010,AT3,1,10216.0
2017,NUTS,2010,AT3,1,11346.0
2019,NUTS,2010,AT3,1,12634.0
2011,NUTS,2010,AT31,2,4007.0
2013,NUTS,2010,AT31,2,5383.0
2015,NUTS,2010,AT31,2,5895.0
2017,NUTS,2010,AT31,2,6202.0
2019,NUTS,2010,AT31,2,7154.0
2011,NUTS,2010,AT32,2,877.0
2013,NUTS,2010,AT32,2,958.0
2015,NUTS,2010,AT32,2,1042.0
2017,NUTS,2010,AT32,2,1420.0
2019,NUTS,2010,AT32,2,1638.0
2011,NUTS,2010,AT33,2,1719.0
2013,NUTS,2010,AT33,2,1823.0
2015,NUTS,2010,AT33,2,2031.0
2017,NUTS,2010,AT33,2,2419.0
2019,NUTS,2010,AT33,2,2430.0
2011,NUTS,2010,AT34,2,785.0
2013,NUTS,2010,AT34,2,1154.0
2015,NUTS,2010,AT34,2,1247.0
2017,NUTS,2010,AT34,2,1305.0
2019,NUTS,2010,AT34,2,1411.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,109.0
2013,NUTS,2010,BA,0,101.0
2014,NUTS,2010,BA,0,58.0
2019,NUTS,2010,BA,0,182.0
2011,NUTS,2010,BE,0,21382.0
2012,NUTS,2010,BE,0,23464.0
2013,NUTS,2010,BE,0,23759.0
2014,NUTS,2010,BE,0,27384.0
2015,NUTS,2010,BE,0,28474.0
2016,NUTS,2010,BE,0,27311.0
2017,NUTS,2010,BE,0,29358.0
2018,NUTS,2010,BE,0,31288.0
2019,NUTS,2010,BE,0,33885.0
2020,NUTS,2010,BE,0,37829.0
2011,NUTS,2010,BE1,1,2277.0
2013,NUTS,2010,BE1,1,3090.0
2014,NUTS,2010,BE1,1,3082.0
2015,NUTS,2010,BE1,1,3285.0
2017,NUTS,2010,BE1,1,4184.0
2019,NUTS,2010,BE1,1,5081.0
2011,NUTS,2010,BE10,2,2277.0
2013,NUTS,2010,BE10,2,3090.0
2014,NUTS,2010,BE10,2,3082.0
2015,NUTS,2010,BE10,2,3285.0
2017,NUTS,2010,BE10,2,4184.0
2019,NUTS,2010,BE10,2,5081.0
2011,NUTS,2010,BE2,1,13855.0
2013,NUTS,2010,BE2,1,14756.0
2014,NUTS,2010,BE2,1,16521.0
2015,NUTS,2010,BE2,1,17489.0
2017,NUTS,2010,BE2,1,17663.0
2019,NUTS,2010,BE2,1,21300.0
2014,NUTS,2010,BE21,2,5379.0
2014,NUTS,2010,BE22,2,1332.0
2014,NUTS,2010,BE23,2,3399.0
2014,NUTS,2010,BE24,2,4133.0
2014,NUTS,2010,BE25,2,2279.0
2011,NUTS,2010,BE3,1,5250.0
2013,NUTS,2010,BE3,1,5913.0
2014,NUTS,2010,BE3,1,7780.0
2015,NUTS,2010,BE3,1,7700.0
2017,NUTS,2010,BE3,1,7512.0
2019,NUTS,2010,BE3,1,7504.0
2014,NUTS,2010,BE31,2,3814.0
2014,NUTS,2010,BE32,2,1723.0
2014,NUTS,2010,BE33,2,1519.0
2014,NUTS,2010,BE34,2,127.0
2014,NUTS,2010,BE35,2,597.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,1547.0
2012,NUTS,2010,BG,0,2095.0
2013,NUTS,2010,BG,0,2760.0
2014,NUTS,2010,BG,0,3559.0
2015,NUTS,2010,BG,0,5502.0
2016,NUTS,2010,BG,0,6109.0
2017,NUTS,2010,BG,0,6547.0
2018,NUTS,2010,BG,0,8020.0
2019,NUTS,2010,BG,0,8493.0
2020,NUTS,2010,BG,0,8227.0
2011,NUTS,2010,BG3,1,282.0
2012,NUTS,2010,BG3,1,494.0
2014,NUTS,2010,BG3,1,591.0
2015,NUTS,2010,BG3,1,1443.0
2016,NUTS,2010,BG3,1,1348.0
2017,NUTS,2010,BG3,1,1644.0
2018,NUTS,2010,BG3,1,1965.0
2019,NUTS,2010,BG3,1,2059.0
2016,NUTS,2010,BG31,2,319.0
2017,NUTS,2010,BG31,2,426.0
2018,NUTS,2010,BG31,2,551.0
2019,NUTS,2010,BG31,2,491.0
2011,NUTS,2010,BG32,2,40.0
2012,NUTS,2010,BG32,2,87.0
2013,NUTS,2010,BG32,2,105.0
2014,NUTS,2010,BG32,2,129.0
2016,NUTS,2010,BG32,2,250.0
2017,NUTS,2010,BG32,2,402.0
2018,NUTS,2010,BG32,2,499.0
2019,NUTS,2010,BG32,2,518.0
2015,NUTS,2010,BG33,2,319.0
2016,NUTS,2010,BG33,2,399.0
2017,NUTS,2010,BG33,2,416.0
2018,NUTS,2010,BG33,2,463.0
2019,NUTS,2010,BG33,2,535.0
2011,NUTS,2010,BG34,2,96.0
2012,NUTS,2010,BG34,2,131.0
2015,NUTS,2010,BG34,2,472.0
2016,NUTS,2010,BG34,2,380.0
2017,NUTS,2010,BG34,2,400.0
2018,NUTS,2010,BG34,2,452.0
2019,NUTS,2010,BG34,2,515.0
2011,NUTS,2010,BG4,1,1265.0
2012,NUTS,2010,BG4,1,1601.0
2014,NUTS,2010,BG4,1,2968.0
2015,NUTS,2010,BG4,1,4059.0
2016,NUTS,2010,BG4,1,4761.0
2017,NUTS,2010,BG4,1,4903.0
2018,NUTS,2010,BG4,1,6055.0
2019,NUTS,2010,BG4,1,6434.0
2011,NUTS,2010,BG41,2,1054.0
2012,NUTS,2010,BG41,2,1396.0
2013,NUTS,2010,BG41,2,1940.0
2014,NUTS,2010,BG41,2,2764.0
2015,NUTS,2010,BG41,2,3629.0
2016,NUTS,2010,BG41,2,4236.0
2017,NUTS,2010,BG41,2,4240.0
2018,NUTS,2010,BG41,2,5169.0
2019,NUTS,2010,BG41,2,5522.0
2011,NUTS,2010,BG42,2,211.0
2012,NUTS,2010,BG42,2,205.0
2014,NUTS,2010,BG42,2,204.0
2015,NUTS,2010,BG42,2,430.0
2016,NUTS,2010,BG42,2,525.0
2017,NUTS,2010,BG42,2,663.0
2018,NUTS,2010,BG42,2,886.0
2019,NUTS,2010,BG42,2,912.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,16595.0
2015,NUTS,2010,CH,0,21893.0
2017,NUTS,2010,CH,0,21094.0
2019,NUTS,2010,CH,0,23030.0
2012,NUTS,2010,CH01,2,2314.0
2015,NUTS,2010,CH01,2,3942.0
2017,NUTS,2010,CH01,2,3137.0
2019,NUTS,2010,CH01,2,3425.0
2012,NUTS,2010,CH02,2,3480.0
2015,NUTS,2010,CH02,2,3024.0
2017,NUTS,2010,CH02,2,3379.0
