year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_pnp_mio_eur
2011,NUTS,2010,AT,0,40.719
2012,NUTS,2010,AT,0,40.61
2013,NUTS,2010,AT,0,40.223
2014,NUTS,2010,AT,0,48.655
2015,NUTS,2010,AT,0,51.338
2016,NUTS,2010,AT,0,54.5
2017,NUTS,2010,AT,0,61.551
2018,NUTS,2010,AT,0,64.94
2019,NUTS,2010,AT,0,67.384
2020,NUTS,2010,AT,0,67.3
2011,NUTS,2010,AT1,1,37.583
2013,NUTS,2010,AT1,1,37.74
2015,NUTS,2010,AT1,1,47.715
2017,NUTS,2010,AT1,1,57.339
2019,NUTS,2010,AT1,1,62.044
2011,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT12,2,16.884
2013,NUTS,2010,AT12,2,17.335
2015,NUTS,2010,AT12,2,21.024
2017,NUTS,2010,AT12,2,25.243
2011,NUTS,2010,AT13,2,20.699
2013,NUTS,2010,AT13,2,20.405
2015,NUTS,2010,AT13,2,26.691
2017,NUTS,2010,AT13,2,32.096
2019,NUTS,2010,AT13,2,35.95
2019,NUTS,2010,AT2,1,0.781
2011,NUTS,2010,AT21,2,0.473
2019,NUTS,2010,AT3,1,4.559
2011,NUTS,2010,AT31,2,1.145
2013,NUTS,2010,AT31,2,1.171
2015,NUTS,2010,AT31,2,0.738
2017,NUTS,2010,AT31,2,0.894
2019,NUTS,2010,AT31,2,1.439
2015,NUTS,2010,AT32,2,1.976
2017,NUTS,2010,AT32,2,2.699
2019,NUTS,2010,AT32,2,2.571
2011,NUTS,2010,AT33,2,0.182
2013,NUTS,2010,AT33,2,0.173
2019,NUTS,2010,AT33,2,0.549
2011,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,0.087
2013,NUTS,2010,BA,0,0.054
2014,NUTS,2010,BA,0,0.516
2019,NUTS,2010,BA,0,0.017
2011,NUTS,2010,BE,0,73.6
2012,NUTS,2010,BE,0,35.218
2013,NUTS,2010,BE,0,34.164
2014,NUTS,2010,BE,0,43.704
2015,NUTS,2010,BE,0,55.596
2016,NUTS,2010,BE,0,66.029
2017,NUTS,2010,BE,0,66.378
2018,NUTS,2010,BE,0,95.348
2019,NUTS,2010,BE,0,113.562
2020,NUTS,2010,BE,0,125.8
2011,NUTS,2010,BE1,1,28.238
2012,NUTS,2010,BE1,1,20.573
2013,NUTS,2010,BE1,1,19.7
2014,NUTS,2010,BE1,1,28.29
2015,NUTS,2010,BE1,1,33.411
2016,NUTS,2010,BE1,1,39.474
2017,NUTS,2010,BE1,1,39.09
2018,NUTS,2010,BE1,1,65.807
2019,NUTS,2010,BE1,1,76.661
2011,NUTS,2010,BE10,2,28.238
2012,NUTS,2010,BE10,2,20.573
2013,NUTS,2010,BE10,2,19.7
2014,NUTS,2010,BE10,2,28.29
2015,NUTS,2010,BE10,2,33.411
2016,NUTS,2010,BE10,2,39.474
2017,NUTS,2010,BE10,2,39.09
2018,NUTS,2010,BE10,2,65.807
2019,NUTS,2010,BE10,2,76.661
2011,NUTS,2010,BE2,1,45.197
2012,NUTS,2010,BE2,1,14.645
2013,NUTS,2010,BE2,1,14.464
2014,NUTS,2010,BE2,1,15.334
2015,NUTS,2010,BE2,1,22.104
2016,NUTS,2010,BE2,1,26.43
2017,NUTS,2010,BE2,1,27.16
2018,NUTS,2010,BE2,1,29.406
2019,NUTS,2010,BE2,1,36.759
2011,NUTS,2010,BE3,1,0.149
2012,NUTS,2010,BE3,1,0.0
2013,NUTS,2010,BE3,1,0.0
2014,NUTS,2010,BE3,1,0.08
2015,NUTS,2010,BE3,1,0.08
2016,NUTS,2010,BE3,1,0.125
2017,NUTS,2010,BE3,1,0.128
2018,NUTS,2010,BE3,1,0.135
2019,NUTS,2010,BE3,1,0.142
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,1.502
2012,NUTS,2010,BG,0,3.601
2013,NUTS,2010,BG,0,1.6
2014,NUTS,2010,BG,0,2.571
2015,NUTS,2010,BG,0,2.381
2016,NUTS,2010,BG,0,1.125
2017,NUTS,2010,BG,0,3.303
2018,NUTS,2010,BG,0,2.474
2019,NUTS,2010,BG,0,3.219
2020,NUTS,2010,BG,0,3.514
2011,NUTS,2010,BG3,1,0.051
2012,NUTS,2010,BG3,1,0.016
2014,NUTS,2010,BG3,1,0.131
2015,NUTS,2010,BG3,1,0.126
2016,NUTS,2010,BG3,1,0.025
2017,NUTS,2010,BG3,1,0.084
2018,NUTS,2010,BG3,1,0.184
2019,NUTS,2010,BG3,1,0.065
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG33,2,0.114
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2011,NUTS,2010,BG4,1,1.451
2012,NUTS,2010,BG4,1,3.585
2014,NUTS,2010,BG4,1,2.44
2015,NUTS,2010,BG4,1,2.255
2016,NUTS,2010,BG4,1,1.1
2017,NUTS,2010,BG4,1,3.219
2018,NUTS,2010,BG4,1,2.29
2019,NUTS,2010,BG4,1,3.154
2012,NUTS,2010,BG41,2,3.472
2013,NUTS,2010,BG41,2,1.154
2014,NUTS,2010,BG41,2,2.386
2015,NUTS,2010,BG41,2,2.175
2016,NUTS,2010,BG41,2,0.52
2017,NUTS,2010,BG41,2,2.491
2018,NUTS,2010,BG41,2,1.551
2019,NUTS,2010,BG41,2,1.855
