year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_gov_mio_nac
1981,NUTS,2010,AT,0,80.892
1985,NUTS,2010,AT,0,104.852
1989,NUTS,2010,AT,0,124.481
1993,NUTS,2010,AT,0,204.574
1998,NUTS,2010,AT,0,218.951
2002,NUTS,2010,AT,0,266.428
2004,NUTS,2010,AT,0,269.832
2005,NUTS,2010,AT,0,313.916
2006,NUTS,2010,AT,0,330.232
2007,NUTS,2010,AT,0,367.3
2008,NUTS,2010,AT,0,403.21
2009,NUTS,2010,AT,0,399.093
2010,NUTS,2010,AT,0,422.417
2011,NUTS,2010,AT,0,425.222
2012,NUTS,2010,AT,0,425.148
2013,NUTS,2010,AT,0,424.885
2014,NUTS,2010,AT,0,467.541
2015,NUTS,2010,AT,0,481.113
2016,NUTS,2010,AT,0,789.63
2017,NUTS,2010,AT,0,806.604
2018,NUTS,2010,AT,0,851.05
2019,NUTS,2010,AT,0,913.295
2020,NUTS,2010,AT,0,887.51
1981,NUTS,2010,AT1,1,53.79
1985,NUTS,2010,AT1,1,70.06
1989,NUTS,2010,AT1,1,86.99
1993,NUTS,2010,AT1,1,143.46
1998,NUTS,2010,AT1,1,153.0
2002,NUTS,2010,AT1,1,181.581
2004,NUTS,2010,AT1,1,174.765
2006,NUTS,2010,AT1,1,
2007,NUTS,2010,AT1,1,
2009,NUTS,2010,AT1,1,
2011,NUTS,2010,AT1,1,283.799
2013,NUTS,2010,AT1,1,268.611
2015,NUTS,2010,AT1,1,
2017,NUTS,2010,AT1,1,
2019,NUTS,2010,AT1,1,652.452
1981,NUTS,2010,AT11,2,1.34
1985,NUTS,2010,AT11,2,1.74
1989,NUTS,2010,AT11,2,1.82
1993,NUTS,2010,AT11,2,2.14
1998,NUTS,2010,AT11,2,2.0
2002,NUTS,2010,AT11,2,1.98
2004,NUTS,2010,AT11,2,2.892
2006,NUTS,2010,AT11,2,
2007,NUTS,2010,AT11,2,
2009,NUTS,2010,AT11,2,
2011,NUTS,2010,AT11,2,2.706
2013,NUTS,2010,AT11,2,3.03
2015,NUTS,2010,AT11,2,
2017,NUTS,2010,AT11,2,
2019,NUTS,2010,AT11,2,
1981,NUTS,2010,AT12,2,5.79
1985,NUTS,2010,AT12,2,7.78
1989,NUTS,2010,AT12,2,9.74
1993,NUTS,2010,AT12,2,11.07
1998,NUTS,2010,AT12,2,14.0
2002,NUTS,2010,AT12,2,13.416
2004,NUTS,2010,AT12,2,14.745
2006,NUTS,2010,AT12,2,26.7
2007,NUTS,2010,AT12,2,30.535
2009,NUTS,2010,AT12,2,37.563
2011,NUTS,2010,AT12,2,38.169
2013,NUTS,2010,AT12,2,42.302
2015,NUTS,2010,AT12,2,77.701
2017,NUTS,2010,AT12,2,104.208
2019,NUTS,2010,AT12,2,
1981,NUTS,2010,AT13,2,46.66
1985,NUTS,2010,AT13,2,60.54
1989,NUTS,2010,AT13,2,75.51
1993,NUTS,2010,AT13,2,130.24
1998,NUTS,2010,AT13,2,137.0
2002,NUTS,2010,AT13,2,166.185
2004,NUTS,2010,AT13,2,157.128
2006,NUTS,2010,AT13,2,191.308
2007,NUTS,2010,AT13,2,214.972
2009,NUTS,2010,AT13,2,228.902
2011,NUTS,2010,AT13,2,242.924
2013,NUTS,2010,AT13,2,223.279
2015,NUTS,2010,AT13,2,239.045
2017,NUTS,2010,AT13,2,467.627
2019,NUTS,2010,AT13,2,526.81
1981,NUTS,2010,AT2,1,13.72
1985,NUTS,2010,AT2,1,15.7
1989,NUTS,2010,AT2,1,16.86
1993,NUTS,2010,AT2,1,21.98
1998,NUTS,2010,AT2,1,29.0
2002,NUTS,2010,AT2,1,41.584
2004,NUTS,2010,AT2,1,46.345
2006,NUTS,2010,AT2,1,61.335
2007,NUTS,2010,AT2,1,
2009,NUTS,2010,AT2,1,
2011,NUTS,2010,AT2,1,
2013,NUTS,2010,AT2,1,
2015,NUTS,2010,AT2,1,67.921
2017,NUTS,2010,AT2,1,
2019,NUTS,2010,AT2,1,128.1
1981,NUTS,2010,AT21,2,3.36
1985,NUTS,2010,AT21,2,3.27
1989,NUTS,2010,AT21,2,4.72
1993,NUTS,2010,AT21,2,6.1
1998,NUTS,2010,AT21,2,8.0
2002,NUTS,2010,AT21,2,7.271
2004,NUTS,2010,AT21,2,9.45
2006,NUTS,2010,AT21,2,10.925
2007,NUTS,2010,AT21,2,
2009,NUTS,2010,AT21,2,
2011,NUTS,2010,AT21,2,11.492
2013,NUTS,2010,AT21,2,
2015,NUTS,2010,AT21,2,
2017,NUTS,2010,AT21,2,
2019,NUTS,2010,AT21,2,
1981,NUTS,2010,AT22,2,10.36
1985,NUTS,2010,AT22,2,12.43
1989,NUTS,2010,AT22,2,12.14
1993,NUTS,2010,AT22,2,15.88
1998,NUTS,2010,AT22,2,22.0
2002,NUTS,2010,AT22,2,34.313
2004,NUTS,2010,AT22,2,36.895
2006,NUTS,2010,AT22,2,50.41
2007,NUTS,2010,AT22,2,
2009,NUTS,2010,AT22,2,52.125
2011,NUTS,2010,AT22,2,
