year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hc_rse_total_t
1998,NUTS,2010,AT,0,31404.0
2002,NUTS,2010,AT,0,39557.0
2004,NUTS,2010,AT,0,44127.0
2006,NUTS,2010,AT,0,49597.0
2007,NUTS,2010,AT,0,53590.0
2009,NUTS,2010,AT,0,59341.0
2011,NUTS,2010,AT,0,65609.0
2013,NUTS,2010,AT,0,71448.0
2015,NUTS,2010,AT,0,78051.0
2017,NUTS,2010,AT,0,83648.0
2019,NUTS,2010,AT,0,93179.0
2002,NUTS,2010,AT1,1,21114.0
2004,NUTS,2010,AT1,1,22623.0
2006,NUTS,2010,AT1,1,24952.0
2007,NUTS,2010,AT1,1,26878.0
2009,NUTS,2010,AT1,1,29452.0
2011,NUTS,2010,AT1,1,31951.0
2013,NUTS,2010,AT1,1,34836.0
2015,NUTS,2010,AT1,1,37047.0
2017,NUTS,2010,AT1,1,39140.0
2019,NUTS,2010,AT1,1,42780.0
2002,NUTS,2010,AT11,2,279.0
2004,NUTS,2010,AT11,2,289.0
2006,NUTS,2010,AT11,2,282.0
2007,NUTS,2010,AT11,2,327.0
2009,NUTS,2010,AT11,2,318.0
2011,NUTS,2010,AT11,2,484.0
2013,NUTS,2010,AT11,2,632.0
2015,NUTS,2010,AT11,2,663.0
2017,NUTS,2010,AT11,2,720.0
2019,NUTS,2010,AT11,2,797.0
2002,NUTS,2010,AT12,2,2145.0
2004,NUTS,2010,AT12,2,2180.0
2006,NUTS,2010,AT12,2,2680.0
2007,NUTS,2010,AT12,2,2760.0
2009,NUTS,2010,AT12,2,3306.0
2011,NUTS,2010,AT12,2,4254.0
2013,NUTS,2010,AT12,2,4637.0
2015,NUTS,2010,AT12,2,5248.0
2017,NUTS,2010,AT12,2,5771.0
2019,NUTS,2010,AT12,2,7038.0
2002,NUTS,2010,AT13,2,18690.0
2004,NUTS,2010,AT13,2,20154.0
2006,NUTS,2010,AT13,2,21990.0
2007,NUTS,2010,AT13,2,23791.0
2009,NUTS,2010,AT13,2,25828.0
2011,NUTS,2010,AT13,2,27213.0
2013,NUTS,2010,AT13,2,29567.0
2015,NUTS,2010,AT13,2,31136.0
2017,NUTS,2010,AT13,2,32649.0
2019,NUTS,2010,AT13,2,34945.0
2002,NUTS,2010,AT2,1,8504.0
2004,NUTS,2010,AT2,1,9930.0
2006,NUTS,2010,AT2,1,11402.0
2007,NUTS,2010,AT2,1,12548.0
2009,NUTS,2010,AT2,1,14078.0
2011,NUTS,2010,AT2,1,15725.0
2013,NUTS,2010,AT2,1,16044.0
2015,NUTS,2010,AT2,1,18303.0
2017,NUTS,2010,AT2,1,19494.0
2019,NUTS,2010,AT2,1,23106.0
2002,NUTS,2010,AT21,2,1612.0
2004,NUTS,2010,AT21,2,1943.0
2006,NUTS,2010,AT21,2,2252.0
2007,NUTS,2010,AT21,2,2447.0
2009,NUTS,2010,AT21,2,2662.0
2011,NUTS,2010,AT21,2,2675.0
2013,NUTS,2010,AT21,2,2716.0
2015,NUTS,2010,AT21,2,2987.0
2017,NUTS,2010,AT21,2,3240.0
2019,NUTS,2010,AT21,2,3837.0
2002,NUTS,2010,AT22,2,6892.0
2004,NUTS,2010,AT22,2,7987.0
2006,NUTS,2010,AT22,2,9150.0
2007,NUTS,2010,AT22,2,10101.0
2009,NUTS,2010,AT22,2,11416.0
2011,NUTS,2010,AT22,2,13050.0
2013,NUTS,2010,AT22,2,13328.0
2015,NUTS,2010,AT22,2,15316.0
2017,NUTS,2010,AT22,2,16254.0
2019,NUTS,2010,AT22,2,19269.0
2002,NUTS,2010,AT3,1,9939.0
2004,NUTS,2010,AT3,1,11574.0
2006,NUTS,2010,AT3,1,13243.0
2007,NUTS,2010,AT3,1,14164.0
2009,NUTS,2010,AT3,1,15811.0
2011,NUTS,2010,AT3,1,17933.0
2013,NUTS,2010,AT3,1,20568.0
2015,NUTS,2010,AT3,1,22701.0
2017,NUTS,2010,AT3,1,25014.0
2019,NUTS,2010,AT3,1,27293.0
2002,NUTS,2010,AT31,2,4081.0
2004,NUTS,2010,AT31,2,4696.0
2006,NUTS,2010,AT31,2,5612.0
2007,NUTS,2010,AT31,2,5923.0
2009,NUTS,2010,AT31,2,6657.0
2011,NUTS,2010,AT31,2,7668.0
2013,NUTS,2010,AT31,2,9065.0
2015,NUTS,2010,AT31,2,10141.0
2017,NUTS,2010,AT31,2,10832.0
2019,NUTS,2010,AT31,2,12309.0
2002,NUTS,2010,AT32,2,1611.0
2004,NUTS,2010,AT32,2,1830.0
2006,NUTS,2010,AT32,2,2058.0
2007,NUTS,2010,AT32,2,2181.0
2009,NUTS,2010,AT32,2,2623.0
2011,NUTS,2010,AT32,2,3090.0
2013,NUTS,2010,AT32,2,3399.0
2015,NUTS,2010,AT32,2,3844.0
2017,NUTS,2010,AT32,2,4560.0
2019,NUTS,2010,AT32,2,4889.0
2002,NUTS,2010,AT33,2,3462.0
2004,NUTS,2010,AT33,2,4127.0
2006,NUTS,2010,AT33,2,4641.0
2007,NUTS,2010,AT33,2,5139.0
2009,NUTS,2010,AT33,2,5408.0
2011,NUTS,2010,AT33,2,6046.0
2013,NUTS,2010,AT33,2,6543.0
2015,NUTS,2010,AT33,2,6938.0
2017,NUTS,2010,AT33,2,7731.0
2019,NUTS,2010,AT33,2,8196.0
2002,NUTS,2010,AT34,2,785.0
2004,NUTS,2010,AT34,2,921.0
2006,NUTS,2010,AT34,2,932.0
2007,NUTS,2010,AT34,2,921.0
2009,NUTS,2010,AT34,2,1123.0
2011,NUTS,2010,AT34,2,1129.0
2013,NUTS,2010,AT34,2,1561.0
2015,NUTS,2010,AT34,2,1778.0
2017,NUTS,2010,AT34,2,1891.0
2019,NUTS,2010,AT34,2,1900.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,799.0
2013,NUTS,2010,BA,0,1245.0
2014,NUTS,2010,BA,0,1831.0
2019,NUTS,2010,BA,0,2121.0
2002,NUTS,2010,BE,0,44133.0
2003,NUTS,2010,BE,0,44500.0
2004,NUTS,2010,BE,0,47363.0
2005,NUTS,2010,BE,0,48757.0
2006,NUTS,2010,BE,0,49253.0
2007,NUTS,2010,BE,0,51278.0
2008,NUTS,2010,BE,0,54624.0
2009,NUTS,2010,BE,0,55858.0
2010,NUTS,2010,BE,0,59403.0
2011,NUTS,2010,BE,0,63207.0
2013,NUTS,2010,BE,0,66724.0
2015,NUTS,2010,BE,0,73709.0
2017,NUTS,2010,BE,0,78867.0
2019,NUTS,2010,BE,0,91757.0
2002,NUTS,2010,BE1,1,8955.0
2003,NUTS,2010,BE1,1,8824.0
2004,NUTS,2010,BE1,1,9206.0
2005,NUTS,2010,BE1,1,9353.0
2006,NUTS,2010,BE1,1,9881.0
2007,NUTS,2010,BE1,1,10377.0
2008,NUTS,2010,BE1,1,10995.0
2009,NUTS,2010,BE1,1,11111.0
2010,NUTS,2010,BE1,1,10616.0
2011,NUTS,2010,BE1,1,11036.0
2013,NUTS,2010,BE1,1,12954.0
2015,NUTS,2010,BE1,1,13792.0
2017,NUTS,2010,BE1,1,14938.0
2019,NUTS,2010,BE1,1,17969.0
2002,NUTS,2010,BE10,2,8955.0
2003,NUTS,2010,BE10,2,8824.0
