year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_hc_bes_rse
1998,NUTS,2010,AT,0,1258.0
2002,NUTS,2010,AT,0,2012.0
2004,NUTS,2010,AT,0,2591.0
2006,NUTS,2010,AT,0,3109.0
2007,NUTS,2010,AT,0,3505.0
2009,NUTS,2010,AT,0,4362.0
2011,NUTS,2010,AT,0,4859.0
2013,NUTS,2010,AT,0,5908.0
2015,NUTS,2010,AT,0,6320.0
2017,NUTS,2010,AT,0,6901.0
2019,NUTS,2010,AT,0,7837.0
2002,NUTS,2010,AT1,1,1229.0
2004,NUTS,2010,AT1,1,1516.0
2006,NUTS,2010,AT1,1,1814.0
2007,NUTS,2010,AT1,1,2027.0
2009,NUTS,2010,AT1,1,2535.0
2011,NUTS,2010,AT1,1,2691.0
2013,NUTS,2010,AT1,1,3026.0
2015,NUTS,2010,AT1,1,3218.0
2017,NUTS,2010,AT1,1,2999.0
2019,NUTS,2010,AT1,1,3357.0
2002,NUTS,2010,AT11,2,28.0
2004,NUTS,2010,AT11,2,30.0
2006,NUTS,2010,AT11,2,37.0
2007,NUTS,2010,AT11,2,35.0
2009,NUTS,2010,AT11,2,37.0
2011,NUTS,2010,AT11,2,47.0
2013,NUTS,2010,AT11,2,48.0
2015,NUTS,2010,AT11,2,54.0
2017,NUTS,2010,AT11,2,75.0
2019,NUTS,2010,AT11,2,65.0
2002,NUTS,2010,AT12,2,208.0
2004,NUTS,2010,AT12,2,248.0
2006,NUTS,2010,AT12,2,378.0
2007,NUTS,2010,AT12,2,378.0
2009,NUTS,2010,AT12,2,454.0
2011,NUTS,2010,AT12,2,597.0
2013,NUTS,2010,AT12,2,606.0
2015,NUTS,2010,AT12,2,642.0
2017,NUTS,2010,AT12,2,620.0
2019,NUTS,2010,AT12,2,853.0
2002,NUTS,2010,AT13,2,993.0
2004,NUTS,2010,AT13,2,1238.0
2006,NUTS,2010,AT13,2,1399.0
2007,NUTS,2010,AT13,2,1614.0
2009,NUTS,2010,AT13,2,2044.0
2011,NUTS,2010,AT13,2,2047.0
2013,NUTS,2010,AT13,2,2372.0
2015,NUTS,2010,AT13,2,2522.0
2017,NUTS,2010,AT13,2,2304.0
2019,NUTS,2010,AT13,2,2439.0
2002,NUTS,2010,AT2,1,350.0
2004,NUTS,2010,AT2,1,507.0
2006,NUTS,2010,AT2,1,649.0
2007,NUTS,2010,AT2,1,746.0
2009,NUTS,2010,AT2,1,907.0
2011,NUTS,2010,AT2,1,1088.0
2013,NUTS,2010,AT2,1,1303.0
2015,NUTS,2010,AT2,1,1416.0
2017,NUTS,2010,AT2,1,1717.0
2019,NUTS,2010,AT2,1,2134.0
2002,NUTS,2010,AT21,2,85.0
2004,NUTS,2010,AT21,2,148.0
2006,NUTS,2010,AT21,2,177.0
2007,NUTS,2010,AT21,2,216.0
2009,NUTS,2010,AT21,2,244.0
2011,NUTS,2010,AT21,2,218.0
2013,NUTS,2010,AT21,2,200.0
2015,NUTS,2010,AT21,2,267.0
2017,NUTS,2010,AT21,2,449.0
2019,NUTS,2010,AT21,2,558.0
2002,NUTS,2010,AT22,2,265.0
2004,NUTS,2010,AT22,2,359.0
2006,NUTS,2010,AT22,2,472.0
2007,NUTS,2010,AT22,2,530.0
2009,NUTS,2010,AT22,2,663.0
2011,NUTS,2010,AT22,2,870.0
2013,NUTS,2010,AT22,2,1103.0
2015,NUTS,2010,AT22,2,1149.0
2017,NUTS,2010,AT22,2,1268.0
2019,NUTS,2010,AT22,2,1577.0
2002,NUTS,2010,AT3,1,433.0
2004,NUTS,2010,AT3,1,568.0
2006,NUTS,2010,AT3,1,646.0
2007,NUTS,2010,AT3,1,732.0
2009,NUTS,2010,AT3,1,920.0
2011,NUTS,2010,AT3,1,1080.0
2013,NUTS,2010,AT3,1,1579.0
2015,NUTS,2010,AT3,1,1686.0
2017,NUTS,2010,AT3,1,2185.0
2019,NUTS,2010,AT3,1,2346.0
2002,NUTS,2010,AT31,2,160.0
2004,NUTS,2010,AT31,2,203.0
2006,NUTS,2010,AT31,2,279.0
2007,NUTS,2010,AT31,2,307.0
2009,NUTS,2010,AT31,2,398.0
