year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_pc_act_fte_total_f
2011,NUTS,2010,AT,0,0.7712
2013,NUTS,2010,AT,0,0.7911
2015,NUTS,2010,AT,0,0.8386
2017,NUTS,2010,AT,0,0.88
2019,NUTS,2010,AT,0,0.9571
2011,NUTS,2010,BE,0,0.9723
2011,NUTS,2010,BG,0,0.5895
2012,NUTS,2010,BG,0,0.5766
2013,NUTS,2010,BG,0,0.5943
2014,NUTS,2010,BG,0,0.6366
2015,NUTS,2010,BG,0,0.7102
2016,NUTS,2010,BG,0,0.8026
2017,NUTS,2010,BG,0,0.7333
2018,NUTS,2010,BG,0,0.7936
2019,NUTS,2010,BG,0,0.8043
2011,NUTS,2010,CY,0,0.2626
2012,NUTS,2010,CY,0,0.2507
2013,NUTS,2010,CY,0,0.2521
2014,NUTS,2010,CY,0,0.2587
2015,NUTS,2010,CY,0,0.2521
2016,NUTS,2010,CY,0,0.2765
2017,NUTS,2010,CY,0,0.31
2018,NUTS,2010,CY,0,0.3414
2019,NUTS,2010,CY,0,0.3958
2011,NUTS,2010,CZ,0,0.7481
2012,NUTS,2010,CZ,0,0.8002
2013,NUTS,2010,CZ,0,0.806
2014,NUTS,2010,CZ,0,0.8255
2015,NUTS,2010,CZ,0,0.8438
2016,NUTS,2010,CZ,0,0.804
2017,NUTS,2010,CZ,0,0.8386
2018,NUTS,2010,CZ,0,0.9112
2019,NUTS,2010,CZ,0,0.9731
2020,NUTS,2010,CZ,0,1.0004
2011,NUTS,2010,DE,0,0.8529
2013,NUTS,2010,DE,0,0.8711
2015,NUTS,2010,DE,0,0.9236
2017,NUTS,2010,DE,0,0.9635
2019,NUTS,2010,DE,0,1.0171
2011,NUTS,2010,DK,0,1.5095
2012,NUTS,2010,DK,0,1.5634
2013,NUTS,2010,DK,0,1.6162
2015,NUTS,2010,DK,0,1.6107
2017,NUTS,2010,DK,0,1.7416
2019,NUTS,2010,DK,0,1.734
2011,NUTS,2010,EE,0,0.7696
2012,NUTS,2010,EE,0,0.8058
2013,NUTS,2010,EE,0,0.804
2014,NUTS,2010,EE,0,0.8552
2015,NUTS,2010,EE,0,0.8275
2016,NUTS,2010,EE,0,0.7978
2017,NUTS,2010,EE,0,0.8283
2018,NUTS,2010,EE,0,0.8585
2019,NUTS,2010,EE,0,0.8542
2011,NUTS,2010,EL,0,0.7435
2013,NUTS,2010,EL,0,0.8202
2015,NUTS,2010,EL,0,0.9378
2019,NUTS,2010,EL,0,1.0772
2011,NUTS,2010,ES,0,0.8213
2012,NUTS,2010,ES,0,0.787
2013,NUTS,2010,ES,0,0.77
2014,NUTS,2010,ES,0,0.7586
2015,NUTS,2010,ES,0,0.7717
