year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_rse_hc_t
2011,NUTS,2010,AT,0,3337.0
2013,NUTS,2010,AT,0,3472.0
2015,NUTS,2010,AT,0,3747.0
2017,NUTS,2010,AT,0,6598.0
2019,NUTS,2010,AT,0,7037.0
2011,NUTS,2010,AT1,1,2530.0
2013,NUTS,2010,AT1,1,2580.0
2019,NUTS,2010,AT1,1,5473.0
2011,NUTS,2010,AT11,2,27.0
2013,NUTS,2010,AT11,2,29.0
2011,NUTS,2010,AT12,2,159.0
2013,NUTS,2010,AT12,2,176.0
2015,NUTS,2010,AT12,2,311.0
2017,NUTS,2010,AT12,2,451.0
2011,NUTS,2010,AT13,2,2344.0
2013,NUTS,2010,AT13,2,2375.0
2015,NUTS,2010,AT13,2,2496.0
2017,NUTS,2010,AT13,2,4602.0
2019,NUTS,2010,AT13,2,4999.0
2015,NUTS,2010,AT2,1,249.0
2019,NUTS,2010,AT2,1,676.0
2011,NUTS,2010,AT21,2,57.0
2019,NUTS,2010,AT3,1,888.0
2011,NUTS,2010,AT31,2,143.0
2013,NUTS,2010,AT31,2,120.0
2015,NUTS,2010,AT31,2,156.0
2017,NUTS,2010,AT31,2,330.0
2019,NUTS,2010,AT31,2,321.0
2015,NUTS,2010,AT32,2,316.0
2017,NUTS,2010,AT32,2,294.0
2019,NUTS,2010,AT32,2,301.0
2013,NUTS,2010,AT33,2,100.0
2019,NUTS,2010,AT33,2,194.0
2011,NUTS,2010,AT34,2,55.0
2013,NUTS,2010,AT34,2,53.0
2015,NUTS,2010,AT34,2,65.0
2017,NUTS,2010,AT34,2,69.0
2019,NUTS,2010,AT34,2,72.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,67.0
2013,NUTS,2010,BA,0,97.0
2014,NUTS,2010,BA,0,69.0
2019,NUTS,2010,BA,0,53.0
2011,NUTS,2010,BE,0,3215.0
2012,NUTS,2010,BE,0,3962.0
2013,NUTS,2010,BE,0,4061.0
2014,NUTS,2010,BE,0,4472.0
2015,NUTS,2010,BE,0,4501.0
2016,NUTS,2010,BE,0,4769.0
2017,NUTS,2010,BE,0,4952.0
2018,NUTS,2010,BE,0,5782.0
2019,NUTS,2010,BE,0,6013.0
2011,NUTS,2010,BE1,1,790.0
2012,NUTS,2010,BE1,1,1206.0
2013,NUTS,2010,BE1,1,1231.0
2014,NUTS,2010,BE1,1,1179.0
2015,NUTS,2010,BE1,1,1258.0
2016,NUTS,2010,BE1,1,1339.0
2017,NUTS,2010,BE1,1,1350.0
2018,NUTS,2010,BE1,1,1451.0
2019,NUTS,2010,BE1,1,1503.0
2011,NUTS,2010,BE10,2,790.0
2012,NUTS,2010,BE10,2,1206.0
2013,NUTS,2010,BE10,2,1231.0
2014,NUTS,2010,BE10,2,1179.0
2015,NUTS,2010,BE10,2,1258.0
2016,NUTS,2010,BE10,2,1339.0
2017,NUTS,2010,BE10,2,1350.0
2018,NUTS,2010,BE10,2,1451.0
2019,NUTS,2010,BE10,2,1503.0
2011,NUTS,2010,BE2,1,2243.0
2012,NUTS,2010,BE2,1,2553.0
2013,NUTS,2010,BE2,1,2629.0
2014,NUTS,2010,BE2,1,2973.0
2015,NUTS,2010,BE2,1,2916.0
2016,NUTS,2010,BE2,1,3170.0
2017,NUTS,2010,BE2,1,3342.0
2018,NUTS,2010,BE2,1,4098.0
2019,NUTS,2010,BE2,1,4274.0
2011,NUTS,2010,BE3,1,182.0
2012,NUTS,2010,BE3,1,203.0
2013,NUTS,2010,BE3,1,201.0
2014,NUTS,2010,BE3,1,320.0
2015,NUTS,2010,BE3,1,327.0
2016,NUTS,2010,BE3,1,260.0
2017,NUTS,2010,BE3,1,260.0
2018,NUTS,2010,BE3,1,233.0
2019,NUTS,2010,BE3,1,236.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,5886.0
2012,NUTS,2010,BG,0,5485.0
2013,NUTS,2010,BG,0,5414.0
2014,NUTS,2010,BG,0,5176.0
2015,NUTS,2010,BG,0,4830.0
2016,NUTS,2010,BG,0,4979.0
2017,NUTS,2010,BG,0,4937.0
2018,NUTS,2010,BG,0,4826.0
2019,NUTS,2010,BG,0,4970.0
2011,NUTS,2010,BG3,1,494.0
2012,NUTS,2010,BG3,1,549.0
2013,NUTS,2010,BG3,1,546.0
2014,NUTS,2010,BG3,1,478.0
2015,NUTS,2010,BG3,1,433.0
2016,NUTS,2010,BG3,1,424.0
2017,NUTS,2010,BG3,1,453.0
2018,NUTS,2010,BG3,1,453.0
2011,NUTS,2010,BG31,2,133.0
2012,NUTS,2010,BG31,2,152.0
2013,NUTS,2010,BG31,2,144.0
2014,NUTS,2010,BG31,2,129.0
2015,NUTS,2010,BG31,2,127.0
2016,NUTS,2010,BG31,2,121.0
2018,NUTS,2010,BG31,2,157.0
2011,NUTS,2010,BG32,2,49.0
2012,NUTS,2010,BG32,2,50.0
2013,NUTS,2010,BG32,2,92.0
2014,NUTS,2010,BG32,2,46.0
2016,NUTS,2010,BG32,2,33.0
2017,NUTS,2010,BG32,2,32.0
2018,NUTS,2010,BG32,2,32.0
2019,NUTS,2010,BG32,2,36.0
2011,NUTS,2010,BG33,2,211.0
2012,NUTS,2010,BG33,2,233.0
2013,NUTS,2010,BG33,2,215.0
2014,NUTS,2010,BG33,2,214.0
2015,NUTS,2010,BG33,2,184.0
2016,NUTS,2010,BG33,2,188.0
2017,NUTS,2010,BG33,2,175.0
2018,NUTS,2010,BG33,2,184.0
2019,NUTS,2010,BG33,2,201.0
2011,NUTS,2010,BG34,2,101.0
2012,NUTS,2010,BG34,2,114.0
2013,NUTS,2010,BG34,2,95.0
2014,NUTS,2010,BG34,2,89.0
2016,NUTS,2010,BG34,2,82.0
2018,NUTS,2010,BG34,2,80.0
2011,NUTS,2010,BG4,1,5392.0
2012,NUTS,2010,BG4,1,4936.0
2013,NUTS,2010,BG4,1,4868.0
2014,NUTS,2010,BG4,1,4698.0
2015,NUTS,2010,BG4,1,4397.0
2016,NUTS,2010,BG4,1,4555.0
2017,NUTS,2010,BG4,1,4484.0
2018,NUTS,2010,BG4,1,4373.0
2011,NUTS,2010,BG41,2,5060.0
2012,NUTS,2010,BG41,2,4638.0
2013,NUTS,2010,BG41,2,4596.0
2014,NUTS,2010,BG41,2,4387.0
2015,NUTS,2010,BG41,2,4112.0
2016,NUTS,2010,BG41,2,4250.0
2018,NUTS,2010,BG41,2,4078.0
2019,NUTS,2010,BG41,2,4158.0
2011,NUTS,2010,BG42,2,332.0
2012,NUTS,2010,BG42,2,298.0
2013,NUTS,2010,BG42,2,272.0
2014,NUTS,2010,BG42,2,311.0
2015,NUTS,2010,BG42,2,285.0
2016,NUTS,2010,BG42,2,305.0
2018,NUTS,2010,BG42,2,295.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,980.0
2014,NUTS,2010,CH,0,1089.0
2015,NUTS,2010,CH,0,1095.0
2017,NUTS,2010,CH,0,1051.0
2019,NUTS,2010,CH,0,1331.0
2011,NUTS,2010,CN_X_HK,5,320814.0
2012,NUTS,2010,CN_X_HK,5,339576.0
2011,NUTS,2010,CY,0,215.0
2012,NUTS,2010,CY,0,202.0
2013,NUTS,2010,CY,0,188.0
2014,NUTS,2010,CY,0,174.0
2015,NUTS,2010,CY,0,177.0
2016,NUTS,2010,CY,0,176.0
2017,NUTS,2010,CY,0,191.0
2018,NUTS,2010,CY,0,195.0
2019,NUTS,2010,CY,0,211.0
2011,NUTS,2010,CZ,0,8934.0
2012,NUTS,2010,CZ,0,8701.0
2013,NUTS,2010,CZ,0,9171.0
2014,NUTS,2010,CZ,0,9510.0
2015,NUTS,2010,CZ,0,9905.0
2016,NUTS,2010,CZ,0,9865.0
2017,NUTS,2010,CZ,0,10569.0
2018,NUTS,2010,CZ,0,10807.0
2019,NUTS,2010,CZ,0,10819.0
2020,NUTS,2010,CZ,0,11080.0
2011,NUTS,2010,CZ0,1,8934.0
2012,NUTS,2010,CZ0,1,8701.0
2013,NUTS,2010,CZ0,1,9171.0
2014,NUTS,2010,CZ0,1,9510.0
2015,NUTS,2010,CZ0,1,9905.0
2016,NUTS,2010,CZ0,1,9865.0
2017,NUTS,2010,CZ0,1,10569.0
2018,NUTS,2010,CZ0,1,10807.0
2019,NUTS,2010,CZ0,1,10819.0
2020,NUTS,2010,CZ0,1,11080.0
2011,NUTS,2010,CZ01,2,6427.0
2012,NUTS,2010,CZ01,2,6441.0
2013,NUTS,2010,CZ01,2,6410.0
2014,NUTS,2010,CZ01,2,6822.0
2015,NUTS,2010,CZ01,2,6676.0
2016,NUTS,2010,CZ01,2,6451.0
2017,NUTS,2010,CZ01,2,6998.0
2018,NUTS,2010,CZ01,2,7031.0
2019,NUTS,2010,CZ01,2,6967.0
2020,NUTS,2010,CZ01,2,7195.0
2011,NUTS,2010,CZ02,2,609.0
2012,NUTS,2010,CZ02,2,527.0
2013,NUTS,2010,CZ02,2,689.0
2014,NUTS,2010,CZ02,2,687.0
2015,NUTS,2010,CZ02,2,1022.0
2016,NUTS,2010,CZ02,2,1174.0
2017,NUTS,2010,CZ02,2,1166.0
2018,NUTS,2010,CZ02,2,1253.0
2019,NUTS,2010,CZ02,2,1200.0
2020,NUTS,2010,CZ02,2,1175.0
2011,NUTS,2010,CZ03,2,351.0
2012,NUTS,2010,CZ03,2,301.0
2013,NUTS,2010,CZ03,2,417.0
2014,NUTS,2010,CZ03,2,477.0
2015,NUTS,2010,CZ03,2,459.0
2016,NUTS,2010,CZ03,2,509.0
2017,NUTS,2010,CZ03,2,568.0
2018,NUTS,2010,CZ03,2,556.0
2019,NUTS,2010,CZ03,2,632.0
2020,NUTS,2010,CZ03,2,621.0
2011,NUTS,2010,CZ04,2,61.0
2012,NUTS,2010,CZ04,2,74.0
2013,NUTS,2010,CZ04,2,55.0
2014,NUTS,2010,CZ04,2,58.0
2015,NUTS,2010,CZ04,2,46.0
2016,NUTS,2010,CZ04,2,55.0
2017,NUTS,2010,CZ04,2,75.0
2018,NUTS,2010,CZ04,2,85.0
2019,NUTS,2010,CZ04,2,88.0
2020,NUTS,2010,CZ04,2,63.0
2011,NUTS,2010,CZ05,2,154.0
2012,NUTS,2010,CZ05,2,123.0
