year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_eur_pnp
1981,NUTS,2010,AT,0,16.184
1985,NUTS,2010,AT,0,21.722
1989,NUTS,2010,AT,0,24.799
1993,NUTS,2010,AT,0,6.092
1998,NUTS,2010,AT,0,10.415
2002,NUTS,2010,AT,0,20.897
2004,NUTS,2010,AT,0,21.586
2005,NUTS,2010,AT,0,17.888
2006,NUTS,2010,AT,0,16.519
2007,NUTS,2010,AT,0,17.377
2008,NUTS,2010,AT,0,27.67
2009,NUTS,2010,AT,0,35.905
2010,NUTS,2010,AT,0,39.204
2011,NUTS,2010,AT,0,40.719
2012,NUTS,2010,AT,0,40.61
2013,NUTS,2010,AT,0,40.223
2014,NUTS,2010,AT,0,48.655
2015,NUTS,2010,AT,0,51.338
2016,NUTS,2010,AT,0,54.5
2017,NUTS,2010,AT,0,61.551
2018,NUTS,2010,AT,0,64.94
2019,NUTS,2010,AT,0,67.384
2020,NUTS,2010,AT,0,67.3
1981,NUTS,2010,AT1,1,16.529
1985,NUTS,2010,AT1,1,19.177
1989,NUTS,2010,AT1,1,20.042
1993,NUTS,2010,AT1,1,5.161
1998,NUTS,2010,AT1,1,7.946
2006,NUTS,2010,AT1,1,15.173
2007,NUTS,2010,AT1,1,15.511
2009,NUTS,2010,AT1,1,35.135
2011,NUTS,2010,AT1,1,37.583
2013,NUTS,2010,AT1,1,37.74
2015,NUTS,2010,AT1,1,47.715
2017,NUTS,2010,AT1,1,57.339
2019,NUTS,2010,AT1,1,62.044
1981,NUTS,2010,AT11,2,0.132
1985,NUTS,2010,AT11,2,0.062
1989,NUTS,2010,AT11,2,0.142
2006,NUTS,2010,AT11,2,0.0
2007,NUTS,2010,AT11,2,0.0
2009,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
1981,NUTS,2010,AT12,2,0.528
1985,NUTS,2010,AT12,2,0.704
1989,NUTS,2010,AT12,2,0.614
1993,NUTS,2010,AT12,2,0.172
1998,NUTS,2010,AT12,2,0.993
2002,NUTS,2010,AT12,2,0.597
2004,NUTS,2010,AT12,2,0.453
2006,NUTS,2010,AT12,2,0.808
2007,NUTS,2010,AT12,2,0.816
2009,NUTS,2010,AT12,2,13.457
2011,NUTS,2010,AT12,2,16.884
2013,NUTS,2010,AT12,2,17.335
2015,NUTS,2010,AT12,2,21.024
2017,NUTS,2010,AT12,2,25.243
1981,NUTS,2010,AT13,2,15.869
1985,NUTS,2010,AT13,2,18.411
1989,NUTS,2010,AT13,2,19.286
1993,NUTS,2010,AT13,2,5.0
1998,NUTS,2010,AT13,2,7.946
2002,NUTS,2010,AT13,2,16.701
2004,NUTS,2010,AT13,2,17.854
2006,NUTS,2010,AT13,2,14.365
2007,NUTS,2010,AT13,2,14.695
2009,NUTS,2010,AT13,2,21.678
2011,NUTS,2010,AT13,2,20.699
2013,NUTS,2010,AT13,2,20.405
2015,NUTS,2010,AT13,2,26.691
