year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_eur_gov
1981,NUTS,2010,AT,0,62.834
1985,NUTS,2010,AT,0,92.234
1989,NUTS,2010,AT,0,117.568
1993,NUTS,2010,AT,0,206.62
1998,NUTS,2010,AT,0,217.472
2002,NUTS,2010,AT,0,266.428
2004,NUTS,2010,AT,0,269.832
2005,NUTS,2010,AT,0,313.916
2006,NUTS,2010,AT,0,330.232
2007,NUTS,2010,AT,0,367.3
2008,NUTS,2010,AT,0,403.21
2009,NUTS,2010,AT,0,399.093
2010,NUTS,2010,AT,0,422.417
2011,NUTS,2010,AT,0,425.222
2012,NUTS,2010,AT,0,425.148
2013,NUTS,2010,AT,0,424.885
2014,NUTS,2010,AT,0,467.541
2015,NUTS,2010,AT,0,481.113
2016,NUTS,2010,AT,0,789.63
2017,NUTS,2010,AT,0,806.604
2018,NUTS,2010,AT,0,851.05
2019,NUTS,2010,AT,0,913.295
2020,NUTS,2010,AT,0,887.51
1981,NUTS,2010,AT1,1,41.782
1985,NUTS,2010,AT1,1,61.629
1989,NUTS,2010,AT1,1,82.159
1993,NUTS,2010,AT1,1,144.895
1998,NUTS,2010,AT1,1,151.967
2002,NUTS,2010,AT1,1,181.581
2004,NUTS,2010,AT1,1,174.765
2011,NUTS,2010,AT1,1,283.799
2013,NUTS,2010,AT1,1,268.611
2019,NUTS,2010,AT1,1,652.452
1981,NUTS,2010,AT11,2,1.041
1985,NUTS,2010,AT11,2,1.531
1989,NUTS,2010,AT11,2,1.719
1993,NUTS,2010,AT11,2,2.161
1998,NUTS,2010,AT11,2,1.987
2002,NUTS,2010,AT11,2,1.98
2004,NUTS,2010,AT11,2,2.892
2011,NUTS,2010,AT11,2,2.706
2013,NUTS,2010,AT11,2,3.03
1981,NUTS,2010,AT12,2,4.497
1985,NUTS,2010,AT12,2,6.844
1989,NUTS,2010,AT12,2,9.199
1993,NUTS,2010,AT12,2,11.181
1998,NUTS,2010,AT12,2,13.905
2002,NUTS,2010,AT12,2,13.416
2004,NUTS,2010,AT12,2,14.745
2006,NUTS,2010,AT12,2,26.7
2007,NUTS,2010,AT12,2,30.535
2009,NUTS,2010,AT12,2,37.563
2011,NUTS,2010,AT12,2,38.169
2013,NUTS,2010,AT12,2,42.302
2015,NUTS,2010,AT12,2,77.701
2017,NUTS,2010,AT12,2,104.208
1981,NUTS,2010,AT13,2,36.244
1985,NUTS,2010,AT13,2,53.255
1989,NUTS,2010,AT13,2,71.317
1993,NUTS,2010,AT13,2,131.542
1998,NUTS,2010,AT13,2,136.075
2002,NUTS,2010,AT13,2,166.185
2004,NUTS,2010,AT13,2,157.128
2006,NUTS,2010,AT13,2,191.308
2007,NUTS,2010,AT13,2,214.972
2009,NUTS,2010,AT13,2,228.902
2011,NUTS,2010,AT13,2,242.924
2013,NUTS,2010,AT13,2,223.279
2015,NUTS,2010,AT13,2,239.045
2017,NUTS,2010,AT13,2,467.627
2019,NUTS,2010,AT13,2,526.81
1981,NUTS,2010,AT2,1,10.657
1985,NUTS,2010,AT2,1,13.811
1989,NUTS,2010,AT2,1,15.924
1993,NUTS,2010,AT2,1,22.2
1998,NUTS,2010,AT2,1,28.804
2002,NUTS,2010,AT2,1,41.584
2004,NUTS,2010,AT2,1,46.345
2006,NUTS,2010,AT2,1,61.335
2015,NUTS,2010,AT2,1,67.921
2019,NUTS,2010,AT2,1,128.1
1981,NUTS,2010,AT21,2,2.61
1985,NUTS,2010,AT21,2,2.877
1989,NUTS,2010,AT21,2,4.458
1993,NUTS,2010,AT21,2,6.161
1998,NUTS,2010,AT21,2,7.946
2002,NUTS,2010,AT21,2,7.271
2004,NUTS,2010,AT21,2,9.45
2006,NUTS,2010,AT21,2,10.925
2011,NUTS,2010,AT21,2,11.492
1981,NUTS,2010,AT22,2,8.047
1985,NUTS,2010,AT22,2,10.934
1989,NUTS,2010,AT22,2,11.466
1993,NUTS,2010,AT22,2,16.039
1998,NUTS,2010,AT22,2,21.851
2002,NUTS,2010,AT22,2,34.313
2004,NUTS,2010,AT22,2,36.895
2006,NUTS,2010,AT22,2,50.41
2009,NUTS,2010,AT22,2,52.125
1981,NUTS,2010,AT3,1,10.393
1985,NUTS,2010,AT3,1,16.81
1989,NUTS,2010,AT3,1,19.56
1993,NUTS,2010,AT3,1,31.946
1998,NUTS,2010,AT3,1,36.75
2002,NUTS,2010,AT3,1,43.263
2004,NUTS,2010,AT3,1,48.722
2007,NUTS,2010,AT3,1,56.661
2019,NUTS,2010,AT3,1,132.743
1981,NUTS,2010,AT31,2,4.07
1985,NUTS,2010,AT31,2,6.395
1989,NUTS,2010,AT31,2,6.866
1993,NUTS,2010,AT31,2,9.575
1998,NUTS,2010,AT31,2,13.905
2002,NUTS,2010,AT31,2,13.339
2004,NUTS,2010,AT31,2,14.234
2006,NUTS,2010,AT31,2,15.638
2007,NUTS,2010,AT31,2,16.365
2009,NUTS,2010,AT31,2,17.78
2011,NUTS,2010,AT31,2,16.994
2013,NUTS,2010,AT31,2,17.502
2015,NUTS,2010,AT31,2,21.394
2017,NUTS,2010,AT31,2,37.998
2019,NUTS,2010,AT31,2,51.374
1981,NUTS,2010,AT32,2,1.585
1985,NUTS,2010,AT32,2,1.918
1989,NUTS,2010,AT32,2,1.993
1993,NUTS,2010,AT32,2,5.101
1998,NUTS,2010,AT32,2,6.953
2002,NUTS,2010,AT32,2,8.537
2004,NUTS,2010,AT32,2,9.953
2006,NUTS,2010,AT32,2,10.509
2009,NUTS,2010,AT32,2,14.502
2015,NUTS,2010,AT32,2,28.423
2017,NUTS,2010,AT32,2,26.449
2019,NUTS,2010,AT32,2,28.564
1981,NUTS,2010,AT33,2,3.589
1985,NUTS,2010,AT33,2,6.202
1989,NUTS,2010,AT33,2,8.651
1993,NUTS,2010,AT33,2,14.039
1998,NUTS,2010,AT33,2,13.905
2002,NUTS,2010,AT33,2,14.224
2004,NUTS,2010,AT33,2,15.685
2006,NUTS,2010,AT33,2,15.122
2011,NUTS,2010,AT33,2,23.723
2013,NUTS,2010,AT33,2,27.06
2019,NUTS,2010,AT33,2,39.603
1981,NUTS,2010,AT34,2,1.142
1985,NUTS,2010,AT34,2,2.305
1989,NUTS,2010,AT34,2,1.993
1993,NUTS,2010,AT34,2,3.242
1998,NUTS,2010,AT34,2,2.98
2002,NUTS,2010,AT34,2,7.163
2004,NUTS,2010,AT34,2,8.85
2011,NUTS,2010,AT34,2,9.925
2013,NUTS,2010,AT34,2,11.406
2015,NUTS,2010,AT34,2,12.883
2017,NUTS,2010,AT34,2,12.694
2019,NUTS,2010,AT34,2,13.202
1993,NUTS,2010,ATZ,1,7.575
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
