year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_total_fte_gov
1985,NUTS,2010,BE,0,1410.0
1986,NUTS,2010,BE,0,1409.0
1987,NUTS,2010,BE,0,1398.0
1988,NUTS,2010,BE,0,1388.0
1989,NUTS,2010,BE,0,3120.0
1991,NUTS,2010,BE,0,2611.0
1993,NUTS,2010,BE,0,2318.0
1994,NUTS,2010,BE,0,2345.0
1995,NUTS,2010,BE,0,2339.0
1996,NUTS,2010,BE,0,2659.0
1997,NUTS,2010,BE,0,2807.0
1998,NUTS,2010,BE,0,2886.0
1999,NUTS,2010,BE,0,3132.0
2000,NUTS,2010,BE,0,3493.0
2001,NUTS,2010,BE,0,3678.0
2002,NUTS,2010,BE,0,3687.0
2003,NUTS,2010,BE,0,3757.0
2004,NUTS,2010,BE,0,3484.0
2005,NUTS,2010,BE,0,3589.0
2006,NUTS,2010,BE,0,3698.0
2007,NUTS,2010,BE,0,3844.0
2008,NUTS,2010,BE,0,4326.0
2009,NUTS,2010,BE,0,4591.0
2010,NUTS,2010,BE,0,4404.0
2011,NUTS,2010,BE,0,4573.0
2012,NUTS,2010,BE,0,5818.0
2013,NUTS,2010,BE,0,5932.0
2014,NUTS,2010,BE,0,6381.0
2015,NUTS,2010,BE,0,6470.0
2016,NUTS,2010,BE,0,6653.0
2017,NUTS,2010,BE,0,6946.0
2018,NUTS,2010,BE,0,7530.0
2019,NUTS,2010,BE,0,7770.0
2020,NUTS,2010,BE,0,8336.0
1993,NUTS,2010,BE1,1,756.0
1994,NUTS,2010,BE1,1,744.0
1995,NUTS,2010,BE1,1,740.0
1996,NUTS,2010,BE1,1,764.0
1997,NUTS,2010,BE1,1,798.0
1998,NUTS,2010,BE1,1,675.0
1999,NUTS,2010,BE1,1,787.0
2000,NUTS,2010,BE1,1,813.0
2001,NUTS,2010,BE1,1,829.0
2002,NUTS,2010,BE1,1,891.0
2003,NUTS,2010,BE1,1,898.0
2004,NUTS,2010,BE1,1,937.0
2005,NUTS,2010,BE1,1,954.0
2006,NUTS,2010,BE1,1,996.0
2007,NUTS,2010,BE1,1,1013.0
2008,NUTS,2010,BE1,1,1034.0
2009,NUTS,2010,BE1,1,1045.0
2010,NUTS,2010,BE1,1,1090.0
2011,NUTS,2010,BE1,1,1096.0
2012,NUTS,2010,BE1,1,1740.0
2013,NUTS,2010,BE1,1,1745.0
2014,NUTS,2010,BE1,1,1547.0
2015,NUTS,2010,BE1,1,1675.0
2016,NUTS,2010,BE1,1,1765.0
2017,NUTS,2010,BE1,1,1782.0
2018,NUTS,2010,BE1,1,1913.0
2019,NUTS,2010,BE1,1,1911.0
1993,NUTS,2010,BE10,2,756.0
1994,NUTS,2010,BE10,2,744.0
1995,NUTS,2010,BE10,2,740.0
1996,NUTS,2010,BE10,2,764.0
1997,NUTS,2010,BE10,2,798.0
1998,NUTS,2010,BE10,2,675.0
1999,NUTS,2010,BE10,2,787.0
2000,NUTS,2010,BE10,2,813.0
2001,NUTS,2010,BE10,2,829.0
2002,NUTS,2010,BE10,2,891.0
2003,NUTS,2010,BE10,2,898.0
2004,NUTS,2010,BE10,2,937.0
2005,NUTS,2010,BE10,2,954.0
2006,NUTS,2010,BE10,2,996.0
2007,NUTS,2010,BE10,2,1013.0
2008,NUTS,2010,BE10,2,1034.0
2009,NUTS,2010,BE10,2,1045.0
2010,NUTS,2010,BE10,2,1090.0
2011,NUTS,2010,BE10,2,1096.0
2012,NUTS,2010,BE10,2,1740.0
2013,NUTS,2010,BE10,2,1745.0
2014,NUTS,2010,BE10,2,1547.0
2015,NUTS,2010,BE10,2,1675.0
2016,NUTS,2010,BE10,2,1765.0
2017,NUTS,2010,BE10,2,1782.0
2018,NUTS,2010,BE10,2,1913.0
2019,NUTS,2010,BE10,2,1911.0
1993,NUTS,2010,BE2,1,843.0
1994,NUTS,2010,BE2,1,859.0
1995,NUTS,2010,BE2,1,874.0
1996,NUTS,2010,BE2,1,868.0
1997,NUTS,2010,BE2,1,909.0
1998,NUTS,2010,BE2,1,1768.0
1999,NUTS,2010,BE2,1,1895.0
2000,NUTS,2010,BE2,1,2231.0
2001,NUTS,2010,BE2,1,2400.0
2002,NUTS,2010,BE2,1,2351.0
2003,NUTS,2010,BE2,1,2415.0
2004,NUTS,2010,BE2,1,2388.0
2005,NUTS,2010,BE2,1,2471.0
2006,NUTS,2010,BE2,1,2541.0
2007,NUTS,2010,BE2,1,2669.0
2008,NUTS,2010,BE2,1,2754.0
2009,NUTS,2010,BE2,1,2989.0
2010,NUTS,2010,BE2,1,3053.0
2011,NUTS,2010,BE2,1,3156.0
2012,NUTS,2010,BE2,1,3732.0
2013,NUTS,2010,BE2,1,3842.0
2014,NUTS,2010,BE2,1,4272.0
2015,NUTS,2010,BE2,1,4239.0
2016,NUTS,2010,BE2,1,4471.0
2017,NUTS,2010,BE2,1,4748.0
2018,NUTS,2010,BE2,1,5195.0
2019,NUTS,2010,BE2,1,5417.0
1993,NUTS,2010,BE3,1,420.0
1994,NUTS,2010,BE3,1,423.0
1995,NUTS,2010,BE3,1,406.0
1996,NUTS,2010,BE3,1,439.0
1997,NUTS,2010,BE3,1,438.0
1998,NUTS,2010,BE3,1,443.0
1999,NUTS,2010,BE3,1,450.0
2000,NUTS,2010,BE3,1,449.0
2001,NUTS,2010,BE3,1,449.0
2002,NUTS,2010,BE3,1,445.0
2003,NUTS,2010,BE3,1,444.0
2004,NUTS,2010,BE3,1,158.0
2005,NUTS,2010,BE3,1,164.0
2006,NUTS,2010,BE3,1,162.0
2007,NUTS,2010,BE3,1,162.0
2008,NUTS,2010,BE3,1,538.0
2009,NUTS,2010,BE3,1,558.0
2010,NUTS,2010,BE3,1,261.0
2011,NUTS,2010,BE3,1,322.0
2012,NUTS,2010,BE3,1,346.0
2013,NUTS,2010,BE3,1,344.0
2014,NUTS,2010,BE3,1,562.0
2015,NUTS,2010,BE3,1,556.0
2016,NUTS,2010,BE3,1,417.0
2017,NUTS,2010,BE3,1,416.0
2018,NUTS,2010,BE3,1,422.0
2019,NUTS,2010,BE3,1,442.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1993,NUTS,2010,BG,0,17998.0
1994,NUTS,2010,BG,0,13726.0
1995,NUTS,2010,BG,0,13802.0
1996,NUTS,2010,BG,0,15272.0
1997,NUTS,2010,BG,0,11861.0
1998,NUTS,2010,BG,0,12518.0
1999,NUTS,2010,BG,0,10728.0
2000,NUTS,2010,BG,0,10662.0
2001,NUTS,2010,BG,0,10427.0
2002,NUTS,2010,BG,0,10488.0
2003,NUTS,2010,BG,0,10417.0
2004,NUTS,2010,BG,0,10384.0
2005,NUTS,2010,BG,0,10172.0
2006,NUTS,2010,BG,0,10255.0
2007,NUTS,2010,BG,0,10124.0
2008,NUTS,2010,BG,0,9770.0
2009,NUTS,2010,BG,0,9467.0
2010,NUTS,2010,BG,0,9346.0
2011,NUTS,2010,BG,0,9238.0
2012,NUTS,2010,BG,0,9273.0
2013,NUTS,2010,BG,0,8990.0
2014,NUTS,2010,BG,0,8711.0
2015,NUTS,2010,BG,0,8328.0
2016,NUTS,2010,BG,0,8047.0
2017,NUTS,2010,BG,0,7990.0
2018,NUTS,2010,BG,0,8177.0
2019,NUTS,2010,BG,0,8307.0
2020,NUTS,2010,BG,0,8210.0
2002,NUTS,2010,BG3,1,1389.0
2003,NUTS,2010,BG3,1,1391.0
2004,NUTS,2010,BG3,1,1395.0
2005,NUTS,2010,BG3,1,1378.0
2006,NUTS,2010,BG3,1,1487.0
2007,NUTS,2010,BG3,1,1474.0
2009,NUTS,2010,BG3,1,1338.0
2010,NUTS,2010,BG3,1,1500.0
2011,NUTS,2010,BG3,1,1403.0
2012,NUTS,2010,BG3,1,1541.0
2013,NUTS,2010,BG3,1,1470.0
2014,NUTS,2010,BG3,1,1424.0
2015,NUTS,2010,BG3,1,1270.0
2016,NUTS,2010,BG3,1,1246.0
2017,NUTS,2010,BG3,1,1257.0
2018,NUTS,2010,BG3,1,1393.0
2019,NUTS,2010,BG3,1,1438.0
2002,NUTS,2010,BG31,2,418.0
2003,NUTS,2010,BG31,2,444.0
2004,NUTS,2010,BG31,2,394.0
2005,NUTS,2010,BG31,2,427.0
2006,NUTS,2010,BG31,2,432.0
2007,NUTS,2010,BG31,2,412.0
2009,NUTS,2010,BG31,2,365.0
2010,NUTS,2010,BG31,2,440.0
2011,NUTS,2010,BG31,2,430.0
2012,NUTS,2010,BG31,2,491.0
2013,NUTS,2010,BG31,2,504.0
2014,NUTS,2010,BG31,2,488.0
2015,NUTS,2010,BG31,2,450.0
2016,NUTS,2010,BG31,2,432.0
2018,NUTS,2010,BG31,2,468.0
2019,NUTS,2010,BG31,2,460.0
2002,NUTS,2010,BG32,2,132.0
2003,NUTS,2010,BG32,2,137.0
2004,NUTS,2010,BG32,2,158.0
2005,NUTS,2010,BG32,2,150.0
2006,NUTS,2010,BG32,2,153.0
2007,NUTS,2010,BG32,2,153.0
2008,NUTS,2010,BG32,2,145.0
2009,NUTS,2010,BG32,2,143.0
2010,NUTS,2010,BG32,2,128.0
2011,NUTS,2010,BG32,2,101.0
2012,NUTS,2010,BG32,2,133.0
2013,NUTS,2010,BG32,2,130.0
2014,NUTS,2010,BG32,2,127.0
2015,NUTS,2010,BG32,2,83.0
2016,NUTS,2010,BG32,2,71.0
2017,NUTS,2010,BG32,2,70.0
2018,NUTS,2010,BG32,2,69.0
2019,NUTS,2010,BG32,2,80.0
2002,NUTS,2010,BG33,2,588.0
2003,NUTS,2010,BG33,2,579.0
2004,NUTS,2010,BG33,2,592.0
2005,NUTS,2010,BG33,2,631.0
2006,NUTS,2010,BG33,2,603.0
2007,NUTS,2010,BG33,2,602.0
2008,NUTS,2010,BG33,2,580.0
2009,NUTS,2010,BG33,2,553.0
2010,NUTS,2010,BG33,2,647.0
2011,NUTS,2010,BG33,2,582.0
2012,NUTS,2010,BG33,2,617.0
2013,NUTS,2010,BG33,2,558.0
2014,NUTS,2010,BG33,2,552.0
2015,NUTS,2010,BG33,2,495.0
2016,NUTS,2010,BG33,2,503.0
2017,NUTS,2010,BG33,2,492.0
2018,NUTS,2010,BG33,2,570.0
2019,NUTS,2010,BG33,2,585.0
2002,NUTS,2010,BG34,2,251.0
2003,NUTS,2010,BG34,2,231.0
2004,NUTS,2010,BG34,2,251.0
2005,NUTS,2010,BG34,2,170.0
2006,NUTS,2010,BG34,2,299.0
2007,NUTS,2010,BG34,2,307.0
2008,NUTS,2010,BG34,2,301.0
2009,NUTS,2010,BG34,2,277.0
2010,NUTS,2010,BG34,2,285.0
2011,NUTS,2010,BG34,2,290.0
2012,NUTS,2010,BG34,2,300.0
2013,NUTS,2010,BG34,2,278.0
2014,NUTS,2010,BG34,2,257.0
2015,NUTS,2010,BG34,2,242.0
2016,NUTS,2010,BG34,2,240.0
2018,NUTS,2010,BG34,2,286.0
2019,NUTS,2010,BG34,2,313.0
2002,NUTS,2010,BG4,1,9099.0
2003,NUTS,2010,BG4,1,9026.0
2004,NUTS,2010,BG4,1,8989.0
2005,NUTS,2010,BG4,1,8794.0
2006,NUTS,2010,BG4,1,8768.0
2007,NUTS,2010,BG4,1,8650.0
2009,NUTS,2010,BG4,1,8129.0
2010,NUTS,2010,BG4,1,7846.0
2011,NUTS,2010,BG4,1,7835.0
2012,NUTS,2010,BG4,1,7732.0
2013,NUTS,2010,BG4,1,7520.0
2014,NUTS,2010,BG4,1,7287.0
2015,NUTS,2010,BG4,1,7058.0
2016,NUTS,2010,BG4,1,6801.0
2017,NUTS,2010,BG4,1,6733.0
2018,NUTS,2010,BG4,1,6784.0
2019,NUTS,2010,BG4,1,6869.0
1999,NUTS,2010,BG41,2,8886.0
2000,NUTS,2010,BG41,2,8845.0
2002,NUTS,2010,BG41,2,8555.0
2003,NUTS,2010,BG41,2,8567.0
2005,NUTS,2010,BG41,2,8244.0
2006,NUTS,2010,BG41,2,8227.0
2007,NUTS,2010,BG41,2,8118.0
2008,NUTS,2010,BG41,2,7896.0
2009,NUTS,2010,BG41,2,7674.0
2010,NUTS,2010,BG41,2,7257.0
2011,NUTS,2010,BG41,2,7306.0
2012,NUTS,2010,BG41,2,7192.0
2013,NUTS,2010,BG41,2,6982.0
2014,NUTS,2010,BG41,2,6743.0
2015,NUTS,2010,BG41,2,6559.0
2016,NUTS,2010,BG41,2,6329.0
2017,NUTS,2010,BG41,2,6252.0
2018,NUTS,2010,BG41,2,6266.0
2019,NUTS,2010,BG41,2,6302.0
2002,NUTS,2010,BG42,2,544.0
2003,NUTS,2010,BG42,2,459.0
2005,NUTS,2010,BG42,2,550.0
2006,NUTS,2010,BG42,2,541.0
2007,NUTS,2010,BG42,2,532.0
2009,NUTS,2010,BG42,2,455.0
2010,NUTS,2010,BG42,2,589.0
2011,NUTS,2010,BG42,2,529.0
2012,NUTS,2010,BG42,2,540.0
2013,NUTS,2010,BG42,2,538.0
2014,NUTS,2010,BG42,2,544.0
2015,NUTS,2010,BG42,2,499.0
2016,NUTS,2010,BG42,2,472.0
2017,NUTS,2010,BG42,2,481.0
2018,NUTS,2010,BG42,2,518.0
2019,NUTS,2010,BG42,2,567.0
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1981,NUTS,2010,CH,0,2466.0
1986,NUTS,2010,CH,0,2900.0
1988,NUTS,2010,CH,0,1900.0
1989,NUTS,2010,CH,0,2000.0
1990,NUTS,2010,CH,0,1850.0
1991,NUTS,2010,CH,0,1850.0
1992,NUTS,2010,CH,0,1770.0
1994,NUTS,2010,CH,0,1600.0
1996,NUTS,2010,CH,0,1385.0
1998,NUTS,2010,CH,0,1114.0
2000,NUTS,2010,CH,0,895.0
2002,NUTS,2010,CH,0,805.0
2004,NUTS,2010,CH,0,810.0
2006,NUTS,2010,CH,0,800.0
2008,NUTS,2010,CH,0,809.0
2010,NUTS,2010,CH,0,719.0
2012,NUTS,2010,CH,0,781.0
2014,NUTS,2010,CH,0,897.0
2015,NUTS,2010,CH,0,909.0
2017,NUTS,2010,CH,0,875.0
2019,NUTS,2010,CH,0,1041.0
1991,NUTS,2010,CN_X_HK,5,275700.0
1992,NUTS,2010,CN_X_HK,5,284300.0
1993,NUTS,2010,CN_X_HK,5,260800.0
1994,NUTS,2010,CN_X_HK,5,257900.0
1995,NUTS,2010,CN_X_HK,5,245800.0
1996,NUTS,2010,CN_X_HK,5,232000.0
1997,NUTS,2010,CN_X_HK,5,255300.0
1998,NUTS,2010,CN_X_HK,5,227700.0
1999,NUTS,2010,CN_X_HK,5,234200.0
2000,NUTS,2010,CN_X_HK,5,282094.0
2001,NUTS,2010,CN_X_HK,5,253242.0
2002,NUTS,2010,CN_X_HK,5,252354.0
2003,NUTS,2010,CN_X_HK,5,249477.0
2004,NUTS,2010,CN_X_HK,5,243702.0
2005,NUTS,2010,CN_X_HK,5,254506.0
2006,NUTS,2010,CN_X_HK,5,272133.0
2007,NUTS,2010,CN_X_HK,5,295503.0
2008,NUTS,2010,CN_X_HK,5,302601.0
2009,NUTS,2010,CN_X_HK,5,368607.0
2010,NUTS,2010,CN_X_HK,5,390245.0
2011,NUTS,2010,CN_X_HK,5,414316.0
2012,NUTS,2010,CN_X_HK,5,446920.0
2013,NUTS,2010,CN_X_HK,5,467313.0
2014,NUTS,2010,CN_X_HK,5,479435.0
2015,NUTS,2010,CN_X_HK,5,493200.0
2016,NUTS,2010,CN_X_HK,5,505927.0
2017,NUTS,2010,CN_X_HK,5,531629.0
2018,NUTS,2010,CN_X_HK,5,545771.0
2019,NUTS,2010,CN_X_HK,5,566858.0
1991,NUTS,2010,CY,0,287.0
1992,NUTS,2010,CY,0,307.0
1998,NUTS,2010,CY,0,346.0
1999,NUTS,2010,CY,0,373.0
2000,NUTS,2010,CY,0,348.0
2001,NUTS,2010,CY,0,354.0
2002,NUTS,2010,CY,0,376.0
2003,NUTS,2010,CY,0,370.0
2004,NUTS,2010,CY,0,352.0
2005,NUTS,2010,CY,0,366.0
2006,NUTS,2010,CY,0,353.0
2007,NUTS,2010,CY,0,326.0
2008,NUTS,2010,CY,0,284.0
2009,NUTS,2010,CY,0,256.0
2010,NUTS,2010,CY,0,275.0
2011,NUTS,2010,CY,0,253.0
2012,NUTS,2010,CY,0,248.0
2013,NUTS,2010,CY,0,230.0
2014,NUTS,2010,CY,0,217.0
2015,NUTS,2010,CY,0,228.0
2016,NUTS,2010,CY,0,235.0
2017,NUTS,2010,CY,0,246.0
2018,NUTS,2010,CY,0,235.0
2019,NUTS,2010,CY,0,244.0
2020,NUTS,2010,CY,0,245.0
1995,NUTS,2010,CZ,0,7643.0
1996,NUTS,2010,CZ,0,7906.0
1997,NUTS,2010,CZ,0,7751.0
1998,NUTS,2010,CZ,0,7390.0
1999,NUTS,2010,CZ,0,6963.0
2000,NUTS,2010,CZ,0,7148.0
2001,NUTS,2010,CZ,0,7773.0
2002,NUTS,2010,CZ,0,7351.0
2003,NUTS,2010,CZ,0,7977.0
2004,NUTS,2010,CZ,0,7658.0
2005,NUTS,2010,CZ,0,11054.0
2006,NUTS,2010,CZ,0,11473.0
2007,NUTS,2010,CZ,0,11763.0
2008,NUTS,2010,CZ,0,11700.0
2009,NUTS,2010,CZ,0,11518.0
2010,NUTS,2010,CZ,0,11384.0
2011,NUTS,2010,CZ,0,11627.0
2012,NUTS,2010,CZ,0,11864.0
2013,NUTS,2010,CZ,0,12275.0
2014,NUTS,2010,CZ,0,12380.0
2015,NUTS,2010,CZ,0,12953.0
2016,NUTS,2010,CZ,0,13099.0
2017,NUTS,2010,CZ,0,13689.0
2018,NUTS,2010,CZ,0,14163.0
2019,NUTS,2010,CZ,0,14530.0
2020,NUTS,2010,CZ,0,14438.0
1995,NUTS,2010,CZ0,1,7643.0
1996,NUTS,2010,CZ0,1,7906.0
1997,NUTS,2010,CZ0,1,7751.0
1998,NUTS,2010,CZ0,1,7390.0
1999,NUTS,2010,CZ0,1,6963.0
2000,NUTS,2010,CZ0,1,7148.0
2001,NUTS,2010,CZ0,1,7773.0
2002,NUTS,2010,CZ0,1,7351.0
2003,NUTS,2010,CZ0,1,7977.0
2004,NUTS,2010,CZ0,1,7658.0
2005,NUTS,2010,CZ0,1,11054.0
2006,NUTS,2010,CZ0,1,11473.0
2007,NUTS,2010,CZ0,1,11763.0
2008,NUTS,2010,CZ0,1,11700.0
2009,NUTS,2010,CZ0,1,11518.0
2010,NUTS,2010,CZ0,1,11384.0
2011,NUTS,2010,CZ0,1,11627.0
2012,NUTS,2010,CZ0,1,11864.0
2013,NUTS,2010,CZ0,1,12275.0
2014,NUTS,2010,CZ0,1,12380.0
2015,NUTS,2010,CZ0,1,12953.0
