year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_nac_pnp
1981,NUTS,2010,AT,0,20.835
1985,NUTS,2010,AT,0,24.694
1989,NUTS,2010,AT,0,26.257
1993,NUTS,2010,AT,0,6.032
1998,NUTS,2010,AT,0,10.486
2002,NUTS,2010,AT,0,20.897
2004,NUTS,2010,AT,0,21.586
2005,NUTS,2010,AT,0,17.888
2006,NUTS,2010,AT,0,16.519
2007,NUTS,2010,AT,0,17.377
2008,NUTS,2010,AT,0,27.67
2009,NUTS,2010,AT,0,35.905
2010,NUTS,2010,AT,0,39.204
2011,NUTS,2010,AT,0,40.719
2012,NUTS,2010,AT,0,40.61
2013,NUTS,2010,AT,0,40.223
2014,NUTS,2010,AT,0,48.655
2015,NUTS,2010,AT,0,51.338
2016,NUTS,2010,AT,0,54.5
2017,NUTS,2010,AT,0,61.551
2018,NUTS,2010,AT,0,64.94
2019,NUTS,2010,AT,0,67.384
2020,NUTS,2010,AT,0,67.3
1981,NUTS,2010,AT1,1,21.28
1985,NUTS,2010,AT1,1,21.8
1989,NUTS,2010,AT1,1,21.22
1993,NUTS,2010,AT1,1,5.11
1998,NUTS,2010,AT1,1,8.0
2006,NUTS,2010,AT1,1,15.173
2007,NUTS,2010,AT1,1,15.511
2009,NUTS,2010,AT1,1,35.135
2011,NUTS,2010,AT1,1,37.583
2013,NUTS,2010,AT1,1,37.74
2015,NUTS,2010,AT1,1,47.715
2017,NUTS,2010,AT1,1,57.339
2019,NUTS,2010,AT1,1,62.044
1981,NUTS,2010,AT11,2,0.17
1985,NUTS,2010,AT11,2,0.07
1989,NUTS,2010,AT11,2,0.15
2006,NUTS,2010,AT11,2,0.0
2007,NUTS,2010,AT11,2,0.0
2009,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
1981,NUTS,2010,AT12,2,0.68
1985,NUTS,2010,AT12,2,0.8
1989,NUTS,2010,AT12,2,0.65
1993,NUTS,2010,AT12,2,0.17
1998,NUTS,2010,AT12,2,1.0
2002,NUTS,2010,AT12,2,0.597
2004,NUTS,2010,AT12,2,0.453
2006,NUTS,2010,AT12,2,0.808
2007,NUTS,2010,AT12,2,0.816
2009,NUTS,2010,AT12,2,13.457
2011,NUTS,2010,AT12,2,16.884
2013,NUTS,2010,AT12,2,17.335
2015,NUTS,2010,AT12,2,21.024
2017,NUTS,2010,AT12,2,25.243
1981,NUTS,2010,AT13,2,20.43
1985,NUTS,2010,AT13,2,20.93
1989,NUTS,2010,AT13,2,20.42
1993,NUTS,2010,AT13,2,4.95
1998,NUTS,2010,AT13,2,8.0
2002,NUTS,2010,AT13,2,16.701
2004,NUTS,2010,AT13,2,17.854
2006,NUTS,2010,AT13,2,14.365
2007,NUTS,2010,AT13,2,14.695
2009,NUTS,2010,AT13,2,21.678
2011,NUTS,2010,AT13,2,20.699
2013,NUTS,2010,AT13,2,20.405
2015,NUTS,2010,AT13,2,26.691
2017,NUTS,2010,AT13,2,32.096
2019,NUTS,2010,AT13,2,35.95
1981,NUTS,2010,AT2,1,0.93
1985,NUTS,2010,AT2,1,0.44
1989,NUTS,2010,AT2,1,0.94
1993,NUTS,2010,AT2,1,0.58
2006,NUTS,2010,AT2,1,0.409
2019,NUTS,2010,AT2,1,0.781
1981,NUTS,2010,AT21,2,0.14
1985,NUTS,2010,AT21,2,0.15
1989,NUTS,2010,AT21,2,0.15
1993,NUTS,2010,AT21,2,0.11
2006,NUTS,2010,AT21,2,0.0
2011,NUTS,2010,AT21,2,0.473
1981,NUTS,2010,AT22,2,0.79
1985,NUTS,2010,AT22,2,0.29
1989,NUTS,2010,AT22,2,0.8
1993,NUTS,2010,AT22,2,0.46
2002,NUTS,2010,AT22,2,0.691
2004,NUTS,2010,AT22,2,1.073
2006,NUTS,2010,AT22,2,0.409
2009,NUTS,2010,AT22,2,0.0
1981,NUTS,2010,AT3,1,4.04
1985,NUTS,2010,AT3,1,2.47
1989,NUTS,2010,AT3,1,4.07
1993,NUTS,2010,AT3,1,0.34
1998,NUTS,2010,AT3,1,2.0
2002,NUTS,2010,AT3,1,2.671
2004,NUTS,2010,AT3,1,2.206
2006,NUTS,2010,AT3,1,0.937
2007,NUTS,2010,AT3,1,1.775
2019,NUTS,2010,AT3,1,4.559
1981,NUTS,2010,AT31,2,1.45
1985,NUTS,2010,AT31,2,0.58
1989,NUTS,2010,AT31,2,1.45
1993,NUTS,2010,AT31,2,0.14
1998,NUTS,2010,AT31,2,1.0
2002,NUTS,2010,AT31,2,0.452
2004,NUTS,2010,AT31,2,0.388
2006,NUTS,2010,AT31,2,0.618
2009,NUTS,2010,AT31,2,0.54
2011,NUTS,2010,AT31,2,1.145
2013,NUTS,2010,AT31,2,1.171
2015,NUTS,2010,AT31,2,0.738
2017,NUTS,2010,AT31,2,0.894
2019,NUTS,2010,AT31,2,1.439
1981,NUTS,2010,AT32,2,0.78
1985,NUTS,2010,AT32,2,0.87
1989,NUTS,2010,AT32,2,0.8
1993,NUTS,2010,AT32,2,0.2
2006,NUTS,2010,AT32,2,0.0
2009,NUTS,2010,AT32,2,0.0
2015,NUTS,2010,AT32,2,1.976
2017,NUTS,2010,AT32,2,2.699
2019,NUTS,2010,AT32,2,2.571
1981,NUTS,2010,AT33,2,1.81
1985,NUTS,2010,AT33,2,1.02
1989,NUTS,2010,AT33,2,1.82
1998,NUTS,2010,AT33,2,1.0
2002,NUTS,2010,AT33,2,2.02
2004,NUTS,2010,AT33,2,1.515
2006,NUTS,2010,AT33,2,0.319
2011,NUTS,2010,AT33,2,0.182
2013,NUTS,2010,AT33,2,0.173
2019,NUTS,2010,AT33,2,0.549
1981,NUTS,2010,AT34,2,0.02
2006,NUTS,2010,AT34,2,0.0
2007,NUTS,2010,AT34,2,0.204
2009,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,0.17
2013,NUTS,2010,BA,0,0.106
2014,NUTS,2010,BA,0,1.01
2019,NUTS,2010,BA,0,0.033
1983,NUTS,2010,BE,0,76.05
1984,NUTS,2010,BE,0,77.93
1985,NUTS,2010,BE,0,85.76
1986,NUTS,2010,BE,0,83.95
1987,NUTS,2010,BE,0,83.2
1988,NUTS,2010,BE,0,84.21
1989,NUTS,2010,BE,0,30.68
1991,NUTS,2010,BE,0,32.52
1993,NUTS,2010,BE,0,44.06
1994,NUTS,2010,BE,0,48.93
1995,NUTS,2010,BE,0,48.37
1996,NUTS,2010,BE,0,50.99
1997,NUTS,2010,BE,0,52.2
1998,NUTS,2010,BE,0,53.53
1999,NUTS,2010,BE,0,54.521
2000,NUTS,2010,BE,0,58.47
2001,NUTS,2010,BE,0,61.926
2002,NUTS,2010,BE,0,65.318
2003,NUTS,2010,BE,0,65.092
2004,NUTS,2010,BE,0,77.505
2005,NUTS,2010,BE,0,72.839
2006,NUTS,2010,BE,0,81.886
2007,NUTS,2010,BE,0,79.786
2008,NUTS,2010,BE,0,66.864
2009,NUTS,2010,BE,0,69.154
2010,NUTS,2010,BE,0,68.5
2011,NUTS,2010,BE,0,73.6
2012,NUTS,2010,BE,0,35.218
2013,NUTS,2010,BE,0,34.164
2014,NUTS,2010,BE,0,43.704
2015,NUTS,2010,BE,0,55.596
2016,NUTS,2010,BE,0,66.029
2017,NUTS,2010,BE,0,66.378
2018,NUTS,2010,BE,0,95.348
2019,NUTS,2010,BE,0,113.562
2020,NUTS,2010,BE,0,125.8
1993,NUTS,2010,BE1,1,14.98
1994,NUTS,2010,BE1,1,16.55
1995,NUTS,2010,BE1,1,17.3
