year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_hc_gov_rse
1981,NUTS,2010,AT,0,1277.0
1985,NUTS,2010,AT,0,1225.0
1989,NUTS,2010,AT,0,1268.0
1993,NUTS,2010,AT,0,2025.0
1998,NUTS,2010,AT,0,2290.0
2002,NUTS,2010,AT,0,2368.0
2004,NUTS,2010,AT,0,2315.0
2006,NUTS,2010,AT,0,2789.0
2007,NUTS,2010,AT,0,2783.0
2009,NUTS,2010,AT,0,3145.0
2011,NUTS,2010,AT,0,3337.0
2013,NUTS,2010,AT,0,3472.0
2015,NUTS,2010,AT,0,3747.0
2017,NUTS,2010,AT,0,6598.0
2019,NUTS,2010,AT,0,7037.0
2002,NUTS,2010,AT1,1,1902.0
2004,NUTS,2010,AT1,1,1824.0
2011,NUTS,2010,AT1,1,2530.0
2013,NUTS,2010,AT1,1,2580.0
2019,NUTS,2010,AT1,1,5473.0
2002,NUTS,2010,AT11,2,30.0
2004,NUTS,2010,AT11,2,32.0
2011,NUTS,2010,AT11,2,27.0
2013,NUTS,2010,AT11,2,29.0
2002,NUTS,2010,AT12,2,89.0
2004,NUTS,2010,AT12,2,104.0
2006,NUTS,2010,AT12,2,112.0
2007,NUTS,2010,AT12,2,112.0
2009,NUTS,2010,AT12,2,130.0
2011,NUTS,2010,AT12,2,159.0
2013,NUTS,2010,AT12,2,176.0
2015,NUTS,2010,AT12,2,311.0
2017,NUTS,2010,AT12,2,451.0
2002,NUTS,2010,AT13,2,1783.0
2004,NUTS,2010,AT13,2,1688.0
2006,NUTS,2010,AT13,2,2029.0
2007,NUTS,2010,AT13,2,2072.0
2009,NUTS,2010,AT13,2,2318.0
2011,NUTS,2010,AT13,2,2344.0
2013,NUTS,2010,AT13,2,2375.0
2015,NUTS,2010,AT13,2,2496.0
2017,NUTS,2010,AT13,2,4602.0
2019,NUTS,2010,AT13,2,4999.0
2002,NUTS,2010,AT2,1,175.0
2004,NUTS,2010,AT2,1,213.0
2006,NUTS,2010,AT2,1,248.0
2015,NUTS,2010,AT2,1,249.0
2019,NUTS,2010,AT2,1,676.0
2002,NUTS,2010,AT21,2,43.0
2004,NUTS,2010,AT21,2,55.0
2006,NUTS,2010,AT21,2,62.0
2011,NUTS,2010,AT21,2,57.0
2002,NUTS,2010,AT22,2,132.0
2004,NUTS,2010,AT22,2,158.0
2006,NUTS,2010,AT22,2,186.0
2009,NUTS,2010,AT22,2,200.0
2002,NUTS,2010,AT3,1,291.0
2004,NUTS,2010,AT3,1,278.0
2007,NUTS,2010,AT3,1,340.0
2019,NUTS,2010,AT3,1,888.0
2002,NUTS,2010,AT31,2,81.0
2004,NUTS,2010,AT31,2,80.0
2006,NUTS,2010,AT31,2,141.0
2007,NUTS,2010,AT31,2,130.0
2009,NUTS,2010,AT31,2,128.0
2011,NUTS,2010,AT31,2,143.0
2013,NUTS,2010,AT31,2,120.0
2015,NUTS,2010,AT31,2,156.0
2017,NUTS,2010,AT31,2,330.0
2019,NUTS,2010,AT31,2,321.0
2002,NUTS,2010,AT32,2,119.0
2004,NUTS,2010,AT32,2,95.0
2006,NUTS,2010,AT32,2,116.0
2009,NUTS,2010,AT32,2,166.0
2015,NUTS,2010,AT32,2,316.0
2017,NUTS,2010,AT32,2,294.0
2019,NUTS,2010,AT32,2,301.0
2002,NUTS,2010,AT33,2,55.0
2004,NUTS,2010,AT33,2,63.0
2006,NUTS,2010,AT33,2,79.0
2013,NUTS,2010,AT33,2,100.0
2019,NUTS,2010,AT33,2,194.0
2002,NUTS,2010,AT34,2,36.0
2004,NUTS,2010,AT34,2,40.0
2011,NUTS,2010,AT34,2,55.0
2013,NUTS,2010,AT34,2,53.0
2015,NUTS,2010,AT34,2,65.0
2017,NUTS,2010,AT34,2,69.0
2019,NUTS,2010,AT34,2,72.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,67.0
2013,NUTS,2010,BA,0,97.0
2014,NUTS,2010,BA,0,69.0
2019,NUTS,2010,BA,0,53.0
2002,NUTS,2010,BE,0,2119.0
2003,NUTS,2010,BE,0,2180.0
2004,NUTS,2010,BE,0,2431.0
2005,NUTS,2010,BE,0,2511.0
2006,NUTS,2010,BE,0,2567.0
2007,NUTS,2010,BE,0,2653.0
2008,NUTS,2010,BE,0,3092.0
2009,NUTS,2010,BE,0,3251.0
2010,NUTS,2010,BE,0,3069.0
2011,NUTS,2010,BE,0,3215.0
2012,NUTS,2010,BE,0,3962.0
2013,NUTS,2010,BE,0,4061.0
2014,NUTS,2010,BE,0,4472.0
2015,NUTS,2010,BE,0,4501.0
2016,NUTS,2010,BE,0,4769.0
2017,NUTS,2010,BE,0,4952.0
2018,NUTS,2010,BE,0,5782.0
2019,NUTS,2010,BE,0,6013.0
2002,NUTS,2010,BE1,1,618.0
2003,NUTS,2010,BE1,1,625.0
2004,NUTS,2010,BE1,1,719.0
2005,NUTS,2010,BE1,1,744.0
2006,NUTS,2010,BE1,1,887.0
2007,NUTS,2010,BE1,1,907.0
2008,NUTS,2010,BE1,1,849.0
2009,NUTS,2010,BE1,1,851.0
2010,NUTS,2010,BE1,1,788.0
2011,NUTS,2010,BE1,1,790.0
2012,NUTS,2010,BE1,1,1206.0
2013,NUTS,2010,BE1,1,1231.0
2014,NUTS,2010,BE1,1,1179.0
2015,NUTS,2010,BE1,1,1258.0
2016,NUTS,2010,BE1,1,1339.0
2017,NUTS,2010,BE1,1,1350.0
2018,NUTS,2010,BE1,1,1451.0
2019,NUTS,2010,BE1,1,1503.0
2002,NUTS,2010,BE10,2,618.0
2003,NUTS,2010,BE10,2,625.0
2004,NUTS,2010,BE10,2,719.0
2005,NUTS,2010,BE10,2,744.0
2006,NUTS,2010,BE10,2,887.0
2007,NUTS,2010,BE10,2,907.0
2008,NUTS,2010,BE10,2,849.0
2009,NUTS,2010,BE10,2,851.0
2010,NUTS,2010,BE10,2,788.0
2011,NUTS,2010,BE10,2,790.0
2012,NUTS,2010,BE10,2,1206.0
2013,NUTS,2010,BE10,2,1231.0
2014,NUTS,2010,BE10,2,1179.0
2015,NUTS,2010,BE10,2,1258.0
2016,NUTS,2010,BE10,2,1339.0
2017,NUTS,2010,BE10,2,1350.0
2018,NUTS,2010,BE10,2,1451.0
2019,NUTS,2010,BE10,2,1503.0
2002,NUTS,2010,BE2,1,1345.0
2003,NUTS,2010,BE2,1,1396.0
2004,NUTS,2010,BE2,1,1570.0
2005,NUTS,2010,BE2,1,1621.0
2006,NUTS,2010,BE2,1,1536.0
2007,NUTS,2010,BE2,1,1601.0
2008,NUTS,2010,BE2,1,1944.0
2009,NUTS,2010,BE2,1,2086.0
2010,NUTS,2010,BE2,1,2167.0
2011,NUTS,2010,BE2,1,2243.0
2012,NUTS,2010,BE2,1,2553.0
2013,NUTS,2010,BE2,1,2629.0
2014,NUTS,2010,BE2,1,2973.0
2015,NUTS,2010,BE2,1,2916.0
2016,NUTS,2010,BE2,1,3170.0
2017,NUTS,2010,BE2,1,3342.0
2018,NUTS,2010,BE2,1,4098.0
2019,NUTS,2010,BE2,1,4274.0
2002,NUTS,2010,BE3,1,156.0
2003,NUTS,2010,BE3,1,159.0
2004,NUTS,2010,BE3,1,142.0
2005,NUTS,2010,BE3,1,146.0
2006,NUTS,2010,BE3,1,144.0
2007,NUTS,2010,BE3,1,145.0
2008,NUTS,2010,BE3,1,299.0
2009,NUTS,2010,BE3,1,314.0
2010,NUTS,2010,BE3,1,114.0
2011,NUTS,2010,BE3,1,182.0
2012,NUTS,2010,BE3,1,203.0
2013,NUTS,2010,BE3,1,201.0
2014,NUTS,2010,BE3,1,320.0
2015,NUTS,2010,BE3,1,327.0
2016,NUTS,2010,BE3,1,260.0
2017,NUTS,2010,BE3,1,260.0
2018,NUTS,2010,BE3,1,233.0
2019,NUTS,2010,BE3,1,236.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1980,NUTS,2010,BG,0,8245.0
1981,NUTS,2010,BG,0,8556.0
1982,NUTS,2010,BG,0,9130.0
1983,NUTS,2010,BG,0,8944.0
1984,NUTS,2010,BG,0,9454.0
1985,NUTS,2010,BG,0,10312.0
1986,NUTS,2010,BG,0,13367.0
1987,NUTS,2010,BG,0,14353.0
1988,NUTS,2010,BG,0,13210.0
1989,NUTS,2010,BG,0,14062.0
1990,NUTS,2010,BG,0,15423.0
1991,NUTS,2010,BG,0,14751.0
1992,NUTS,2010,BG,0,12560.0
1993,NUTS,2010,BG,0,12842.0
1994,NUTS,2010,BG,0,8177.0
1995,NUTS,2010,BG,0,7795.0
1996,NUTS,2010,BG,0,8876.0
1997,NUTS,2010,BG,0,8178.0
1998,NUTS,2010,BG,0,8080.0
1999,NUTS,2010,BG,0,7577.0
2000,NUTS,2010,BG,0,6763.0
2001,NUTS,2010,BG,0,6387.0
2002,NUTS,2010,BG,0,6326.0
2003,NUTS,2010,BG,0,6377.0
2004,NUTS,2010,BG,0,6474.0
2005,NUTS,2010,BG,0,6472.0
2006,NUTS,2010,BG,0,6493.0
2007,NUTS,2010,BG,0,6440.0
2008,NUTS,2010,BG,0,6256.0
2009,NUTS,2010,BG,0,6015.0
2010,NUTS,2010,BG,0,5877.0
2011,NUTS,2010,BG,0,5886.0
2012,NUTS,2010,BG,0,5485.0
2013,NUTS,2010,BG,0,5414.0
2014,NUTS,2010,BG,0,5176.0
2015,NUTS,2010,BG,0,4830.0
2016,NUTS,2010,BG,0,4979.0
2017,NUTS,2010,BG,0,4937.0
2018,NUTS,2010,BG,0,4826.0
2019,NUTS,2010,BG,0,4970.0
2002,NUTS,2010,BG3,1,481.0
2003,NUTS,2010,BG3,1,494.0
2004,NUTS,2010,BG3,1,538.0
2005,NUTS,2010,BG3,1,545.0
2006,NUTS,2010,BG3,1,558.0
2007,NUTS,2010,BG3,1,555.0
2008,NUTS,2010,BG3,1,574.0
2009,NUTS,2010,BG3,1,506.0
2010,NUTS,2010,BG3,1,604.0
2011,NUTS,2010,BG3,1,494.0
2012,NUTS,2010,BG3,1,549.0
2013,NUTS,2010,BG3,1,546.0
2014,NUTS,2010,BG3,1,478.0
2015,NUTS,2010,BG3,1,433.0
2016,NUTS,2010,BG3,1,424.0
2017,NUTS,2010,BG3,1,453.0
2018,NUTS,2010,BG3,1,453.0
2002,NUTS,2010,BG31,2,137.0
2003,NUTS,2010,BG31,2,151.0
2004,NUTS,2010,BG31,2,137.0
2005,NUTS,2010,BG31,2,149.0
2006,NUTS,2010,BG31,2,146.0
2007,NUTS,2010,BG31,2,134.0
2009,NUTS,2010,BG31,2,114.0
2010,NUTS,2010,BG31,2,157.0
2011,NUTS,2010,BG31,2,133.0
2012,NUTS,2010,BG31,2,152.0
2013,NUTS,2010,BG31,2,144.0
2014,NUTS,2010,BG31,2,129.0
2015,NUTS,2010,BG31,2,127.0
2016,NUTS,2010,BG31,2,121.0
2018,NUTS,2010,BG31,2,157.0
2002,NUTS,2010,BG32,2,51.0
2003,NUTS,2010,BG32,2,50.0
2004,NUTS,2010,BG32,2,61.0
2005,NUTS,2010,BG32,2,63.0
2006,NUTS,2010,BG32,2,59.0
2007,NUTS,2010,BG32,2,55.0
2008,NUTS,2010,BG32,2,52.0
2009,NUTS,2010,BG32,2,65.0
2010,NUTS,2010,BG32,2,70.0
2011,NUTS,2010,BG32,2,49.0
2012,NUTS,2010,BG32,2,50.0
2013,NUTS,2010,BG32,2,92.0
2014,NUTS,2010,BG32,2,46.0
2016,NUTS,2010,BG32,2,33.0
2017,NUTS,2010,BG32,2,32.0
2018,NUTS,2010,BG32,2,32.0
2019,NUTS,2010,BG32,2,36.0
2002,NUTS,2010,BG33,2,196.0
2003,NUTS,2010,BG33,2,200.0
2004,NUTS,2010,BG33,2,237.0
2005,NUTS,2010,BG33,2,239.0
2006,NUTS,2010,BG33,2,242.0
2007,NUTS,2010,BG33,2,259.0
2008,NUTS,2010,BG33,2,284.0
2009,NUTS,2010,BG33,2,231.0
2010,NUTS,2010,BG33,2,272.0
2011,NUTS,2010,BG33,2,211.0
2012,NUTS,2010,BG33,2,233.0
2013,NUTS,2010,BG33,2,215.0
2014,NUTS,2010,BG33,2,214.0
2015,NUTS,2010,BG33,2,184.0
2016,NUTS,2010,BG33,2,188.0
2017,NUTS,2010,BG33,2,175.0
2018,NUTS,2010,BG33,2,184.0
2019,NUTS,2010,BG33,2,201.0
2002,NUTS,2010,BG34,2,97.0
2003,NUTS,2010,BG34,2,93.0
2004,NUTS,2010,BG34,2,103.0
2005,NUTS,2010,BG34,2,94.0
2006,NUTS,2010,BG34,2,111.0
2007,NUTS,2010,BG34,2,107.0
