year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_cte_p_mhab
2011,NUTS,2010,AT,0,6.462
2012,NUTS,2010,AT,0,5.733
2011,NUTS,2010,AT1,1,9.069
2012,NUTS,2010,AT1,1,6.85
2011,NUTS,2010,AT11,2,2.354
2011,NUTS,2010,AT113,3,6.868
2011,NUTS,2010,AT12,2,5.02
2012,NUTS,2010,AT12,2,6.349
2011,NUTS,2010,AT122,3,3.958
2012,NUTS,2010,AT122,3,5.927
2011,NUTS,2010,AT125,3,10.767
2011,NUTS,2010,AT126,3,11.991
2012,NUTS,2010,AT126,3,17.034
2011,NUTS,2010,AT127,3,6.53
2012,NUTS,2010,AT127,3,10.905
2011,NUTS,2010,AT13,2,14.018
2012,NUTS,2010,AT13,2,8.462
2011,NUTS,2010,AT130,3,14.018
2012,NUTS,2010,AT130,3,8.462
2011,NUTS,2010,AT2,1,2.24
2012,NUTS,2010,AT2,1,3.921
2011,NUTS,2010,AT21,2,1.653
2012,NUTS,2010,AT21,2,1.349
2011,NUTS,2010,AT211,3,3.333
2012,NUTS,2010,AT211,3,2.708
2011,NUTS,2010,AT22,2,2.511
2012,NUTS,2010,AT22,2,5.105
2011,NUTS,2010,AT221,3,7.053
2012,NUTS,2010,AT221,3,13.984
2011,NUTS,2010,AT224,3,0.75
2012,NUTS,2010,AT224,3,1.875
2011,NUTS,2010,AT3,1,5.824
2012,NUTS,2010,AT3,1,4.957
2011,NUTS,2010,AT31,2,2.78
2012,NUTS,2010,AT31,2,2.596
2011,NUTS,2010,AT311,3,4.545
2011,NUTS,2010,AT312,3,4.242
2012,NUTS,2010,AT312,3,5.578
2011,NUTS,2010,AT313,3,1.618
2012,NUTS,2010,AT315,3,2.524
2011,NUTS,2010,AT32,2,4.262
2012,NUTS,2010,AT32,2,0.623
2011,NUTS,2010,AT323,3,6.528
2012,NUTS,2010,AT323,3,0.953
2011,NUTS,2010,AT33,2,11.547
2012,NUTS,2010,AT33,2,11.945
2011,NUTS,2010,AT332,3,28.118
2012,NUTS,2010,AT332,3,29.629
2011,NUTS,2010,AT335,3,0.706
2011,NUTS,2010,AT34,2,8.719
2012,NUTS,2010,AT34,2,6.74
2011,NUTS,2010,AT341,3,9.445
2012,NUTS,2010,AT341,3,5.691
2011,NUTS,2010,AT342,3,8.492
2012,NUTS,2010,AT342,3,7.066
2011,NUTS,2010,BE,0,11.078
2012,NUTS,2010,BE,0,11.674
2011,NUTS,2010,BE1,1,10.539
2012,NUTS,2010,BE1,1,9.16
2011,NUTS,2010,BE10,2,10.539
2012,NUTS,2010,BE10,2,9.16
2011,NUTS,2010,BE100,3,10.539
2012,NUTS,2010,BE100,3,9.16
2011,NUTS,2010,BE2,1,14.912
2012,NUTS,2010,BE2,1,15.939
2011,NUTS,2010,BE21,2,23.882
2012,NUTS,2010,BE21,2,30.111
2011,NUTS,2010,BE211,3,26.07
2012,NUTS,2010,BE211,3,42.432
2011,NUTS,2010,BE212,3,33.148
2012,NUTS,2010,BE212,3,10.087
2011,NUTS,2010,BE213,3,11.991
2012,NUTS,2010,BE213,3,16.78
2011,NUTS,2010,BE22,2,7.085
2012,NUTS,2010,BE22,2,6.842
2011,NUTS,2010,BE221,3,10.099
