year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_fte_f
2014,NUTS,2010,CZ07,2,3.0
2015,NUTS,2010,CZ07,2,2.0
2016,NUTS,2010,CZ07,2,2.0
2017,NUTS,2010,CZ07,2,2.0
2018,NUTS,2010,CZ07,2,0.0
2019,NUTS,2010,CZ07,2,2.0
2020,NUTS,2010,CZ07,2,1.0
2011,NUTS,2010,CZ08,2,1.0
2012,NUTS,2010,CZ08,2,6.0
2013,NUTS,2010,CZ08,2,1.0
2014,NUTS,2010,CZ08,2,4.0
2015,NUTS,2010,CZ08,2,2.0
2016,NUTS,2010,CZ08,2,2.0
2017,NUTS,2010,CZ08,2,3.0
2018,NUTS,2010,CZ08,2,4.0
2019,NUTS,2010,CZ08,2,4.0
2020,NUTS,2010,CZ08,2,2.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DK,0,122.0
2012,NUTS,2010,DK,0,129.0
2013,NUTS,2010,DK,0,125.0
2014,NUTS,2010,DK,0,130.0
2015,NUTS,2010,DK,0,128.0
2016,NUTS,2010,DK,0,142.0
2017,NUTS,2010,DK,0,124.0
2018,NUTS,2010,DK,0,108.0
2019,NUTS,2010,DK,0,130.0
2011,NUTS,2010,DK0,1,122.0
2012,NUTS,2010,DK0,1,129.0
2013,NUTS,2010,DK0,1,125.0
2014,NUTS,2010,DK0,1,130.0
2015,NUTS,2010,DK0,1,128.0
2016,NUTS,2010,DK0,1,142.0
2017,NUTS,2010,DK0,1,124.0
2018,NUTS,2010,DK0,1,108.0
2019,NUTS,2010,DK0,1,130.0
2011,NUTS,2010,DK01,2,117.0
2012,NUTS,2010,DK01,2,121.0
2013,NUTS,2010,DK01,2,116.0
2014,NUTS,2010,DK01,2,121.0
2015,NUTS,2010,DK01,2,121.0
2016,NUTS,2010,DK01,2,133.0
2017,NUTS,2010,DK01,2,117.0
2019,NUTS,2010,DK01,2,130.0
2011,NUTS,2010,DK02,2,4.0
2012,NUTS,2010,DK02,2,4.0
2013,NUTS,2010,DK02,2,6.0
2014,NUTS,2010,DK02,2,6.0
2015,NUTS,2010,DK02,2,4.0
2016,NUTS,2010,DK02,2,4.0
2017,NUTS,2010,DK02,2,2.0
2019,NUTS,2010,DK02,2,0.0
2011,NUTS,2010,DK03,2,0.0
2012,NUTS,2010,DK03,2,4.0
2013,NUTS,2010,DK03,2,3.0
2014,NUTS,2010,DK03,2,3.0
2015,NUTS,2010,DK03,2,3.0
2016,NUTS,2010,DK03,2,5.0
2017,NUTS,2010,DK03,2,5.0
2011,NUTS,2010,DK04,2,0.0
2012,NUTS,2010,DK04,2,0.0
2013,NUTS,2010,DK04,2,0.0
2014,NUTS,2010,DK04,2,0.0
2015,NUTS,2010,DK04,2,0.0
2016,NUTS,2010,DK04,2,0.0
2017,NUTS,2010,DK04,2,0.0
2011,NUTS,2010,DK05,2,0.0
2012,NUTS,2010,DK05,2,0.0
2013,NUTS,2010,DK05,2,0.0
2014,NUTS,2010,DK05,2,0.0
2015,NUTS,2010,DK05,2,0.0
2016,NUTS,2010,DK05,2,0.0
2017,NUTS,2010,DK05,2,5.0
2011,NUTS,2010,EE,0,42.0
2012,NUTS,2010,EE,0,46.0
2013,NUTS,2010,EE,0,43.0
2014,NUTS,2010,EE,0,43.0
2015,NUTS,2010,EE,0,44.0
2016,NUTS,2010,EE,0,44.0
2017,NUTS,2010,EE,0,48.0
2018,NUTS,2010,EE,0,67.0
2019,NUTS,2010,EE,0,45.0
2011,NUTS,2010,EL,0,98.0
2013,NUTS,2010,EL,0,154.0
2015,NUTS,2010,EL,0,137.0
2017,NUTS,2010,EL,0,154.0
2019,NUTS,2010,EL,0,152.0
2011,NUTS,2010,EL3,1,83.0
2011,NUTS,2010,EL30,2,83.0
2011,NUTS,2010,EL4,1,4.0
2011,NUTS,2010,EL41,2,0.0
2011,NUTS,2010,EL42,2,4.0
2011,NUTS,2010,EL43,2,0.0
2011,NUTS,2010,EL5,1,9.0
2011,NUTS,2010,EL51,2,0.0
2011,NUTS,2010,EL52,2,8.0
2011,NUTS,2010,EL53,2,1.0
2011,NUTS,2010,EL54,2,1.0
2011,NUTS,2010,EL6,1,2.0
2011,NUTS,2010,EL61,2,0.0
2011,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,0.0
2011,NUTS,2010,EL64,2,1.0
2011,NUTS,2010,EL65,2,1.0
2015,NUTS,2010,ELZ,1,0.0
2015,NUTS,2010,ELZZ,2,0.0
2011,NUTS,2010,ES,0,113.0
2012,NUTS,2010,ES,0,123.0
2013,NUTS,2010,ES,0,108.0
2014,NUTS,2010,ES,0,118.0
2015,NUTS,2010,ES,0,117.0
2016,NUTS,2010,ES,0,160.0
2017,NUTS,2010,ES,0,135.0
2018,NUTS,2010,ES,0,173.0
2019,NUTS,2010,ES,0,158.0
2011,NUTS,2010,ES1,1,12.0
2012,NUTS,2010,ES1,1,10.0
2013,NUTS,2010,ES1,1,3.0
2015,NUTS,2010,ES1,1,4.0
2016,NUTS,2010,ES1,1,18.0
2017,NUTS,2010,ES1,1,20.0
2018,NUTS,2010,ES1,1,41.0
2014,NUTS,2010,ES11,2,1.0
2015,NUTS,2010,ES11,2,1.0
2016,NUTS,2010,ES11,2,16.0
2017,NUTS,2010,ES11,2,18.0
2018,NUTS,2010,ES11,2,21.0
2019,NUTS,2010,ES11,2,21.0
2012,NUTS,2010,ES12,2,1.0
2013,NUTS,2010,ES12,2,0.0
2014,NUTS,2010,ES12,2,0.0
2015,NUTS,2010,ES12,2,0.0
2016,NUTS,2010,ES12,2,0.0
2017,NUTS,2010,ES12,2,0.0
2018,NUTS,2010,ES12,2,1.0
2019,NUTS,2010,ES12,2,0.0
2011,NUTS,2010,ES13,2,11.0
2015,NUTS,2010,ES13,2,2.0
2016,NUTS,2010,ES13,2,3.0
2017,NUTS,2010,ES13,2,2.0
2018,NUTS,2010,ES13,2,19.0
2011,NUTS,2010,ES2,1,11.0
2013,NUTS,2010,ES2,1,13.0
2015,NUTS,2010,ES2,1,10.0
2019,NUTS,2010,ES2,1,11.0
2011,NUTS,2010,ES21,2,7.0
2012,NUTS,2010,ES21,2,12.0
2013,NUTS,2010,ES21,2,10.0
2014,NUTS,2010,ES21,2,8.0
2015,NUTS,2010,ES21,2,8.0
2016,NUTS,2010,ES21,2,10.0
2017,NUTS,2010,ES21,2,9.0
2018,NUTS,2010,ES21,2,9.0
2019,NUTS,2010,ES21,2,11.0
2011,NUTS,2010,ES22,2,1.0
2015,NUTS,2010,ES22,2,0.0
2011,NUTS,2010,ES23,2,1.0
2012,NUTS,2010,ES23,2,2.0
2014,NUTS,2010,ES23,2,0.0
2015,NUTS,2010,ES23,2,0.0
2016,NUTS,2010,ES23,2,0.0
2017,NUTS,2010,ES23,2,0.0
2018,NUTS,2010,ES23,2,0.0
2011,NUTS,2010,ES24,2,2.0
2012,NUTS,2010,ES24,2,1.0
2013,NUTS,2010,ES24,2,1.0
2014,NUTS,2010,ES24,2,0.0
2015,NUTS,2010,ES24,2,2.0
2016,NUTS,2010,ES24,2,1.0
2017,NUTS,2010,ES24,2,1.0
2018,NUTS,2010,ES24,2,1.0
2011,NUTS,2010,ES3,1,35.0
2012,NUTS,2010,ES3,1,43.0
2013,NUTS,2010,ES3,1,40.0
2014,NUTS,2010,ES3,1,35.0
2015,NUTS,2010,ES3,1,42.0
2016,NUTS,2010,ES3,1,38.0
2017,NUTS,2010,ES3,1,41.0
2018,NUTS,2010,ES3,1,47.0
2019,NUTS,2010,ES3,1,51.0
2011,NUTS,2010,ES30,2,35.0
2012,NUTS,2010,ES30,2,43.0
2013,NUTS,2010,ES30,2,40.0
2014,NUTS,2010,ES30,2,35.0
2015,NUTS,2010,ES30,2,42.0
2016,NUTS,2010,ES30,2,38.0
2017,NUTS,2010,ES30,2,41.0
2018,NUTS,2010,ES30,2,47.0
2019,NUTS,2010,ES30,2,51.0
2011,NUTS,2010,ES4,1,6.0
2013,NUTS,2010,ES4,1,3.0
2014,NUTS,2010,ES4,1,2.0
2015,NUTS,2010,ES4,1,4.0
2016,NUTS,2010,ES4,1,5.0
2018,NUTS,2010,ES4,1,4.0
2019,NUTS,2010,ES4,1,2.0
2012,NUTS,2010,ES41,2,2.0
2013,NUTS,2010,ES41,2,1.0
2014,NUTS,2010,ES41,2,2.0
2015,NUTS,2010,ES41,2,3.0
2017,NUTS,2010,ES41,2,4.0
2018,NUTS,2010,ES41,2,3.0
2019,NUTS,2010,ES41,2,2.0
2013,NUTS,2010,ES42,2,1.0
2014,NUTS,2010,ES42,2,0.0
2015,NUTS,2010,ES42,2,1.0
2017,NUTS,2010,ES42,2,0.0
2011,NUTS,2010,ES43,2,0.0
2013,NUTS,2010,ES43,2,1.0
2014,NUTS,2010,ES43,2,0.0
2015,NUTS,2010,ES43,2,0.0
2016,NUTS,2010,ES43,2,1.0
2011,NUTS,2010,ES5,1,37.0
2012,NUTS,2010,ES5,1,40.0
2013,NUTS,2010,ES5,1,38.0
2014,NUTS,2010,ES5,1,57.0
2015,NUTS,2010,ES5,1,51.0
2016,NUTS,2010,ES5,1,76.0
2017,NUTS,2010,ES5,1,51.0
2018,NUTS,2010,ES5,1,62.0
2011,NUTS,2010,ES51,2,33.0
2012,NUTS,2010,ES51,2,34.0
2013,NUTS,2010,ES51,2,34.0
2014,NUTS,2010,ES51,2,52.0
2015,NUTS,2010,ES51,2,49.0
2016,NUTS,2010,ES51,2,74.0
2017,NUTS,2010,ES51,2,48.0
2018,NUTS,2010,ES51,2,58.0
2019,NUTS,2010,ES51,2,56.0
2011,NUTS,2010,ES52,2,3.0
2012,NUTS,2010,ES52,2,5.0
2013,NUTS,2010,ES52,2,4.0
2014,NUTS,2010,ES52,2,5.0
2015,NUTS,2010,ES52,2,2.0
2016,NUTS,2010,ES52,2,2.0
2017,NUTS,2010,ES52,2,2.0
2018,NUTS,2010,ES52,2,2.0
2019,NUTS,2010,ES52,2,2.0
2011,NUTS,2010,ES53,2,1.0
2012,NUTS,2010,ES53,2,1.0
2013,NUTS,2010,ES53,2,1.0
2014,NUTS,2010,ES53,2,0.0
2015,NUTS,2010,ES53,2,0.0
2016,NUTS,2010,ES53,2,1.0
2017,NUTS,2010,ES53,2,1.0
2018,NUTS,2010,ES53,2,2.0
2011,NUTS,2010,ES6,1,12.0
2012,NUTS,2010,ES6,1,12.0
2013,NUTS,2010,ES6,1,11.0
2014,NUTS,2010,ES6,1,10.0
2015,NUTS,2010,ES6,1,5.0
2016,NUTS,2010,ES6,1,11.0
2017,NUTS,2010,ES6,1,8.0
2018,NUTS,2010,ES6,1,6.0
2019,NUTS,2010,ES6,1,2.0
2011,NUTS,2010,ES61,2,7.0
2012,NUTS,2010,ES61,2,7.0
2013,NUTS,2010,ES61,2,11.0
2014,NUTS,2010,ES61,2,9.0
2015,NUTS,2010,ES61,2,4.0
2016,NUTS,2010,ES61,2,10.0
2017,NUTS,2010,ES61,2,7.0
2018,NUTS,2010,ES61,2,5.0
2019,NUTS,2010,ES61,2,2.0
2012,NUTS,2010,ES62,2,4.0
2013,NUTS,2010,ES62,2,1.0
2014,NUTS,2010,ES62,2,1.0
2015,NUTS,2010,ES62,2,1.0
2016,NUTS,2010,ES62,2,1.0
2018,NUTS,2010,ES62,2,1.0
2019,NUTS,2010,ES62,2,0.0
2015,NUTS,2010,ES63,2,0.0
2015,NUTS,2010,ES64,2,0.0
2011,NUTS,2010,ES7,1,0.0
2012,NUTS,2010,ES7,1,0.0
2013,NUTS,2010,ES7,1,0.0
2014,NUTS,2010,ES7,1,0.0
2015,NUTS,2010,ES7,1,0.0
2016,NUTS,2010,ES7,1,0.0
2017,NUTS,2010,ES7,1,0.0
2018,NUTS,2010,ES7,1,2.0
2011,NUTS,2010,ES70,2,0.0
2012,NUTS,2010,ES70,2,0.0
2013,NUTS,2010,ES70,2,0.0
2014,NUTS,2010,ES70,2,0.0
2015,NUTS,2010,ES70,2,0.0
2016,NUTS,2010,ES70,2,0.0
2017,NUTS,2010,ES70,2,0.0
2018,NUTS,2010,ES70,2,2.0
2011,NUTS,2010,ESZ,1,0.0
2012,NUTS,2010,ESZ,1,0.0
2013,NUTS,2010,ESZ,1,0.0
2011,NUTS,2010,ESZZ,2,0.0
2012,NUTS,2010,ESZZ,2,0.0
2013,NUTS,2010,ESZZ,2,0.0
2011,NUTS,2010,FR,0,1257.0
2012,NUTS,2010,FR,0,1392.0
2013,NUTS,2010,FR,0,1423.0
2014,NUTS,2010,FR,0,1550.0
2016,NUTS,2010,FR,0,2023.0
2017,NUTS,2010,FR,0,2041.0
2011,NUTS,2010,HR,0,4.0
2011,NUTS,2010,HR0,1,4.0
2011,NUTS,2010,HR03,2,4.0
2011,NUTS,2010,HR04,2,0.0
2012,NUTS,2010,HR04,2,0.0
2013,NUTS,2010,HR04,2,0.0
2014,NUTS,2010,HR04,2,0.0
2013,NUTS,2010,HRZ,1,0.0
2014,NUTS,2010,HRZ,1,0.0
2013,NUTS,2010,HRZZ,2,0.0
2014,NUTS,2010,HRZZ,2,0.0
2011,NUTS,2010,IS,0,28.0
2011,NUTS,2010,IT,0,1904.0
2012,NUTS,2010,IT,0,2021.0
2013,NUTS,2010,IT,0,2216.0
2014,NUTS,2010,IT,0,2307.0
2015,NUTS,2010,IT,0,2572.0
2016,NUTS,2010,IT,0,2643.0
2017,NUTS,2010,IT,0,2339.0
2018,NUTS,2010,IT,0,2289.0
2019,NUTS,2010,IT,0,2645.0
2011,NUTS,2010,ITC,1,1049.0
2012,NUTS,2010,ITC,1,1136.0
2013,NUTS,2010,ITC,1,1262.0
2014,NUTS,2010,ITC,1,1135.0
2015,NUTS,2010,ITC,1,1239.0
2016,NUTS,2010,ITC,1,1360.0
2017,NUTS,2010,ITC,1,964.0
2018,NUTS,2010,ITC,1,986.0
2019,NUTS,2010,ITC,1,1150.0
2011,NUTS,2010,ITC1,2,150.0
2012,NUTS,2010,ITC1,2,257.0
2013,NUTS,2010,ITC1,2,289.0
2014,NUTS,2010,ITC1,2,292.0
2015,NUTS,2010,ITC1,2,305.0
2016,NUTS,2010,ITC1,2,292.0
2017,NUTS,2010,ITC1,2,243.0
2018,NUTS,2010,ITC1,2,262.0
2019,NUTS,2010,ITC1,2,301.0
2011,NUTS,2010,ITC2,2,7.0
2012,NUTS,2010,ITC2,2,10.0
2013,NUTS,2010,ITC2,2,12.0
2014,NUTS,2010,ITC2,2,7.0
2015,NUTS,2010,ITC2,2,8.0
2016,NUTS,2010,ITC2,2,6.0
2017,NUTS,2010,ITC2,2,7.0
2018,NUTS,2010,ITC2,2,8.0
2019,NUTS,2010,ITC2,2,14.0
2011,NUTS,2010,ITC3,2,54.0
2012,NUTS,2010,ITC3,2,52.0
2013,NUTS,2010,ITC3,2,53.0
2014,NUTS,2010,ITC3,2,46.0
2015,NUTS,2010,ITC3,2,54.0
2016,NUTS,2010,ITC3,2,53.0
2017,NUTS,2010,ITC3,2,46.0
2018,NUTS,2010,ITC3,2,49.0
2019,NUTS,2010,ITC3,2,81.0
2011,NUTS,2010,ITC4,2,838.0
2012,NUTS,2010,ITC4,2,818.0
2013,NUTS,2010,ITC4,2,909.0
2014,NUTS,2010,ITC4,2,790.0
2015,NUTS,2010,ITC4,2,872.0
2016,NUTS,2010,ITC4,2,1009.0
2017,NUTS,2010,ITC4,2,669.0
2018,NUTS,2010,ITC4,2,667.0
2019,NUTS,2010,ITC4,2,755.0
2011,NUTS,2010,ITF,1,107.0
2012,NUTS,2010,ITF,1,105.0
2013,NUTS,2010,ITF,1,109.0
2014,NUTS,2010,ITF,1,205.0
2017,NUTS,2010,ITF,1,170.0
2018,NUTS,2010,ITF,1,181.0
2019,NUTS,2010,ITF,1,187.0
2011,NUTS,2010,ITF1,2,4.0
2012,NUTS,2010,ITF1,2,4.0
2013,NUTS,2010,ITF1,2,7.0
2014,NUTS,2010,ITF1,2,4.0
2015,NUTS,2010,ITF1,2,6.0
2016,NUTS,2010,ITF1,2,12.0
2017,NUTS,2010,ITF1,2,14.0
2018,NUTS,2010,ITF1,2,10.0
2019,NUTS,2010,ITF1,2,14.0
2017,NUTS,2010,ITF2,2,1.0
2018,NUTS,2010,ITF2,2,3.0
2019,NUTS,2010,ITF2,2,0.0
2011,NUTS,2010,ITF3,2,56.0
2012,NUTS,2010,ITF3,2,56.0
2013,NUTS,2010,ITF3,2,54.0
2014,NUTS,2010,ITF3,2,123.0
2015,NUTS,2010,ITF3,2,118.0
2016,NUTS,2010,ITF3,2,105.0
2017,NUTS,2010,ITF3,2,89.0
2018,NUTS,2010,ITF3,2,79.0
2019,NUTS,2010,ITF3,2,81.0
2011,NUTS,2010,ITF4,2,44.0
2012,NUTS,2010,ITF4,2,41.0
2013,NUTS,2010,ITF4,2,45.0
2014,NUTS,2010,ITF4,2,77.0
2015,NUTS,2010,ITF4,2,74.0
2016,NUTS,2010,ITF4,2,83.0
2017,NUTS,2010,ITF4,2,65.0
2018,NUTS,2010,ITF4,2,87.0
2019,NUTS,2010,ITF4,2,89.0
2012,NUTS,2010,ITF5,2,3.0
2013,NUTS,2010,ITF5,2,3.0
2015,NUTS,2010,ITF5,2,2.0
