year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mhab_smc
1990,NUTS,2010,AT,0,0.763
1991,NUTS,2010,AT,0,0.735
1992,NUTS,2010,AT,0,0.93
1993,NUTS,2010,AT,0,1.033
1994,NUTS,2010,AT,0,0.284
1995,NUTS,2010,AT,0,0.629
1996,NUTS,2010,AT,0,1.372
1997,NUTS,2010,AT,0,2.284
1998,NUTS,2010,AT,0,2.333
1999,NUTS,2010,AT,0,2.73
2000,NUTS,2010,AT,0,3.057
2001,NUTS,2010,AT,0,3.572
2002,NUTS,2010,AT,0,4.167
2003,NUTS,2010,AT,0,4.589
2004,NUTS,2010,AT,0,4.955
2005,NUTS,2010,AT,0,3.57
2006,NUTS,2010,AT,0,9.287
2007,NUTS,2010,AT,0,8.117
2008,NUTS,2010,AT,0,5.441
2009,NUTS,2010,AT,0,7.692
2010,NUTS,2010,AT,0,7.002
2011,NUTS,2010,AT,0,5.766
2012,NUTS,2010,AT,0,5.673
2000,NUTS,2010,AT1,1,0.429
2001,NUTS,2010,AT1,1,1.805
2002,NUTS,2010,AT1,1,2.308
2003,NUTS,2010,AT1,1,1.632
2004,NUTS,2010,AT1,1,2.453
2005,NUTS,2010,AT1,1,0.454
2006,NUTS,2010,AT1,1,6.051
2007,NUTS,2010,AT1,1,8.663
2008,NUTS,2010,AT1,1,3.408
2009,NUTS,2010,AT1,1,1.402
2010,NUTS,2010,AT1,1,1.117
2011,NUTS,2010,AT1,1,1.668
2012,NUTS,2010,AT1,1,1.175
2000,NUTS,2010,AT11,2,5.213
2002,NUTS,2010,AT11,2,1.807
2003,NUTS,2010,AT11,2,3.616
2004,NUTS,2010,AT11,2,5.528
2006,NUTS,2010,AT11,2,11.034
2007,NUTS,2010,AT11,2,9.534
2008,NUTS,2010,AT11,2,9.503
2009,NUTS,2010,AT11,2,10.609
2010,NUTS,2010,AT11,2,7.05
2011,NUTS,2010,AT11,2,7.028
2012,NUTS,2010,AT11,2,6.124
2002,NUTS,2010,AT112,3,3.545
2006,NUTS,2010,AT112,3,2.288
2009,NUTS,2010,AT112,3,13.547
2011,NUTS,2010,AT112,3,10.032
2003,NUTS,2010,AT113,3,10.259
