year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_f_hc
2011,NUTS,2010,AT,0,3020.0
2013,NUTS,2010,AT,0,3057.0
2015,NUTS,2010,AT,0,3283.0
2017,NUTS,2010,AT,0,4679.0
2019,NUTS,2010,AT,0,5052.0
2011,NUTS,2010,AT1,1,2164.0
2013,NUTS,2010,AT1,1,2194.0
2019,NUTS,2010,AT1,1,3872.0
2011,NUTS,2010,AT11,2,34.0
2013,NUTS,2010,AT11,2,33.0
2011,NUTS,2010,AT12,2,152.0
2013,NUTS,2010,AT12,2,181.0
2015,NUTS,2010,AT12,2,255.0
2017,NUTS,2010,AT12,2,368.0
2011,NUTS,2010,AT13,2,1978.0
2013,NUTS,2010,AT13,2,1980.0
2015,NUTS,2010,AT13,2,2075.0
2017,NUTS,2010,AT13,2,3108.0
2019,NUTS,2010,AT13,2,3492.0
2015,NUTS,2010,AT2,1,300.0
2019,NUTS,2010,AT2,1,526.0
2011,NUTS,2010,AT21,2,60.0
2019,NUTS,2010,AT3,1,654.0
2011,NUTS,2010,AT31,2,128.0
2013,NUTS,2010,AT31,2,118.0
2015,NUTS,2010,AT31,2,165.0
2017,NUTS,2010,AT31,2,176.0
2019,NUTS,2010,AT31,2,189.0
2015,NUTS,2010,AT32,2,195.0
2017,NUTS,2010,AT32,2,188.0
2019,NUTS,2010,AT32,2,184.0
2013,NUTS,2010,AT33,2,111.0
2019,NUTS,2010,AT33,2,126.0
2011,NUTS,2010,AT34,2,105.0
2013,NUTS,2010,AT34,2,115.0
2015,NUTS,2010,AT34,2,143.0
2017,NUTS,2010,AT34,2,156.0
2019,NUTS,2010,AT34,2,155.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,72.0
2013,NUTS,2010,BA,0,87.0
2014,NUTS,2010,BA,0,82.0
2019,NUTS,2010,BA,0,46.0
2011,NUTS,2010,BE,0,1964.0
2012,NUTS,2010,BE,0,2586.0
2013,NUTS,2010,BE,0,2649.0
2014,NUTS,2010,BE,0,2796.0
2015,NUTS,2010,BE,0,2912.0
2016,NUTS,2010,BE,0,2913.0
2017,NUTS,2010,BE,0,3028.0
2018,NUTS,2010,BE,0,3355.0
2019,NUTS,2010,BE,0,3438.0
2011,NUTS,2010,BE1,1,507.0
2012,NUTS,2010,BE1,1,928.0
2013,NUTS,2010,BE1,1,928.0
2014,NUTS,2010,BE1,1,841.0
2015,NUTS,2010,BE1,1,915.0
2016,NUTS,2010,BE1,1,904.0
2017,NUTS,2010,BE1,1,908.0
2018,NUTS,2010,BE1,1,1018.0
2019,NUTS,2010,BE1,1,1031.0
2011,NUTS,2010,BE10,2,507.0
2012,NUTS,2010,BE10,2,928.0
2013,NUTS,2010,BE10,2,928.0
2014,NUTS,2010,BE10,2,841.0
2015,NUTS,2010,BE10,2,915.0
2016,NUTS,2010,BE10,2,904.0
2017,NUTS,2010,BE10,2,908.0
2018,NUTS,2010,BE10,2,1018.0
2019,NUTS,2010,BE10,2,1031.0
2011,NUTS,2010,BE2,1,1327.0
2012,NUTS,2010,BE2,1,1512.0
2013,NUTS,2010,BE2,1,1577.0
2014,NUTS,2010,BE2,1,1717.0
2015,NUTS,2010,BE2,1,1747.0
