year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_gov_rse_hc
1998,NUTS,2010,AT,0,730.0
2002,NUTS,2010,AT,0,820.0
2004,NUTS,2010,AT,0,839.0
2006,NUTS,2010,AT,0,1095.0
2007,NUTS,2010,AT,0,1094.0
2009,NUTS,2010,AT,0,1355.0
2011,NUTS,2010,AT,0,1467.0
2013,NUTS,2010,AT,0,1588.0
2015,NUTS,2010,AT,0,1742.0
2017,NUTS,2010,AT,0,2703.0
2019,NUTS,2010,AT,0,2968.0
2002,NUTS,2010,AT1,1,674.0
2004,NUTS,2010,AT1,1,675.0
2006,NUTS,2010,AT1,1,
2007,NUTS,2010,AT1,1,
2009,NUTS,2010,AT1,1,
2011,NUTS,2010,AT1,1,1129.0
2013,NUTS,2010,AT1,1,1195.0
2015,NUTS,2010,AT1,1,
2017,NUTS,2010,AT1,1,
2019,NUTS,2010,AT1,1,2394.0
2002,NUTS,2010,AT11,2,9.0
2004,NUTS,2010,AT11,2,8.0
2006,NUTS,2010,AT11,2,
2007,NUTS,2010,AT11,2,
2009,NUTS,2010,AT11,2,
2011,NUTS,2010,AT11,2,8.0
2013,NUTS,2010,AT11,2,8.0
2015,NUTS,2010,AT11,2,
2017,NUTS,2010,AT11,2,
2019,NUTS,2010,AT11,2,
2002,NUTS,2010,AT12,2,26.0
2004,NUTS,2010,AT12,2,35.0
2006,NUTS,2010,AT12,2,37.0
2007,NUTS,2010,AT12,2,37.0
2009,NUTS,2010,AT12,2,46.0
2011,NUTS,2010,AT12,2,61.0
2013,NUTS,2010,AT12,2,71.0
2015,NUTS,2010,AT12,2,118.0
2017,NUTS,2010,AT12,2,179.0
2019,NUTS,2010,AT12,2,
2002,NUTS,2010,AT13,2,639.0
2004,NUTS,2010,AT13,2,632.0
2006,NUTS,2010,AT13,2,820.0
2007,NUTS,2010,AT13,2,830.0
2009,NUTS,2010,AT13,2,1012.0
2011,NUTS,2010,AT13,2,1060.0
2013,NUTS,2010,AT13,2,1116.0
2015,NUTS,2010,AT13,2,1197.0
2017,NUTS,2010,AT13,2,1966.0
2019,NUTS,2010,AT13,2,2210.0
2002,NUTS,2010,AT2,1,57.0
2004,NUTS,2010,AT2,1,77.0
2006,NUTS,2010,AT2,1,105.0
2007,NUTS,2010,AT2,1,
2009,NUTS,2010,AT2,1,
2011,NUTS,2010,AT2,1,
2013,NUTS,2010,AT2,1,
2015,NUTS,2010,AT2,1,111.0
2017,NUTS,2010,AT2,1,
2019,NUTS,2010,AT2,1,221.0
2002,NUTS,2010,AT21,2,14.0
2004,NUTS,2010,AT21,2,20.0
2006,NUTS,2010,AT21,2,27.0
2007,NUTS,2010,AT21,2,
2009,NUTS,2010,AT21,2,
2011,NUTS,2010,AT21,2,31.0
2013,NUTS,2010,AT21,2,
2015,NUTS,2010,AT21,2,
2017,NUTS,2010,AT21,2,
2019,NUTS,2010,AT21,2,
2002,NUTS,2010,AT22,2,43.0
2004,NUTS,2010,AT22,2,57.0
2006,NUTS,2010,AT22,2,78.0
2007,NUTS,2010,AT22,2,
2009,NUTS,2010,AT22,2,86.0
2011,NUTS,2010,AT22,2,
2013,NUTS,2010,AT22,2,
2015,NUTS,2010,AT22,2,
2017,NUTS,2010,AT22,2,
2019,NUTS,2010,AT22,2,
2002,NUTS,2010,AT3,1,89.0
