year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_hc_t
2015,NUTS,2010,BG32,2,97.0
2016,NUTS,2010,BG32,2,95.0
2017,NUTS,2010,BG32,2,94.0
2018,NUTS,2010,BG32,2,93.0
2019,NUTS,2010,BG32,2,104.0
2011,NUTS,2010,BG33,2,601.0
2012,NUTS,2010,BG33,2,637.0
2013,NUTS,2010,BG33,2,577.0
2014,NUTS,2010,BG33,2,709.0
2015,NUTS,2010,BG33,2,643.0
2016,NUTS,2010,BG33,2,645.0
2017,NUTS,2010,BG33,2,634.0
2018,NUTS,2010,BG33,2,716.0
2019,NUTS,2010,BG33,2,735.0
2011,NUTS,2010,BG34,2,293.0
2012,NUTS,2010,BG34,2,321.0
2013,NUTS,2010,BG34,2,324.0
2014,NUTS,2010,BG34,2,315.0
2015,NUTS,2010,BG34,2,245.0
2016,NUTS,2010,BG34,2,292.0
2018,NUTS,2010,BG34,2,297.0
2019,NUTS,2010,BG34,2,328.0
2011,NUTS,2010,BG4,1,7994.0
2012,NUTS,2010,BG4,1,7963.0
2013,NUTS,2010,BG4,1,7678.0
2014,NUTS,2010,BG4,1,7472.0
2015,NUTS,2010,BG4,1,7278.0
2016,NUTS,2010,BG4,1,7180.0
2017,NUTS,2010,BG4,1,7144.0
2018,NUTS,2010,BG4,1,7145.0
2019,NUTS,2010,BG4,1,7245.0
2011,NUTS,2010,BG41,2,7457.0
2012,NUTS,2010,BG41,2,7422.0
2013,NUTS,2010,BG41,2,7120.0
2014,NUTS,2010,BG41,2,6928.0
2015,NUTS,2010,BG41,2,6766.0
2016,NUTS,2010,BG41,2,6676.0
2017,NUTS,2010,BG41,2,6634.0
2018,NUTS,2010,BG41,2,6608.0
2019,NUTS,2010,BG41,2,6660.0
2011,NUTS,2010,BG42,2,537.0
2012,NUTS,2010,BG42,2,541.0
2013,NUTS,2010,BG42,2,558.0
2014,NUTS,2010,BG42,2,544.0
2015,NUTS,2010,BG42,2,512.0
2016,NUTS,2010,BG42,2,504.0
2017,NUTS,2010,BG42,2,510.0
2018,NUTS,2010,BG42,2,537.0
2019,NUTS,2010,BG42,2,585.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,1560.0
2014,NUTS,2010,CH,0,1832.0
2015,NUTS,2010,CH,0,1857.0
2017,NUTS,2010,CH,0,1825.0
2019,NUTS,2010,CH,0,2076.0
2011,NUTS,2010,CN_X_HK,5,539843.0
2012,NUTS,2010,CN_X_HK,5,572907.0
2013,NUTS,2010,CN_X_HK,5,590413.0
2014,NUTS,2010,CN_X_HK,5,607067.0
2015,NUTS,2010,CN_X_HK,5,625829.0
2016,NUTS,2010,CN_X_HK,5,647743.0
2017,NUTS,2010,CN_X_HK,5,673365.0
2018,NUTS,2010,CN_X_HK,5,683889.0
2019,NUTS,2010,CN_X_HK,5,718723.0
2011,NUTS,2010,CY,0,590.0
2012,NUTS,2010,CY,0,559.0
2013,NUTS,2010,CY,0,515.0
2014,NUTS,2010,CY,0,492.0
2015,NUTS,2010,CY,0,498.0
2016,NUTS,2010,CY,0,514.0
2017,NUTS,2010,CY,0,527.0
2018,NUTS,2010,CY,0,503.0
2019,NUTS,2010,CY,0,513.0
2011,NUTS,2010,CZ,0,15313.0
2012,NUTS,2010,CZ,0,15482.0
2013,NUTS,2010,CZ,0,15996.0
2014,NUTS,2010,CZ,0,16177.0
2015,NUTS,2010,CZ,0,16705.0
2016,NUTS,2010,CZ,0,16615.0
2017,NUTS,2010,CZ,0,17941.0
2018,NUTS,2010,CZ,0,18598.0
2019,NUTS,2010,CZ,0,19009.0
2020,NUTS,2010,CZ,0,19065.0
2011,NUTS,2010,CZ0,1,15313.0
2012,NUTS,2010,CZ0,1,15482.0
2013,NUTS,2010,CZ0,1,15996.0
2014,NUTS,2010,CZ0,1,16177.0
2015,NUTS,2010,CZ0,1,16705.0
2016,NUTS,2010,CZ0,1,16615.0
2017,NUTS,2010,CZ0,1,17941.0
2018,NUTS,2010,CZ0,1,18598.0
2019,NUTS,2010,CZ0,1,19009.0
2020,NUTS,2010,CZ0,1,19065.0
2011,NUTS,2010,CZ01,2,10627.0
2012,NUTS,2010,CZ01,2,10980.0
2013,NUTS,2010,CZ01,2,11284.0
2014,NUTS,2010,CZ01,2,11527.0
2015,NUTS,2010,CZ01,2,11275.0
2016,NUTS,2010,CZ01,2,10664.0
2017,NUTS,2010,CZ01,2,11516.0
2018,NUTS,2010,CZ01,2,11901.0
2019,NUTS,2010,CZ01,2,12087.0
2020,NUTS,2010,CZ01,2,12060.0
2011,NUTS,2010,CZ02,2,1307.0
2012,NUTS,2010,CZ02,2,1175.0
2013,NUTS,2010,CZ02,2,1267.0
2014,NUTS,2010,CZ02,2,1337.0
2015,NUTS,2010,CZ02,2,1795.0
2016,NUTS,2010,CZ02,2,2228.0
2017,NUTS,2010,CZ02,2,2378.0
2018,NUTS,2010,CZ02,2,2458.0
2019,NUTS,2010,CZ02,2,2510.0
2020,NUTS,2010,CZ02,2,2524.0
2011,NUTS,2010,CZ03,2,813.0
2012,NUTS,2010,CZ03,2,784.0
2013,NUTS,2010,CZ03,2,811.0
2014,NUTS,2010,CZ03,2,821.0
2015,NUTS,2010,CZ03,2,844.0
2016,NUTS,2010,CZ03,2,896.0
2017,NUTS,2010,CZ03,2,965.0
2018,NUTS,2010,CZ03,2,1007.0
2019,NUTS,2010,CZ03,2,1101.0
2020,NUTS,2010,CZ03,2,1066.0
2011,NUTS,2010,CZ04,2,130.0
2012,NUTS,2010,CZ04,2,122.0
2013,NUTS,2010,CZ04,2,120.0
2014,NUTS,2010,CZ04,2,113.0
2015,NUTS,2010,CZ04,2,113.0
2016,NUTS,2010,CZ04,2,120.0
2017,NUTS,2010,CZ04,2,156.0
2018,NUTS,2010,CZ04,2,166.0
2019,NUTS,2010,CZ04,2,164.0
2020,NUTS,2010,CZ04,2,113.0
2011,NUTS,2010,CZ05,2,221.0
2012,NUTS,2010,CZ05,2,202.0
2013,NUTS,2010,CZ05,2,210.0
2014,NUTS,2010,CZ05,2,213.0
2015,NUTS,2010,CZ05,2,245.0
2016,NUTS,2010,CZ05,2,243.0
2017,NUTS,2010,CZ05,2,243.0
2018,NUTS,2010,CZ05,2,248.0
2019,NUTS,2010,CZ05,2,258.0
2020,NUTS,2010,CZ05,2,251.0
2011,NUTS,2010,CZ06,2,1954.0
2012,NUTS,2010,CZ06,2,1965.0
2013,NUTS,2010,CZ06,2,2072.0
2014,NUTS,2010,CZ06,2,1897.0
2015,NUTS,2010,CZ06,2,2130.0
2016,NUTS,2010,CZ06,2,2171.0
2017,NUTS,2010,CZ06,2,2296.0
2018,NUTS,2010,CZ06,2,2412.0
2019,NUTS,2010,CZ06,2,2490.0
2020,NUTS,2010,CZ06,2,2661.0
2011,NUTS,2010,CZ07,2,110.0
2012,NUTS,2010,CZ07,2,83.0
2013,NUTS,2010,CZ07,2,61.0
2014,NUTS,2010,CZ07,2,98.0
2015,NUTS,2010,CZ07,2,110.0
2016,NUTS,2010,CZ07,2,110.0
2017,NUTS,2010,CZ07,2,200.0
2018,NUTS,2010,CZ07,2,211.0
2019,NUTS,2010,CZ07,2,199.0
2020,NUTS,2010,CZ07,2,198.0
2011,NUTS,2010,CZ08,2,151.0
2012,NUTS,2010,CZ08,2,171.0
2013,NUTS,2010,CZ08,2,171.0
2014,NUTS,2010,CZ08,2,172.0
2015,NUTS,2010,CZ08,2,193.0
2016,NUTS,2010,CZ08,2,183.0
2017,NUTS,2010,CZ08,2,187.0
2018,NUTS,2010,CZ08,2,195.0
2019,NUTS,2010,CZ08,2,200.0
2020,NUTS,2010,CZ08,2,192.0
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,111908.0
2012,NUTS,2010,DE,0,114389.0
2013,NUTS,2010,DE,0,116403.0
2014,NUTS,2010,DE,0,120001.0
2015,NUTS,2010,DE,0,121157.0
2016,NUTS,2010,DE,0,123391.0
2017,NUTS,2010,DE,0,127273.0
2018,NUTS,2010,DE,0,132070.0
2019,NUTS,2010,DE,0,136357.0
2011,NUTS,2010,DE1,1,17272.0
2012,NUTS,2010,DE1,1,17283.0
2013,NUTS,2010,DE1,1,17807.0
2014,NUTS,2010,DE1,1,18004.0
2015,NUTS,2010,DE1,1,18962.0
2016,NUTS,2010,DE1,1,19184.0
2017,NUTS,2010,DE1,1,19640.0
2018,NUTS,2010,DE1,1,20176.0
2019,NUTS,2010,DE1,1,20838.0
2011,NUTS,2010,DE11,2,3906.0
2012,NUTS,2010,DE11,2,3899.0
2013,NUTS,2010,DE11,2,3922.0
2014,NUTS,2010,DE11,2,3978.0
2015,NUTS,2010,DE11,2,4055.0
2016,NUTS,2010,DE11,2,4189.0
2017,NUTS,2010,DE11,2,4237.0
2018,NUTS,2010,DE11,2,4363.0
2019,NUTS,2010,DE11,2,4576.0
2011,NUTS,2010,DE12,2,9475.0
2012,NUTS,2010,DE12,2,9453.0
2013,NUTS,2010,DE12,2,9923.0
2014,NUTS,2010,DE12,2,10116.0
2015,NUTS,2010,DE12,2,10843.0
2016,NUTS,2010,DE12,2,10815.0
2017,NUTS,2010,DE12,2,11003.0
2018,NUTS,2010,DE12,2,11220.0
2019,NUTS,2010,DE12,2,11436.0
2011,NUTS,2010,DE13,2,2806.0
2012,NUTS,2010,DE13,2,2866.0
2013,NUTS,2010,DE13,2,2846.0
2014,NUTS,2010,DE13,2,2872.0
2015,NUTS,2010,DE13,2,2825.0
2016,NUTS,2010,DE13,2,2911.0
2017,NUTS,2010,DE13,2,3041.0
2018,NUTS,2010,DE13,2,3177.0
2019,NUTS,2010,DE13,2,3366.0
2011,NUTS,2010,DE14,2,1085.0
2012,NUTS,2010,DE14,2,1065.0
2013,NUTS,2010,DE14,2,1116.0
2014,NUTS,2010,DE14,2,1038.0
2015,NUTS,2010,DE14,2,1239.0
2016,NUTS,2010,DE14,2,1270.0
2017,NUTS,2010,DE14,2,1359.0
2018,NUTS,2010,DE14,2,1416.0
2019,NUTS,2010,DE14,2,1460.0
2011,NUTS,2010,DE2,1,14607.0
2012,NUTS,2010,DE2,1,15047.0
2013,NUTS,2010,DE2,1,15717.0
2014,NUTS,2010,DE2,1,16113.0
2015,NUTS,2010,DE2,1,16193.0
2016,NUTS,2010,DE2,1,16495.0
2017,NUTS,2010,DE2,1,16914.0
2018,NUTS,2010,DE2,1,17583.0
2019,NUTS,2010,DE2,1,18223.0
2011,NUTS,2010,DE21,2,11602.0
2012,NUTS,2010,DE21,2,11951.0
2013,NUTS,2010,DE21,2,12501.0
2014,NUTS,2010,DE21,2,12875.0
2015,NUTS,2010,DE21,2,12633.0
2016,NUTS,2010,DE21,2,12846.0
2017,NUTS,2010,DE21,2,13040.0
2018,NUTS,2010,DE21,2,13428.0
2019,NUTS,2010,DE21,2,13787.0
2015,NUTS,2010,DE22,2,90.0
2016,NUTS,2010,DE22,2,92.0
2017,NUTS,2010,DE22,2,83.0
2018,NUTS,2010,DE22,2,96.0
2019,NUTS,2010,DE22,2,110.0
2015,NUTS,2010,DE23,2,261.0
2016,NUTS,2010,DE23,2,267.0
2017,NUTS,2010,DE23,2,246.0
2018,NUTS,2010,DE23,2,270.0
2019,NUTS,2010,DE23,2,269.0
2011,NUTS,2010,DE24,2,253.0
2012,NUTS,2010,DE24,2,272.0
2013,NUTS,2010,DE24,2,278.0
2014,NUTS,2010,DE24,2,399.0
2015,NUTS,2010,DE24,2,427.0
2016,NUTS,2010,DE24,2,353.0
2017,NUTS,2010,DE24,2,502.0
2018,NUTS,2010,DE24,2,501.0
2019,NUTS,2010,DE24,2,475.0
2011,NUTS,2010,DE25,2,1611.0
2012,NUTS,2010,DE25,2,1547.0
2013,NUTS,2010,DE25,2,1783.0
2014,NUTS,2010,DE25,2,1722.0
2015,NUTS,2010,DE25,2,1850.0
2016,NUTS,2010,DE25,2,1953.0
2017,NUTS,2010,DE25,2,2035.0
2018,NUTS,2010,DE25,2,2168.0
2019,NUTS,2010,DE25,2,2354.0
2011,NUTS,2010,DE26,2,688.0
2012,NUTS,2010,DE26,2,638.0
2013,NUTS,2010,DE26,2,619.0
2014,NUTS,2010,DE26,2,456.0
2015,NUTS,2010,DE26,2,508.0
2016,NUTS,2010,DE26,2,536.0
2017,NUTS,2010,DE26,2,511.0
2018,NUTS,2010,DE26,2,524.0
2019,NUTS,2010,DE26,2,547.0
2011,NUTS,2010,DE27,2,269.0
2012,NUTS,2010,DE27,2,286.0
2013,NUTS,2010,DE27,2,317.0
2014,NUTS,2010,DE27,2,395.0
2015,NUTS,2010,DE27,2,424.0
2016,NUTS,2010,DE27,2,447.0
2017,NUTS,2010,DE27,2,496.0
2018,NUTS,2010,DE27,2,595.0
2019,NUTS,2010,DE27,2,680.0
2011,NUTS,2010,DE3,1,13082.0
2012,NUTS,2010,DE3,1,13460.0
2013,NUTS,2010,DE3,1,13527.0
2014,NUTS,2010,DE3,1,14167.0
2015,NUTS,2010,DE3,1,13660.0
2016,NUTS,2010,DE3,1,13903.0
2017,NUTS,2010,DE3,1,14623.0
2018,NUTS,2010,DE3,1,15486.0
2019,NUTS,2010,DE3,1,15843.0
2011,NUTS,2010,DE30,2,13082.0
2012,NUTS,2010,DE30,2,13460.0
2013,NUTS,2010,DE30,2,13527.0
2014,NUTS,2010,DE30,2,14167.0
2015,NUTS,2010,DE30,2,13660.0
2016,NUTS,2010,DE30,2,13903.0
2017,NUTS,2010,DE30,2,14623.0
2018,NUTS,2010,DE30,2,15486.0
2019,NUTS,2010,DE30,2,15843.0
2011,NUTS,2010,DE4,1,4375.0
2012,NUTS,2010,DE4,1,4502.0
2013,NUTS,2010,DE4,1,4639.0
2014,NUTS,2010,DE4,1,4844.0
2015,NUTS,2010,DE4,1,4599.0
2016,NUTS,2010,DE4,1,4845.0
2017,NUTS,2010,DE4,1,4874.0
2018,NUTS,2010,DE4,1,4958.0
2019,NUTS,2010,DE4,1,5215.0
2011,NUTS,2010,DE40,2,4375.0
2012,NUTS,2010,DE40,2,4502.0
2013,NUTS,2010,DE40,2,4639.0
2014,NUTS,2010,DE40,2,4844.0
2015,NUTS,2010,DE40,2,4599.0
2016,NUTS,2010,DE40,2,4845.0
2017,NUTS,2010,DE40,2,4874.0
2018,NUTS,2010,DE40,2,4958.0
2019,NUTS,2010,DE40,2,5215.0
2011,NUTS,2010,DE5,1,2371.0
2012,NUTS,2010,DE5,1,2514.0
2013,NUTS,2010,DE5,1,2583.0
2014,NUTS,2010,DE5,1,2894.0
2015,NUTS,2010,DE5,1,3022.0
2016,NUTS,2010,DE5,1,3101.0
2017,NUTS,2010,DE5,1,3110.0
2018,NUTS,2010,DE5,1,3234.0
2019,NUTS,2010,DE5,1,3415.0
2011,NUTS,2010,DE50,2,2371.0
2012,NUTS,2010,DE50,2,2514.0
2013,NUTS,2010,DE50,2,2583.0
2014,NUTS,2010,DE50,2,2894.0
2015,NUTS,2010,DE50,2,3022.0
2016,NUTS,2010,DE50,2,3101.0
2017,NUTS,2010,DE50,2,3110.0
2018,NUTS,2010,DE50,2,3234.0
2019,NUTS,2010,DE50,2,3415.0
2011,NUTS,2010,DE6,1,3337.0
2012,NUTS,2010,DE6,1,3424.0
2013,NUTS,2010,DE6,1,3754.0
2014,NUTS,2010,DE6,1,3875.0
2015,NUTS,2010,DE6,1,3887.0
2016,NUTS,2010,DE6,1,4005.0
2017,NUTS,2010,DE6,1,4026.0
2018,NUTS,2010,DE6,1,4146.0
2019,NUTS,2010,DE6,1,4287.0
2011,NUTS,2010,DE60,2,3337.0
2012,NUTS,2010,DE60,2,3424.0
2013,NUTS,2010,DE60,2,3754.0
2014,NUTS,2010,DE60,2,3875.0
2015,NUTS,2010,DE60,2,3887.0
2016,NUTS,2010,DE60,2,4005.0
2017,NUTS,2010,DE60,2,4026.0
2018,NUTS,2010,DE60,2,4146.0
2019,NUTS,2010,DE60,2,4287.0
2011,NUTS,2010,DE7,1,5228.0
2012,NUTS,2010,DE7,1,5199.0
2013,NUTS,2010,DE7,1,5176.0
2014,NUTS,2010,DE7,1,5180.0
2015,NUTS,2010,DE7,1,5445.0
2016,NUTS,2010,DE7,1,5895.0
2017,NUTS,2010,DE7,1,6366.0
2018,NUTS,2010,DE7,1,6370.0
2019,NUTS,2010,DE7,1,6548.0
2011,NUTS,2010,DE71,2,4786.0
2012,NUTS,2010,DE71,2,4722.0
2013,NUTS,2010,DE71,2,4693.0
2014,NUTS,2010,DE71,2,4645.0
2015,NUTS,2010,DE71,2,4703.0
2016,NUTS,2010,DE71,2,5076.0
2017,NUTS,2010,DE71,2,5498.0
2018,NUTS,2010,DE71,2,5678.0
2019,NUTS,2010,DE71,2,5818.0
2011,NUTS,2010,DE72,2,187.0
2012,NUTS,2010,DE72,2,181.0
2013,NUTS,2010,DE72,2,181.0
2014,NUTS,2010,DE72,2,223.0
2015,NUTS,2010,DE72,2,311.0
2016,NUTS,2010,DE72,2,363.0
2017,NUTS,2010,DE72,2,391.0
2018,NUTS,2010,DE72,2,335.0
2019,NUTS,2010,DE72,2,335.0
2011,NUTS,2010,DE73,2,254.0
2012,NUTS,2010,DE73,2,295.0
2013,NUTS,2010,DE73,2,302.0
2014,NUTS,2010,DE73,2,311.0
2015,NUTS,2010,DE73,2,430.0
2016,NUTS,2010,DE73,2,456.0
2017,NUTS,2010,DE73,2,477.0
2018,NUTS,2010,DE73,2,358.0
2019,NUTS,2010,DE73,2,395.0
2011,NUTS,2010,DE8,1,2400.0
2012,NUTS,2010,DE8,1,2467.0
2013,NUTS,2010,DE8,1,2388.0
2014,NUTS,2010,DE8,1,2465.0
2015,NUTS,2010,DE8,1,2409.0
2016,NUTS,2010,DE8,1,2493.0
2017,NUTS,2010,DE8,1,2509.0
2018,NUTS,2010,DE8,1,2569.0
2019,NUTS,2010,DE8,1,2673.0
2011,NUTS,2010,DE80,2,2400.0
2012,NUTS,2010,DE80,2,2467.0
2013,NUTS,2010,DE80,2,2388.0
2014,NUTS,2010,DE80,2,2465.0
2015,NUTS,2010,DE80,2,2409.0
2016,NUTS,2010,DE80,2,2493.0
2017,NUTS,2010,DE80,2,2509.0
2018,NUTS,2010,DE80,2,2569.0
2019,NUTS,2010,DE80,2,2673.0
2011,NUTS,2010,DE9,1,9153.0
2012,NUTS,2010,DE9,1,9286.0
2013,NUTS,2010,DE9,1,9372.0
2014,NUTS,2010,DE9,1,9873.0
2015,NUTS,2010,DE9,1,9906.0
2016,NUTS,2010,DE9,1,9858.0
2017,NUTS,2010,DE9,1,9975.0
2018,NUTS,2010,DE9,1,10395.0
2019,NUTS,2010,DE9,1,10242.0
2011,NUTS,2010,DE91,2,6673.0
2012,NUTS,2010,DE91,2,6740.0
2013,NUTS,2010,DE91,2,6875.0
2014,NUTS,2010,DE91,2,7065.0
2015,NUTS,2010,DE91,2,7132.0
2016,NUTS,2010,DE91,2,7218.0
2017,NUTS,2010,DE91,2,7206.0
2018,NUTS,2010,DE91,2,7131.0
2019,NUTS,2010,DE91,2,7179.0
2011,NUTS,2010,DE92,2,1466.0
2012,NUTS,2010,DE92,2,1499.0
2013,NUTS,2010,DE92,2,1420.0
2014,NUTS,2010,DE92,2,1695.0
2015,NUTS,2010,DE92,2,1641.0
2016,NUTS,2010,DE92,2,1686.0
2017,NUTS,2010,DE92,2,1645.0
2018,NUTS,2010,DE92,2,2142.0
2019,NUTS,2010,DE92,2,2082.0
2011,NUTS,2010,DE93,2,373.0
2012,NUTS,2010,DE93,2,394.0
2013,NUTS,2010,DE93,2,348.0
2014,NUTS,2010,DE93,2,285.0
2015,NUTS,2010,DE93,2,367.0
2016,NUTS,2010,DE93,2,277.0
2017,NUTS,2010,DE93,2,404.0
2018,NUTS,2010,DE93,2,341.0
2019,NUTS,2010,DE93,2,342.0
2011,NUTS,2010,DE94,2,641.0
2012,NUTS,2010,DE94,2,654.0
2013,NUTS,2010,DE94,2,730.0
2014,NUTS,2010,DE94,2,829.0
2015,NUTS,2010,DE94,2,766.0
2016,NUTS,2010,DE94,2,677.0
2017,NUTS,2010,DE94,2,721.0
2018,NUTS,2010,DE94,2,781.0
2019,NUTS,2010,DE94,2,639.0
2011,NUTS,2010,DEA,1,18842.0
2012,NUTS,2010,DEA,1,19276.0
2013,NUTS,2010,DEA,1,19475.0
2014,NUTS,2010,DEA,1,20365.0
2015,NUTS,2010,DEA,1,20674.0
2016,NUTS,2010,DEA,1,20932.0
2017,NUTS,2010,DEA,1,21600.0
2018,NUTS,2010,DEA,1,22616.0
2019,NUTS,2010,DEA,1,23430.0
2011,NUTS,2010,DEA1,2,2515.0
2012,NUTS,2010,DEA1,2,2451.0
2013,NUTS,2010,DEA1,2,2280.0
2014,NUTS,2010,DEA1,2,2501.0
2015,NUTS,2010,DEA1,2,2586.0
2016,NUTS,2010,DEA1,2,2502.0
2017,NUTS,2010,DEA1,2,2591.0
2018,NUTS,2010,DEA1,2,2794.0
2019,NUTS,2010,DEA1,2,2834.0
2011,NUTS,2010,DEA2,2,13620.0
2012,NUTS,2010,DEA2,2,14082.0
2013,NUTS,2010,DEA2,2,14362.0
2014,NUTS,2010,DEA2,2,14877.0
2015,NUTS,2010,DEA2,2,15021.0
2016,NUTS,2010,DEA2,2,15193.0
2017,NUTS,2010,DEA2,2,15558.0
