year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_nr_avi
1980,NUTS,2010,AT,0,1.0
1983,NUTS,2010,AT,0,1.0
1984,NUTS,2010,AT,0,2.0
1987,NUTS,2010,AT,0,4.0
1988,NUTS,2010,AT,0,3.0
1989,NUTS,2010,AT,0,1.0
1992,NUTS,2010,AT,0,4.0
1993,NUTS,2010,AT,0,3.0
1995,NUTS,2010,AT,0,2.0
1996,NUTS,2010,AT,0,2.0
1997,NUTS,2010,AT,0,5.0
1998,NUTS,2010,AT,0,1.0
1999,NUTS,2010,AT,0,2.0
2000,NUTS,2010,AT,0,2.0
2001,NUTS,2010,AT,0,11.2
2002,NUTS,2010,AT,0,3.33
2003,NUTS,2010,AT,0,2.13
2004,NUTS,2010,AT,0,4.0
2005,NUTS,2010,AT,0,3.5
2006,NUTS,2010,AT,0,5.0
2007,NUTS,2010,AT,0,0.67
2008,NUTS,2010,AT,0,4.0
2009,NUTS,2010,AT,0,9.0
2010,NUTS,2010,AT,0,5.2
2011,NUTS,2010,AT,0,9.5
2012,NUTS,2010,AT,0,6.0
1983,NUTS,2010,AT1,1,1.0
1984,NUTS,2010,AT1,1,1.0
1987,NUTS,2010,AT1,1,2.0
1988,NUTS,2010,AT1,1,1.0
1992,NUTS,2010,AT1,1,3.0
1995,NUTS,2010,AT1,1,1.0
1996,NUTS,2010,AT1,1,1.0
1997,NUTS,2010,AT1,1,1.0
1999,NUTS,2010,AT1,1,1.0
2001,NUTS,2010,AT1,1,5.0
2002,NUTS,2010,AT1,1,0.33
2003,NUTS,2010,AT1,1,0.13
2004,NUTS,2010,AT1,1,2.0
2005,NUTS,2010,AT1,1,2.0
2006,NUTS,2010,AT1,1,0.5
2008,NUTS,2010,AT1,1,0.5
2009,NUTS,2010,AT1,1,4.0
2010,NUTS,2010,AT1,1,2.0
2011,NUTS,2010,AT1,1,1.5
2012,NUTS,2010,AT1,1,2.0
2009,NUTS,2010,AT11,2,0.33
2012,NUTS,2010,AT11,2,1.25
2009,NUTS,2010,AT112,3,0.33
2012,NUTS,2010,AT112,3,0.5
2012,NUTS,2010,AT113,3,0.75
1987,NUTS,2010,AT12,2,2.0
1988,NUTS,2010,AT12,2,1.0
1992,NUTS,2010,AT12,2,2.0
1995,NUTS,2010,AT12,2,0.5
1996,NUTS,2010,AT12,2,1.0
1997,NUTS,2010,AT12,2,1.0
2001,NUTS,2010,AT12,2,1.2
2003,NUTS,2010,AT12,2,0.13
2006,NUTS,2010,AT12,2,0.5
2009,NUTS,2010,AT12,2,2.33
2011,NUTS,2010,AT12,2,0.5
2012,NUTS,2010,AT12,2,0.25
1988,NUTS,2010,AT121,3,1.0
1996,NUTS,2010,AT121,3,1.0
1997,NUTS,2010,AT121,3,1.0
2009,NUTS,2010,AT121,3,1.0
1987,NUTS,2010,AT122,3,1.0
1992,NUTS,2010,AT122,3,1.0
2001,NUTS,2010,AT122,3,0.4
2003,NUTS,2010,AT122,3,0.13
2012,NUTS,2010,AT122,3,0.25
2001,NUTS,2010,AT123,3,0.4
2001,NUTS,2010,AT126,3,0.4
2009,NUTS,2010,AT126,3,0.33
1987,NUTS,2010,AT127,3,1.0
1992,NUTS,2010,AT127,3,1.0
1995,NUTS,2010,AT127,3,0.5
2006,NUTS,2010,AT127,3,0.5
2009,NUTS,2010,AT127,3,1.0
2011,NUTS,2010,AT127,3,0.5
1983,NUTS,2010,AT13,2,1.0
1984,NUTS,2010,AT13,2,1.0
1992,NUTS,2010,AT13,2,1.0
1995,NUTS,2010,AT13,2,0.5
1999,NUTS,2010,AT13,2,1.0
2001,NUTS,2010,AT13,2,3.8
2002,NUTS,2010,AT13,2,0.33
2004,NUTS,2010,AT13,2,2.0
2005,NUTS,2010,AT13,2,2.0
2008,NUTS,2010,AT13,2,0.5
2009,NUTS,2010,AT13,2,1.33
2010,NUTS,2010,AT13,2,2.0
2011,NUTS,2010,AT13,2,1.0
2012,NUTS,2010,AT13,2,0.5
1983,NUTS,2010,AT130,3,1.0
1984,NUTS,2010,AT130,3,1.0
1992,NUTS,2010,AT130,3,1.0
1995,NUTS,2010,AT130,3,0.5
1999,NUTS,2010,AT130,3,1.0
2001,NUTS,2010,AT130,3,3.8
2002,NUTS,2010,AT130,3,0.33
2004,NUTS,2010,AT130,3,2.0
2005,NUTS,2010,AT130,3,2.0
2008,NUTS,2010,AT130,3,0.5
2009,NUTS,2010,AT130,3,1.33
2010,NUTS,2010,AT130,3,2.0
2011,NUTS,2010,AT130,3,1.0
2012,NUTS,2010,AT130,3,0.5
1988,NUTS,2010,AT2,1,1.0
1993,NUTS,2010,AT2,1,1.0
2002,NUTS,2010,AT2,1,2.0
2005,NUTS,2010,AT2,1,1.0
2006,NUTS,2010,AT2,1,2.5
2008,NUTS,2010,AT2,1,1.0
2009,NUTS,2010,AT2,1,3.0
2012,NUTS,2010,AT2,1,2.0
1988,NUTS,2010,AT21,2,1.0
2002,NUTS,2010,AT21,2,2.0
2012,NUTS,2010,AT21,2,1.0
1988,NUTS,2010,AT211,3,1.0
2002,NUTS,2010,AT211,3,2.0
2012,NUTS,2010,AT212,3,1.0
1993,NUTS,2010,AT22,2,1.0
2005,NUTS,2010,AT22,2,1.0
2006,NUTS,2010,AT22,2,2.5
2008,NUTS,2010,AT22,2,1.0
2009,NUTS,2010,AT22,2,3.0
2012,NUTS,2010,AT22,2,1.0
2005,NUTS,2010,AT221,3,1.0
2008,NUTS,2010,AT221,3,0.5
2009,NUTS,2010,AT221,3,3.0
2012,NUTS,2010,AT221,3,1.0
1993,NUTS,2010,AT225,3,1.0
2006,NUTS,2010,AT225,3,1.0
2008,NUTS,2010,AT225,3,0.5
2006,NUTS,2010,AT226,3,1.5
1980,NUTS,2010,AT3,1,1.0
1984,NUTS,2010,AT3,1,1.0
1987,NUTS,2010,AT3,1,2.0
1988,NUTS,2010,AT3,1,1.0
1989,NUTS,2010,AT3,1,1.0
1992,NUTS,2010,AT3,1,1.0
1993,NUTS,2010,AT3,1,2.0
1995,NUTS,2010,AT3,1,1.0
1996,NUTS,2010,AT3,1,1.0
1997,NUTS,2010,AT3,1,4.0
1998,NUTS,2010,AT3,1,1.0
1999,NUTS,2010,AT3,1,1.0
2000,NUTS,2010,AT3,1,2.0
2001,NUTS,2010,AT3,1,6.2
2002,NUTS,2010,AT3,1,1.0
2003,NUTS,2010,AT3,1,2.0
2004,NUTS,2010,AT3,1,2.0
2005,NUTS,2010,AT3,1,0.5
2006,NUTS,2010,AT3,1,2.0
2007,NUTS,2010,AT3,1,0.67
2008,NUTS,2010,AT3,1,2.5
2009,NUTS,2010,AT3,1,2.0
2010,NUTS,2010,AT3,1,3.0
2011,NUTS,2010,AT3,1,8.0
2012,NUTS,2010,AT3,1,2.0
1980,NUTS,2010,AT31,2,1.0
