year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_eur_bes
2015,NUTS,2010,AT11,2,68.606
2017,NUTS,2010,AT11,2,64.783
2019,NUTS,2010,AT11,2,65.34
1989,NUTS,2010,AT12,2,86.419
1993,NUTS,2010,AT12,2,91.072
1998,NUTS,2010,AT12,2,180.771
2002,NUTS,2010,AT12,2,264.672
2004,NUTS,2010,AT12,2,303.125
2006,NUTS,2010,AT12,2,419.846
2007,NUTS,2010,AT12,2,468.013
2009,NUTS,2010,AT12,2,519.196
2011,NUTS,2010,AT12,2,614.14
2013,NUTS,2010,AT12,2,676.822
2015,NUTS,2010,AT12,2,750.878
2017,NUTS,2010,AT12,2,789.379
2019,NUTS,2010,AT12,2,847.767
1989,NUTS,2010,AT13,2,389.243
1993,NUTS,2010,AT13,2,639.582
1998,NUTS,2010,AT13,2,933.651
2002,NUTS,2010,AT13,2,1152.289
2004,NUTS,2010,AT13,2,1257.565
2006,NUTS,2010,AT13,2,1434.917
2007,NUTS,2010,AT13,2,1543.085
2009,NUTS,2010,AT13,2,1571.981
2011,NUTS,2010,AT13,2,1510.248
2013,NUTS,2010,AT13,2,1488.507
2015,NUTS,2010,AT13,2,1630.538
2017,NUTS,2010,AT13,2,1606.831
2019,NUTS,2010,AT13,2,1783.752
1989,NUTS,2010,AT2,1,163.695
1993,NUTS,2010,AT2,1,179.315
1998,NUTS,2010,AT2,1,457.886
2002,NUTS,2010,AT2,1,795.975
2004,NUTS,2010,AT2,1,904.477
2006,NUTS,2010,AT2,1,1111.755
2007,NUTS,2010,AT2,1,1268.444
2009,NUTS,2010,AT2,1,1238.983
2011,NUTS,2010,AT2,1,1586.804
2013,NUTS,2010,AT2,1,1948.502
2015,NUTS,2010,AT2,1,2226.814
2017,NUTS,2010,AT2,1,2237.744
2019,NUTS,2010,AT2,1,2607.362
1989,NUTS,2010,AT21,2,17.983
1993,NUTS,2010,AT21,2,17.13
1998,NUTS,2010,AT21,2,97.338
2002,NUTS,2010,AT21,2,196.689
2004,NUTS,2010,AT21,2,275.86
2006,NUTS,2010,AT21,2,352.765
2007,NUTS,2010,AT21,2,373.317
2009,NUTS,2010,AT21,2,334.09
2011,NUTS,2010,AT21,2,422.71
2013,NUTS,2010,AT21,2,449.926
2015,NUTS,2010,AT21,2,534.879
2017,NUTS,2010,AT21,2,524.332
2019,NUTS,2010,AT21,2,627.693
1989,NUTS,2010,AT22,2,145.712
1993,NUTS,2010,AT22,2,162.186
1998,NUTS,2010,AT22,2,360.548
2002,NUTS,2010,AT22,2,599.286
2004,NUTS,2010,AT22,2,628.617
2006,NUTS,2010,AT22,2,759.02
2007,NUTS,2010,AT22,2,895.127
2009,NUTS,2010,AT22,2,904.893
2011,NUTS,2010,AT22,2,1164.094
2013,NUTS,2010,AT22,2,1498.576
2015,NUTS,2010,AT22,2,1691.935
2017,NUTS,2010,AT22,2,1713.412
2019,NUTS,2010,AT22,2,1979.669
1989,NUTS,2010,AT3,1,281.139
1993,NUTS,2010,AT3,1,345.793
1998,NUTS,2010,AT3,1,569.13
2002,NUTS,2010,AT3,1,887.916
2004,NUTS,2010,AT3,1,1065.961
2006,NUTS,2010,AT3,1,1452.034
2007,NUTS,2010,AT3,1,1533.138
2009,NUTS,2010,AT3,1,1718.552
2011,NUTS,2010,AT3,1,1930.543
2013,NUTS,2010,AT3,1,2605.08
2015,NUTS,2010,AT3,1,2821.652
2017,NUTS,2010,AT3,1,3189.707
2019,NUTS,2010,AT3,1,3444.922
1989,NUTS,2010,AT31,2,167.539
1993,NUTS,2010,AT31,2,191.506
1998,NUTS,2010,AT31,2,331.744
2002,NUTS,2010,AT31,2,513.178
2004,NUTS,2010,AT31,2,630.128
2006,NUTS,2010,AT31,2,873.162
2007,NUTS,2010,AT31,2,941.051
2009,NUTS,2010,AT31,2,1008.656
2011,NUTS,2010,AT31,2,1149.648
2013,NUTS,2010,AT31,2,1577.135
2015,NUTS,2010,AT31,2,1680.958
2017,NUTS,2010,AT31,2,1996.239
2019,NUTS,2010,AT31,2,2156.472
1989,NUTS,2010,AT32,2,19.909
1993,NUTS,2010,AT32,2,28.078
1998,NUTS,2010,AT32,2,41.716
2002,NUTS,2010,AT32,2,72.295
2004,NUTS,2010,AT32,2,94.785
2006,NUTS,2010,AT32,2,123.87
2007,NUTS,2010,AT32,2,125.035
2009,NUTS,2010,AT32,2,139.493
2011,NUTS,2010,AT32,2,178.072
2013,NUTS,2010,AT32,2,226.648
2015,NUTS,2010,AT32,2,247.331
2017,NUTS,2010,AT32,2,297.695
2019,NUTS,2010,AT32,2,329.224
1989,NUTS,2010,AT33,2,62.731
1993,NUTS,2010,AT33,2,81.628
1998,NUTS,2010,AT33,2,123.163
2002,NUTS,2010,AT33,2,177.751
2004,NUTS,2010,AT33,2,215.767
2006,NUTS,2010,AT33,2,311.086
2007,NUTS,2010,AT33,2,307.421
2009,NUTS,2010,AT33,2,382.128
2011,NUTS,2010,AT33,2,416.331
2013,NUTS,2010,AT33,2,573.78
2015,NUTS,2010,AT33,2,613.524
2017,NUTS,2010,AT33,2,602.681
2019,NUTS,2010,AT33,2,637.866
1989,NUTS,2010,AT34,2,30.96
1993,NUTS,2010,AT34,2,44.581
1998,NUTS,2010,AT34,2,72.507
2002,NUTS,2010,AT34,2,124.692
2004,NUTS,2010,AT34,2,125.281
2006,NUTS,2010,AT34,2,143.916
2007,NUTS,2010,AT34,2,159.631
2009,NUTS,2010,AT34,2,188.275
2011,NUTS,2010,AT34,2,186.492
2013,NUTS,2010,AT34,2,227.517
2015,NUTS,2010,AT34,2,279.839
2017,NUTS,2010,AT34,2,293.092
2019,NUTS,2010,AT34,2,321.36
1993,NUTS,2010,ATZ,1,35.31
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
1993,NUTS,2010,ATZZ,2,35.31
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,20.91
2013,NUTS,2010,BA,0,25.704
2014,NUTS,2010,BA,0,6.811
2019,NUTS,2010,BA,0,13.127
1981,NUTS,2010,BE,0,908.596
1982,NUTS,2010,BE,0,945.697
1983,NUTS,2010,BE,0,1036.719
1984,NUTS,2010,BE,0,1135.446
1985,NUTS,2010,BE,0,1270.927
1986,NUTS,2010,BE,0,1384.204
1987,NUTS,2010,BE,0,1485.839
1988,NUTS,2010,BE,0,1545.746
1989,NUTS,2010,BE,0,1581.849
1991,NUTS,2010,BE,0,1764.775
1992,NUTS,2010,BE,0,2024.77
1993,NUTS,2010,BE,0,2252.676
1994,NUTS,2010,BE,0,2398.474
1995,NUTS,2010,BE,0,2585.927
1996,NUTS,2010,BE,0,2744.519
1997,NUTS,2010,BE,0,2890.764
1998,NUTS,2010,BE,0,3014.002
1999,NUTS,2010,BE,0,3307.12
2000,NUTS,2010,BE,0,3588.61
2001,NUTS,2010,BE,0,3921.103
2002,NUTS,2010,BE,0,3662.347
2003,NUTS,2010,BE,0,3607.892
2004,NUTS,2010,BE,0,3731.814
2005,NUTS,2010,BE,0,3775.624
2006,NUTS,2010,BE,0,4105.615
2007,NUTS,2010,BE,0,4420.386
2008,NUTS,2010,BE,0,4650.011
2009,NUTS,2010,BE,0,4574.767
2010,NUTS,2010,BE,0,5027.7
2011,NUTS,2010,BE,0,5613.4
2012,NUTS,2010,BE,0,6148.955
2013,NUTS,2010,BE,0,6356.837
2014,NUTS,2010,BE,0,6675.968
2015,NUTS,2010,BE,0,7076.364
2016,NUTS,2010,BE,0,7444.72
2017,NUTS,2010,BE,0,8333.61
2018,NUTS,2010,BE,0,9432.611
2019,NUTS,2010,BE,0,11143.444
2020,NUTS,2010,BE,0,11567.361
1989,NUTS,2010,BE1,1,305.226
1991,NUTS,2010,BE1,1,318.277
1993,NUTS,2010,BE1,1,365.743
1994,NUTS,2010,BE1,1,388.262
1995,NUTS,2010,BE1,1,403.851
1996,NUTS,2010,BE1,1,428.208
1997,NUTS,2010,BE1,1,422.074
1998,NUTS,2010,BE1,1,276.574
1999,NUTS,2010,BE1,1,286.685
2000,NUTS,2010,BE1,1,296.372
2001,NUTS,2010,BE1,1,322.965
2002,NUTS,2010,BE1,1,316.611
2003,NUTS,2010,BE1,1,300.137
2004,NUTS,2010,BE1,1,310.599
2005,NUTS,2010,BE1,1,315.042
2006,NUTS,2010,BE1,1,486.917
2007,NUTS,2010,BE1,1,491.698
2008,NUTS,2010,BE1,1,540.333
2009,NUTS,2010,BE1,1,511.24
2010,NUTS,2010,BE1,1,477.071
2011,NUTS,2010,BE1,1,482.463
2012,NUTS,2010,BE1,1,524.048
2013,NUTS,2010,BE1,1,538.894
2014,NUTS,2010,BE1,1,673.141
2015,NUTS,2010,BE1,1,745.792
2016,NUTS,2010,BE1,1,869.05
2017,NUTS,2010,BE1,1,1007.613
2018,NUTS,2010,BE1,1,1184.282
2019,NUTS,2010,BE1,1,1296.574
1989,NUTS,2010,BE10,2,305.226
1991,NUTS,2010,BE10,2,318.277
1993,NUTS,2010,BE10,2,365.743
1994,NUTS,2010,BE10,2,388.262
1995,NUTS,2010,BE10,2,403.851
1996,NUTS,2010,BE10,2,428.208
1997,NUTS,2010,BE10,2,422.074
1998,NUTS,2010,BE10,2,276.574
1999,NUTS,2010,BE10,2,286.685
2000,NUTS,2010,BE10,2,296.372
2001,NUTS,2010,BE10,2,322.965
2002,NUTS,2010,BE10,2,316.611
2003,NUTS,2010,BE10,2,300.137
2004,NUTS,2010,BE10,2,310.599
2005,NUTS,2010,BE10,2,315.042
2006,NUTS,2010,BE10,2,486.917
2007,NUTS,2010,BE10,2,491.698
2008,NUTS,2010,BE10,2,540.333
2009,NUTS,2010,BE10,2,511.24
2010,NUTS,2010,BE10,2,477.071
2011,NUTS,2010,BE10,2,482.463
2012,NUTS,2010,BE10,2,524.048
2013,NUTS,2010,BE10,2,538.894
2014,NUTS,2010,BE10,2,673.141
2015,NUTS,2010,BE10,2,745.792
2016,NUTS,2010,BE10,2,869.05
2017,NUTS,2010,BE10,2,1007.613
2018,NUTS,2010,BE10,2,1184.282
2019,NUTS,2010,BE10,2,1296.574
1989,NUTS,2010,BE2,1,910.777
1991,NUTS,2010,BE2,1,1038.684
1993,NUTS,2010,BE2,1,1342.859
1994,NUTS,2010,BE2,1,1433.079
1995,NUTS,2010,BE2,1,1527.258
1996,NUTS,2010,BE2,1,1646.541
1997,NUTS,2010,BE2,1,1789.719
1998,NUTS,2010,BE2,1,2016.107
1999,NUTS,2010,BE2,1,2205.012
2000,NUTS,2010,BE2,1,2442.093
2001,NUTS,2010,BE2,1,2676.649
2002,NUTS,2010,BE2,1,2472.254
2003,NUTS,2010,BE2,1,2375.951
2004,NUTS,2010,BE2,1,2388.679
2005,NUTS,2010,BE2,1,2497.821
2006,NUTS,2010,BE2,1,2479.367
2007,NUTS,2010,BE2,1,2662.328
2008,NUTS,2010,BE2,1,2833.139
2009,NUTS,2010,BE2,1,2714.496
2010,NUTS,2010,BE2,1,3080.81
2011,NUTS,2010,BE2,1,3423.779
2012,NUTS,2010,BE2,1,3891.733
2013,NUTS,2010,BE2,1,4022.356
2014,NUTS,2010,BE2,1,4234.102
2015,NUTS,2010,BE2,1,4525.257
2016,NUTS,2010,BE2,1,4711.221
2017,NUTS,2010,BE2,1,5234.839
2018,NUTS,2010,BE2,1,5497.259
2019,NUTS,2010,BE2,1,6703.931
1989,NUTS,2010,BE3,1,320.83
1991,NUTS,2010,BE3,1,354.209
1993,NUTS,2010,BE3,1,544.085
1994,NUTS,2010,BE3,1,577.134
1995,NUTS,2010,BE3,1,654.819
1996,NUTS,2010,BE3,1,669.78
1997,NUTS,2010,BE3,1,678.971
1998,NUTS,2010,BE3,1,721.321
1999,NUTS,2010,BE3,1,815.423
2000,NUTS,2010,BE3,1,850.145
2001,NUTS,2010,BE3,1,921.489
2002,NUTS,2010,BE3,1,873.482
2003,NUTS,2010,BE3,1,931.805
2004,NUTS,2010,BE3,1,1032.537
2005,NUTS,2010,BE3,1,962.761
2006,NUTS,2010,BE3,1,1139.331
2007,NUTS,2010,BE3,1,1266.36
2008,NUTS,2010,BE3,1,1276.539
2009,NUTS,2010,BE3,1,1349.032
2010,NUTS,2010,BE3,1,1469.776
2011,NUTS,2010,BE3,1,1707.138
2012,NUTS,2010,BE3,1,1733.198
2013,NUTS,2010,BE3,1,1795.619
2014,NUTS,2010,BE3,1,1768.725
2015,NUTS,2010,BE3,1,1805.316
2016,NUTS,2010,BE3,1,1864.449
2017,NUTS,2010,BE3,1,2091.158
2018,NUTS,2010,BE3,1,2751.07
2019,NUTS,2010,BE3,1,3142.939
1989,NUTS,2010,BEZ,1,45.044
1991,NUTS,2010,BEZ,1,53.616
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
1989,NUTS,2010,BEZZ,2,45.044
1991,NUTS,2010,BEZZ,2,53.616
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1987,NUTS,2010,BG,0,316.923
1988,NUTS,2010,BG,0,432.143
1989,NUTS,2010,BG,0,490.909
1990,NUTS,2010,BG,0,147.556
1991,NUTS,2010,BG,0,33.166
1992,NUTS,2010,BG,0,32.838
1993,NUTS,2010,BG,0,54.892
1994,NUTS,2010,BG,0,35.575
1995,NUTS,2010,BG,0,30.614
1996,NUTS,2010,BG,0,24.202
1997,NUTS,2010,BG,0,10.741
1998,NUTS,2010,BG,0,12.077
1999,NUTS,2010,BG,0,14.137
2000,NUTS,2010,BG,0,15.242
2001,NUTS,2010,BG,0,14.566
2002,NUTS,2010,BG,0,15.044
2003,NUTS,2010,BG,0,17.722
2004,NUTS,2010,BG,0,23.55
2005,NUTS,2010,BG,0,22.908
2006,NUTS,2010,BG,0,30.883
2007,NUTS,2010,BG,0,43.494
2008,NUTS,2010,BG,0,51.699
2009,NUTS,2010,BG,0,55.309
2010,NUTS,2010,BG,0,108.45
2011,NUTS,2010,BG,0,116.93
2012,NUTS,2010,BG,0,153.546
2013,NUTS,2010,BG,0,162.921
2014,NUTS,2010,BG,0,223.416
2015,NUTS,2010,BG,0,318.993
2016,NUTS,2010,BG,0,275.045
2017,NUTS,2010,BG,0,273.07
2018,NUTS,2010,BG,0,304.777
2019,NUTS,2010,BG,0,344.167
2020,NUTS,2010,BG,0,353.348
2003,NUTS,2010,BG3,1,4.804
2004,NUTS,2010,BG3,1,4.57
2005,NUTS,2010,BG3,1,3.173
2006,NUTS,2010,BG3,1,7.471
2007,NUTS,2010,BG3,1,6.512
2008,NUTS,2010,BG3,1,8.684
2009,NUTS,2010,BG3,1,9.626
2010,NUTS,2010,BG3,1,11.114
2011,NUTS,2010,BG3,1,8.895
2012,NUTS,2010,BG3,1,12.644
2013,NUTS,2010,BG3,1,19.049
2014,NUTS,2010,BG3,1,24.785
2015,NUTS,2010,BG3,1,57.552
2016,NUTS,2010,BG3,1,57.775
2017,NUTS,2010,BG3,1,60.498
2018,NUTS,2010,BG3,1,60.901
2019,NUTS,2010,BG3,1,62.11
2007,NUTS,2010,BG31,2,1.07
2008,NUTS,2010,BG31,2,1.098
2014,NUTS,2010,BG31,2,3.467
2015,NUTS,2010,BG31,2,14.049
2016,NUTS,2010,BG31,2,12.352
2017,NUTS,2010,BG31,2,12.693
2018,NUTS,2010,BG31,2,15.505
2019,NUTS,2010,BG31,2,12.203
2002,NUTS,2010,BG32,2,2.925
2003,NUTS,2010,BG32,2,2.164
2004,NUTS,2010,BG32,2,1.984
2005,NUTS,2010,BG32,2,0.727
2007,NUTS,2010,BG32,2,1.099
2008,NUTS,2010,BG32,2,1.303
2009,NUTS,2010,BG32,2,1.535
2010,NUTS,2010,BG32,2,2.34
2012,NUTS,2010,BG32,2,2.603
2013,NUTS,2010,BG32,2,3.832
2014,NUTS,2010,BG32,2,4.269
2015,NUTS,2010,BG32,2,18.101
2016,NUTS,2010,BG32,2,14.662
2017,NUTS,2010,BG32,2,14.276
2018,NUTS,2010,BG32,2,12.439
2019,NUTS,2010,BG32,2,14.29
2006,NUTS,2010,BG33,2,2.708
2007,NUTS,2010,BG33,2,1.337
2008,NUTS,2010,BG33,2,2.554
2011,NUTS,2010,BG33,2,2.522
2014,NUTS,2010,BG33,2,6.548
2015,NUTS,2010,BG33,2,10.462
2016,NUTS,2010,BG33,2,17.234
2017,NUTS,2010,BG33,2,17.506
2018,NUTS,2010,BG33,2,15.767
2019,NUTS,2010,BG33,2,16.821
2002,NUTS,2010,BG34,2,1.192
2003,NUTS,2010,BG34,2,1.236
2004,NUTS,2010,BG34,2,1.061
2005,NUTS,2010,BG34,2,0.889
2006,NUTS,2010,BG34,2,2.363
2007,NUTS,2010,BG34,2,3.008
2008,NUTS,2010,BG34,2,3.729
2009,NUTS,2010,BG34,2,3.83
2010,NUTS,2010,BG34,2,5.435
2011,NUTS,2010,BG34,2,2.999
2012,NUTS,2010,BG34,2,4.337
2013,NUTS,2010,BG34,2,5.207
2014,NUTS,2010,BG34,2,10.502
2015,NUTS,2010,BG34,2,14.941
2016,NUTS,2010,BG34,2,13.527
2017,NUTS,2010,BG34,2,16.023
2018,NUTS,2010,BG34,2,17.19
2019,NUTS,2010,BG34,2,18.795
2003,NUTS,2010,BG4,1,12.918
2004,NUTS,2010,BG4,1,18.83
2005,NUTS,2010,BG4,1,19.735
2006,NUTS,2010,BG4,1,23.412
2007,NUTS,2010,BG4,1,36.981
2008,NUTS,2010,BG4,1,43.015
2009,NUTS,2010,BG4,1,45.683
2010,NUTS,2010,BG4,1,97.337
2011,NUTS,2010,BG4,1,108.035
2012,NUTS,2010,BG4,1,140.902
2013,NUTS,2010,BG4,1,143.872
2014,NUTS,2010,BG4,1,198.631
2015,NUTS,2010,BG4,1,261.44
2016,NUTS,2010,BG4,1,217.27
2017,NUTS,2010,BG4,1,212.572
2018,NUTS,2010,BG4,1,243.876
2019,NUTS,2010,BG4,1,282.058
1999,NUTS,2010,BG41,2,9.291
2000,NUTS,2010,BG41,2,10.883
2002,NUTS,2010,BG41,2,9.57
2003,NUTS,2010,BG41,2,11.335
2004,NUTS,2010,BG41,2,17.831
2005,NUTS,2010,BG41,2,17.613
2006,NUTS,2010,BG41,2,20.927
2007,NUTS,2010,BG41,2,31.487
2008,NUTS,2010,BG41,2,30.348
2009,NUTS,2010,BG41,2,41.55
2010,NUTS,2010,BG41,2,92.559
2011,NUTS,2010,BG41,2,103.203
2012,NUTS,2010,BG41,2,133.418
2013,NUTS,2010,BG41,2,137.07
2014,NUTS,2010,BG41,2,187.894
2015,NUTS,2010,BG41,2,236.047
2016,NUTS,2010,BG41,2,189.696
2017,NUTS,2010,BG41,2,184.442
2018,NUTS,2010,BG41,2,217.036
2019,NUTS,2010,BG41,2,252.445
2003,NUTS,2010,BG42,2,1.583
2004,NUTS,2010,BG42,2,0.999
2005,NUTS,2010,BG42,2,2.122
2006,NUTS,2010,BG42,2,2.485
2007,NUTS,2010,BG42,2,5.494
2008,NUTS,2010,BG42,2,12.667
2009,NUTS,2010,BG42,2,4.133
2010,NUTS,2010,BG42,2,4.778
2011,NUTS,2010,BG42,2,4.831
2012,NUTS,2010,BG42,2,7.484
2013,NUTS,2010,BG42,2,6.801
2014,NUTS,2010,BG42,2,10.737
2015,NUTS,2010,BG42,2,25.393
2016,NUTS,2010,BG42,2,27.573
2017,NUTS,2010,BG42,2,28.131
2018,NUTS,2010,BG42,2,26.84
2019,NUTS,2010,BG42,2,29.613
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1981,NUTS,2010,CH,0,1433.405
1983,NUTS,2010,CH,0,1848.461
1986,NUTS,2010,CH,0,3093.873
1989,NUTS,2010,CH,0,3449.808
1992,NUTS,2010,CH,0,3504.236
1996,NUTS,2010,CH,0,4502.838
2000,NUTS,2010,CH,0,5064.51
2004,NUTS,2010,CH,0,6257.287
2008,NUTS,2010,CH,0,7546.932
2012,NUTS,2010,CH,0,10635.289
2015,NUTS,2010,CH,0,13073.587
2017,NUTS,2010,CH,0,12701.086
2019,NUTS,2010,CH,0,13892.472
1981,NUTS,2010,CH0,1,1433.405
1983,NUTS,2010,CH0,1,1848.461
1986,NUTS,2010,CH0,1,3093.873
1989,NUTS,2010,CH0,1,3449.808
1992,NUTS,2010,CH0,1,3504.236
1996,NUTS,2010,CH0,1,4502.838
2000,NUTS,2010,CH0,1,5064.51
2004,NUTS,2010,CH0,1,6257.287
2008,NUTS,2010,CH0,1,7546.932
2012,NUTS,2010,CH0,1,10635.289
2015,NUTS,2010,CH0,1,13073.587
2017,NUTS,2010,CH0,1,12701.086
2019,NUTS,2010,CH0,1,13892.472
2008,NUTS,2010,CH01,2,1213.935
2012,NUTS,2010,CH01,2,1452.316
2015,NUTS,2010,CH01,2,1835.021
2008,NUTS,2010,CH02,2,846.038
2012,NUTS,2010,CH02,2,1623.317
2015,NUTS,2010,CH02,2,1770.509
2008,NUTS,2010,CH03,2,3580.698
2012,NUTS,2010,CH03,2,5307.112
2015,NUTS,2010,CH03,2,6884.822
2008,NUTS,2010,CH04,2,640.67
2012,NUTS,2010,CH04,2,1209.383
2015,NUTS,2010,CH04,2,1599.33
2008,NUTS,2010,CH05,2,691.067
2012,NUTS,2010,CH05,2,971.625
2015,NUTS,2010,CH05,2,1022.861
2008,NUTS,2010,CH06,2,461.131
2012,NUTS,2010,CH06,2,919.921
2015,NUTS,2010,CH06,2,1461.379
2008,NUTS,2010,CH07,2,112.763
2012,NUTS,2010,CH07,2,360.444
2015,NUTS,2010,CH07,2,90.494
2001,NUTS,2010,CN_X_HK,5,8498.874
2002,NUTS,2010,CN_X_HK,5,10065.802
2003,NUTS,2010,CN_X_HK,5,10256.125
2004,NUTS,2010,CN_X_HK,5,12761.079
2005,NUTS,2010,CN_X_HK,5,16417.172
2006,NUTS,2010,CN_X_HK,5,21324.923
2007,NUTS,2010,CN_X_HK,5,25743.833
2008,NUTS,2010,CN_X_HK,5,33077.268
2009,NUTS,2010,CN_X_HK,5,44592.116
2010,NUTS,2010,CN_X_HK,5,57801.242
2011,NUTS,2010,CN_X_HK,5,73136.212
2012,NUTS,2010,CN_X_HK,5,96755.675
2013,NUTS,2010,CN_X_HK,5,111160.93
2014,NUTS,2010,CN_X_HK,5,122905.014
2015,NUTS,2010,CN_X_HK,5,156043.047
2016,NUTS,2010,CN_X_HK,5,165174.497
2017,NUTS,2010,CN_X_HK,5,179056.602
2018,NUTS,2010,CN_X_HK,5,195101.553
2019,NUTS,2010,CN_X_HK,5,218754.966
1991,NUTS,2010,CY,0,1.291
1992,NUTS,2010,CY,0,1.388
1998,NUTS,2010,CY,0,2.624
1999,NUTS,2010,CY,0,4.336
2000,NUTS,2010,CY,0,5.227
2001,NUTS,2010,CY,0,5.326
2002,NUTS,2010,CY,0,6.859
2003,NUTS,2010,CY,0,8.8
2004,NUTS,2010,CY,0,9.957
2005,NUTS,2010,CY,0,12.163
2006,NUTS,2010,CY,0,14.184
2007,NUTS,2010,CY,0,16.108
2008,NUTS,2010,CY,0,16.732
2009,NUTS,2010,CY,0,16.434
2010,NUTS,2010,CY,0,14.796
2011,NUTS,2010,CY,0,13.765
2012,NUTS,2010,CY,0,13.959
2013,NUTS,2010,CY,0,16.998
2014,NUTS,2010,CY,0,20.009
2015,NUTS,2010,CY,0,19.477
2016,NUTS,2010,CY,0,36.584
2017,NUTS,2010,CY,0,40.943
2018,NUTS,2010,CY,0,53.907
2019,NUTS,2010,CY,0,70.658
2020,NUTS,2010,CY,0,80.0
1991,NUTS,2010,CY0,1,1.291
1992,NUTS,2010,CY0,1,1.388
1998,NUTS,2010,CY0,1,2.624
1999,NUTS,2010,CY0,1,4.336
