year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_t_fte_total
2006,NUTS,2010,AT2,1,11618.0
2007,NUTS,2010,AT2,1,12521.0
2009,NUTS,2010,AT2,1,13391.0
2011,NUTS,2010,AT2,1,15177.0
2013,NUTS,2010,AT2,1,16889.0
2015,NUTS,2010,AT2,1,18495.0
2017,NUTS,2010,AT2,1,19711.0
2019,NUTS,2010,AT2,1,21745.0
1981,NUTS,2010,AT21,2,489.0
1989,NUTS,2010,AT21,2,481.0
1993,NUTS,2010,AT21,2,435.0
1998,NUTS,2010,AT21,2,956.0
2002,NUTS,2010,AT21,2,1607.0
2004,NUTS,2010,AT21,2,1901.0
2006,NUTS,2010,AT21,2,2327.0
2007,NUTS,2010,AT21,2,2526.0
2009,NUTS,2010,AT21,2,2726.0
2011,NUTS,2010,AT21,2,3049.0
2013,NUTS,2010,AT21,2,3188.0
2015,NUTS,2010,AT21,2,3306.0
2017,NUTS,2010,AT21,2,3389.0
2019,NUTS,2010,AT21,2,3821.0
1981,NUTS,2010,AT22,2,3375.0
1989,NUTS,2010,AT22,2,3754.0
1993,NUTS,2010,AT22,2,3964.0
1998,NUTS,2010,AT22,2,5852.0
2002,NUTS,2010,AT22,2,7215.0
2004,NUTS,2010,AT22,2,8017.0
2006,NUTS,2010,AT22,2,9292.0
2007,NUTS,2010,AT22,2,9996.0
2009,NUTS,2010,AT22,2,10665.0
2011,NUTS,2010,AT22,2,12129.0
2013,NUTS,2010,AT22,2,13701.0
2015,NUTS,2010,AT22,2,15189.0
2017,NUTS,2010,AT22,2,16323.0
2019,NUTS,2010,AT22,2,17924.0
1981,NUTS,2010,AT3,1,4900.0
1989,NUTS,2010,AT3,1,5881.0
1993,NUTS,2010,AT3,1,5890.0
1998,NUTS,2010,AT3,1,7904.0
2002,NUTS,2010,AT3,1,10457.0
2004,NUTS,2010,AT3,1,12157.0
2006,NUTS,2010,AT3,1,14218.0
2007,NUTS,2010,AT3,1,15620.0
2009,NUTS,2010,AT3,1,17557.0
2011,NUTS,2010,AT3,1,19379.0
2013,NUTS,2010,AT3,1,22327.0
2015,NUTS,2010,AT3,1,24274.0
2017,NUTS,2010,AT3,1,25816.0
2019,NUTS,2010,AT3,1,28435.0
1981,NUTS,2010,AT31,2,2919.0
1989,NUTS,2010,AT31,2,2950.0
1993,NUTS,2010,AT31,2,2633.0
1998,NUTS,2010,AT31,2,3828.0
2002,NUTS,2010,AT31,2,5071.0
2004,NUTS,2010,AT31,2,5910.0
2006,NUTS,2010,AT31,2,7203.0
2007,NUTS,2010,AT31,2,8021.0
2009,NUTS,2010,AT31,2,8958.0
2011,NUTS,2010,AT31,2,10028.0
2013,NUTS,2010,AT31,2,11930.0
2015,NUTS,2010,AT31,2,13028.0
2017,NUTS,2010,AT31,2,13551.0
2019,NUTS,2010,AT31,2,15133.0
1981,NUTS,2010,AT32,2,487.0
1989,NUTS,2010,AT32,2,702.0
1993,NUTS,2010,AT32,2,782.0
1998,NUTS,2010,AT32,2,942.0
2002,NUTS,2010,AT32,2,1322.0
2004,NUTS,2010,AT32,2,1524.0
2006,NUTS,2010,AT32,2,1835.0
2007,NUTS,2010,AT32,2,1954.0
2009,NUTS,2010,AT32,2,2223.0
2011,NUTS,2010,AT32,2,2561.0
2013,NUTS,2010,AT32,2,2994.0
2015,NUTS,2010,AT32,2,3229.0
2017,NUTS,2010,AT32,2,3658.0
2019,NUTS,2010,AT32,2,4078.0
1981,NUTS,2010,AT33,2,1214.0
1989,NUTS,2010,AT33,2,1664.0
1993,NUTS,2010,AT33,2,1822.0
1998,NUTS,2010,AT33,2,2340.0
2002,NUTS,2010,AT33,2,2882.0
2004,NUTS,2010,AT33,2,3477.0
2006,NUTS,2010,AT33,2,3751.0
2007,NUTS,2010,AT33,2,4077.0
2009,NUTS,2010,AT33,2,4562.0
2011,NUTS,2010,AT33,2,5019.0
2013,NUTS,2010,AT33,2,5427.0
2015,NUTS,2010,AT33,2,5667.0
2017,NUTS,2010,AT33,2,6101.0
2019,NUTS,2010,AT33,2,6425.0
1981,NUTS,2010,AT34,2,281.0
1989,NUTS,2010,AT34,2,565.0
1993,NUTS,2010,AT34,2,654.0
1998,NUTS,2010,AT34,2,794.0
2002,NUTS,2010,AT34,2,1182.0
2004,NUTS,2010,AT34,2,1245.0
2006,NUTS,2010,AT34,2,1429.0
2007,NUTS,2010,AT34,2,1568.0
2009,NUTS,2010,AT34,2,1815.0
2011,NUTS,2010,AT34,2,1771.0
2013,NUTS,2010,AT34,2,1976.0
2015,NUTS,2010,AT34,2,2350.0
2017,NUTS,2010,AT34,2,2506.0
2019,NUTS,2010,AT34,2,2800.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,1060.0
2013,NUTS,2010,BA,0,1399.0
2014,NUTS,2010,BA,0,1767.0
2019,NUTS,2010,BA,0,2037.0
1981,NUTS,2010,BE,0,32531.0
1982,NUTS,2010,BE,0,33042.0
1983,NUTS,2010,BE,0,33032.0
1984,NUTS,2010,BE,0,33390.0
1985,NUTS,2010,BE,0,34859.0
1986,NUTS,2010,BE,0,36203.0
1987,NUTS,2010,BE,0,36727.0
1988,NUTS,2010,BE,0,36770.0
1989,NUTS,2010,BE,0,40065.0
1991,NUTS,2010,BE,0,40063.0
1993,NUTS,2010,BE,0,36787.0
1994,NUTS,2010,BE,0,38767.0
1995,NUTS,2010,BE,0,39833.0
1996,NUTS,2010,BE,0,42576.0
1997,NUTS,2010,BE,0,44208.0
1998,NUTS,2010,BE,0,46416.0
1999,NUTS,2010,BE,0,49466.0
2000,NUTS,2010,BE,0,53391.0
2001,NUTS,2010,BE,0,55949.0
2002,NUTS,2010,BE,0,52054.0
2003,NUTS,2010,BE,0,52256.0
2004,NUTS,2010,BE,0,52253.0
2005,NUTS,2010,BE,0,53517.0
2006,NUTS,2010,BE,0,55714.0
2007,NUTS,2010,BE,0,57963.0
2008,NUTS,2010,BE,0,58476.0
2009,NUTS,2010,BE,0,59756.0
2010,NUTS,2010,BE,0,60075.0
2011,NUTS,2010,BE,0,62895.0
2012,NUTS,2010,BE,0,67005.0
2013,NUTS,2010,BE,0,67899.0
2014,NUTS,2010,BE,0,72794.0
2015,NUTS,2010,BE,0,77520.0
2016,NUTS,2010,BE,0,78668.0
2017,NUTS,2010,BE,0,82686.0
2018,NUTS,2010,BE,0,88594.0
2019,NUTS,2010,BE,0,93524.0
2020,NUTS,2010,BE,0,102966.0
2002,NUTS,2010,BE1,1,7317.0
2003,NUTS,2010,BE1,1,7363.0
2004,NUTS,2010,BE1,1,7668.0
2005,NUTS,2010,BE1,1,7748.0
2006,NUTS,2010,BE1,1,8652.0
2007,NUTS,2010,BE1,1,9079.0
2008,NUTS,2010,BE1,1,8997.0
2009,NUTS,2010,BE1,1,9223.0
2010,NUTS,2010,BE1,1,8517.0
2011,NUTS,2010,BE1,1,8739.0
2013,NUTS,2010,BE1,1,10385.0
2014,NUTS,2010,BE1,1,11073.0
2015,NUTS,2010,BE1,1,12117.0
2016,NUTS,2010,BE1,1,12798.0
2017,NUTS,2010,BE1,1,13245.0
2018,NUTS,2010,BE1,1,15949.0
2019,NUTS,2010,BE1,1,16557.0
2002,NUTS,2010,BE10,2,7317.0
2003,NUTS,2010,BE10,2,7363.0
2004,NUTS,2010,BE10,2,7668.0
2005,NUTS,2010,BE10,2,7748.0
2006,NUTS,2010,BE10,2,8652.0
2007,NUTS,2010,BE10,2,9079.0
2008,NUTS,2010,BE10,2,8997.0
2009,NUTS,2010,BE10,2,9223.0
2010,NUTS,2010,BE10,2,8517.0
2011,NUTS,2010,BE10,2,8739.0
2013,NUTS,2010,BE10,2,10385.0
2014,NUTS,2010,BE10,2,11073.0
2015,NUTS,2010,BE10,2,12117.0
2016,NUTS,2010,BE10,2,12798.0
2017,NUTS,2010,BE10,2,13245.0
2018,NUTS,2010,BE10,2,15949.0
2019,NUTS,2010,BE10,2,16557.0
2002,NUTS,2010,BE2,1,31862.0
2003,NUTS,2010,BE2,1,31844.0
2004,NUTS,2010,BE2,1,32447.0
2005,NUTS,2010,BE2,1,33332.0
2006,NUTS,2010,BE2,1,34314.0
2007,NUTS,2010,BE2,1,35500.0
2008,NUTS,2010,BE2,1,35913.0
2009,NUTS,2010,BE2,1,36684.0
2010,NUTS,2010,BE2,1,37547.0
2011,NUTS,2010,BE2,1,39215.0
2013,NUTS,2010,BE2,1,41756.0
2014,NUTS,2010,BE2,1,44417.0
2015,NUTS,2010,BE2,1,46069.0
2016,NUTS,2010,BE2,1,47925.0
2017,NUTS,2010,BE2,1,50809.0
2018,NUTS,2010,BE2,1,54367.0
2019,NUTS,2010,BE2,1,59321.0
2006,NUTS,2010,BE21,2,10570.0
2007,NUTS,2010,BE21,2,10609.0
2008,NUTS,2010,BE21,2,9881.0
2009,NUTS,2010,BE21,2,10146.0
2010,NUTS,2010,BE21,2,10688.0
2011,NUTS,2010,BE21,2,11235.0
2013,NUTS,2010,BE21,2,10955.0
2014,NUTS,2010,BE21,2,12032.0
2015,NUTS,2010,BE21,2,12612.0
2006,NUTS,2010,BE22,2,2042.0
2007,NUTS,2010,BE22,2,2153.0
2008,NUTS,2010,BE22,2,1994.0
2009,NUTS,2010,BE22,2,2147.0
2010,NUTS,2010,BE22,2,2236.0
2011,NUTS,2010,BE22,2,2361.0
2013,NUTS,2010,BE22,2,2727.0
2014,NUTS,2010,BE22,2,3115.0
2015,NUTS,2010,BE22,2,3211.0
2006,NUTS,2010,BE23,2,8177.0
2007,NUTS,2010,BE23,2,8727.0
2008,NUTS,2010,BE23,2,9236.0
2009,NUTS,2010,BE23,2,9497.0
2010,NUTS,2010,BE23,2,9669.0
2011,NUTS,2010,BE23,2,10015.0
2013,NUTS,2010,BE23,2,11004.0
2014,NUTS,2010,BE23,2,11833.0
2015,NUTS,2010,BE23,2,12040.0
2006,NUTS,2010,BE24,2,10130.0
2007,NUTS,2010,BE24,2,10514.0
2008,NUTS,2010,BE24,2,11534.0
2009,NUTS,2010,BE24,2,11592.0
2010,NUTS,2010,BE24,2,11861.0
2011,NUTS,2010,BE24,2,12145.0
2013,NUTS,2010,BE24,2,12811.0
2014,NUTS,2010,BE24,2,13412.0
2015,NUTS,2010,BE24,2,13839.0
2006,NUTS,2010,BE25,2,3396.0
2007,NUTS,2010,BE25,2,3497.0
2008,NUTS,2010,BE25,2,3268.0
2009,NUTS,2010,BE25,2,3302.0
2010,NUTS,2010,BE25,2,3093.0
2011,NUTS,2010,BE25,2,3458.0
2013,NUTS,2010,BE25,2,4258.0
2014,NUTS,2010,BE25,2,4025.0
2015,NUTS,2010,BE25,2,4367.0
2002,NUTS,2010,BE3,1,12875.0
2003,NUTS,2010,BE3,1,13050.0
2004,NUTS,2010,BE3,1,12137.0
2005,NUTS,2010,BE3,1,12436.0
2006,NUTS,2010,BE3,1,12748.0
2007,NUTS,2010,BE3,1,13384.0
2008,NUTS,2010,BE3,1,13565.0
2009,NUTS,2010,BE3,1,13848.0
2010,NUTS,2010,BE3,1,14010.0
2011,NUTS,2010,BE3,1,14941.0
2013,NUTS,2010,BE3,1,15758.0
2014,NUTS,2010,BE3,1,17304.0
2015,NUTS,2010,BE3,1,19334.0
2016,NUTS,2010,BE3,1,17945.0
2017,NUTS,2010,BE3,1,18632.0
2018,NUTS,2010,BE3,1,18277.0
2019,NUTS,2010,BE3,1,17646.0
2006,NUTS,2010,BE31,2,4929.0
2007,NUTS,2010,BE31,2,5127.0
2008,NUTS,2010,BE31,2,4740.0
2009,NUTS,2010,BE31,2,4746.0
2010,NUTS,2010,BE31,2,4743.0
2011,NUTS,2010,BE31,2,5310.0
2013,NUTS,2010,BE31,2,7070.0
2014,NUTS,2010,BE31,2,7107.0
2015,NUTS,2010,BE31,2,7028.0
2006,NUTS,2010,BE32,2,2356.0
2007,NUTS,2010,BE32,2,2453.0
2008,NUTS,2010,BE32,2,2863.0
2009,NUTS,2010,BE32,2,3043.0
2010,NUTS,2010,BE32,2,3215.0
2011,NUTS,2010,BE32,2,3512.0
2013,NUTS,2010,BE32,2,3025.0
2014,NUTS,2010,BE32,2,3494.0
2015,NUTS,2010,BE32,2,4429.0
2006,NUTS,2010,BE33,2,3837.0
2007,NUTS,2010,BE33,2,4109.0
2008,NUTS,2010,BE33,2,4073.0
2009,NUTS,2010,BE33,2,4101.0
2010,NUTS,2010,BE33,2,4506.0
2011,NUTS,2010,BE33,2,4487.0
2013,NUTS,2010,BE33,2,4435.0
2014,NUTS,2010,BE33,2,4971.0
2015,NUTS,2010,BE33,2,5538.0
2006,NUTS,2010,BE34,2,250.0
2007,NUTS,2010,BE34,2,243.0
2008,NUTS,2010,BE34,2,203.0
2009,NUTS,2010,BE34,2,191.0
2010,NUTS,2010,BE34,2,247.0
2011,NUTS,2010,BE34,2,268.0
2013,NUTS,2010,BE34,2,192.0
2014,NUTS,2010,BE34,2,213.0
2015,NUTS,2010,BE34,2,225.0
2006,NUTS,2010,BE35,2,1376.0
2007,NUTS,2010,BE35,2,1453.0
2008,NUTS,2010,BE35,2,1686.0
2009,NUTS,2010,BE35,2,1767.0
2010,NUTS,2010,BE35,2,1300.0
2011,NUTS,2010,BE35,2,1363.0
2013,NUTS,2010,BE35,2,1036.0
2014,NUTS,2010,BE35,2,1519.0
2015,NUTS,2010,BE35,2,2115.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1993,NUTS,2010,BG,0,41606.0
1994,NUTS,2010,BG,0,23729.0
1995,NUTS,2010,BG,0,25055.0
1996,NUTS,2010,BG,0,26158.0
1997,NUTS,2010,BG,0,18625.0
1998,NUTS,2010,BG,0,19116.0
1999,NUTS,2010,BG,0,16087.0
2000,NUTS,2010,BG,0,15259.0
2001,NUTS,2010,BG,0,14949.0
2002,NUTS,2010,BG,0,15029.0
2003,NUTS,2010,BG,0,15453.0
2004,NUTS,2010,BG,0,15647.0
2005,NUTS,2010,BG,0,15853.0
2006,NUTS,2010,BG,0,16321.0
2007,NUTS,2010,BG,0,16940.0
2008,NUTS,2010,BG,0,17219.0
2009,NUTS,2010,BG,0,18230.0
2010,NUTS,2010,BG,0,16574.0
2011,NUTS,2010,BG,0,16986.0
2012,NUTS,2010,BG,0,16758.0
2013,NUTS,2010,BG,0,17545.0
2014,NUTS,2010,BG,0,19335.0
2015,NUTS,2010,BG,0,22492.0
2016,NUTS,2010,BG,0,25060.0
2017,NUTS,2010,BG,0,23290.0
2018,NUTS,2010,BG,0,25809.0
2019,NUTS,2010,BG,0,26399.0
2020,NUTS,2010,BG,0,26085.0
2002,NUTS,2010,BG3,1,2962.0
2003,NUTS,2010,BG3,1,3215.0
2004,NUTS,2010,BG3,1,3373.0
2005,NUTS,2010,BG3,1,3391.0
2006,NUTS,2010,BG3,1,3897.0
2007,NUTS,2010,BG3,1,4031.0
2008,NUTS,2010,BG3,1,4301.0
2009,NUTS,2010,BG3,1,4567.0
2010,NUTS,2010,BG3,1,3864.0
2011,NUTS,2010,BG3,1,3930.0
2012,NUTS,2010,BG3,1,4061.0
2013,NUTS,2010,BG3,1,4311.0
2014,NUTS,2010,BG3,1,4961.0
2015,NUTS,2010,BG3,1,6120.0
2016,NUTS,2010,BG3,1,6048.0
2017,NUTS,2010,BG3,1,5866.0
2018,NUTS,2010,BG3,1,6821.0
2019,NUTS,2010,BG3,1,6950.0
2002,NUTS,2010,BG31,2,457.0
2003,NUTS,2010,BG31,2,508.0
2004,NUTS,2010,BG31,2,534.0
2005,NUTS,2010,BG31,2,558.0
2006,NUTS,2010,BG31,2,632.0
2007,NUTS,2010,BG31,2,682.0
2008,NUTS,2010,BG31,2,682.0
2009,NUTS,2010,BG31,2,605.0
2010,NUTS,2010,BG31,2,597.0
2011,NUTS,2010,BG31,2,559.0
2012,NUTS,2010,BG31,2,773.0
2013,NUTS,2010,BG31,2,784.0
2014,NUTS,2010,BG31,2,783.0
2015,NUTS,2010,BG31,2,1187.0
2016,NUTS,2010,BG31,2,1261.0
2017,NUTS,2010,BG31,2,1183.0
2018,NUTS,2010,BG31,2,1467.0
2019,NUTS,2010,BG31,2,1391.0
2002,NUTS,2010,BG32,2,706.0
2003,NUTS,2010,BG32,2,627.0
2004,NUTS,2010,BG32,2,720.0
2005,NUTS,2010,BG32,2,1012.0
2006,NUTS,2010,BG32,2,965.0
2007,NUTS,2010,BG32,2,1006.0
2008,NUTS,2010,BG32,2,1050.0
2009,NUTS,2010,BG32,2,938.0
2010,NUTS,2010,BG32,2,752.0
2011,NUTS,2010,BG32,2,781.0
2012,NUTS,2010,BG32,2,765.0
2013,NUTS,2010,BG32,2,872.0
2014,NUTS,2010,BG32,2,1361.0
2015,NUTS,2010,BG32,2,1390.0
2016,NUTS,2010,BG32,2,1192.0
2017,NUTS,2010,BG32,2,1312.0
2018,NUTS,2010,BG32,2,1452.0
2019,NUTS,2010,BG32,2,1462.0
2002,NUTS,2010,BG33,2,1010.0
2003,NUTS,2010,BG33,2,1175.0
2004,NUTS,2010,BG33,2,1275.0
2005,NUTS,2010,BG33,2,1195.0
2006,NUTS,2010,BG33,2,1307.0
2007,NUTS,2010,BG33,2,1198.0
2008,NUTS,2010,BG33,2,1283.0
2009,NUTS,2010,BG33,2,1612.0
2010,NUTS,2010,BG33,2,1460.0
2011,NUTS,2010,BG33,2,1622.0
2012,NUTS,2010,BG33,2,1628.0
2013,NUTS,2010,BG33,2,1613.0
2014,NUTS,2010,BG33,2,1815.0
2015,NUTS,2010,BG33,2,1981.0
2016,NUTS,2010,BG33,2,2052.0
2017,NUTS,2010,BG33,2,1929.0
2018,NUTS,2010,BG33,2,2183.0
2019,NUTS,2010,BG33,2,2254.0
2002,NUTS,2010,BG34,2,789.0
2003,NUTS,2010,BG34,2,905.0
2004,NUTS,2010,BG34,2,844.0
2005,NUTS,2010,BG34,2,626.0
2006,NUTS,2010,BG34,2,993.0
2007,NUTS,2010,BG34,2,1145.0
2008,NUTS,2010,BG34,2,1286.0
2009,NUTS,2010,BG34,2,1412.0
2010,NUTS,2010,BG34,2,1055.0
2011,NUTS,2010,BG34,2,968.0
2012,NUTS,2010,BG34,2,895.0
2013,NUTS,2010,BG34,2,1042.0
2014,NUTS,2010,BG34,2,1002.0
2015,NUTS,2010,BG34,2,1562.0
2016,NUTS,2010,BG34,2,1543.0
2017,NUTS,2010,BG34,2,1442.0
2018,NUTS,2010,BG34,2,1719.0
2019,NUTS,2010,BG34,2,1843.0
2002,NUTS,2010,BG4,1,12067.0
2003,NUTS,2010,BG4,1,12238.0
2004,NUTS,2010,BG4,1,12274.0
2005,NUTS,2010,BG4,1,12462.0
2006,NUTS,2010,BG4,1,12424.0
2007,NUTS,2010,BG4,1,12909.0
2008,NUTS,2010,BG4,1,12918.0
2009,NUTS,2010,BG4,1,13663.0
2010,NUTS,2010,BG4,1,12710.0
2011,NUTS,2010,BG4,1,13056.0
2012,NUTS,2010,BG4,1,12697.0
2013,NUTS,2010,BG4,1,13234.0
2014,NUTS,2010,BG4,1,14374.0
2015,NUTS,2010,BG4,1,16372.0
2016,NUTS,2010,BG4,1,19012.0
2017,NUTS,2010,BG4,1,17424.0
2018,NUTS,2010,BG4,1,18988.0
2019,NUTS,2010,BG4,1,19449.0
1999,NUTS,2010,BG41,2,11861.0
2000,NUTS,2010,BG41,2,11779.0
2002,NUTS,2010,BG41,2,11170.0
2003,NUTS,2010,BG41,2,11305.0
2004,NUTS,2010,BG41,2,11266.0
2005,NUTS,2010,BG41,2,11351.0
2006,NUTS,2010,BG41,2,11282.0
2007,NUTS,2010,BG41,2,11435.0
2008,NUTS,2010,BG41,2,11417.0
2009,NUTS,2010,BG41,2,12235.0
2010,NUTS,2010,BG41,2,11065.0
2011,NUTS,2010,BG41,2,11463.0
2012,NUTS,2010,BG41,2,11421.0
2013,NUTS,2010,BG41,2,11828.0
2014,NUTS,2010,BG41,2,12949.0
2015,NUTS,2010,BG41,2,14179.0
2016,NUTS,2010,BG41,2,16595.0
2017,NUTS,2010,BG41,2,15105.0
2018,NUTS,2010,BG41,2,16221.0
2019,NUTS,2010,BG41,2,16508.0
2002,NUTS,2010,BG42,2,897.0
2003,NUTS,2010,BG42,2,933.0
2004,NUTS,2010,BG42,2,1008.0
2005,NUTS,2010,BG42,2,1111.0
2006,NUTS,2010,BG42,2,1142.0
2007,NUTS,2010,BG42,2,1474.0
2008,NUTS,2010,BG42,2,1501.0
2009,NUTS,2010,BG42,2,1428.0
2010,NUTS,2010,BG42,2,1645.0
2011,NUTS,2010,BG42,2,1593.0
2012,NUTS,2010,BG42,2,1276.0
2013,NUTS,2010,BG42,2,1406.0
2014,NUTS,2010,BG42,2,1425.0
2015,NUTS,2010,BG42,2,2193.0
2016,NUTS,2010,BG42,2,2417.0
2017,NUTS,2010,BG42,2,2319.0
2018,NUTS,2010,BG42,2,2767.0
2019,NUTS,2010,BG42,2,2941.0
2002,NUTS,2010,BGZ,1,0.0
2003,NUTS,2010,BGZ,1,0.0
2004,NUTS,2010,BGZ,1,0.0
2005,NUTS,2010,BGZ,1,0.0
2006,NUTS,2010,BGZ,1,0.0
2007,NUTS,2010,BGZ,1,0.0
2008,NUTS,2010,BGZ,1,0.0
2009,NUTS,2010,BGZ,1,0.0
2010,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2002,NUTS,2010,BGZZ,2,0.0
2003,NUTS,2010,BGZZ,2,0.0
2004,NUTS,2010,BGZZ,2,0.0
2005,NUTS,2010,BGZZ,2,0.0
2006,NUTS,2010,BGZZ,2,0.0
2007,NUTS,2010,BGZZ,2,0.0
2008,NUTS,2010,BGZZ,2,0.0
2009,NUTS,2010,BGZZ,2,0.0
2010,NUTS,2010,BGZZ,2,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
1986,NUTS,2010,CH,0,45000.0
1989,NUTS,2010,CH,0,51000.0
1992,NUTS,2010,CH,0,47870.0
1996,NUTS,2010,CH,0,50155.0
2000,NUTS,2010,CH,0,52285.0
2004,NUTS,2010,CH,0,52250.0
2008,NUTS,2010,CH,0,62066.0
2012,NUTS,2010,CH,0,75476.0
2015,NUTS,2010,CH,0,81451.0
2017,NUTS,2010,CH,0,78908.0
2019,NUTS,2010,CH,0,85853.0
1991,NUTS,2010,CN_X_HK,5,670500.0
1992,NUTS,2010,CN_X_HK,5,674300.0
1993,NUTS,2010,CN_X_HK,5,697800.0
1994,NUTS,2010,CN_X_HK,5,783200.0
1995,NUTS,2010,CN_X_HK,5,751700.0
1996,NUTS,2010,CN_X_HK,5,804000.0
1997,NUTS,2010,CN_X_HK,5,831200.0
1998,NUTS,2010,CN_X_HK,5,755200.0
1999,NUTS,2010,CN_X_HK,5,821700.0
