year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_fte_rse_t
2011,NUTS,2010,AT,0,12199.0
2012,NUTS,2010,AT,0,12704.0
2013,NUTS,2010,AT,0,12846.0
2014,NUTS,2010,AT,0,13462.0
2015,NUTS,2010,AT,0,13658.0
2016,NUTS,2010,AT,0,13363.0
2017,NUTS,2010,AT,0,13513.0
2018,NUTS,2010,AT,0,14258.0
2019,NUTS,2010,AT,0,14669.0
2020,NUTS,2010,AT,0,14985.0
2011,NUTS,2010,AT1,1,6588.0
2013,NUTS,2010,AT1,1,7036.0
2019,NUTS,2010,AT1,1,7980.0
2011,NUTS,2010,AT11,2,26.0
2013,NUTS,2010,AT11,2,36.0
2019,NUTS,2010,AT11,2,68.0
2011,NUTS,2010,AT12,2,258.0
2013,NUTS,2010,AT12,2,484.0
2015,NUTS,2010,AT12,2,586.0
2017,NUTS,2010,AT12,2,778.0
2019,NUTS,2010,AT12,2,1085.0
2011,NUTS,2010,AT13,2,6304.0
2013,NUTS,2010,AT13,2,6516.0
2015,NUTS,2010,AT13,2,6863.0
2017,NUTS,2010,AT13,2,6476.0
2019,NUTS,2010,AT13,2,6827.0
2011,NUTS,2010,AT2,1,2596.0
2013,NUTS,2010,AT2,1,2689.0
2017,NUTS,2010,AT2,1,2930.0
2019,NUTS,2010,AT2,1,3096.0
2011,NUTS,2010,AT21,2,292.0
2013,NUTS,2010,AT21,2,292.0
2015,NUTS,2010,AT21,2,245.0
2017,NUTS,2010,AT21,2,281.0
2019,NUTS,2010,AT21,2,278.0
2011,NUTS,2010,AT22,2,2304.0
2013,NUTS,2010,AT22,2,2397.0
2015,NUTS,2010,AT22,2,2663.0
2017,NUTS,2010,AT22,2,2649.0
2019,NUTS,2010,AT22,2,2818.0
2011,NUTS,2010,AT3,1,3015.0
2013,NUTS,2010,AT3,1,3121.0
2019,NUTS,2010,AT3,1,3593.0
2011,NUTS,2010,AT31,2,995.0
2013,NUTS,2010,AT31,2,1016.0
2015,NUTS,2010,AT31,2,988.0
2017,NUTS,2010,AT31,2,980.0
2019,NUTS,2010,AT31,2,1054.0
2011,NUTS,2010,AT32,2,583.0
2013,NUTS,2010,AT32,2,607.0
2015,NUTS,2010,AT32,2,718.0
2017,NUTS,2010,AT32,2,731.0
2019,NUTS,2010,AT32,2,825.0
2011,NUTS,2010,AT33,2,1396.0
2013,NUTS,2010,AT33,2,1447.0
2015,NUTS,2010,AT33,2,1505.0
2017,NUTS,2010,AT33,2,1496.0
2019,NUTS,2010,AT33,2,1639.0
