year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_hes_mio_nac
2011,NUTS,2010,AT,0,2117.553
2012,NUTS,2010,AT,0,2281.625
2013,NUTS,2010,AT,0,2327.754
2014,NUTS,2010,AT,0,2434.305
2015,NUTS,2010,AT,0,2468.207
2016,NUTS,2010,AT,0,2476.39
2017,NUTS,2010,AT,0,2533.182
2018,NUTS,2010,AT,0,2672.76
2019,NUTS,2010,AT,0,2711.41
2020,NUTS,2010,AT,0,2769.85
2011,NUTS,2010,AT1,1,1137.161
2013,NUTS,2010,AT1,1,1284.697
2019,NUTS,2010,AT1,1,1458.123
2011,NUTS,2010,AT11,2,3.034
2013,NUTS,2010,AT11,2,4.807
2019,NUTS,2010,AT11,2,10.812
2011,NUTS,2010,AT12,2,37.246
2013,NUTS,2010,AT12,2,73.385
2015,NUTS,2010,AT12,2,85.798
2017,NUTS,2010,AT12,2,128.584
2019,NUTS,2010,AT12,2,137.242
2011,NUTS,2010,AT13,2,1096.881
2013,NUTS,2010,AT13,2,1206.505
2015,NUTS,2010,AT13,2,1269.527
2017,NUTS,2010,AT13,2,1236.613
2019,NUTS,2010,AT13,2,1310.069
2011,NUTS,2010,AT2,1,464.949
2013,NUTS,2010,AT2,1,490.312
2017,NUTS,2010,AT2,1,547.401
2019,NUTS,2010,AT2,1,572.85
2011,NUTS,2010,AT21,2,45.458
2013,NUTS,2010,AT21,2,45.121
2015,NUTS,2010,AT21,2,38.603
2017,NUTS,2010,AT21,2,44.252
2019,NUTS,2010,AT21,2,46.246
2011,NUTS,2010,AT22,2,419.491
2013,NUTS,2010,AT22,2,445.191
2015,NUTS,2010,AT22,2,486.937
2017,NUTS,2010,AT22,2,503.149
2019,NUTS,2010,AT22,2,526.604
2011,NUTS,2010,AT3,1,515.443
2013,NUTS,2010,AT3,1,552.745
2019,NUTS,2010,AT3,1,680.437
2011,NUTS,2010,AT31,2,128.127
2013,NUTS,2010,AT31,2,142.036
2015,NUTS,2010,AT31,2,143.233
2017,NUTS,2010,AT31,2,156.027
2019,NUTS,2010,AT31,2,177.768
2011,NUTS,2010,AT32,2,92.338
2013,NUTS,2010,AT32,2,99.125
2015,NUTS,2010,AT32,2,106.944
2017,NUTS,2010,AT32,2,116.177
2019,NUTS,2010,AT32,2,145.782
2011,NUTS,2010,AT33,2,288.559
