year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_nr_lsr
1978,NUTS,2010,AT,0,1.0
1980,NUTS,2010,AT,0,1.0
1981,NUTS,2010,AT,0,0.5
1990,NUTS,2010,AT,0,3.0
1991,NUTS,2010,AT,0,1.0
1992,NUTS,2010,AT,0,2.0
1993,NUTS,2010,AT,0,1.0
1995,NUTS,2010,AT,0,2.0
1996,NUTS,2010,AT,0,1.0
1997,NUTS,2010,AT,0,1.0
1998,NUTS,2010,AT,0,0.5
1999,NUTS,2010,AT,0,7.5
2000,NUTS,2010,AT,0,3.67
2001,NUTS,2010,AT,0,2.75
2002,NUTS,2010,AT,0,2.8
2003,NUTS,2010,AT,0,7.33
2004,NUTS,2010,AT,0,3.0
2005,NUTS,2010,AT,0,1.0
2006,NUTS,2010,AT,0,3.0
2007,NUTS,2010,AT,0,5.5
2008,NUTS,2010,AT,0,3.0
2009,NUTS,2010,AT,0,6.25
2010,NUTS,2010,AT,0,3.0
2011,NUTS,2010,AT,0,4.25
2012,NUTS,2010,AT,0,1.0
1978,NUTS,2010,AT1,1,1.0
1980,NUTS,2010,AT1,1,1.0
1981,NUTS,2010,AT1,1,0.5
1990,NUTS,2010,AT1,1,3.0
1992,NUTS,2010,AT1,1,0.75
1993,NUTS,2010,AT1,1,1.0
1995,NUTS,2010,AT1,1,0.5
1996,NUTS,2010,AT1,1,1.0
1997,NUTS,2010,AT1,1,1.0
1998,NUTS,2010,AT1,1,0.5
1999,NUTS,2010,AT1,1,4.5
2000,NUTS,2010,AT1,1,2.67
2002,NUTS,2010,AT1,1,2.8
2003,NUTS,2010,AT1,1,2.0
2004,NUTS,2010,AT1,1,1.0
2005,NUTS,2010,AT1,1,1.0
2006,NUTS,2010,AT1,1,1.0
2007,NUTS,2010,AT1,1,3.0
2008,NUTS,2010,AT1,1,1.0
2010,NUTS,2010,AT1,1,1.0
2011,NUTS,2010,AT1,1,3.25
2000,NUTS,2010,AT11,2,0.5
2000,NUTS,2010,AT112,3,0.5
1978,NUTS,2010,AT12,2,0.5
1980,NUTS,2010,AT12,2,0.5
1990,NUTS,2010,AT12,2,2.0
1996,NUTS,2010,AT12,2,1.0
1997,NUTS,2010,AT12,2,1.0
1999,NUTS,2010,AT12,2,2.5
2000,NUTS,2010,AT12,2,1.33
2002,NUTS,2010,AT12,2,1.93
2003,NUTS,2010,AT12,2,0.5
2004,NUTS,2010,AT12,2,0.5
2007,NUTS,2010,AT12,2,0.92
2008,NUTS,2010,AT12,2,0.25
2011,NUTS,2010,AT12,2,1.75
1990,NUTS,2010,AT121,3,2.0
2011,NUTS,2010,AT121,3,1.0
2007,NUTS,2010,AT125,3,0.33
1978,NUTS,2010,AT126,3,0.5
1980,NUTS,2010,AT126,3,0.5
1996,NUTS,2010,AT126,3,1.0
1997,NUTS,2010,AT126,3,1.0
1999,NUTS,2010,AT126,3,1.0
2000,NUTS,2010,AT126,3,0.5
2002,NUTS,2010,AT126,3,1.53
2003,NUTS,2010,AT126,3,0.5
2004,NUTS,2010,AT126,3,0.5
2007,NUTS,2010,AT126,3,0.33
