year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_pps_pnp
1998,NUTS,2010,AT,0,9.455
2002,NUTS,2010,AT,0,19.035
2004,NUTS,2010,AT,0,20.084
2005,NUTS,2010,AT,0,16.609
2006,NUTS,2010,AT,0,15.266
2007,NUTS,2010,AT,0,15.803
2008,NUTS,2010,AT,0,25.127
2009,NUTS,2010,AT,0,32.13
2010,NUTS,2010,AT,0,35.23
2011,NUTS,2010,AT,0,36.51
2012,NUTS,2010,AT,0,36.871
2013,NUTS,2010,AT,0,36.404
2014,NUTS,2010,AT,0,43.641
2015,NUTS,2010,AT,0,46.201
2016,NUTS,2010,AT,0,48.709
2017,NUTS,2010,AT,0,54.538
2018,NUTS,2010,AT,0,57.54
2019,NUTS,2010,AT,0,59.469
2020,NUTS,2010,AT,0,58.87
1998,NUTS,2010,AT1,1,7.213
2006,NUTS,2010,AT1,1,14.022
2007,NUTS,2010,AT1,1,14.106
2009,NUTS,2010,AT1,1,31.441
2011,NUTS,2010,AT1,1,33.698
2013,NUTS,2010,AT1,1,34.157
2015,NUTS,2010,AT1,1,42.94
2017,NUTS,2010,AT1,1,50.805
2019,NUTS,2010,AT1,1,54.756
2006,NUTS,2010,AT11,2,0.0
2007,NUTS,2010,AT11,2,0.0
2009,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
1998,NUTS,2010,AT12,2,0.902
2002,NUTS,2010,AT12,2,0.544
2004,NUTS,2010,AT12,2,0.422
2006,NUTS,2010,AT12,2,0.747
2007,NUTS,2010,AT12,2,0.742
2009,NUTS,2010,AT12,2,12.042
2011,NUTS,2010,AT12,2,15.139
2013,NUTS,2010,AT12,2,15.689
2015,NUTS,2010,AT12,2,18.92
2017,NUTS,2010,AT12,2,22.367
1998,NUTS,2010,AT13,2,7.213
2002,NUTS,2010,AT13,2,15.213
2004,NUTS,2010,AT13,2,16.612
2006,NUTS,2010,AT13,2,13.275
2007,NUTS,2010,AT13,2,13.364
2009,NUTS,2010,AT13,2,19.399
2011,NUTS,2010,AT13,2,18.559
2013,NUTS,2010,AT13,2,18.468
2015,NUTS,2010,AT13,2,24.02
2017,NUTS,2010,AT13,2,28.439
2019,NUTS,2010,AT13,2,31.727
2006,NUTS,2010,AT2,1,0.378
2019,NUTS,2010,AT2,1,0.689
2006,NUTS,2010,AT21,2,0.0
2011,NUTS,2010,AT21,2,0.424
2002,NUTS,2010,AT22,2,0.629
2004,NUTS,2010,AT22,2,0.998
2006,NUTS,2010,AT22,2,0.378
2009,NUTS,2010,AT22,2,0.0
1998,NUTS,2010,AT3,1,1.803
2002,NUTS,2010,AT3,1,2.433
2004,NUTS,2010,AT3,1,2.053
2006,NUTS,2010,AT3,1,0.866
2007,NUTS,2010,AT3,1,1.614
2019,NUTS,2010,AT3,1,4.024
1998,NUTS,2010,AT31,2,0.902
2002,NUTS,2010,AT31,2,0.412
2004,NUTS,2010,AT31,2,0.361
2006,NUTS,2010,AT31,2,0.571
2009,NUTS,2010,AT31,2,0.483
2011,NUTS,2010,AT31,2,1.027
2013,NUTS,2010,AT31,2,1.06
2015,NUTS,2010,AT31,2,0.664
2017,NUTS,2010,AT31,2,0.792
2019,NUTS,2010,AT31,2,1.27
2006,NUTS,2010,AT32,2,0.0
2009,NUTS,2010,AT32,2,0.0
2015,NUTS,2010,AT32,2,1.778
2017,NUTS,2010,AT32,2,2.392
2019,NUTS,2010,AT32,2,2.269
1998,NUTS,2010,AT33,2,0.902
2002,NUTS,2010,AT33,2,1.84
2004,NUTS,2010,AT33,2,1.41
2006,NUTS,2010,AT33,2,0.295
2011,NUTS,2010,AT33,2,0.163
2013,NUTS,2010,AT33,2,0.157
2019,NUTS,2010,AT33,2,0.485
2006,NUTS,2010,AT34,2,0.0
2007,NUTS,2010,AT34,2,0.186
2009,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,0.178
2013,NUTS,2010,BA,0,0.111
2014,NUTS,2010,BA,0,1.053
2019,NUTS,2010,BA,0,0.033
1995,NUTS,2010,BE,0,43.794
1996,NUTS,2010,BE,0,46.579
1997,NUTS,2010,BE,0,47.091
1998,NUTS,2010,BE,0,47.603
1999,NUTS,2010,BE,0,48.911
2000,NUTS,2010,BE,0,53.959
2001,NUTS,2010,BE,0,57.429
2002,NUTS,2010,BE,0,61.303
2003,NUTS,2010,BE,0,60.993
2004,NUTS,2010,BE,0,71.275
2005,NUTS,2010,BE,0,66.88
2006,NUTS,2010,BE,0,74.442
2007,NUTS,2010,BE,0,71.666
2008,NUTS,2010,BE,0,59.839
2009,NUTS,2010,BE,0,61.421
2010,NUTS,2010,BE,0,61.969
2011,NUTS,2010,BE,0,65.95
2012,NUTS,2010,BE,0,31.645
2013,NUTS,2010,BE,0,30.572
2014,NUTS,2010,BE,0,39.133
2015,NUTS,2010,BE,0,49.956
2016,NUTS,2010,BE,0,58.703
2017,NUTS,2010,BE,0,58.768
2018,NUTS,2010,BE,0,84.371
2019,NUTS,2010,BE,0,100.738
2020,NUTS,2010,BE,0,112.764
1995,NUTS,2010,BE1,1,15.663
1996,NUTS,2010,BE1,1,17.64
1997,NUTS,2010,BE1,1,18.169
1998,NUTS,2010,BE1,1,18.835
1999,NUTS,2010,BE1,1,19.557
2000,NUTS,2010,BE1,1,22.668
2001,NUTS,2010,BE1,1,25.037
2002,NUTS,2010,BE1,1,27.266
2003,NUTS,2010,BE1,1,27.049
2004,NUTS,2010,BE1,1,37.359
2005,NUTS,2010,BE1,1,31.874
2006,NUTS,2010,BE1,1,39.37
2007,NUTS,2010,BE1,1,35.703
2008,NUTS,2010,BE1,1,22.442
2009,NUTS,2010,BE1,1,23.382
2010,NUTS,2010,BE1,1,22.323
2011,NUTS,2010,BE1,1,25.303
2012,NUTS,2010,BE1,1,18.486
2013,NUTS,2010,BE1,1,17.629
2014,NUTS,2010,BE1,1,25.331
2015,NUTS,2010,BE1,1,30.022
2016,NUTS,2010,BE1,1,35.094
2017,NUTS,2010,BE1,1,34.608
2018,NUTS,2010,BE1,1,58.231
2019,NUTS,2010,BE1,1,68.004
1995,NUTS,2010,BE10,2,15.663
1996,NUTS,2010,BE10,2,17.64
1997,NUTS,2010,BE10,2,18.169
1998,NUTS,2010,BE10,2,18.835
1999,NUTS,2010,BE10,2,19.557
2000,NUTS,2010,BE10,2,22.668
2001,NUTS,2010,BE10,2,25.037
2002,NUTS,2010,BE10,2,27.266
2003,NUTS,2010,BE10,2,27.049
2004,NUTS,2010,BE10,2,37.359
2005,NUTS,2010,BE10,2,31.874
2006,NUTS,2010,BE10,2,39.37
2007,NUTS,2010,BE10,2,35.703
2008,NUTS,2010,BE10,2,22.442
2009,NUTS,2010,BE10,2,23.382
2010,NUTS,2010,BE10,2,22.323
2011,NUTS,2010,BE10,2,25.303
2012,NUTS,2010,BE10,2,18.486
2013,NUTS,2010,BE10,2,17.629
2014,NUTS,2010,BE10,2,25.331
2015,NUTS,2010,BE10,2,30.022
2016,NUTS,2010,BE10,2,35.094
2017,NUTS,2010,BE10,2,34.608
2018,NUTS,2010,BE10,2,58.231
2019,NUTS,2010,BE10,2,68.004
1995,NUTS,2010,BE2,1,28.13
1996,NUTS,2010,BE2,1,28.93
1997,NUTS,2010,BE2,1,28.913
1998,NUTS,2010,BE2,1,28.777
1999,NUTS,2010,BE2,1,29.353
2000,NUTS,2010,BE2,1,31.287
2001,NUTS,2010,BE2,1,32.392
2002,NUTS,2010,BE2,1,34.037
2003,NUTS,2010,BE2,1,33.944
2004,NUTS,2010,BE2,1,33.916
2005,NUTS,2010,BE2,1,35.006
2006,NUTS,2010,BE2,1,35.072
2007,NUTS,2010,BE2,1,35.963
2008,NUTS,2010,BE2,1,37.396
2009,NUTS,2010,BE2,1,38.039
2010,NUTS,2010,BE2,1,39.455
2011,NUTS,2010,BE2,1,40.499
2012,NUTS,2010,BE2,1,13.159
2013,NUTS,2010,BE2,1,12.943
2014,NUTS,2010,BE2,1,13.73
2015,NUTS,2010,BE2,1,19.862
2016,NUTS,2010,BE2,1,23.498
2017,NUTS,2010,BE2,1,24.046
2018,NUTS,2010,BE2,1,26.021
2019,NUTS,2010,BE2,1,32.608
1998,NUTS,2010,BE3,1,0.0
1999,NUTS,2010,BE3,1,0.0
2000,NUTS,2010,BE3,1,0.0
2001,NUTS,2010,BE3,1,0.0
2002,NUTS,2010,BE3,1,0.0
2003,NUTS,2010,BE3,1,0.0
2004,NUTS,2010,BE3,1,0.0
2005,NUTS,2010,BE3,1,0.0
2006,NUTS,2010,BE3,1,0.0
2007,NUTS,2010,BE3,1,0.0
2008,NUTS,2010,BE3,1,0.0
2009,NUTS,2010,BE3,1,0.0
2010,NUTS,2010,BE3,1,0.167
2011,NUTS,2010,BE3,1,0.134
2012,NUTS,2010,BE3,1,0.0
2013,NUTS,2010,BE3,1,0.0
2014,NUTS,2010,BE3,1,0.072
2015,NUTS,2010,BE3,1,0.072
2016,NUTS,2010,BE3,1,0.111
2017,NUTS,2010,BE3,1,0.113
2018,NUTS,2010,BE3,1,0.12
2019,NUTS,2010,BE3,1,0.126
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
1996,NUTS,2010,BG,0,0.798
1997,NUTS,2010,BG,0,1.269
1998,NUTS,2010,BG,0,1.4
1999,NUTS,2010,BG,0,0.223
2000,NUTS,2010,BG,0,0.349
2001,NUTS,2010,BG,0,0.34
2002,NUTS,2010,BG,0,0.079
2003,NUTS,2010,BG,0,0.645
2004,NUTS,2010,BG,0,1.408
2005,NUTS,2010,BG,0,3.393
2006,NUTS,2010,BG,0,2.633
2007,NUTS,2010,BG,0,2.372
2008,NUTS,2010,BG,0,3.916
2009,NUTS,2010,BG,0,2.991
2010,NUTS,2010,BG,0,3.161
2011,NUTS,2010,BG,0,3.123
2012,NUTS,2010,BG,0,7.51
2013,NUTS,2010,BG,0,3.32
2014,NUTS,2010,BG,0,5.448
2015,NUTS,2010,BG,0,4.932
2016,NUTS,2010,BG,0,2.291
2017,NUTS,2010,BG,0,6.559
2018,NUTS,2010,BG,0,4.826
2019,NUTS,2010,BG,0,6.08
2020,NUTS,2010,BG,0,6.522
2003,NUTS,2010,BG3,1,0.0
2004,NUTS,2010,BG3,1,0.018
2005,NUTS,2010,BG3,1,0.0
2006,NUTS,2010,BG3,1,0.0
2007,NUTS,2010,BG3,1,0.0
2009,NUTS,2010,BG3,1,0.033
2011,NUTS,2010,BG3,1,0.105
2012,NUTS,2010,BG3,1,0.033
2014,NUTS,2010,BG3,1,0.277
2015,NUTS,2010,BG3,1,0.261
2016,NUTS,2010,BG3,1,0.05
2017,NUTS,2010,BG3,1,0.167
2018,NUTS,2010,BG3,1,0.359
2019,NUTS,2010,BG3,1,0.123
2003,NUTS,2010,BG31,2,0.0
2004,NUTS,2010,BG31,2,0.018
2005,NUTS,2010,BG31,2,0.0
2006,NUTS,2010,BG31,2,0.0
2007,NUTS,2010,BG31,2,0.0
2008,NUTS,2010,BG31,2,0.0
2009,NUTS,2010,BG31,2,0.0
2010,NUTS,2010,BG31,2,0.0
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2002,NUTS,2010,BG32,2,0.0
2003,NUTS,2010,BG32,2,0.0
2004,NUTS,2010,BG32,2,0.0
2005,NUTS,2010,BG32,2,0.0
2006,NUTS,2010,BG32,2,0.0
2007,NUTS,2010,BG32,2,0.0
2008,NUTS,2010,BG32,2,0.0
2009,NUTS,2010,BG32,2,0.0
2010,NUTS,2010,BG32,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2002,NUTS,2010,BG33,2,0.0
2003,NUTS,2010,BG33,2,0.0
2004,NUTS,2010,BG33,2,0.0
2005,NUTS,2010,BG33,2,0.0
2006,NUTS,2010,BG33,2,0.0
2007,NUTS,2010,BG33,2,0.0
2008,NUTS,2010,BG33,2,0.0
2015,NUTS,2010,BG33,2,0.236
2002,NUTS,2010,BG34,2,0.0
2003,NUTS,2010,BG34,2,0.0
2004,NUTS,2010,BG34,2,0.0
2005,NUTS,2010,BG34,2,0.0
2006,NUTS,2010,BG34,2,0.0
2007,NUTS,2010,BG34,2,0.0
2010,NUTS,2010,BG34,2,0.0
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2003,NUTS,2010,BG4,1,0.641
2004,NUTS,2010,BG4,1,0.732
2005,NUTS,2010,BG4,1,3.393
2006,NUTS,2010,BG4,1,2.633
2007,NUTS,2010,BG4,1,2.372
2009,NUTS,2010,BG4,1,2.958
