year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_total_mio_pps_kp05
2011,NUTS,2010,AT,0,6914.049
2012,NUTS,2010,AT,0,7602.891
2013,NUTS,2010,AT,0,7709.711
2014,NUTS,2010,AT,0,8100.458
2015,NUTS,2010,AT,0,8090.856
2016,NUTS,2010,AT,0,8432.716
2017,NUTS,2010,AT,0,8457.204
2018,NUTS,2010,AT,0,8765.286
2019,NUTS,2010,AT,0,9008.615
2020,NUTS,2010,AT,0,8594.032
2011,NUTS,2010,AT1,1,3035.874
2013,NUTS,2010,AT1,1,3073.714
2015,NUTS,2010,AT1,1,3221.911
2017,NUTS,2010,AT1,1,3344.723
2019,NUTS,2010,AT1,1,3525.957
2011,NUTS,2010,AT11,2,47.489
2013,NUTS,2010,AT11,2,54.248
2015,NUTS,2010,AT11,2,61.441
2017,NUTS,2010,AT11,2,55.727
2019,NUTS,2010,AT11,2,58.052
2011,NUTS,2010,AT12,2,590.159
2013,NUTS,2010,AT12,2,652.333
2015,NUTS,2010,AT12,2,720.839
2017,NUTS,2010,AT12,2,784.621
2019,NUTS,2010,AT12,2,820.199
2011,NUTS,2010,AT13,2,2398.226
2013,NUTS,2010,AT13,2,2367.133
2015,NUTS,2010,AT13,2,2439.631
2017,NUTS,2010,AT13,2,2504.375
2019,NUTS,2010,AT13,2,2647.707
2011,NUTS,2010,AT2,1,1776.97
2013,NUTS,2010,AT2,1,2021.085
2015,NUTS,2010,AT2,1,2173.444
2017,NUTS,2010,AT2,1,2175.773
2019,NUTS,2010,AT2,1,2396.093
2011,NUTS,2010,AT21,2,401.103
2013,NUTS,2010,AT21,2,408.207
2015,NUTS,2010,AT21,2,451.035
2017,NUTS,2010,AT21,2,437.609
2019,NUTS,2010,AT21,2,500.549
2011,NUTS,2010,AT22,2,1375.867
2013,NUTS,2010,AT22,2,1612.878
2015,NUTS,2010,AT22,2,1722.409
2017,NUTS,2010,AT22,2,1738.164
2019,NUTS,2010,AT22,2,1895.544
2011,NUTS,2010,AT3,1,2101.205
2013,NUTS,2010,AT3,1,2614.913
2015,NUTS,2010,AT3,1,2695.502
2017,NUTS,2010,AT3,1,2936.708
2019,NUTS,2010,AT3,1,3086.565
2011,NUTS,2010,AT31,2,1082.606
2013,NUTS,2010,AT31,2,1399.841
2015,NUTS,2010,AT31,2,1422.814
2017,NUTS,2010,AT31,2,1641.402
2019,NUTS,2010,AT31,2,1728.45
2011,NUTS,2010,AT32,2,240.314
2013,NUTS,2010,AT32,2,287.517
2015,NUTS,2010,AT32,2,296.438
2017,NUTS,2010,AT32,2,331.867
2019,NUTS,2010,AT32,2,366.493
2011,NUTS,2010,AT33,2,608.835
2013,NUTS,2010,AT33,2,728.446
2015,NUTS,2010,AT33,2,743.867
2017,NUTS,2010,AT33,2,725.311
2019,NUTS,2010,AT33,2,741.626
2011,NUTS,2010,AT34,2,169.449
2013,NUTS,2010,AT34,2,199.109
2015,NUTS,2010,AT34,2,232.383
2017,NUTS,2010,AT34,2,238.128
2019,NUTS,2010,AT34,2,249.996
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,61.099
2013,NUTS,2010,BA,0,75.731
2014,NUTS,2010,BA,0,62.523
2019,NUTS,2010,BA,0,53.749
2011,NUTS,2010,BE,0,6772.21
2012,NUTS,2010,BE,0,7160.755
2013,NUTS,2010,BE,0,7350.004
2014,NUTS,2010,BE,0,7591.892
2015,NUTS,2010,BE,0,7936.937
2016,NUTS,2010,BE,0,8352.592
2017,NUTS,2010,BE,0,8969.876
2018,NUTS,2010,BE,0,9796.297
2019,NUTS,2010,BE,0,11055.307
2020,NUTS,2010,BE,0,11476.518
2011,NUTS,2010,BE1,1,793.092
2012,NUTS,2010,BE1,1,834.485
2013,NUTS,2010,BE1,1,874.5
2014,NUTS,2010,BE1,1,981.816
2015,NUTS,2010,BE1,1,1049.775
2016,NUTS,2010,BE1,1,1173.761
2017,NUTS,2010,BE1,1,1270.877
2018,NUTS,2010,BE1,1,1411.401
2019,NUTS,2010,BE1,1,1488.966
2011,NUTS,2010,BE10,2,793.092
2012,NUTS,2010,BE10,2,834.485
2013,NUTS,2010,BE10,2,874.5
2014,NUTS,2010,BE10,2,981.816
2015,NUTS,2010,BE10,2,1049.775
2016,NUTS,2010,BE10,2,1173.761
2017,NUTS,2010,BE10,2,1270.877
2018,NUTS,2010,BE10,2,1411.401
2019,NUTS,2010,BE10,2,1488.966
2011,NUTS,2010,BE2,1,4175.56
2012,NUTS,2010,BE2,1,4535.634
2013,NUTS,2010,BE2,1,4649.439
2014,NUTS,2010,BE2,1,4803.685
2015,NUTS,2010,BE2,1,5046.214
2016,NUTS,2010,BE2,1,5295.048
2017,NUTS,2010,BE2,1,5650.715
2018,NUTS,2010,BE2,1,5886.15
2019,NUTS,2010,BE2,1,6841.368
2011,NUTS,2010,BE21,2,1565.74
2012,NUTS,2010,BE21,2,1583.48
2013,NUTS,2010,BE21,2,1603.233
2014,NUTS,2010,BE21,2,1822.278
2015,NUTS,2010,BE21,2,1942.982
2016,NUTS,2010,BE21,2,2054.115
2017,NUTS,2010,BE21,2,2218.118
2011,NUTS,2010,BE22,2,229.306
2012,NUTS,2010,BE22,2,239.752
2013,NUTS,2010,BE22,2,255.508
2014,NUTS,2010,BE22,2,267.411
2015,NUTS,2010,BE22,2,275.716
2016,NUTS,2010,BE22,2,307.358
2017,NUTS,2010,BE22,2,333.497
2011,NUTS,2010,BE23,2,844.222
2012,NUTS,2010,BE23,2,962.118
2013,NUTS,2010,BE23,2,1014.37
2014,NUTS,2010,BE23,2,953.728
2015,NUTS,2010,BE23,2,982.12
2016,NUTS,2010,BE23,2,1094.802
2017,NUTS,2010,BE23,2,1108.688
2011,NUTS,2010,BE24,2,1203.93
2012,NUTS,2010,BE24,2,1314.89
2013,NUTS,2010,BE24,2,1336.731
2014,NUTS,2010,BE24,2,1415.223
2015,NUTS,2010,BE24,2,1475.284
2016,NUTS,2010,BE24,2,1434.431
2017,NUTS,2010,BE24,2,1534.154
2011,NUTS,2010,BE25,2,332.361
2012,NUTS,2010,BE25,2,435.393
2013,NUTS,2010,BE25,2,439.596
2014,NUTS,2010,BE25,2,345.046
2015,NUTS,2010,BE25,2,370.111
2016,NUTS,2010,BE25,2,404.342
2017,NUTS,2010,BE25,2,456.259
2011,NUTS,2010,BE3,1,1803.566
2012,NUTS,2010,BE3,1,1790.657
2013,NUTS,2010,BE3,1,1826.091
2014,NUTS,2010,BE3,1,1806.391
2015,NUTS,2010,BE3,1,1840.95
2016,NUTS,2010,BE3,1,1883.783
2017,NUTS,2010,BE3,1,2048.284
2018,NUTS,2010,BE3,1,2498.746
2019,NUTS,2010,BE3,1,2724.973
2011,NUTS,2010,BE31,2,941.921
2012,NUTS,2010,BE31,2,1040.094
2013,NUTS,2010,BE31,2,1045.533
2014,NUTS,2010,BE31,2,834.929
2015,NUTS,2010,BE31,2,808.543
2016,NUTS,2010,BE31,2,986.618
2017,NUTS,2010,BE31,2,1061.523
2011,NUTS,2010,BE32,2,371.766
2012,NUTS,2010,BE32,2,324.442
2013,NUTS,2010,BE32,2,337.177
2014,NUTS,2010,BE32,2,398.306
2015,NUTS,2010,BE32,2,399.021
2016,NUTS,2010,BE32,2,314.336
2017,NUTS,2010,BE32,2,361.306
2011,NUTS,2010,BE33,2,354.95
2012,NUTS,2010,BE33,2,337.888
2013,NUTS,2010,BE33,2,357.035
2014,NUTS,2010,BE33,2,418.802
2015,NUTS,2010,BE33,2,471.046
2016,NUTS,2010,BE33,2,475.95
2017,NUTS,2010,BE33,2,510.409
2011,NUTS,2010,BE34,2,19.687
2012,NUTS,2010,BE34,2,13.265
2013,NUTS,2010,BE34,2,11.615
2014,NUTS,2010,BE34,2,36.043
2015,NUTS,2010,BE34,2,41.287
2016,NUTS,2010,BE34,2,13.938
2017,NUTS,2010,BE34,2,14.505
2011,NUTS,2010,BE35,2,115.242
2012,NUTS,2010,BE35,2,74.969
2013,NUTS,2010,BE35,2,74.731
2014,NUTS,2010,BE35,2,118.312
2015,NUTS,2010,BE35,2,121.053
2016,NUTS,2010,BE35,2,92.94
2017,NUTS,2010,BE35,2,100.542
