year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_rse_fte_bes
1998,NUTS,2010,AT,0,962.0
2002,NUTS,2010,AT,0,1552.0
2004,NUTS,2010,AT,0,1893.0
2006,NUTS,2010,AT,0,2264.0
2007,NUTS,2010,AT,0,2676.0
2009,NUTS,2010,AT,0,3243.0
2011,NUTS,2010,AT,0,3541.0
2013,NUTS,2010,AT,0,4054.0
2015,NUTS,2010,AT,0,4319.0
2017,NUTS,2010,AT,0,4822.0
2019,NUTS,2010,AT,0,5439.0
2002,NUTS,2010,AT1,1,944.0
2004,NUTS,2010,AT1,1,1070.0
2006,NUTS,2010,AT1,1,1315.0
2007,NUTS,2010,AT1,1,1576.0
2009,NUTS,2010,AT1,1,1898.0
2011,NUTS,2010,AT1,1,2007.0
2013,NUTS,2010,AT1,1,2071.0
2015,NUTS,2010,AT1,1,2141.0
2017,NUTS,2010,AT1,1,2008.0
2019,NUTS,2010,AT1,1,2214.0
2002,NUTS,2010,AT11,2,21.0
2004,NUTS,2010,AT11,2,21.0
2006,NUTS,2010,AT11,2,31.0
2007,NUTS,2010,AT11,2,24.0
2009,NUTS,2010,AT11,2,19.0
2011,NUTS,2010,AT11,2,33.0
2013,NUTS,2010,AT11,2,29.0
2015,NUTS,2010,AT11,2,34.0
2017,NUTS,2010,AT11,2,46.0
2019,NUTS,2010,AT11,2,33.0
2002,NUTS,2010,AT12,2,154.0
2004,NUTS,2010,AT12,2,178.0
2006,NUTS,2010,AT12,2,283.0
2007,NUTS,2010,AT12,2,298.0
2009,NUTS,2010,AT12,2,334.0
2011,NUTS,2010,AT12,2,434.0
2013,NUTS,2010,AT12,2,405.0
2015,NUTS,2010,AT12,2,409.0
2017,NUTS,2010,AT12,2,423.0
2019,NUTS,2010,AT12,2,602.0
2002,NUTS,2010,AT13,2,769.0
2004,NUTS,2010,AT13,2,872.0
2006,NUTS,2010,AT13,2,1000.0
2007,NUTS,2010,AT13,2,1255.0
2009,NUTS,2010,AT13,2,1545.0
2011,NUTS,2010,AT13,2,1541.0
2013,NUTS,2010,AT13,2,1637.0
2015,NUTS,2010,AT13,2,1699.0
2017,NUTS,2010,AT13,2,1539.0
2019,NUTS,2010,AT13,2,1580.0
2002,NUTS,2010,AT2,1,259.0
2004,NUTS,2010,AT2,1,376.0
2006,NUTS,2010,AT2,1,478.0
2007,NUTS,2010,AT2,1,552.0
2009,NUTS,2010,AT2,1,664.0
2011,NUTS,2010,AT2,1,757.0
2013,NUTS,2010,AT2,1,863.0
2015,NUTS,2010,AT2,1,950.0
2017,NUTS,2010,AT2,1,1266.0
2019,NUTS,2010,AT2,1,1545.0
