year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_total_hc_f
2011,NUTS,2010,AT,0,19407.0
2013,NUTS,2010,AT,0,20758.0
2015,NUTS,2010,AT,0,21962.0
2017,NUTS,2010,AT,0,22707.0
2019,NUTS,2010,AT,0,24999.0
2011,NUTS,2010,AT1,1,10422.0
2013,NUTS,2010,AT1,1,11308.0
2019,NUTS,2010,AT1,1,13239.0
2011,NUTS,2010,AT11,2,49.0
2013,NUTS,2010,AT11,2,75.0
2019,NUTS,2010,AT11,2,97.0
2011,NUTS,2010,AT12,2,263.0
2013,NUTS,2010,AT12,2,523.0
2015,NUTS,2010,AT12,2,640.0
2017,NUTS,2010,AT12,2,885.0
2019,NUTS,2010,AT12,2,1131.0
2011,NUTS,2010,AT13,2,10110.0
2013,NUTS,2010,AT13,2,10710.0
2015,NUTS,2010,AT13,2,11064.0
2017,NUTS,2010,AT13,2,11015.0
2019,NUTS,2010,AT13,2,12011.0
2011,NUTS,2010,AT2,1,4282.0
2013,NUTS,2010,AT2,1,4371.0
2017,NUTS,2010,AT2,1,4969.0
2019,NUTS,2010,AT2,1,5531.0
2011,NUTS,2010,AT21,2,436.0
2013,NUTS,2010,AT21,2,419.0
2015,NUTS,2010,AT21,2,399.0
2017,NUTS,2010,AT21,2,458.0
2019,NUTS,2010,AT21,2,580.0
2011,NUTS,2010,AT22,2,3846.0
2013,NUTS,2010,AT22,2,3952.0
2015,NUTS,2010,AT22,2,4346.0
2017,NUTS,2010,AT22,2,4511.0
2019,NUTS,2010,AT22,2,4951.0
2011,NUTS,2010,AT3,1,4703.0
2013,NUTS,2010,AT3,1,5079.0
2019,NUTS,2010,AT3,1,6229.0
2011,NUTS,2010,AT31,2,1087.0
2013,NUTS,2010,AT31,2,1106.0
2015,NUTS,2010,AT31,2,1262.0
2017,NUTS,2010,AT31,2,1286.0
2019,NUTS,2010,AT31,2,1389.0
2011,NUTS,2010,AT32,2,1083.0
2013,NUTS,2010,AT32,2,1236.0
2015,NUTS,2010,AT32,2,1394.0
2017,NUTS,2010,AT32,2,1532.0
2019,NUTS,2010,AT32,2,1611.0
2011,NUTS,2010,AT33,2,2516.0
2013,NUTS,2010,AT33,2,2703.0
2015,NUTS,2010,AT33,2,2739.0
2017,NUTS,2010,AT33,2,2877.0
2019,NUTS,2010,AT33,2,3166.0
2011,NUTS,2010,AT34,2,17.0
2013,NUTS,2010,AT34,2,34.0
2019,NUTS,2010,AT34,2,63.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,380.0
2013,NUTS,2010,BA,0,579.0
2014,NUTS,2010,BA,0,1228.0
2019,NUTS,2010,BA,0,1201.0
2011,NUTS,2010,BE,0,19314.0
2012,NUTS,2010,BE,0,19435.0
2013,NUTS,2010,BE,0,19821.0
2014,NUTS,2010,BE,0,21547.0
2015,NUTS,2010,BE,0,21380.0
2016,NUTS,2010,BE,0,21972.0
2017,NUTS,2010,BE,0,22135.0
2018,NUTS,2010,BE,0,24187.0
2019,NUTS,2010,BE,0,24289.0
2012,NUTS,2010,BE1,1,3890.0
2013,NUTS,2010,BE1,1,3916.0
2014,NUTS,2010,BE1,1,4398.0
2015,NUTS,2010,BE1,1,4073.0
2016,NUTS,2010,BE1,1,4164.0
2017,NUTS,2010,BE1,1,4098.0
2018,NUTS,2010,BE1,1,4861.0
2019,NUTS,2010,BE1,1,4660.0
2012,NUTS,2010,BE10,2,3890.0
2013,NUTS,2010,BE10,2,3916.0
2014,NUTS,2010,BE10,2,4398.0
2015,NUTS,2010,BE10,2,4073.0
2016,NUTS,2010,BE10,2,4164.0
2017,NUTS,2010,BE10,2,4098.0
2018,NUTS,2010,BE10,2,4861.0
2019,NUTS,2010,BE10,2,4660.0
2012,NUTS,2010,BE2,1,11161.0
