year,region_type,region_year_spec,region_id,region_level,education_count
2019,NUTS,2016,NL,0,1
2019,NUTS,2016,NL4,1,1
2019,NUTS,2016,NL42,2,1
2019,NUTS,2016,NL423,3,1
2020,NUTS,2016,AT,0,3
2020,NUTS,2016,AT1,1,1
2020,NUTS,2016,AT13,2,1
2020,NUTS,2016,AT130,3,1
2020,NUTS,2016,AT2,1,1
2020,NUTS,2016,AT22,2,1
2020,NUTS,2016,AT221,3,1
2020,NUTS,2016,AT3,1,1
2020,NUTS,2016,AT32,2,1
2020,NUTS,2016,AT323,3,1
2020,NUTS,2016,BE,0,4
2020,NUTS,2016,BE2,1,3
2020,NUTS,2016,BE21,2,2
2020,NUTS,2016,BE211,3,2
2020,NUTS,2016,BE22,2,1
2020,NUTS,2016,BE221,3,1
2020,NUTS,2016,BE3,1,1
2020,NUTS,2016,BE31,2,1
2020,NUTS,2016,BE310,3,1
2020,NUTS,2016,CH,0,5
2020,NUTS,2016,CH0,1,5
2020,NUTS,2016,CH01,2,4
2020,NUTS,2016,CH011,3,1
2020,NUTS,2016,CH013,3,3
2020,NUTS,2016,CH02,2,1
2020,NUTS,2016,CH021,3,1
2020,NUTS,2016,CZ,0,2
2020,NUTS,2016,CZ0,1,2
2020,NUTS,2016,CZ01,2,1
2020,NUTS,2016,CZ010,3,1
2020,NUTS,2016,CZ06,2,1
2020,NUTS,2016,CZ064,3,1
2020,NUTS,2016,DE,0,10
2020,NUTS,2016,DE1,1,4
2020,NUTS,2016,DE12,2,2
2020,NUTS,2016,DE122,3,1
2020,NUTS,2016,DE126,3,1
2020,NUTS,2016,DE14,2,2
2020,NUTS,2016,DE142,3,2
2020,NUTS,2016,DE2,1,4
2020,NUTS,2016,DE21,2,3
2020,NUTS,2016,DE212,3,3
2020,NUTS,2016,DE23,2,1
2020,NUTS,2016,DE232,3,1
2020,NUTS,2016,DEA,1,2
2020,NUTS,2016,DEA2,2,2
2020,NUTS,2016,DEA22,3,1
2020,NUTS,2016,DEA26,3,1
2020,NUTS,2016,DK,0,3
2020,NUTS,2016,DK0,1,3
2020,NUTS,2016,DK01,2,2
2020,NUTS,2016,DK011,3,2
2020,NUTS,2016,DK05,2,1
2020,NUTS,2016,DK050,3,1
