year,region_type,region_year_spec,region_id,region_level,hospitalisation_lq
2020,NUTS,2016,AT,0,0.7
2020,NUTS,2016,BE,0,0.75
2020,NUTS,2016,CH,0,1.05
2020,NUTS,2016,CY,0,1.56
2020,NUTS,2016,CZ,0,0.64
2020,NUTS,2016,DE,0,0.38
2020,NUTS,2016,DK,0,1.33
2020,NUTS,2016,EL,0,0.73
2020,NUTS,2016,ES,0,1.25
2020,NUTS,2016,FI,0,1.39
2020,NUTS,2016,FR,0,0.1
2020,NUTS,2016,HR,0,0.69
2020,NUTS,2016,IE,0,0.51
2020,NUTS,2016,IS,0,1.02
2020,NUTS,2016,IT,0,0.32
2020,NUTS,2016,LT,0,4.63
2020,NUTS,2016,LV,0,2.08
2020,NUTS,2016,NL,0,0.79
2020,NUTS,2016,NO,0,0.31
2020,NUTS,2016,PL,0,0.4
2020,NUTS,2016,PT,0,0.57
2020,NUTS,2016,RS,0,2.86
2020,NUTS,2016,SE,0,1.86
2020,NUTS,2016,SI,0,0.86
2020,NUTS,2016,TR,0,0.22
2020,NUTS,2016,UK,0,1.88
2020,NUTS,2016,AT1,1,0.36
2020,NUTS,2016,AT2,1,1.58
2020,NUTS,2016,AT3,1,1.17
2020,NUTS,2016,BE2,1,1.21
2020,NUTS,2016,BE3,1,0.55
2020,NUTS,2016,CH0,1,1.05
2020,NUTS,2016,CY0,1,1.56
2020,NUTS,2016,CZ0,1,0.64
2020,NUTS,2016,DE1,1,0.62
2020,NUTS,2016,DE2,1,0.16
2020,NUTS,2016,DE3,1,0.7
2020,NUTS,2016,DE6,1,1.01
2020,NUTS,2016,DE7,1,0.25
2020,NUTS,2016,DE9,1,0.31
2020,NUTS,2016,DEA,1,0.21
2020,NUTS,2016,DED,1,0.67
2020,NUTS,2016,DK0,1,1.33
2020,NUTS,2016,EL3,1,1.31
2020,NUTS,2016,EL5,1,0.54
2020,NUTS,2016,ES2,1,0.47
2020,NUTS,2016,ES3,1,1.17
2020,NUTS,2016,ES4,1,2.73
2020,NUTS,2016,ES5,1,1.48
2020,NUTS,2016,ES6,1,1.17
2020,NUTS,2016,FI1,1,1.39
2020,NUTS,2016,FR1,1,0.13
2020,NUTS,2016,FRK,1,0.51
2020,NUTS,2016,HR0,1,0.69
2020,NUTS,2016,IE0,1,0.51
2020,NUTS,2016,IS0,1,1.02
2020,NUTS,2016,ITC,1,0.24
2020,NUTS,2016,ITF,1,0.11
2020,NUTS,2016,ITG,1,0.3
2020,NUTS,2016,ITH,1,0.29
2020,NUTS,2016,ITI,1,0.58
2020,NUTS,2016,LT0,1,4.63
2020,NUTS,2016,LV0,1,2.08
2020,NUTS,2016,NL1,1,1.26
2020,NUTS,2016,NL2,1,0.29
2020,NUTS,2016,NL3,1,0.83
2020,NUTS,2016,NL4,1,1.42
2020,NUTS,2016,NO0,1,0.31
2020,NUTS,2016,PL9,1,1.27
2020,NUTS,2016,PT1,1,0.57
2020,NUTS,2016,RS1,1,3.48
2020,NUTS,2016,SE1,1,2.03
2020,NUTS,2016,SE2,1,1.44
2020,NUTS,2016,SE3,1,1.85
2020,NUTS,2016,SI0,1,0.86
2020,NUTS,2016,TR1,1,0.58
2020,NUTS,2016,TR5,1,0.36
2020,NUTS,2016,UKC,1,0.71
2020,NUTS,2016,UKD,1,3.05
2020,NUTS,2016,UKE,1,1.71
2020,NUTS,2016,UKF,1,2.56
2020,NUTS,2016,UKG,1,1.44
2020,NUTS,2016,UKH,1,0.96
2020,NUTS,2016,UKI,1,2.33
2020,NUTS,2016,UKJ,1,1.98
2020,NUTS,2016,UKK,1,1.06
2020,NUTS,2016,UKL,1,0.75
2020,NUTS,2016,UKM,1,1.72
2020,NUTS,2016,UKN,1,1.97
2020,NUTS,2016,AT13,2,0.41
2020,NUTS,2016,AT22,2,1.64
2020,NUTS,2016,AT31,2,2.41
2020,NUTS,2016,AT33,2,0.93
2020,NUTS,2016,BE21,2,2.31
2020,NUTS,2016,BE23,2,0.98
2020,NUTS,2016,BE32,2,2.99
2020,NUTS,2016,CH01,2,0.99
2020,NUTS,2016,CH02,2,1.82
2020,NUTS,2016,CH03,2,0.75
2020,NUTS,2016,CH04,2,0.73
2020,NUTS,2016,CH05,2,5.77
2020,NUTS,2016,CY00,2,1.56
2020,NUTS,2016,CZ01,2,1.32
2020,NUTS,2016,DE12,2,0.68
2020,NUTS,2016,DE13,2,1.56
2020,NUTS,2016,DE21,2,0.11
2020,NUTS,2016,DE25,2,0.87
2020,NUTS,2016,DE30,2,0.7
2020,NUTS,2016,DE60,2,1.01
2020,NUTS,2016,DE72,2,0.88
2020,NUTS,2016,DE92,2,0.83
2020,NUTS,2016,DEA3,2,2.39
2020,NUTS,2016,DED4,2,0.59
2020,NUTS,2016,DED5,2,1.08
2020,NUTS,2016,DK01,2,1.68
2020,NUTS,2016,DK03,2,1.36
2020,NUTS,2016,DK04,2,0.89
2020,NUTS,2016,EL30,2,1.31
2020,NUTS,2016,EL54,2,3.1
2020,NUTS,2016,ES22,2,1.89
2020,NUTS,2016,ES30,2,1.17
2020,NUTS,2016,ES41,2,3.37
2020,NUTS,2016,ES51,2,1.81
2020,NUTS,2016,ES52,2,0.75
2020,NUTS,2016,ES61,2,0.87
2020,NUTS,2016,ES62,2,1.78
2020,NUTS,2016,FI1B,2,0.79
2020,NUTS,2016,FI1C,2,2.45
2020,NUTS,2016,FI1D,2,2.18
2020,NUTS,2016,FR10,2,0.13
2020,NUTS,2016,FRK2,2,0.51
2020,NUTS,2016,HR03,2,2.51
2020,NUTS,2016,IE05,2,1.34
2020,NUTS,2016,IE06,2,0.29
2020,NUTS,2016,IS00,2,1.02
2020,NUTS,2016,ITC1,2,0.3
2020,NUTS,2016,ITC4,2,0.26
2020,NUTS,2016,ITF6,2,1.23
2020,NUTS,2016,ITG1,2,0.49
2020,NUTS,2016,ITH5,2,0.73
2020,NUTS,2016,ITI1,2,1.34
2020,NUTS,2016,ITI4,2,0.22
2020,NUTS,2016,LT01,2,7.54
2020,NUTS,2016,LV00,2,2.08
2020,NUTS,2016,NL11,2,1.27
2020,NUTS,2016,NL22,2,0.31
2020,NUTS,2016,NL31,2,1.0
2020,NUTS,2016,NL32,2,0.2
2020,NUTS,2016,NL33,2,1.25
2020,NUTS,2016,NL42,2,2.45
2020,NUTS,2016,NO01,2,0.29
2020,NUTS,2016,NO07,2,5.16
2020,NUTS,2016,PL91,2,1.28
2020,NUTS,2016,PT16,2,0.78
2020,NUTS,2016,PT17,2,0.95
2020,NUTS,2016,RS11,2,4.48
2020,NUTS,2016,SE11,2,2.08
2020,NUTS,2016,SE12,2,1.93
2020,NUTS,2016,SE22,2,1.21
2020,NUTS,2016,SE23,2,1.78
2020,NUTS,2016,SE33,2,2.22
2020,NUTS,2016,SI04,2,0.98
2020,NUTS,2016,TR10,2,0.58
2020,NUTS,2016,TR51,2,0.39
2020,NUTS,2016,UKC2,2,1.81
2020,NUTS,2016,UKD3,2,2.34
2020,NUTS,2016,UKD4,2,4.8
2020,NUTS,2016,UKD7,2,3.57
2020,NUTS,2016,UKE1,2,2.77
2020,NUTS,2016,UKE3,2,2.28
2020,NUTS,2016,UKE4,2,1.88
2020,NUTS,2016,UKF1,2,2.8
2020,NUTS,2016,UKF2,2,2.5
2020,NUTS,2016,UKG1,2,1.77
2020,NUTS,2016,UKG3,2,1.54
2020,NUTS,2016,UKH1,2,0.7
2020,NUTS,2016,UKH2,2,2.19
2020,NUTS,2016,UKI3,2,2.49
2020,NUTS,2016,UKI4,2,1.68
2020,NUTS,2016,UKI6,2,10.18
2020,NUTS,2016,UKJ1,2,2.21
2020,NUTS,2016,UKJ2,2,0.96
2020,NUTS,2016,UKJ3,2,2.45
2020,NUTS,2016,UKK1,2,0.2
2020,NUTS,2016,UKK3,2,10.58
2020,NUTS,2016,UKK4,2,3.05
2020,NUTS,2016,UKL2,2,1.11
2020,NUTS,2016,UKM7,2,2.07
2020,NUTS,2016,UKM8,2,1.53
2020,NUTS,2016,UKN0,2,1.97
2020,NUTS,2016,AT130,3,0.41
2020,NUTS,2016,AT221,3,1.64
2020,NUTS,2016,AT312,3,2.41
2020,NUTS,2016,AT332,3,0.93
2020,NUTS,2016,BE213,3,9.76
2020,NUTS,2016,BE234,3,0.98
2020,NUTS,2016,BE323,3,2.99
2020,NUTS,2016,CH011,3,1.07
2020,NUTS,2016,CH013,3,0.93
2020,NUTS,2016,CH021,3,1.78
2020,NUTS,2016,CH022,3,3.01
2020,NUTS,2016,CH031,3,0.82
2020,NUTS,2016,CH040,3,0.73
2020,NUTS,2016,CH055,3,5.77
2020,NUTS,2016,CY000,3,1.56
2020,NUTS,2016,CZ010,3,1.32
2020,NUTS,2016,DE125,3,1.08
2020,NUTS,2016,DE131,3,1.91
2020,NUTS,2016,DE212,3,0.11
2020,NUTS,2016,DE252,3,0.88
2020,NUTS,2016,DE300,3,0.7
2020,NUTS,2016,DE600,3,1.01
2020,NUTS,2016,DE721,3,1.7
2020,NUTS,2016,DE929,3,0.85
2020,NUTS,2016,DEA33,3,2.39
2020,NUTS,2016,DED41,3,0.71
2020,NUTS,2016,DED51,3,1.08
2020,NUTS,2016,DK011,3,2.19
2020,NUTS,2016,DK031,3,1.36
2020,NUTS,2016,DK042,3,0.89
2020,NUTS,2016,EL303,3,1.35
2020,NUTS,2016,EL543,3,3.1
2020,NUTS,2016,ES220,3,1.89
2020,NUTS,2016,ES300,3,1.17
2020,NUTS,2016,ES415,3,14.56
2020,NUTS,2016,ES511,3,1.96
2020,NUTS,2016,ES521,3,1.72
2020,NUTS,2016,ES523,3,0.5
2020,NUTS,2016,ES617,3,2.81
2020,NUTS,2016,ES618,3,1.21
2020,NUTS,2016,ES620,3,1.78
2020,NUTS,2016,FI1B1,3,0.79
2020,NUTS,2016,FI1C1,3,2.6
2020,NUTS,2016,FI1D9,3,4.41
2020,NUTS,2016,FR104,3,0.22
2020,NUTS,2016,FRK26,3,0.65
2020,NUTS,2016,HR035,3,4.97
2020,NUTS,2016,IE051,3,1.84
2020,NUTS,2016,IE053,3,1.24
2020,NUTS,2016,IE061,3,0.33
2020,NUTS,2016,IS001,3,1.03
2020,NUTS,2016,ITC11,3,0.36
2020,NUTS,2016,ITC47,3,0.77
