year,region_type,region_year_spec,region_id,region_level,serology_lq
2020,NUTS,2016,AT,0,1.12
2020,NUTS,2016,BE,0,1.03
2020,NUTS,2016,CH,0,1.43
2020,NUTS,2016,CY,0,0.93
2020,NUTS,2016,CZ,0,0.25
2020,NUTS,2016,DE,0,0.86
2020,NUTS,2016,DK,0,1.82
2020,NUTS,2016,EE,0,5.94
2020,NUTS,2016,EL,0,0.88
2020,NUTS,2016,ES,0,0.39
2020,NUTS,2016,FI,0,1.19
2020,NUTS,2016,FR,0,0.86
2020,NUTS,2016,HR,0,3.29
2020,NUTS,2016,HU,0,0.93
2020,NUTS,2016,IE,0,0.61
2020,NUTS,2016,IT,0,0.58
2020,NUTS,2016,LU,0,3.52
2020,NUTS,2016,LV,0,2.49
2020,NUTS,2016,NL,0,0.76
2020,NUTS,2016,NO,0,0.37
2020,NUTS,2016,SE,0,1.51
2020,NUTS,2016,SI,0,1.02
2020,NUTS,2016,TR,0,0.26
2020,NUTS,2016,UK,0,1.5
2020,NUTS,2016,AT1,1,1.29
2020,NUTS,2016,AT3,1,1.4
2020,NUTS,2016,BE1,1,0.47
2020,NUTS,2016,BE2,1,1.69
2020,NUTS,2016,CH0,1,1.43
2020,NUTS,2016,CY0,1,0.93
2020,NUTS,2016,CZ0,1,0.25
2020,NUTS,2016,DE1,1,0.3
2020,NUTS,2016,DE2,1,0.58
2020,NUTS,2016,DE3,1,2.18
2020,NUTS,2016,DE6,1,2.4
2020,NUTS,2016,DE7,1,1.49
2020,NUTS,2016,DE9,1,1.09
2020,NUTS,2016,DEA,1,0.38
2020,NUTS,2016,DED,1,0.54
2020,NUTS,2016,DEE,1,2.53
2020,NUTS,2016,DK0,1,1.82
2020,NUTS,2016,EE0,1,5.94
2020,NUTS,2016,EL3,1,1.57
2020,NUTS,2016,EL6,1,1.19
2020,NUTS,2016,ES3,1,0.54
2020,NUTS,2016,ES5,1,0.63
2020,NUTS,2016,FI1,1,1.19
2020,NUTS,2016,FR1,1,0.94
2020,NUTS,2016,FRF,1,1.16
2020,NUTS,2016,FRJ,1,1.32
2020,NUTS,2016,FRK,1,0.62
2020,NUTS,2016,FRL,1,1.89
2020,NUTS,2016,HR0,1,3.29
2020,NUTS,2016,HU1,1,0.75
2020,NUTS,2016,HU2,1,3.73
2020,NUTS,2016,IE0,1,0.61
2020,NUTS,2016,ITC,1,0.67
2020,NUTS,2016,ITF,1,0.52
2020,NUTS,2016,ITG,1,0.35
2020,NUTS,2016,ITH,1,0.77
2020,NUTS,2016,ITI,1,0.35
2020,NUTS,2016,LU0,1,3.52
2020,NUTS,2016,LV0,1,2.49
2020,NUTS,2016,NL2,1,0.34
2020,NUTS,2016,NL3,1,1.16
2020,NUTS,2016,NL4,1,0.42
2020,NUTS,2016,NO0,1,0.37
2020,NUTS,2016,SE1,1,2.19
2020,NUTS,2016,SE2,1,0.29
2020,NUTS,2016,SI0,1,1.02
2020,NUTS,2016,TR7,1,2.74
2020,NUTS,2016,TRA,1,4.18
2020,NUTS,2016,UKC,1,0.43
2020,NUTS,2016,UKD,1,1.46
2020,NUTS,2016,UKE,1,0.94
2020,NUTS,2016,UKF,1,0.68
2020,NUTS,2016,UKG,1,1.73
2020,NUTS,2016,UKH,1,2.8
2020,NUTS,2016,UKI,1,1.38
2020,NUTS,2016,UKJ,1,2.14
2020,NUTS,2016,UKK,1,0.63
2020,NUTS,2016,UKL,1,0.6
2020,NUTS,2016,UKM,1,0.78
2020,NUTS,2016,UKN,1,1.57
2020,NUTS,2016,AT12,2,1.68
2020,NUTS,2016,AT13,2,1.23
2020,NUTS,2016,AT33,2,2.22
2020,NUTS,2016,BE10,2,0.47
2020,NUTS,2016,BE21,2,2.76
2020,NUTS,2016,BE23,2,1.75
2020,NUTS,2016,CH01,2,2.06
2020,NUTS,2016,CH02,2,1.31
2020,NUTS,2016,CH03,2,1.34
2020,NUTS,2016,CH04,2,0.52
2020,NUTS,2016,CH05,2,6.89
2020,NUTS,2016,CY00,2,0.93
2020,NUTS,2016,CZ01,2,0.52
2020,NUTS,2016,DE12,2,0.82
2020,NUTS,2016,DE21,2,0.26
2020,NUTS,2016,DE27,2,20.11
2020,NUTS,2016,DE30,2,2.18
2020,NUTS,2016,DE60,2,2.4
2020,NUTS,2016,DE71,2,1.91
2020,NUTS,2016,DE72,2,2.1
2020,NUTS,2016,DE92,2,2.99
2020,NUTS,2016,DEA1,2,0.91
2020,NUTS,2016,DEA2,2,0.45
2020,NUTS,2016,DED4,2,0.7
2020,NUTS,2016,DEE0,2,2.53
2020,NUTS,2016,DK01,2,1.61
2020,NUTS,2016,DK03,2,2.43
2020,NUTS,2016,DK04,2,1.6
2020,NUTS,2016,DK05,2,3.16
2020,NUTS,2016,EE00,2,5.94
2020,NUTS,2016,EL30,2,1.57
2020,NUTS,2016,EL61,2,2.75
2020,NUTS,2016,ES30,2,0.54
2020,NUTS,2016,ES51,2,0.72
2020,NUTS,2016,ES52,2,0.45
2020,NUTS,2016,FI1B,2,2.35
2020,NUTS,2016,FR10,2,0.94
2020,NUTS,2016,FRF1,2,1.9
2020,NUTS,2016,FRJ1,2,1.71
2020,NUTS,2016,FRK2,2,0.62
2020,NUTS,2016,FRL0,2,1.89
2020,NUTS,2016,HR03,2,9.01
2020,NUTS,2016,HR04,2,1.13
2020,NUTS,2016,HU11,2,0.77
2020,NUTS,2016,HU23,2,5.19
2020,NUTS,2016,IE05,2,0.8
2020,NUTS,2016,IE06,2,0.7
2020,NUTS,2016,ITC1,2,0.36
2020,NUTS,2016,ITC3,2,0.52
2020,NUTS,2016,ITC4,2,0.74
2020,NUTS,2016,ITF4,2,1.44
2020,NUTS,2016,ITG1,2,0.58
2020,NUTS,2016,ITH3,2,1.55
2020,NUTS,2016,ITH5,2,0.44
2020,NUTS,2016,ITI1,2,1.0
2020,NUTS,2016,LU00,2,3.52
2020,NUTS,2016,LV00,2,2.49
2020,NUTS,2016,NL22,2,0.38
2020,NUTS,2016,NL31,2,2.78
2020,NUTS,2016,NL32,2,0.71
2020,NUTS,2016,NL33,2,0.75
2020,NUTS,2016,NL41,2,1.01
2020,NUTS,2016,NO01,2,0.7
2020,NUTS,2016,SE11,2,2.49
2020,NUTS,2016,SE12,2,1.54
2020,NUTS,2016,SE23,2,0.53
2020,NUTS,2016,SI04,2,1.17
2020,NUTS,2016,TR72,2,3.94
2020,NUTS,2016,TRA1,2,5.47
2020,NUTS,2016,UKC2,2,1.08
2020,NUTS,2016,UKD3,2,0.86
2020,NUTS,2016,UKD7,2,2.66
2020,NUTS,2016,UKE3,2,0.54
2020,NUTS,2016,UKE4,2,1.61
2020,NUTS,2016,UKF1,2,1.0
2020,NUTS,2016,UKF2,2,0.37
2020,NUTS,2016,UKG1,2,1.06
2020,NUTS,2016,UKG3,2,2.3
2020,NUTS,2016,UKH1,2,2.24
2020,NUTS,2016,UKH2,2,5.62
2020,NUTS,2016,UKI3,2,1.51
2020,NUTS,2016,UKI4,2,0.75
2020,NUTS,2016,UKI7,2,1.32
2020,NUTS,2016,UKJ1,2,1.61
2020,NUTS,2016,UKJ2,2,1.15
2020,NUTS,2016,UKJ3,2,4.75
2020,NUTS,2016,UKJ4,2,4.63
2020,NUTS,2016,UKK1,2,0.95
2020,NUTS,2016,UKL2,2,0.89
2020,NUTS,2016,UKM5,2,1.53
2020,NUTS,2016,UKM7,2,1.15
2020,NUTS,2016,UKN0,2,1.57
2020,NUTS,2016,AT126,3,3.91
2020,NUTS,2016,AT130,3,1.23
2020,NUTS,2016,AT332,3,2.22
2020,NUTS,2016,BE100,3,0.47
2020,NUTS,2016,BE211,3,3.66
2020,NUTS,2016,BE234,3,1.75
2020,NUTS,2016,CH011,3,1.28
2020,NUTS,2016,CH013,3,2.78
2020,NUTS,2016,CH021,3,1.07
2020,NUTS,2016,CH025,3,24.63
2020,NUTS,2016,CH031,3,0.98
2020,NUTS,2016,CH033,3,5.08
2020,NUTS,2016,CH040,3,0.52
2020,NUTS,2016,CH055,3,6.89
2020,NUTS,2016,CY000,3,0.93
2020,NUTS,2016,CZ010,3,0.52
2020,NUTS,2016,DE125,3,1.29
2020,NUTS,2016,DE212,3,0.26
2020,NUTS,2016,DE271,3,20.11
2020,NUTS,2016,DE300,3,2.18
2020,NUTS,2016,DE600,3,2.4
2020,NUTS,2016,DE712,3,2.52
2020,NUTS,2016,DE724,3,4.34
2020,NUTS,2016,DE929,3,3.03
2020,NUTS,2016,DEA13,3,1.07
2020,NUTS,2016,DEA22,3,1.16
2020,NUTS,2016,DED41,3,0.85
2020,NUTS,2016,DEE02,3,2.9
2020,NUTS,2016,DEE03,3,2.43
2020,NUTS,2016,DK011,3,2.1
2020,NUTS,2016,DK031,3,2.44
2020,NUTS,2016,DK042,3,1.6
2020,NUTS,2016,DK050,3,3.16
2020,NUTS,2016,EE001,3,7.14
2020,NUTS,2016,EE008,3,5.62
2020,NUTS,2016,EL303,3,1.61
2020,NUTS,2016,EL613,3,2.75
2020,NUTS,2016,ES300,3,0.54
2020,NUTS,2016,ES511,3,0.78
2020,NUTS,2016,ES523,3,0.6
2020,NUTS,2016,FI1B1,3,2.35
2020,NUTS,2016,FR101,3,0.9
2020,NUTS,2016,FR104,3,1.17
2020,NUTS,2016,FRF11,3,1.97
2020,NUTS,2016,FRJ13,3,1.79
2020,NUTS,2016,FRK26,3,0.77
2020,NUTS,2016,FRL04,3,1.94
2020,NUTS,2016,HR031,3,7.46
2020,NUTS,2016,HR035,3,11.87
2020,NUTS,2016,HR041,3,1.24
2020,NUTS,2016,HU110,3,0.77
2020,NUTS,2016,HU231,3,5.3
2020,NUTS,2016,IE051,3,2.2
2020,NUTS,2016,IE061,3,0.78
2020,NUTS,2016,ITC11,3,0.42
2020,NUTS,2016,ITC33,3,0.52
2020,NUTS,2016,ITC47,3,0.91
2020,NUTS,2016,ITC4C,3,0.87
2020,NUTS,2016,ITF46,3,1.86
2020,NUTS,2016,ITF47,3,1.43
2020,NUTS,2016,ITG13,3,1.43
2020,NUTS,2016,ITH31,3,1.6
