year,region_type,region_year_spec,region_id,region_level,image_detection_count
2019,NUTS,2016,ES,0,1
2019,NUTS,2016,ES3,1,1
2019,NUTS,2016,ES30,2,1
2019,NUTS,2016,ES300,3,1
2019,NUTS,2016,NO,0,1
2019,NUTS,2016,NO0,1,1
2019,NUTS,2016,NO06,2,1
2019,NUTS,2016,NO060,3,1
2020,NUTS,2016,CH,0,7
2020,NUTS,2016,CH0,1,7
2020,NUTS,2016,CH01,2,3
2020,NUTS,2016,CH011,3,3
2020,NUTS,2016,CH04,2,4
2020,NUTS,2016,CH040,3,4
2020,NUTS,2016,CY,0,2
2020,NUTS,2016,CY0,1,2
2020,NUTS,2016,CY00,2,2
2020,NUTS,2016,CY000,3,2
2020,NUTS,2016,CZ,0,1
2020,NUTS,2016,CZ0,1,1
2020,NUTS,2016,CZ06,2,1
2020,NUTS,2016,CZ064,3,1
2020,NUTS,2016,DE,0,7
2020,NUTS,2016,DE1,1,2
2020,NUTS,2016,DE12,2,2
2020,NUTS,2016,DE125,3,2
2020,NUTS,2016,DE9,1,1
2020,NUTS,2016,DE92,2,1
2020,NUTS,2016,DE929,3,1
2020,NUTS,2016,DEB,1,1
2020,NUTS,2016,DEB2,2,1
2020,NUTS,2016,DEB21,3,1
2020,NUTS,2016,DEC,1,1
2020,NUTS,2016,DEC0,2,1
2020,NUTS,2016,DEC01,3,1
2020,NUTS,2016,DED,1,1
2020,NUTS,2016,DED4,2,1
2020,NUTS,2016,DED41,3,1
2020,NUTS,2016,DEG,1,1
2020,NUTS,2016,DEG0,2,1
2020,NUTS,2016,DEG03,3,1
2020,NUTS,2016,DK,0,2
2020,NUTS,2016,DK0,1,2
2020,NUTS,2016,DK01,2,2
2020,NUTS,2016,DK011,3,1
2020,NUTS,2016,DK012,3,1
2020,NUTS,2016,EL,0,3
2020,NUTS,2016,EL3,1,3
2020,NUTS,2016,EL30,2,3
2020,NUTS,2016,EL303,3,3
2020,NUTS,2016,ES,0,6
2020,NUTS,2016,ES1,1,3
2020,NUTS,2016,ES11,2,3
2020,NUTS,2016,ES111,3,3
2020,NUTS,2016,ES5,1,1
2020,NUTS,2016,ES51,2,1
2020,NUTS,2016,ES512,3,1
2020,NUTS,2016,ES6,1,2
2020,NUTS,2016,ES61,2,2
2020,NUTS,2016,ES614,3,1
2020,NUTS,2016,ES617,3,1
2020,NUTS,2016,FR,0,8
2020,NUTS,2016,FR1,1,4
2020,NUTS,2016,FR10,2,4
2020,NUTS,2016,FR104,3,2
2020,NUTS,2016,FR107,3,2
2020,NUTS,2016,FRF,1,2
2020,NUTS,2016,FRF1,2,2
2020,NUTS,2016,FRF12,3,2
2020,NUTS,2016,FRI,1,1
2020,NUTS,2016,FRI1,2,1
2020,NUTS,2016,FRI12,3,1
2020,NUTS,2016,FRJ,1,1
2020,NUTS,2016,FRJ1,2,1
2020,NUTS,2016,FRJ13,3,1
2020,NUTS,2016,HU,0,3
2020,NUTS,2016,HU1,1,3
2020,NUTS,2016,HU11,2,3
2020,NUTS,2016,HU110,3,3
2020,NUTS,2016,IT,0,9
2020,NUTS,2016,ITC,1,2
2020,NUTS,2016,ITC4,2,2
2020,NUTS,2016,ITC47,3,1
2020,NUTS,2016,ITC4C,3,1
2020,NUTS,2016,ITF,1,1
2020,NUTS,2016,ITF1,2,1
2020,NUTS,2016,ITF11,3,1
2020,NUTS,2016,ITG,1,2
2020,NUTS,2016,ITG1,2,2
2020,NUTS,2016,ITG13,3,1
2020,NUTS,2016,ITG17,3,1
2020,NUTS,2016,ITH,1,3
2020,NUTS,2016,ITH3,2,2
2020,NUTS,2016,ITH36,3,2
2020,NUTS,2016,ITH4,2,1
2020,NUTS,2016,ITH44,3,1
2020,NUTS,2016,ITI,1,1
2020,NUTS,2016,ITI1,2,1
2020,NUTS,2016,ITI14,3,1
2020,NUTS,2016,LU,0,1
2020,NUTS,2016,LU0,1,1
2020,NUTS,2016,LU00,2,1
2020,NUTS,2016,LU000,3,1
2020,NUTS,2016,NL,0,3
2020,NUTS,2016,NL3,1,1
2020,NUTS,2016,NL32,2,1
2020,NUTS,2016,NL329,3,1
2020,NUTS,2016,NL4,1,2
2020,NUTS,2016,NL41,2,1
2020,NUTS,2016,NL414,3,1
2020,NUTS,2016,NL42,2,1
2020,NUTS,2016,NL423,3,1
2020,NUTS,2016,NO,0,1
2020,NUTS,2016,NO0,1,1
2020,NUTS,2016,NO01,2,1
2020,NUTS,2016,NO011,3,1
2020,NUTS,2016,PL,0,1
2020,NUTS,2016,PL9,1,1
2020,NUTS,2016,PL91,2,1
2020,NUTS,2016,PL911,3,1
2020,NUTS,2016,SI,0,1
2020,NUTS,2016,SI0,1,1
2020,NUTS,2016,SI04,2,1
2020,NUTS,2016,SI041,3,1
2020,NUTS,2016,TR,0,9
2020,NUTS,2016,TR1,1,1
2020,NUTS,2016,TR10,2,1
2020,NUTS,2016,TR100,3,1
2020,NUTS,2016,TR2,1,2
2020,NUTS,2016,TR22,2,2
2020,NUTS,2016,TR222,3,2
2020,NUTS,2016,TR5,1,2
2020,NUTS,2016,TR51,2,2
2020,NUTS,2016,TR510,3,2
2020,NUTS,2016,TR8,1,4
2020,NUTS,2016,TR81,2,3
2020,NUTS,2016,TR811,3,3
2020,NUTS,2016,TR83,2,1
2020,NUTS,2016,TR834,3,1
