year,region_type,region_year_spec,region_id,region_level,population_impact_count
2020,NUTS,2016,AT,0,5
2020,NUTS,2016,AT1,1,4
2020,NUTS,2016,AT12,2,1
2020,NUTS,2016,AT127,3,1
2020,NUTS,2016,AT13,2,3
2020,NUTS,2016,AT130,3,3
2020,NUTS,2016,AT2,1,1
2020,NUTS,2016,AT22,2,1
2020,NUTS,2016,AT221,3,1
2020,NUTS,2016,BE,0,7
2020,NUTS,2016,BE1,1,1
2020,NUTS,2016,BE10,2,1
2020,NUTS,2016,BE100,3,1
2020,NUTS,2016,BE2,1,5
2020,NUTS,2016,BE21,2,4
2020,NUTS,2016,BE211,3,2
2020,NUTS,2016,BE213,3,2
2020,NUTS,2016,BE24,2,1
2020,NUTS,2016,BE241,3,1
2020,NUTS,2016,BE3,1,1
2020,NUTS,2016,BE33,2,1
2020,NUTS,2016,BE332,3,1
2020,NUTS,2016,CH,0,19
2020,NUTS,2016,CH0,1,19
2020,NUTS,2016,CH01,2,8
2020,NUTS,2016,CH011,3,1
2020,NUTS,2016,CH013,3,7
2020,NUTS,2016,CH02,2,3
2020,NUTS,2016,CH021,3,3
2020,NUTS,2016,CH04,2,7
2020,NUTS,2016,CH040,3,7
2020,NUTS,2016,CH05,2,1
2020,NUTS,2016,CH055,3,1
2020,NUTS,2016,CY,0,1
2020,NUTS,2016,CY0,1,1
2020,NUTS,2016,CY00,2,1
2020,NUTS,2016,CY000,3,1
2020,NUTS,2016,DE,0,38
2020,NUTS,2016,DE1,1,6
2020,NUTS,2016,DE11,2,1
2020,NUTS,2016,DE111,3,1
2020,NUTS,2016,DE12,2,2
2020,NUTS,2016,DE125,3,2
2020,NUTS,2016,DE13,2,3
2020,NUTS,2016,DE131,3,3
2020,NUTS,2016,DE2,1,14
2020,NUTS,2016,DE21,2,14
2020,NUTS,2016,DE212,3,14
2020,NUTS,2016,DE3,1,3
2020,NUTS,2016,DE30,2,3
2020,NUTS,2016,DE300,3,3
2020,NUTS,2016,DE5,1,1
2020,NUTS,2016,DE50,2,1
2020,NUTS,2016,DE501,3,1
2020,NUTS,2016,DE6,1,2
2020,NUTS,2016,DE60,2,2
2020,NUTS,2016,DE600,3,2
2020,NUTS,2016,DE7,1,5
2020,NUTS,2016,DE71,2,5
2020,NUTS,2016,DE712,3,5
2020,NUTS,2016,DE8,1,4
2020,NUTS,2016,DE80,2,4
2020,NUTS,2016,DE803,3,3
2020,NUTS,2016,DE80N,3,1
2020,NUTS,2016,DEA,1,1
2020,NUTS,2016,DEA2,2,1
2020,NUTS,2016,DEA22,3,1
2020,NUTS,2016,DEB,1,2
2020,NUTS,2016,DEB2,2,1
2020,NUTS,2016,DEB21,3,1
2020,NUTS,2016,DEB3,2,1
2020,NUTS,2016,DEB32,3,1
2020,NUTS,2016,DK,0,11
2020,NUTS,2016,DK0,1,11
2020,NUTS,2016,DK01,2,6
2020,NUTS,2016,DK011,3,4
2020,NUTS,2016,DK012,3,2
2020,NUTS,2016,DK02,2,1
2020,NUTS,2016,DK021,3,1
2020,NUTS,2016,DK03,2,2
2020,NUTS,2016,DK031,3,2
2020,NUTS,2016,DK04,2,2
2020,NUTS,2016,DK042,3,2
2020,NUTS,2016,EL,0,4
2020,NUTS,2016,EL4,1,2
2020,NUTS,2016,EL43,2,2
2020,NUTS,2016,EL433,3,2
2020,NUTS,2016,EL5,1,1
2020,NUTS,2016,EL52,2,1
2020,NUTS,2016,EL522,3,1
2020,NUTS,2016,EL6,1,1
2020,NUTS,2016,EL63,2,1
2020,NUTS,2016,EL632,3,1
2020,NUTS,2016,ES,0,25
2020,NUTS,2016,ES1,1,1
2020,NUTS,2016,ES12,2,1
2020,NUTS,2016,ES120,3,1
2020,NUTS,2016,ES2,1,1
2020,NUTS,2016,ES24,2,1
2020,NUTS,2016,ES243,3,1
2020,NUTS,2016,ES3,1,7
2020,NUTS,2016,ES30,2,7
2020,NUTS,2016,ES300,3,7
2020,NUTS,2016,ES4,1,1
2020,NUTS,2016,ES43,2,1
2020,NUTS,2016,ES432,3,1
