year,region_type,region_year_spec,region_id,region_level,impact_studies_3_count
2020,NUTS,2016,AT,0,4
2020,NUTS,2016,AT1,1,1
2020,NUTS,2016,AT13,2,1
2020,NUTS,2016,AT130,3,1
2020,NUTS,2016,AT3,1,3
2020,NUTS,2016,AT33,2,3
2020,NUTS,2016,AT332,3,3
2020,NUTS,2016,BE,0,9
2020,NUTS,2016,BE1,1,3
2020,NUTS,2016,BE10,2,3
2020,NUTS,2016,BE100,3,3
2020,NUTS,2016,BE2,1,6
2020,NUTS,2016,BE21,2,2
2020,NUTS,2016,BE211,3,1
2020,NUTS,2016,BE213,3,1
2020,NUTS,2016,BE23,2,3
2020,NUTS,2016,BE234,3,3
2020,NUTS,2016,BE24,2,1
2020,NUTS,2016,BE242,3,1
2020,NUTS,2016,CH,0,17
2020,NUTS,2016,CH0,1,17
2020,NUTS,2016,CH01,2,5
2020,NUTS,2016,CH011,3,3
2020,NUTS,2016,CH013,3,2
2020,NUTS,2016,CH02,2,3
2020,NUTS,2016,CH021,3,3
2020,NUTS,2016,CH04,2,9
2020,NUTS,2016,CH040,3,9
2020,NUTS,2016,CZ,0,3
2020,NUTS,2016,CZ0,1,3
2020,NUTS,2016,CZ06,2,3
2020,NUTS,2016,CZ064,3,3
2020,NUTS,2016,DE,0,78
2020,NUTS,2016,DE1,1,10
2020,NUTS,2016,DE12,2,7
2020,NUTS,2016,DE125,3,7
2020,NUTS,2016,DE13,2,1
2020,NUTS,2016,DE131,3,1
2020,NUTS,2016,DE14,2,2
2020,NUTS,2016,DE142,3,2
2020,NUTS,2016,DE2,1,10
2020,NUTS,2016,DE21,2,9
2020,NUTS,2016,DE212,3,9
2020,NUTS,2016,DE23,2,1
2020,NUTS,2016,DE232,3,1
2020,NUTS,2016,DE3,1,18
2020,NUTS,2016,DE30,2,18
2020,NUTS,2016,DE300,3,18
2020,NUTS,2016,DE6,1,4
2020,NUTS,2016,DE60,2,4
2020,NUTS,2016,DE600,3,4
2020,NUTS,2016,DE7,1,5
2020,NUTS,2016,DE71,2,2
2020,NUTS,2016,DE712,3,2
2020,NUTS,2016,DE72,2,1
2020,NUTS,2016,DE721,3,1
