year,region_type,region_year_spec,region_id,region_level,smoking_cancer_count
2020,NUTS,2016,BE,0,1
2020,NUTS,2016,BE2,1,1
2020,NUTS,2016,BE21,2,1
2020,NUTS,2016,BE213,3,1
2020,NUTS,2016,ES,0,6
2020,NUTS,2016,ES3,1,4
2020,NUTS,2016,ES30,2,4
2020,NUTS,2016,ES300,3,4
2020,NUTS,2016,ES5,1,2
2020,NUTS,2016,ES51,2,2
2020,NUTS,2016,ES511,3,2
2020,NUTS,2016,FR,0,3
2020,NUTS,2016,FR1,1,2
2020,NUTS,2016,FR10,2,2
2020,NUTS,2016,FR101,3,2
2020,NUTS,2016,FRE,1,1
2020,NUTS,2016,FRE2,2,1
2020,NUTS,2016,FRE23,3,1
2020,NUTS,2016,IE,0,2
2020,NUTS,2016,IE0,1,2
2020,NUTS,2016,IE05,2,1
2020,NUTS,2016,IE053,3,1
2020,NUTS,2016,IE06,2,1
2020,NUTS,2016,IE062,3,1
2020,NUTS,2016,IT,0,4
2020,NUTS,2016,ITC,1,3
2020,NUTS,2016,ITC4,2,3
2020,NUTS,2016,ITC48,3,1
2020,NUTS,2016,ITC4C,3,2
2020,NUTS,2016,ITH,1,1
2020,NUTS,2016,ITH5,2,1
2020,NUTS,2016,ITH56,3,1
2020,NUTS,2016,MT,0,1
2020,NUTS,2016,MT0,1,1
2020,NUTS,2016,MT00,2,1
2020,NUTS,2016,MT001,3,1
2020,NUTS,2016,NL,0,2
2020,NUTS,2016,NL3,1,2
2020,NUTS,2016,NL33,2,2
2020,NUTS,2016,NL33C,3,2
2020,NUTS,2016,PT,0,1
2020,NUTS,2016,PT1,1,1
2020,NUTS,2016,PT11,2,1
2020,NUTS,2016,PT11A,3,1
2020,NUTS,2016,SE,0,2
2020,NUTS,2016,SE2,1,2
2020,NUTS,2016,SE23,2,2
2020,NUTS,2016,SE232,3,2
2020,NUTS,2016,UK,0,78
2020,NUTS,2016,UKD,1,7
2020,NUTS,2016,UKD3,2,3
2020,NUTS,2016,UKD33,3,3
2020,NUTS,2016,UKD7,2,4
2020,NUTS,2016,UKD72,3,4
2020,NUTS,2016,UKE,1,1
2020,NUTS,2016,UKE3,2,1
2020,NUTS,2016,UKE31,3,1
2020,NUTS,2016,UKF,1,3
2020,NUTS,2016,UKF1,2,2
2020,NUTS,2016,UKF14,3,1
2020,NUTS,2016,UKF16,3,1
2020,NUTS,2016,UKF2,2,1
2020,NUTS,2016,UKF21,3,1
2020,NUTS,2016,UKG,1,5
2020,NUTS,2016,UKG1,2,1
2020,NUTS,2016,UKG13,3,1
2020,NUTS,2016,UKG3,2,4
2020,NUTS,2016,UKG31,3,4
2020,NUTS,2016,UKH,1,12
2020,NUTS,2016,UKH1,2,5
2020,NUTS,2016,UKH12,3,3
2020,NUTS,2016,UKH17,3,2
2020,NUTS,2016,UKH2,2,5
2020,NUTS,2016,UKH23,3,5
2020,NUTS,2016,UKH3,2,2
2020,NUTS,2016,UKH34,3,1
2020,NUTS,2016,UKH35,3,1
2020,NUTS,2016,UKI,1,27
2020,NUTS,2016,UKI3,2,25
2020,NUTS,2016,UKI31,3,7
2020,NUTS,2016,UKI32,3,13
2020,NUTS,2016,UKI33,3,5
2020,NUTS,2016,UKI4,2,2
2020,NUTS,2016,UKI42,3,1
2020,NUTS,2016,UKI43,3,1
2020,NUTS,2016,UKJ,1,10
2020,NUTS,2016,UKJ1,2,9
2020,NUTS,2016,UKJ14,3,9
2020,NUTS,2016,UKJ3,2,1
2020,NUTS,2016,UKJ32,3,1
2020,NUTS,2016,UKK,1,2
2020,NUTS,2016,UKK3,2,1
2020,NUTS,2016,UKK30,3,1
2020,NUTS,2016,UKK4,2,1
2020,NUTS,2016,UKK43,3,1
2020,NUTS,2016,UKL,1,2
2020,NUTS,2016,UKL2,2,2
2020,NUTS,2016,UKL21,3,1
2020,NUTS,2016,UKL22,3,1
2020,NUTS,2016,UKM,1,8
2020,NUTS,2016,UKM7,2,5
2020,NUTS,2016,UKM75,3,5
2020,NUTS,2016,UKM8,2,3
2020,NUTS,2016,UKM82,3,3
2020,NUTS,2016,UKN,1,1
2020,NUTS,2016,UKN0,2,1
2020,NUTS,2016,UKN06,3,1
2021,NUTS,2021,BE,0,1
2021,NUTS,2021,BE2,1,1
2021,NUTS,2021,BE21,2,1
2021,NUTS,2021,BE213,3,1
2021,NUTS,2021,ES,0,1
2021,NUTS,2021,ES3,1,1
2021,NUTS,2021,ES30,2,1
2021,NUTS,2021,ES300,3,1
2021,NUTS,2021,FR,0,1
2021,NUTS,2021,FRK,1,1
2021,NUTS,2021,FRK2,2,1
2021,NUTS,2021,FRK26,3,1
2021,NUTS,2021,SE,0,1
2021,NUTS,2021,SE2,1,1
2021,NUTS,2021,SE23,2,1
2021,NUTS,2021,SE232,3,1
2021,NUTS,2021,UK,0,8
2021,NUTS,2021,UKD,1,1
2021,NUTS,2021,UKD3,2,1
2021,NUTS,2021,UKD33,3,1
2021,NUTS,2021,UKE,1,2
2021,NUTS,2021,UKE2,2,2
2021,NUTS,2021,UKE21,3,2
2021,NUTS,2021,UKJ,1,2
2021,NUTS,2021,UKJ1,2,1
2021,NUTS,2021,UKJ14,3,1
2021,NUTS,2021,UKJ3,2,1
2021,NUTS,2021,UKJ32,3,1
2021,NUTS,2021,UKM,1,2
2021,NUTS,2021,UKM7,2,2
2021,NUTS,2021,UKM75,3,2
2021,NUTS,2021,UKN,1,1
2021,NUTS,2021,UKN0,2,1
2021,NUTS,2021,UKN06,3,1
