year,region_type,region_year_spec,region_id,region_level,repurposed_treatments_count
2020,NUTS,2016,BE,0,4
2020,NUTS,2016,BE2,1,2
2020,NUTS,2016,BE21,2,1
2020,NUTS,2016,BE213,3,1
2020,NUTS,2016,BE24,2,1
2020,NUTS,2016,BE241,3,1
2020,NUTS,2016,BE3,1,2
2020,NUTS,2016,BE31,2,2
2020,NUTS,2016,BE310,3,2
2020,NUTS,2016,CH,0,5
2020,NUTS,2016,CH0,1,5
2020,NUTS,2016,CH01,2,3
2020,NUTS,2016,CH011,3,1
2020,NUTS,2016,CH013,3,2
2020,NUTS,2016,CH02,2,1
2020,NUTS,2016,CH024,3,1
2020,NUTS,2016,CH03,2,1
2020,NUTS,2016,CH031,3,1
2020,NUTS,2016,DE,0,6
2020,NUTS,2016,DE1,1,2
2020,NUTS,2016,DE12,2,1
2020,NUTS,2016,DE125,3,1
2020,NUTS,2016,DE14,2,1
2020,NUTS,2016,DE142,3,1
2020,NUTS,2016,DE2,1,2
2020,NUTS,2016,DE21,2,1
2020,NUTS,2016,DE212,3,1
2020,NUTS,2016,DE27,2,1
2020,NUTS,2016,DE271,3,1
2020,NUTS,2016,DE6,1,1
2020,NUTS,2016,DE60,2,1
2020,NUTS,2016,DE600,3,1
2020,NUTS,2016,DEC,1,1
2020,NUTS,2016,DEC0,2,1
2020,NUTS,2016,DEC01,3,1
2020,NUTS,2016,DK,0,11
2020,NUTS,2016,DK0,1,11
2020,NUTS,2016,DK01,2,7
2020,NUTS,2016,DK011,3,7
2020,NUTS,2016,DK03,2,2
2020,NUTS,2016,DK031,3,2
2020,NUTS,2016,DK04,2,2
2020,NUTS,2016,DK042,3,2
2020,NUTS,2016,EL,0,9
2020,NUTS,2016,EL3,1,3
2020,NUTS,2016,EL30,2,3
2020,NUTS,2016,EL303,3,3
2020,NUTS,2016,EL5,1,5
2020,NUTS,2016,EL51,2,2
2020,NUTS,2016,EL512,3,2
2020,NUTS,2016,EL52,2,1
2020,NUTS,2016,EL522,3,1
2020,NUTS,2016,EL54,2,2
2020,NUTS,2016,EL543,3,2
2020,NUTS,2016,EL6,1,1
2020,NUTS,2016,EL63,2,1
2020,NUTS,2016,EL632,3,1
2020,NUTS,2016,ES,0,26
2020,NUTS,2016,ES3,1,15
2020,NUTS,2016,ES30,2,15
2020,NUTS,2016,ES300,3,15
2020,NUTS,2016,ES4,1,2
2020,NUTS,2016,ES41,2,1
2020,NUTS,2016,ES413,3,1
2020,NUTS,2016,ES42,2,1
2020,NUTS,2016,ES421,3,1
2020,NUTS,2016,ES5,1,6
2020,NUTS,2016,ES51,2,6
2020,NUTS,2016,ES511,3,6
2020,NUTS,2016,ES6,1,3
2020,NUTS,2016,ES61,2,3
2020,NUTS,2016,ES614,3,1
2020,NUTS,2016,ES617,3,1
2020,NUTS,2016,ES618,3,1
2020,NUTS,2016,FI,0,1
2020,NUTS,2016,FI1,1,1
2020,NUTS,2016,FI1B,2,1
2020,NUTS,2016,FI1B1,3,1
2020,NUTS,2016,FR,0,26
2020,NUTS,2016,FR1,1,23
2020,NUTS,2016,FR10,2,23
2020,NUTS,2016,FR101,3,5
2020,NUTS,2016,FR104,3,18
2020,NUTS,2016,FRK,1,1
2020,NUTS,2016,FRK2,2,1
2020,NUTS,2016,FRK26,3,1
2020,NUTS,2016,FRL,1,2
2020,NUTS,2016,FRL0,2,2
2020,NUTS,2016,FRL04,3,2
2020,NUTS,2016,HU,0,2
2020,NUTS,2016,HU1,1,2
2020,NUTS,2016,HU11,2,2
2020,NUTS,2016,HU110,3,2
2020,NUTS,2016,IE,0,6
2020,NUTS,2016,IE0,1,6
2020,NUTS,2016,IE05,2,3
2020,NUTS,2016,IE051,3,2
2020,NUTS,2016,IE053,3,1
2020,NUTS,2016,IE06,2,3
2020,NUTS,2016,IE061,3,3
2020,NUTS,2016,IT,0,25
2020,NUTS,2016,ITC,1,12
2020,NUTS,2016,ITC1,2,1
2020,NUTS,2016,ITC11,3,1
2020,NUTS,2016,ITC3,2,2
2020,NUTS,2016,ITC33,3,2
2020,NUTS,2016,ITC4,2,9
2020,NUTS,2016,ITC41,3,1
2020,NUTS,2016,ITC47,3,1
2020,NUTS,2016,ITC48,3,1
2020,NUTS,2016,ITC4C,3,6
2020,NUTS,2016,ITF,1,1
2020,NUTS,2016,ITF4,2,1
2020,NUTS,2016,ITF46,3,1
2020,NUTS,2016,ITG,1,1
2020,NUTS,2016,ITG1,2,1
2020,NUTS,2016,ITG17,3,1
2020,NUTS,2016,ITH,1,6
2020,NUTS,2016,ITH3,2,1
2020,NUTS,2016,ITH36,3,1
2020,NUTS,2016,ITH4,2,3
2020,NUTS,2016,ITH42,3,1
2020,NUTS,2016,ITH44,3,2
2020,NUTS,2016,ITH5,2,2
2020,NUTS,2016,ITH52,3,1
2020,NUTS,2016,ITH55,3,1
2020,NUTS,2016,ITI,1,5
2020,NUTS,2016,ITI1,2,3
2020,NUTS,2016,ITI14,3,2
2020,NUTS,2016,ITI19,3,1
2020,NUTS,2016,ITI4,2,2
2020,NUTS,2016,ITI43,3,2
2020,NUTS,2016,NL,0,10
2020,NUTS,2016,NL2,1,3
2020,NUTS,2016,NL22,2,3
2020,NUTS,2016,NL226,3,3
2020,NUTS,2016,NL3,1,7
2020,NUTS,2016,NL31,2,3
2020,NUTS,2016,NL310,3,3
2020,NUTS,2016,NL32,2,1
2020,NUTS,2016,NL329,3,1
2020,NUTS,2016,NL33,2,3
2020,NUTS,2016,NL33C,3,3
2020,NUTS,2016,NO,0,3
2020,NUTS,2016,NO0,1,3
2020,NUTS,2016,NO01,2,3
2020,NUTS,2016,NO011,3,2
