year,region_type,region_year_spec,region_id,region_level,healthcare_count
2020,NUTS,2016,AT,0,2
2020,NUTS,2016,AT1,1,1
2020,NUTS,2016,AT12,2,1
2020,NUTS,2016,AT124,3,1
2020,NUTS,2016,AT2,1,1
2020,NUTS,2016,AT22,2,1
2020,NUTS,2016,AT221,3,1
2020,NUTS,2016,BE,0,4
2020,NUTS,2016,BE1,1,1
2020,NUTS,2016,BE10,2,1
2020,NUTS,2016,BE100,3,1
2020,NUTS,2016,BE2,1,2
2020,NUTS,2016,BE21,2,2
2020,NUTS,2016,BE211,3,2
2020,NUTS,2016,BE3,1,1
2020,NUTS,2016,BE31,2,1
2020,NUTS,2016,BE310,3,1
2020,NUTS,2016,CH,0,5
2020,NUTS,2016,CH0,1,5
2020,NUTS,2016,CH01,2,1
2020,NUTS,2016,CH013,3,1
2020,NUTS,2016,CH02,2,4
2020,NUTS,2016,CH021,3,4
2020,NUTS,2016,CZ,0,1
2020,NUTS,2016,CZ0,1,1
2020,NUTS,2016,CZ01,2,1
2020,NUTS,2016,CZ010,3,1
2020,NUTS,2016,DE,0,19
2020,NUTS,2016,DE1,1,4
2020,NUTS,2016,DE12,2,2
2020,NUTS,2016,DE125,3,2
2020,NUTS,2016,DE13,2,2
2020,NUTS,2016,DE131,3,2
2020,NUTS,2016,DE2,1,5
2020,NUTS,2016,DE21,2,2
2020,NUTS,2016,DE212,3,2
2020,NUTS,2016,DE24,2,1
2020,NUTS,2016,DE242,3,1
2020,NUTS,2016,DE25,2,2
2020,NUTS,2016,DE252,3,2
2020,NUTS,2016,DE3,1,2
2020,NUTS,2016,DE30,2,2
2020,NUTS,2016,DE300,3,2
2020,NUTS,2016,DE4,1,3
2020,NUTS,2016,DE40,2,3
2020,NUTS,2016,DE404,3,3
2020,NUTS,2016,DE6,1,1
2020,NUTS,2016,DE60,2,1
2020,NUTS,2016,DE600,3,1
2020,NUTS,2016,DE7,1,1
2020,NUTS,2016,DE72,2,1
2020,NUTS,2016,DE724,3,1
2020,NUTS,2016,DEA,1,1
2020,NUTS,2016,DEA2,2,1
2020,NUTS,2016,DEA23,3,1
2020,NUTS,2016,DED,1,2
2020,NUTS,2016,DED4,2,2
2020,NUTS,2016,DED41,3,1
2020,NUTS,2016,DED43,3,1
2020,NUTS,2016,DK,0,1
2020,NUTS,2016,DK0,1,1
2020,NUTS,2016,DK01,2,1
2020,NUTS,2016,DK011,3,1
2020,NUTS,2016,EL,0,3
