year,region_type,region_year_spec,region_id,region_level,trials_count
2017,NUTS,2016,UK,0,1
2017,NUTS,2016,UKJ,1,1
2017,NUTS,2016,UKJ3,2,1
2017,NUTS,2016,UKJ32,3,1
2018,NUTS,2016,FR,0,1
2018,NUTS,2016,FRL,1,1
2018,NUTS,2016,FRL0,2,1
2018,NUTS,2016,FRL04,3,1
2019,NUTS,2016,FR,0,1
2019,NUTS,2016,FRL,1,1
2019,NUTS,2016,FRL0,2,1
2019,NUTS,2016,FRL04,3,1
2020,NUTS,2016,AT,0,3
2020,NUTS,2016,AT1,1,2
2020,NUTS,2016,AT13,2,2
2020,NUTS,2016,AT130,3,2
2020,NUTS,2016,AT2,1,1
2020,NUTS,2016,AT22,2,1
2020,NUTS,2016,AT221,3,1
2020,NUTS,2016,CH,0,3
2020,NUTS,2016,CH0,1,3
2020,NUTS,2016,CH01,2,1
2020,NUTS,2016,CH013,3,1
2020,NUTS,2016,CH02,2,2
2020,NUTS,2016,CH021,3,2
2020,NUTS,2016,DE,0,10
2020,NUTS,2016,DE1,1,2
2020,NUTS,2016,DE13,2,2
2020,NUTS,2016,DE131,3,2
2020,NUTS,2016,DE2,1,2
2020,NUTS,2016,DE21,2,1
2020,NUTS,2016,DE212,3,1
2020,NUTS,2016,DE26,2,1
2020,NUTS,2016,DE263,3,1
2020,NUTS,2016,DE4,1,1
2020,NUTS,2016,DE40,2,1
2020,NUTS,2016,DE404,3,1
2020,NUTS,2016,DE9,1,1
2020,NUTS,2016,DE91,2,1
2020,NUTS,2016,DE91C,3,1
2020,NUTS,2016,DEA,1,3
2020,NUTS,2016,DEA2,2,3
2020,NUTS,2016,DEA23,3,1
2020,NUTS,2016,DEA2D,3,2
2020,NUTS,2016,DED,1,1
2020,NUTS,2016,DED4,2,1
2020,NUTS,2016,DED41,3,1
2020,NUTS,2016,DK,0,4
2020,NUTS,2016,DK0,1,4
2020,NUTS,2016,DK01,2,3
2020,NUTS,2016,DK011,3,2
2020,NUTS,2016,DK012,3,1
2020,NUTS,2016,DK03,2,1
2020,NUTS,2016,DK031,3,1
2020,NUTS,2016,EL,0,2
2020,NUTS,2016,EL3,1,1
2020,NUTS,2016,EL30,2,1
2020,NUTS,2016,EL303,3,1
2020,NUTS,2016,EL5,1,1
2020,NUTS,2016,EL52,2,1
2020,NUTS,2016,EL522,3,1
2020,NUTS,2016,ES,0,5
2020,NUTS,2016,ES1,1,1
2020,NUTS,2016,ES11,2,1
2020,NUTS,2016,ES111,3,1
2020,NUTS,2016,ES3,1,3
2020,NUTS,2016,ES30,2,3
2020,NUTS,2016,ES300,3,3
2020,NUTS,2016,ES5,1,1
2020,NUTS,2016,ES51,2,1
2020,NUTS,2016,ES511,3,1
2020,NUTS,2016,FI,0,1
2020,NUTS,2016,FI1,1,1
2020,NUTS,2016,FI1B,2,1
2020,NUTS,2016,FI1B1,3,1
2020,NUTS,2016,FR,0,16
2020,NUTS,2016,FR1,1,11
2020,NUTS,2016,FR10,2,11
2020,NUTS,2016,FR101,3,2
2020,NUTS,2016,FR104,3,9
2020,NUTS,2016,FRF,1,1
2020,NUTS,2016,FRF1,2,1
2020,NUTS,2016,FRF11,3,1
2020,NUTS,2016,FRI,1,2
2020,NUTS,2016,FRI1,2,2
2020,NUTS,2016,FRI12,3,2
2020,NUTS,2016,FRJ,1,1
2020,NUTS,2016,FRJ1,2,1
2020,NUTS,2016,FRJ13,3,1
2020,NUTS,2016,FRL,1,1
2020,NUTS,2016,FRL0,2,1
2020,NUTS,2016,FRL04,3,1
2020,NUTS,2016,IE,0,1
2020,NUTS,2016,IE0,1,1
2020,NUTS,2016,IE06,2,1
2020,NUTS,2016,IE061,3,1
2020,NUTS,2016,IT,0,8
2020,NUTS,2016,ITC,1,3
2020,NUTS,2016,ITC1,2,1
2020,NUTS,2016,ITC11,3,1
2020,NUTS,2016,ITC4,2,2
2020,NUTS,2016,ITC4C,3,2
2020,NUTS,2016,ITH,1,2
2020,NUTS,2016,ITH3,2,1
2020,NUTS,2016,ITH36,3,1
2020,NUTS,2016,ITH5,2,1
2020,NUTS,2016,ITH54,3,1
2020,NUTS,2016,ITI,1,3
2020,NUTS,2016,ITI4,2,3
2020,NUTS,2016,ITI43,3,3
2020,NUTS,2016,NL,0,20
2020,NUTS,2016,NL2,1,7
2020,NUTS,2016,NL21,2,1
2020,NUTS,2016,NL213,3,1
2020,NUTS,2016,NL22,2,6
2020,NUTS,2016,NL221,3,1
2020,NUTS,2016,NL226,3,5
2020,NUTS,2016,NL3,1,12
2020,NUTS,2016,NL31,2,2
2020,NUTS,2016,NL310,3,2
2020,NUTS,2016,NL32,2,5
2020,NUTS,2016,NL329,3,5
2020,NUTS,2016,NL33,2,5
2020,NUTS,2016,NL337,3,3
2020,NUTS,2016,NL33C,3,2
2020,NUTS,2016,NL4,1,1
2020,NUTS,2016,NL42,2,1
2020,NUTS,2016,NL423,3,1
2020,NUTS,2016,NO,0,1
2020,NUTS,2016,NO0,1,1
2020,NUTS,2016,NO01,2,1
2020,NUTS,2016,NO011,3,1
2020,NUTS,2016,PL,0,4
2020,NUTS,2016,PL2,1,1
2020,NUTS,2016,PL21,2,1
2020,NUTS,2016,PL213,3,1
2020,NUTS,2016,PL5,1,2
2020,NUTS,2016,PL51,2,2
2020,NUTS,2016,PL514,3,2
2020,NUTS,2016,PL9,1,1
2020,NUTS,2016,PL91,2,1
2020,NUTS,2016,PL911,3,1
2020,NUTS,2016,PT,0,1
2020,NUTS,2016,PT1,1,1
2020,NUTS,2016,PT11,2,1
2020,NUTS,2016,PT119,3,1
2020,NUTS,2016,SE,0,4
2020,NUTS,2016,SE1,1,3
2020,NUTS,2016,SE11,2,3
2020,NUTS,2016,SE110,3,3
2020,NUTS,2016,SE3,1,1
2020,NUTS,2016,SE33,2,1
2020,NUTS,2016,SE331,3,1
2020,NUTS,2016,SK,0,1
2020,NUTS,2016,SK0,1,1
2020,NUTS,2016,SK01,2,1
2020,NUTS,2016,SK010,3,1
2020,NUTS,2016,TR,0,5
2020,NUTS,2016,TR1,1,1
2020,NUTS,2016,TR10,2,1
2020,NUTS,2016,TR100,3,1
2020,NUTS,2016,TR5,1,2
2020,NUTS,2016,TR51,2,1
2020,NUTS,2016,TR510,3,1
2020,NUTS,2016,TR52,2,1
2020,NUTS,2016,TR521,3,1
2020,NUTS,2016,TR8,1,1
2020,NUTS,2016,TR83,2,1
2020,NUTS,2016,TR831,3,1
2020,NUTS,2016,TRB,1,1
2020,NUTS,2016,TRB1,2,1
2020,NUTS,2016,TRB11,3,1
2020,NUTS,2016,UK,0,59
2020,NUTS,2016,UKC,1,1
2020,NUTS,2016,UKC2,2,1
2020,NUTS,2016,UKC22,3,1
2020,NUTS,2016,UKD,1,5
2020,NUTS,2016,UKD3,2,3
2020,NUTS,2016,UKD33,3,2
2020,NUTS,2016,UKD34,3,1
2020,NUTS,2016,UKD7,2,2
2020,NUTS,2016,UKD72,3,2
2020,NUTS,2016,UKE,1,3
2020,NUTS,2016,UKE1,2,1
2020,NUTS,2016,UKE12,3,1
2020,NUTS,2016,UKE3,2,2
2020,NUTS,2016,UKE32,3,2
2020,NUTS,2016,UKF,1,2
2020,NUTS,2016,UKF1,2,2
2020,NUTS,2016,UKF14,3,2
2020,NUTS,2016,UKG,1,3
2020,NUTS,2016,UKG1,2,1
2020,NUTS,2016,UKG13,3,1
2020,NUTS,2016,UKG2,2,1
2020,NUTS,2016,UKG24,3,1
2020,NUTS,2016,UKG3,2,1
2020,NUTS,2016,UKG31,3,1
2020,NUTS,2016,UKH,1,9
2020,NUTS,2016,UKH1,2,6
2020,NUTS,2016,UKH12,3,3
2020,NUTS,2016,UKH17,3,3
2020,NUTS,2016,UKH2,2,3
2020,NUTS,2016,UKH23,3,3
2020,NUTS,2016,UKI,1,19
2020,NUTS,2016,UKI3,2,18
2020,NUTS,2016,UKI31,3,7
2020,NUTS,2016,UKI32,3,4
2020,NUTS,2016,UKI33,3,7
2020,NUTS,2016,UKI4,2,1
2020,NUTS,2016,UKI44,3,1
2020,NUTS,2016,UKJ,1,13
2020,NUTS,2016,UKJ1,2,8
2020,NUTS,2016,UKJ14,3,8
2020,NUTS,2016,UKJ3,2,5
2020,NUTS,2016,UKJ32,3,4
2020,NUTS,2016,UKJ36,3,1
2020,NUTS,2016,UKK,1,3
2020,NUTS,2016,UKK1,2,2
2020,NUTS,2016,UKK11,3,2
2020,NUTS,2016,UKK4,2,1
2020,NUTS,2016,UKK41,3,1
2020,NUTS,2016,UKN,1,1
2020,NUTS,2016,UKN0,2,1
2020,NUTS,2016,UKN06,3,1
2021,NUTS,2021,EL,0,1
2021,NUTS,2021,EL3,1,1
2021,NUTS,2021,EL30,2,1
2021,NUTS,2021,EL303,3,1
2021,NUTS,2021,FR,0,1
2021,NUTS,2021,FR1,1,1
2021,NUTS,2021,FR10,2,1
2021,NUTS,2021,FR104,3,1
2021,NUTS,2021,NL,0,5
2021,NUTS,2021,NL2,1,1
2021,NUTS,2021,NL22,2,1
2021,NUTS,2021,NL226,3,1
2021,NUTS,2021,NL3,1,4
2021,NUTS,2021,NL31,2,1
2021,NUTS,2021,NL310,3,1
2021,NUTS,2021,NL32,2,2
2021,NUTS,2021,NL329,3,2
2021,NUTS,2021,NL33,2,1
2021,NUTS,2021,NL337,3,1
2021,NUTS,2021,UK,0,2
2021,NUTS,2021,UKI,1,1
2021,NUTS,2021,UKI3,2,1
2021,NUTS,2021,UKI31,3,1
2021,NUTS,2021,UKK,1,1
2021,NUTS,2021,UKK1,2,1
2021,NUTS,2021,UKK11,3,1
