year,region_type,region_year_spec,region_id,region_level,genetic_analysis_count
2015,NUTS,2013,UK,0,1
2015,NUTS,2013,UKM,1,1
2015,NUTS,2013,UKM2,2,1
2015,NUTS,2013,UKM25,3,1
2017,NUTS,2016,UK,0,2
2017,NUTS,2016,UKJ,1,1
2017,NUTS,2016,UKJ1,2,1
2017,NUTS,2016,UKJ11,3,1
2017,NUTS,2016,UKM,1,1
2017,NUTS,2016,UKM7,2,1
2017,NUTS,2016,UKM75,3,1
2018,NUTS,2016,NL,0,1
2018,NUTS,2016,NL3,1,1
2018,NUTS,2016,NL33,2,1
2018,NUTS,2016,NL337,3,1
2019,NUTS,2016,FR,0,1
2019,NUTS,2016,FR1,1,1
2019,NUTS,2016,FR10,2,1
2019,NUTS,2016,FR101,3,1
2020,NUTS,2016,AT,0,8
2020,NUTS,2016,AT1,1,6
2020,NUTS,2016,AT13,2,6
2020,NUTS,2016,AT130,3,6
2020,NUTS,2016,AT3,1,2
2020,NUTS,2016,AT33,2,2
2020,NUTS,2016,AT332,3,2
2020,NUTS,2016,BE,0,5
2020,NUTS,2016,BE1,1,1
2020,NUTS,2016,BE10,2,1
2020,NUTS,2016,BE100,3,1
2020,NUTS,2016,BE2,1,3
2020,NUTS,2016,BE21,2,1
2020,NUTS,2016,BE213,3,1
2020,NUTS,2016,BE23,2,2
2020,NUTS,2016,BE234,3,2
2020,NUTS,2016,BE3,1,1
2020,NUTS,2016,BE33,2,1
2020,NUTS,2016,BE332,3,1
2020,NUTS,2016,BG,0,1
2020,NUTS,2016,BG4,1,1
2020,NUTS,2016,BG41,2,1
2020,NUTS,2016,BG411,3,1
2020,NUTS,2016,CH,0,20
2020,NUTS,2016,CH0,1,20
2020,NUTS,2016,CH01,2,5
2020,NUTS,2016,CH011,3,1
2020,NUTS,2016,CH013,3,4
2020,NUTS,2016,CH02,2,6
2020,NUTS,2016,CH021,3,6
2020,NUTS,2016,CH03,2,2
2020,NUTS,2016,CH031,3,2
2020,NUTS,2016,CH04,2,7
2020,NUTS,2016,CH040,3,7
2020,NUTS,2016,CY,0,2
2020,NUTS,2016,CY0,1,2
2020,NUTS,2016,CY00,2,2
2020,NUTS,2016,CY000,3,2
2020,NUTS,2016,CZ,0,2
2020,NUTS,2016,CZ0,1,2
2020,NUTS,2016,CZ01,2,1
2020,NUTS,2016,CZ010,3,1
2020,NUTS,2016,CZ08,2,1
2020,NUTS,2016,CZ080,3,1
2020,NUTS,2016,DE,0,63
2020,NUTS,2016,DE1,1,5
2020,NUTS,2016,DE12,2,2
2020,NUTS,2016,DE125,3,2
2020,NUTS,2016,DE14,2,3
2020,NUTS,2016,DE142,3,2
2020,NUTS,2016,DE144,3,1
2020,NUTS,2016,DE2,1,13
2020,NUTS,2016,DE21,2,13
2020,NUTS,2016,DE212,3,12
2020,NUTS,2016,DE21B,3,1
2020,NUTS,2016,DE3,1,14
2020,NUTS,2016,DE30,2,14
2020,NUTS,2016,DE300,3,14
2020,NUTS,2016,DE4,1,1
2020,NUTS,2016,DE40,2,1
2020,NUTS,2016,DE404,3,1
2020,NUTS,2016,DE7,1,11
2020,NUTS,2016,DE71,2,8
2020,NUTS,2016,DE712,3,5
2020,NUTS,2016,DE71C,3,3
2020,NUTS,2016,DE72,2,3
2020,NUTS,2016,DE721,3,3
2020,NUTS,2016,DE9,1,4
