year,region_type,region_year_spec,region_id,region_level,antibodies_count
2020,NUTS,2016,AT,0,3
2020,NUTS,2016,AT1,1,3
2020,NUTS,2016,AT12,2,1
2020,NUTS,2016,AT124,3,1
2020,NUTS,2016,AT13,2,2
2020,NUTS,2016,AT130,3,2
2020,NUTS,2016,BE,0,3
2020,NUTS,2016,BE2,1,3
2020,NUTS,2016,BE21,2,3
2020,NUTS,2016,BE211,3,3
2020,NUTS,2016,CH,0,14
2020,NUTS,2016,CH0,1,14
2020,NUTS,2016,CH01,2,6
2020,NUTS,2016,CH011,3,4
2020,NUTS,2016,CH013,3,2
2020,NUTS,2016,CH02,2,1
2020,NUTS,2016,CH021,3,1
2020,NUTS,2016,CH03,2,3
2020,NUTS,2016,CH031,3,3
2020,NUTS,2016,CH04,2,4
2020,NUTS,2016,CH040,3,4
2020,NUTS,2016,DE,0,44
2020,NUTS,2016,DE1,1,9
2020,NUTS,2016,DE12,2,5
2020,NUTS,2016,DE125,3,5
2020,NUTS,2016,DE13,2,2
2020,NUTS,2016,DE131,3,2
2020,NUTS,2016,DE14,2,2
2020,NUTS,2016,DE142,3,2
2020,NUTS,2016,DE2,1,5
2020,NUTS,2016,DE21,2,5
2020,NUTS,2016,DE212,3,5
2020,NUTS,2016,DE3,1,5
2020,NUTS,2016,DE30,2,5
2020,NUTS,2016,DE300,3,5
2020,NUTS,2016,DE6,1,1
2020,NUTS,2016,DE60,2,1
2020,NUTS,2016,DE600,3,1
2020,NUTS,2016,DE7,1,2
2020,NUTS,2016,DE71,2,1
2020,NUTS,2016,DE712,3,1
2020,NUTS,2016,DE73,2,1
2020,NUTS,2016,DE731,3,1
2020,NUTS,2016,DE9,1,4
2020,NUTS,2016,DE91,2,1
2020,NUTS,2016,DE91C,3,1
2020,NUTS,2016,DE92,2,3
2020,NUTS,2016,DE929,3,3
2020,NUTS,2016,DEA,1,15
2020,NUTS,2016,DEA1,2,5
2020,NUTS,2016,DEA13,3,5
2020,NUTS,2016,DEA2,2,6
2020,NUTS,2016,DEA22,3,2
2020,NUTS,2016,DEA23,3,3
2020,NUTS,2016,DEA26,3,1
2020,NUTS,2016,DEA3,2,1
2020,NUTS,2016,DEA33,3,1
2020,NUTS,2016,DEA5,2,3
