year,region_type,region_year_spec,region_id,region_level,mental_health_count
2020,NUTS,2016,AT,0,9
2020,NUTS,2016,AT1,1,5
2020,NUTS,2016,AT12,2,2
2020,NUTS,2016,AT124,3,2
2020,NUTS,2016,AT13,2,3
2020,NUTS,2016,AT130,3,3
2020,NUTS,2016,AT2,1,3
2020,NUTS,2016,AT22,2,3
2020,NUTS,2016,AT221,3,3
2020,NUTS,2016,AT3,1,1
2020,NUTS,2016,AT33,2,1
2020,NUTS,2016,AT332,3,1
2020,NUTS,2016,BE,0,7
2020,NUTS,2016,BE1,1,1
2020,NUTS,2016,BE10,2,1
2020,NUTS,2016,BE100,3,1
2020,NUTS,2016,BE2,1,5
2020,NUTS,2016,BE21,2,3
2020,NUTS,2016,BE211,3,3
2020,NUTS,2016,BE23,2,2
2020,NUTS,2016,BE234,3,2
2020,NUTS,2016,BE3,1,1
2020,NUTS,2016,BE32,2,1
2020,NUTS,2016,BE323,3,1
2020,NUTS,2016,CH,0,21
2020,NUTS,2016,CH0,1,21
2020,NUTS,2016,CH01,2,6
2020,NUTS,2016,CH011,3,3
2020,NUTS,2016,CH013,3,3
2020,NUTS,2016,CH02,2,7
2020,NUTS,2016,CH021,3,7
2020,NUTS,2016,CH04,2,8
2020,NUTS,2016,CH040,3,8
2020,NUTS,2016,CY,0,1
2020,NUTS,2016,CY0,1,1
2020,NUTS,2016,CY00,2,1
2020,NUTS,2016,CY000,3,1
2020,NUTS,2016,CZ,0,2
2020,NUTS,2016,CZ0,1,2
2020,NUTS,2016,CZ04,2,1
2020,NUTS,2016,CZ042,3,1
2020,NUTS,2016,CZ06,2,1
2020,NUTS,2016,CZ064,3,1
2020,NUTS,2016,DE,0,32
2020,NUTS,2016,DE1,1,3
2020,NUTS,2016,DE12,2,1
2020,NUTS,2016,DE125,3,1
2020,NUTS,2016,DE14,2,2
2020,NUTS,2016,DE142,3,1
2020,NUTS,2016,DE144,3,1
2020,NUTS,2016,DE2,1,3
2020,NUTS,2016,DE21,2,3
2020,NUTS,2016,DE212,3,3
2020,NUTS,2016,DE3,1,7
2020,NUTS,2016,DE30,2,7
2020,NUTS,2016,DE300,3,7
2020,NUTS,2016,DE4,1,1
2020,NUTS,2016,DE40,2,1
2020,NUTS,2016,DE402,3,1
2020,NUTS,2016,DE6,1,1
2020,NUTS,2016,DE60,2,1
2020,NUTS,2016,DE600,3,1
2020,NUTS,2016,DE7,1,1
2020,NUTS,2016,DE71,2,1
2020,NUTS,2016,DE712,3,1
2020,NUTS,2016,DE9,1,2
2020,NUTS,2016,DE92,2,2
2020,NUTS,2016,DE929,3,2
2020,NUTS,2016,DEA,1,6
2020,NUTS,2016,DEA1,2,1
2020,NUTS,2016,DEA13,3,1
2020,NUTS,2016,DEA2,2,2
2020,NUTS,2016,DEA22,3,2
2020,NUTS,2016,DEA3,2,3
2020,NUTS,2016,DEA33,3,3
2020,NUTS,2016,DEC,1,2
2020,NUTS,2016,DEC0,2,2
2020,NUTS,2016,DEC01,3,2
2020,NUTS,2016,DED,1,3
2020,NUTS,2016,DED4,2,2
2020,NUTS,2016,DED41,3,2
2020,NUTS,2016,DED5,2,1
2020,NUTS,2016,DED51,3,1
2020,NUTS,2016,DEE,1,3
2020,NUTS,2016,DEE0,2,3
2020,NUTS,2016,DEE03,3,3
2020,NUTS,2016,DK,0,5
2020,NUTS,2016,DK0,1,5
2020,NUTS,2016,DK01,2,3
2020,NUTS,2016,DK011,3,3
2020,NUTS,2016,DK03,2,1
2020,NUTS,2016,DK031,3,1
2020,NUTS,2016,DK04,2,1
2020,NUTS,2016,DK042,3,1
2020,NUTS,2016,EL,0,13
2020,NUTS,2016,EL3,1,6
2020,NUTS,2016,EL30,2,6
2020,NUTS,2016,EL303,3,6
2020,NUTS,2016,EL5,1,6
2020,NUTS,2016,EL52,2,4
2020,NUTS,2016,EL522,3,4
2020,NUTS,2016,EL54,2,2
2020,NUTS,2016,EL543,3,2
2020,NUTS,2016,EL6,1,1
2020,NUTS,2016,EL63,2,1
2020,NUTS,2016,EL632,3,1
2020,NUTS,2016,ES,0,15
2020,NUTS,2016,ES2,1,1
2020,NUTS,2016,ES24,2,1
2020,NUTS,2016,ES243,3,1
2020,NUTS,2016,ES3,1,4
2020,NUTS,2016,ES30,2,4
2020,NUTS,2016,ES300,3,4
2020,NUTS,2016,ES4,1,1
2020,NUTS,2016,ES41,2,1
2020,NUTS,2016,ES415,3,1
2020,NUTS,2016,ES5,1,6
2020,NUTS,2016,ES51,2,2
2020,NUTS,2016,ES511,3,1
2020,NUTS,2016,ES514,3,1
2020,NUTS,2016,ES52,2,4
2020,NUTS,2016,ES523,3,4
2020,NUTS,2016,ES6,1,3
2020,NUTS,2016,ES61,2,3
2020,NUTS,2016,ES614,3,2
2020,NUTS,2016,ES617,3,1
2020,NUTS,2016,FI,0,2
2020,NUTS,2016,FI1,1,2
2020,NUTS,2016,FI1B,2,2
2020,NUTS,2016,FI1B1,3,2
2020,NUTS,2016,FR,0,7
2020,NUTS,2016,FR1,1,2
2020,NUTS,2016,FR10,2,2
2020,NUTS,2016,FR101,3,2
2020,NUTS,2016,FRG,1,1
2020,NUTS,2016,FRG0,2,1
2020,NUTS,2016,FRG04,3,1
2020,NUTS,2016,FRI,1,3
2020,NUTS,2016,FRI1,2,3
2020,NUTS,2016,FRI12,3,3
2020,NUTS,2016,FRL,1,1
2020,NUTS,2016,FRL0,2,1
2020,NUTS,2016,FRL04,3,1
2020,NUTS,2016,HR,0,2
2020,NUTS,2016,HR0,1,2
2020,NUTS,2016,HR04,2,2
2020,NUTS,2016,HR041,3,2
2020,NUTS,2016,HU,0,1
2020,NUTS,2016,HU3,1,1
2020,NUTS,2016,HU33,2,1
2020,NUTS,2016,HU333,3,1
2020,NUTS,2016,IE,0,2
2020,NUTS,2016,IE0,1,2
2020,NUTS,2016,IE06,2,2
2020,NUTS,2016,IE061,3,1
2020,NUTS,2016,IE062,3,1
2020,NUTS,2016,IS,0,1
2020,NUTS,2016,IS0,1,1
2020,NUTS,2016,IS00,2,1
2020,NUTS,2016,IS001,3,1
2020,NUTS,2016,IT,0,25
2020,NUTS,2016,ITC,1,11
2020,NUTS,2016,ITC3,2,1
2020,NUTS,2016,ITC33,3,1
2020,NUTS,2016,ITC4,2,10
2020,NUTS,2016,ITC41,3,1
2020,NUTS,2016,ITC4C,3,9
2020,NUTS,2016,ITF,1,3
2020,NUTS,2016,ITF1,2,2
2020,NUTS,2016,ITF11,3,2
2020,NUTS,2016,ITF4,2,1
2020,NUTS,2016,ITF46,3,1
2020,NUTS,2016,ITH,1,4
2020,NUTS,2016,ITH2,2,1
2020,NUTS,2016,ITH20,3,1
2020,NUTS,2016,ITH3,2,3
2020,NUTS,2016,ITH36,3,3
2020,NUTS,2016,ITI,1,7
2020,NUTS,2016,ITI1,2,1
2020,NUTS,2016,ITI17,3,1
2020,NUTS,2016,ITI4,2,6
2020,NUTS,2016,ITI43,3,6
2020,NUTS,2016,NL,0,17
2020,NUTS,2016,NL1,1,6
2020,NUTS,2016,NL11,2,6
2020,NUTS,2016,NL113,3,6
2020,NUTS,2016,NL2,1,4
2020,NUTS,2016,NL21,2,1
2020,NUTS,2016,NL213,3,1
2020,NUTS,2016,NL22,2,3
2020,NUTS,2016,NL226,3,3
2020,NUTS,2016,NL3,1,7
2020,NUTS,2016,NL31,2,2
2020,NUTS,2016,NL310,3,2
2020,NUTS,2016,NL32,2,2
2020,NUTS,2016,NL329,3,2
2020,NUTS,2016,NL33,2,3
2020,NUTS,2016,NL337,3,3
2020,NUTS,2016,NO,0,14
2020,NUTS,2016,NO0,1,14
2020,NUTS,2016,NO01,2,11
2020,NUTS,2016,NO011,3,10
2020,NUTS,2016,NO012,3,1
2020,NUTS,2016,NO03,2,1
2020,NUTS,2016,NO032,3,1
2020,NUTS,2016,NO04,2,2
2020,NUTS,2016,NO042,3,1
2020,NUTS,2016,NO043,3,1
2020,NUTS,2016,PL,0,7
2020,NUTS,2016,PL2,1,1
2020,NUTS,2016,PL21,2,1
2020,NUTS,2016,PL213,3,1
2020,NUTS,2016,PL9,1,6
2020,NUTS,2016,PL91,2,6
2020,NUTS,2016,PL911,3,6
2020,NUTS,2016,PT,0,6
2020,NUTS,2016,PT1,1,6
2020,NUTS,2016,PT11,2,2
2020,NUTS,2016,PT119,3,1
2020,NUTS,2016,PT11A,3,1
2020,NUTS,2016,PT16,2,1
2020,NUTS,2016,PT16E,3,1
2020,NUTS,2016,PT17,2,3
2020,NUTS,2016,PT170,3,3
2020,NUTS,2016,RS,0,1
2020,NUTS,2016,RS1,1,1
2020,NUTS,2016,RS12,2,1
2020,NUTS,2016,RS123,3,1
2020,NUTS,2016,SE,0,9
2020,NUTS,2016,SE1,1,7
2020,NUTS,2016,SE11,2,6
2020,NUTS,2016,SE110,3,6
2020,NUTS,2016,SE12,2,1
2020,NUTS,2016,SE121,3,1
2020,NUTS,2016,SE2,1,1
2020,NUTS,2016,SE22,2,1
2020,NUTS,2016,SE224,3,1
2020,NUTS,2016,SE3,1,1
2020,NUTS,2016,SE33,2,1
2020,NUTS,2016,SE331,3,1
2020,NUTS,2016,SI,0,2
2020,NUTS,2016,SI0,1,2
2020,NUTS,2016,SI04,2,2
2020,NUTS,2016,SI041,3,2
2020,NUTS,2016,TR,0,6
2020,NUTS,2016,TR1,1,2
2020,NUTS,2016,TR10,2,2
2020,NUTS,2016,TR100,3,2
2020,NUTS,2016,TR5,1,3
2020,NUTS,2016,TR51,2,3
2020,NUTS,2016,TR510,3,3
2020,NUTS,2016,TR6,1,1
2020,NUTS,2016,TR62,2,1
2020,NUTS,2016,TR621,3,1
2020,NUTS,2016,UK,0,258
2020,NUTS,2016,UKC,1,1
