year,region_type,region_year_spec,region_id,region_level,patient_impact_count
2020,NUTS,2016,BE,0,6
2020,NUTS,2016,BE1,1,2
2020,NUTS,2016,BE10,2,2
2020,NUTS,2016,BE100,3,2
2020,NUTS,2016,BE2,1,3
2020,NUTS,2016,BE21,2,3
2020,NUTS,2016,BE213,3,3
2020,NUTS,2016,BE3,1,1
2020,NUTS,2016,BE32,2,1
2020,NUTS,2016,BE323,3,1
2020,NUTS,2016,CH,0,8
2020,NUTS,2016,CH0,1,8
2020,NUTS,2016,CH01,2,3
2020,NUTS,2016,CH011,3,1
2020,NUTS,2016,CH013,3,2
2020,NUTS,2016,CH02,2,1
2020,NUTS,2016,CH021,3,1
2020,NUTS,2016,CH03,2,2
2020,NUTS,2016,CH031,3,2
2020,NUTS,2016,CH04,2,2
2020,NUTS,2016,CH040,3,2
2020,NUTS,2016,DE,0,19
2020,NUTS,2016,DE1,1,5
2020,NUTS,2016,DE12,2,4
2020,NUTS,2016,DE125,3,4
2020,NUTS,2016,DE13,2,1
2020,NUTS,2016,DE131,3,1
2020,NUTS,2016,DE2,1,3
2020,NUTS,2016,DE21,2,3
2020,NUTS,2016,DE212,3,3
2020,NUTS,2016,DE3,1,3
2020,NUTS,2016,DE30,2,3
2020,NUTS,2016,DE300,3,3
2020,NUTS,2016,DE7,1,3
2020,NUTS,2016,DE71,2,3
2020,NUTS,2016,DE712,3,2
2020,NUTS,2016,DE71C,3,1
2020,NUTS,2016,DEA,1,4
2020,NUTS,2016,DEA2,2,1
2020,NUTS,2016,DEA2D,3,1
2020,NUTS,2016,DEA3,2,2
2020,NUTS,2016,DEA33,3,2
2020,NUTS,2016,DEA5,2,1
2020,NUTS,2016,DEA51,3,1
2020,NUTS,2016,DED,1,1
2020,NUTS,2016,DED4,2,1
2020,NUTS,2016,DED41,3,1
2020,NUTS,2016,DK,0,10
2020,NUTS,2016,DK0,1,10
2020,NUTS,2016,DK01,2,9
2020,NUTS,2016,DK011,3,8
2020,NUTS,2016,DK012,3,1
2020,NUTS,2016,DK03,2,1
2020,NUTS,2016,DK031,3,1
2020,NUTS,2016,EL,0,7
2020,NUTS,2016,EL3,1,4
2020,NUTS,2016,EL30,2,4
2020,NUTS,2016,EL303,3,4
2020,NUTS,2016,EL5,1,3
2020,NUTS,2016,EL51,2,1
2020,NUTS,2016,EL512,3,1
2020,NUTS,2016,EL52,2,2
2020,NUTS,2016,EL522,3,2
2020,NUTS,2016,ES,0,16
2020,NUTS,2016,ES3,1,4
2020,NUTS,2016,ES30,2,4
2020,NUTS,2016,ES300,3,4
2020,NUTS,2016,ES4,1,2
2020,NUTS,2016,ES41,2,2
2020,NUTS,2016,ES418,3,2
2020,NUTS,2016,ES5,1,10
2020,NUTS,2016,ES51,2,9
2020,NUTS,2016,ES511,3,9
2020,NUTS,2016,ES52,2,1
2020,NUTS,2016,ES523,3,1
2020,NUTS,2016,FI,0,2
2020,NUTS,2016,FI1,1,2
2020,NUTS,2016,FI1B,2,2
2020,NUTS,2016,FI1B1,3,2
2020,NUTS,2016,FR,0,9
2020,NUTS,2016,FR1,1,7
2020,NUTS,2016,FR10,2,7
2020,NUTS,2016,FR101,3,1
2020,NUTS,2016,FR104,3,6
2020,NUTS,2016,FRF,1,1
2020,NUTS,2016,FRF1,2,1
2020,NUTS,2016,FRF11,3,1
2020,NUTS,2016,FRK,1,1
2020,NUTS,2016,FRK2,2,1
2020,NUTS,2016,FRK24,3,1
2020,NUTS,2016,HR,0,3
2020,NUTS,2016,HR0,1,3
2020,NUTS,2016,HR04,2,3
2020,NUTS,2016,HR041,3,3
2020,NUTS,2016,IE,0,2
