year,region_type,region_year_spec,region_id,region_level,deep_learning_count
2010,NUTS,2010,AT,0,1
2010,NUTS,2010,AT1,1,1
2010,NUTS,2010,AT12,2,1
2010,NUTS,2010,AT127,3,1
2010,NUTS,2010,BE,0,1
2010,NUTS,2010,BE1,1,1
2010,NUTS,2010,BE10,2,1
2010,NUTS,2010,BE100,3,1
2010,NUTS,2010,CH,0,2
2010,NUTS,2010,CH0,1,2
2010,NUTS,2010,CH07,2,2
2010,NUTS,2010,CH070,3,2
2010,NUTS,2010,DE,0,4
2010,NUTS,2010,DE1,1,1
2010,NUTS,2010,DE14,2,1
2010,NUTS,2010,DE142,3,1
2010,NUTS,2010,DE2,1,1
2010,NUTS,2010,DE21,2,1
2010,NUTS,2010,DE212,3,1
2010,NUTS,2010,DE3,1,1
2010,NUTS,2010,DE30,2,1
2010,NUTS,2010,DE300,3,1
2010,NUTS,2010,DE4,1,1
2010,NUTS,2010,DE40,2,1
2010,NUTS,2010,DE404,3,1
2010,NUTS,2010,EL,0,1
2010,NUTS,2010,EL4,1,1
2010,NUTS,2010,EL41,2,1
2010,NUTS,2010,EL411,3,1
2010,NUTS,2010,ES,0,1
2010,NUTS,2010,ES1,1,1
2010,NUTS,2010,ES13,2,1
2010,NUTS,2010,ES130,3,1
2010,NUTS,2010,FI,0,1
2010,NUTS,2010,FI1,1,1
2010,NUTS,2010,FI1C,2,1
2010,NUTS,2010,FI1C1,3,1
2010,NUTS,2010,FR,0,4
2010,NUTS,2010,FR1,1,1
2010,NUTS,2010,FR10,2,1
2010,NUTS,2010,FR104,3,1
2010,NUTS,2010,FR6,1,1
2010,NUTS,2010,FR61,2,1
2010,NUTS,2010,FR612,3,1
2010,NUTS,2010,FR7,1,2
2010,NUTS,2010,FR71,2,2
2010,NUTS,2010,FR716,3,2
2010,NUTS,2010,HU,0,1
2010,NUTS,2010,HU1,1,1
2010,NUTS,2010,HU10,2,1
2010,NUTS,2010,HU101,3,1
2010,NUTS,2010,IT,0,1
2010,NUTS,2010,ITH,1,1
2010,NUTS,2010,ITH5,2,1
2010,NUTS,2010,ITH55,3,1
2010,NUTS,2010,PL,0,1
2010,NUTS,2010,PL6,1,1
2010,NUTS,2010,PL63,2,1
2010,NUTS,2010,PL633,3,1
2010,NUTS,2010,PT,0,2
2010,NUTS,2010,PT1,1,1
2010,NUTS,2010,PT17,2,1
2010,NUTS,2010,PT171,3,1
2010,NUTS,2010,PT3,1,1
2010,NUTS,2010,PT30,2,1
2010,NUTS,2010,PT300,3,1
2010,NUTS,2010,TR,0,1
2010,NUTS,2010,TR5,1,1
2010,NUTS,2010,TR51,2,1
2010,NUTS,2010,TR510,3,1
2010,NUTS,2010,UK,0,4
2010,NUTS,2010,UKG,1,1
2010,NUTS,2010,UKG3,2,1
2010,NUTS,2010,UKG31,3,1
2010,NUTS,2010,UKH,1,1
2010,NUTS,2010,UKH3,2,1
2010,NUTS,2010,UKH33,3,1
2010,NUTS,2010,UKI,1,1
2010,NUTS,2010,UKI1,2,1
2010,NUTS,2010,UKI11,3,1
2010,NUTS,2010,UKK,1,1
2010,NUTS,2010,UKK1,2,1
2010,NUTS,2010,UKK11,3,1
2011,NUTS,2010,BE,0,2
2011,NUTS,2010,BE1,1,1
2011,NUTS,2010,BE10,2,1
2011,NUTS,2010,BE100,3,1
2011,NUTS,2010,BE2,1,1
2011,NUTS,2010,BE23,2,1
2011,NUTS,2010,BE234,3,1
2011,NUTS,2010,CH,0,2
2011,NUTS,2010,CH0,1,2
2011,NUTS,2010,CH01,2,1
2011,NUTS,2010,CH011,3,1
2011,NUTS,2010,CH07,2,1
2011,NUTS,2010,CH070,3,1
2011,NUTS,2010,DE,0,5
2011,NUTS,2010,DE7,1,1
2011,NUTS,2010,DE71,2,1
2011,NUTS,2010,DE712,3,1
2011,NUTS,2010,DEA,1,2
2011,NUTS,2010,DEA2,2,2
2011,NUTS,2010,DEA23,3,1
2011,NUTS,2010,DEA2D,3,1
2011,NUTS,2010,DED,1,2
2011,NUTS,2010,DED4,2,1
2011,NUTS,2010,DED43,3,1
2011,NUTS,2010,DED5,2,1
2011,NUTS,2010,DED51,3,1
2011,NUTS,2010,EL,0,1
2011,NUTS,2010,EL3,1,1
2011,NUTS,2010,EL30,2,1
2011,NUTS,2010,EL300,3,1
2011,NUTS,2010,ES,0,2
2011,NUTS,2010,ES3,1,1
2011,NUTS,2010,ES30,2,1
2011,NUTS,2010,ES300,3,1
2011,NUTS,2010,ES6,1,1
2011,NUTS,2010,ES61,2,1
2011,NUTS,2010,ES614,3,1
2011,NUTS,2010,FI,0,1
2011,NUTS,2010,FI1,1,1
2011,NUTS,2010,FI1B,2,1
2011,NUTS,2010,FI1B1,3,1
2011,NUTS,2010,FR,0,8
2011,NUTS,2010,FR1,1,7
2011,NUTS,2010,FR10,2,7
2011,NUTS,2010,FR101,3,1
2011,NUTS,2010,FR103,3,4
2011,NUTS,2010,FR104,3,2
2011,NUTS,2010,FR4,1,1
2011,NUTS,2010,FR43,2,1
2011,NUTS,2010,FR431,3,1
2011,NUTS,2010,IT,0,5
2011,NUTS,2010,ITC,1,1
2011,NUTS,2010,ITC4,2,1
2011,NUTS,2010,ITC4C,3,1
