year,region_type,region_year_spec,region_id,region_level,cord_count
2010,NUTS,2010,AT,0,32
2010,NUTS,2010,AT1,1,25
2010,NUTS,2010,AT13,2,25
2010,NUTS,2010,AT130,3,25
2010,NUTS,2010,AT2,1,4
2010,NUTS,2010,AT22,2,4
2010,NUTS,2010,AT221,3,4
2010,NUTS,2010,AT3,1,3
2010,NUTS,2010,AT33,2,3
2010,NUTS,2010,AT332,3,3
2010,NUTS,2010,BE,0,38
2010,NUTS,2010,BE1,1,8
2010,NUTS,2010,BE10,2,8
2010,NUTS,2010,BE100,3,8
2010,NUTS,2010,BE2,1,26
2010,NUTS,2010,BE21,2,6
2010,NUTS,2010,BE211,3,5
2010,NUTS,2010,BE213,3,1
2010,NUTS,2010,BE23,2,9
2010,NUTS,2010,BE234,3,9
2010,NUTS,2010,BE24,2,11
2010,NUTS,2010,BE242,3,11
2010,NUTS,2010,BE3,1,4
2010,NUTS,2010,BE31,2,3
2010,NUTS,2010,BE310,3,3
2010,NUTS,2010,BE33,2,1
2010,NUTS,2010,BE332,3,1
2010,NUTS,2010,CH,0,81
2010,NUTS,2010,CH0,1,81
2010,NUTS,2010,CH01,2,25
2010,NUTS,2010,CH011,3,11
2010,NUTS,2010,CH013,3,14
2010,NUTS,2010,CH02,2,11
2010,NUTS,2010,CH021,3,11
2010,NUTS,2010,CH03,2,11
2010,NUTS,2010,CH031,3,11
2010,NUTS,2010,CH04,2,28
2010,NUTS,2010,CH040,3,28
2010,NUTS,2010,CH05,2,6
2010,NUTS,2010,CH055,3,6
2010,NUTS,2010,CZ,0,20
2010,NUTS,2010,CZ0,1,20
2010,NUTS,2010,CZ01,2,9
2010,NUTS,2010,CZ010,3,9
2010,NUTS,2010,CZ02,2,1
2010,NUTS,2010,CZ020,3,1
2010,NUTS,2010,CZ06,2,9
2010,NUTS,2010,CZ064,3,9
2010,NUTS,2010,CZ07,2,1
2010,NUTS,2010,CZ071,3,1
2010,NUTS,2010,DE,0,178
2010,NUTS,2010,DE1,1,17
2010,NUTS,2010,DE12,2,2
2010,NUTS,2010,DE125,3,2
2010,NUTS,2010,DE13,2,9
2010,NUTS,2010,DE131,3,8
2010,NUTS,2010,DE138,3,1
2010,NUTS,2010,DE14,2,6
2010,NUTS,2010,DE142,3,4
2010,NUTS,2010,DE144,3,2
2010,NUTS,2010,DE2,1,33
2010,NUTS,2010,DE21,2,25
2010,NUTS,2010,DE212,3,25
2010,NUTS,2010,DE23,2,5
2010,NUTS,2010,DE232,3,5
2010,NUTS,2010,DE25,2,1
2010,NUTS,2010,DE252,3,1
2010,NUTS,2010,DE26,2,2
2010,NUTS,2010,DE263,3,2
2010,NUTS,2010,DE3,1,32
2010,NUTS,2010,DE30,2,32
2010,NUTS,2010,DE300,3,32
2010,NUTS,2010,DE4,1,1
2010,NUTS,2010,DE40,2,1
2010,NUTS,2010,DE404,3,1
2010,NUTS,2010,DE5,1,1
2010,NUTS,2010,DE50,2,1
2010,NUTS,2010,DE501,3,1
2010,NUTS,2010,DE6,1,10
2010,NUTS,2010,DE60,2,10
2010,NUTS,2010,DE600,3,10
2010,NUTS,2010,DE7,1,24
2010,NUTS,2010,DE71,2,8
2010,NUTS,2010,DE712,3,5
2010,NUTS,2010,DE71C,3,3
2010,NUTS,2010,DE72,2,12
2010,NUTS,2010,DE721,3,5
2010,NUTS,2010,DE724,3,7
2010,NUTS,2010,DE73,2,4
2010,NUTS,2010,DE731,3,4
2010,NUTS,2010,DE8,1,3
2010,NUTS,2010,DE80,2,3
2010,NUTS,2010,DE803,3,3
2010,NUTS,2010,DE9,1,14
2010,NUTS,2010,DE91,2,4
2010,NUTS,2010,DE915,3,4
2010,NUTS,2010,DE92,2,10
2010,NUTS,2010,DE929,3,10
2010,NUTS,2010,DEA,1,23
2010,NUTS,2010,DEA1,2,4
2010,NUTS,2010,DEA13,3,4
2010,NUTS,2010,DEA2,2,15
2010,NUTS,2010,DEA22,3,9
2010,NUTS,2010,DEA23,3,2
2010,NUTS,2010,DEA2D,3,4
2010,NUTS,2010,DEA3,2,1
2010,NUTS,2010,DEA33,3,1
2010,NUTS,2010,DEA4,2,1
2010,NUTS,2010,DEA41,3,1
2010,NUTS,2010,DEA5,2,2
2010,NUTS,2010,DEA51,3,2
2010,NUTS,2010,DEB,1,1
2010,NUTS,2010,DEB3,2,1
2010,NUTS,2010,DEB3F,3,1
2010,NUTS,2010,DEC,1,1
2010,NUTS,2010,DEC0,2,1
2010,NUTS,2010,DEC01,3,1
2010,NUTS,2010,DED,1,10
2010,NUTS,2010,DED4,2,3
2010,NUTS,2010,DED41,3,3
2010,NUTS,2010,DED5,2,7
2010,NUTS,2010,DED51,3,7
2010,NUTS,2010,DEE,1,3
2010,NUTS,2010,DEE0,2,3
2010,NUTS,2010,DEE02,3,1
2010,NUTS,2010,DEE03,3,2
2010,NUTS,2010,DEF,1,5
2010,NUTS,2010,DEF0,2,5
2010,NUTS,2010,DEF03,3,5
2010,NUTS,2010,DK,0,27
2010,NUTS,2010,DK0,1,27
2010,NUTS,2010,DK01,2,16
2010,NUTS,2010,DK011,3,9
2010,NUTS,2010,DK012,3,7
2010,NUTS,2010,DK03,2,5
2010,NUTS,2010,DK031,3,5
2010,NUTS,2010,DK04,2,6
2010,NUTS,2010,DK042,3,6
2010,NUTS,2010,EE,0,1
2010,NUTS,2010,EE0,1,1
2010,NUTS,2010,EE00,2,1
