year,region_type,region_year_spec,region_id,region_level,vaccination_programmes_count
2019,NUTS,2016,CH,0,1
2019,NUTS,2016,CH0,1,1
2019,NUTS,2016,CH01,2,1
2019,NUTS,2016,CH013,3,1
2019,NUTS,2016,UK,0,1
2019,NUTS,2016,UKI,1,1
2019,NUTS,2016,UKI3,2,1
2019,NUTS,2016,UKI33,3,1
2020,NUTS,2016,AT,0,3
2020,NUTS,2016,AT1,1,1
2020,NUTS,2016,AT13,2,1
2020,NUTS,2016,AT130,3,1
2020,NUTS,2016,AT2,1,2
2020,NUTS,2016,AT22,2,2
2020,NUTS,2016,AT221,3,2
2020,NUTS,2016,BE,0,7
2020,NUTS,2016,BE1,1,2
2020,NUTS,2016,BE10,2,2
2020,NUTS,2016,BE100,3,2
2020,NUTS,2016,BE2,1,1
2020,NUTS,2016,BE24,2,1
2020,NUTS,2016,BE241,3,1
2020,NUTS,2016,BE3,1,4
2020,NUTS,2016,BE32,2,4
2020,NUTS,2016,BE323,3,4
2020,NUTS,2016,CH,0,4
2020,NUTS,2016,CH0,1,4
2020,NUTS,2016,CH04,2,4
2020,NUTS,2016,CH040,3,4
2020,NUTS,2016,DE,0,16
2020,NUTS,2016,DE1,1,1
2020,NUTS,2016,DE13,2,1
2020,NUTS,2016,DE131,3,1
2020,NUTS,2016,DE2,1,3
2020,NUTS,2016,DE21,2,1
2020,NUTS,2016,DE212,3,1
2020,NUTS,2016,DE23,2,1
2020,NUTS,2016,DE232,3,1
2020,NUTS,2016,DE25,2,1
2020,NUTS,2016,DE252,3,1
2020,NUTS,2016,DE3,1,2
2020,NUTS,2016,DE30,2,2
2020,NUTS,2016,DE300,3,2
2020,NUTS,2016,DE7,1,1
2020,NUTS,2016,DE71,2,1
2020,NUTS,2016,DE712,3,1
2020,NUTS,2016,DEA,1,1
2020,NUTS,2016,DEA2,2,1
2020,NUTS,2016,DEA26,3,1
2020,NUTS,2016,DED,1,7
2020,NUTS,2016,DED4,2,7
2020,NUTS,2016,DED41,3,1
2020,NUTS,2016,DED43,3,6
2020,NUTS,2016,DEE,1,1
2020,NUTS,2016,DEE0,2,1
2020,NUTS,2016,DEE03,3,1
2020,NUTS,2016,ES,0,10
2020,NUTS,2016,ES3,1,2
2020,NUTS,2016,ES30,2,2
2020,NUTS,2016,ES300,3,2
2020,NUTS,2016,ES4,1,2
2020,NUTS,2016,ES41,2,1
2020,NUTS,2016,ES415,3,1
2020,NUTS,2016,ES43,2,1
2020,NUTS,2016,ES432,3,1
2020,NUTS,2016,ES5,1,5
2020,NUTS,2016,ES51,2,3
2020,NUTS,2016,ES511,3,3
2020,NUTS,2016,ES52,2,2
2020,NUTS,2016,ES521,3,1
2020,NUTS,2016,ES523,3,1
2020,NUTS,2016,ES6,1,1
2020,NUTS,2016,ES62,2,1
2020,NUTS,2016,ES620,3,1
