year,region_type,region_year_spec,region_id,region_level,antiviral_drugs_count
2018,NUTS,2016,CH,0,2
2018,NUTS,2016,CH0,1,2
2018,NUTS,2016,CH01,2,1
2018,NUTS,2016,CH013,3,1
2018,NUTS,2016,CH02,2,1
2018,NUTS,2016,CH021,3,1
2018,NUTS,2016,DE,0,1
2018,NUTS,2016,DE7,1,1
2018,NUTS,2016,DE73,2,1
2018,NUTS,2016,DE731,3,1
2018,NUTS,2016,NL,0,3
2018,NUTS,2016,NL2,1,1
2018,NUTS,2016,NL22,2,1
2018,NUTS,2016,NL226,3,1
2018,NUTS,2016,NL3,1,2
2018,NUTS,2016,NL31,2,1
2018,NUTS,2016,NL310,3,1
2018,NUTS,2016,NL32,2,1
2018,NUTS,2016,NL329,3,1
2018,NUTS,2016,UK,0,2
2018,NUTS,2016,UKH,1,1
2018,NUTS,2016,UKH1,2,1
2018,NUTS,2016,UKH12,3,1
2018,NUTS,2016,UKK,1,1
2018,NUTS,2016,UKK1,2,1
2018,NUTS,2016,UKK11,3,1
2019,NUTS,2016,DE,0,5
2019,NUTS,2016,DE3,1,1
2019,NUTS,2016,DE30,2,1
2019,NUTS,2016,DE300,3,1
2019,NUTS,2016,DE6,1,3
2019,NUTS,2016,DE60,2,3
2019,NUTS,2016,DE600,3,3
2019,NUTS,2016,DEF,1,1
2019,NUTS,2016,DEF0,2,1
2019,NUTS,2016,DEF03,3,1
2019,NUTS,2016,FR,0,1
2019,NUTS,2016,FRL,1,1
2019,NUTS,2016,FRL0,2,1
2019,NUTS,2016,FRL04,3,1
2019,NUTS,2016,IT,0,1
2019,NUTS,2016,ITH,1,1
2019,NUTS,2016,ITH2,2,1
2019,NUTS,2016,ITH20,3,1
2019,NUTS,2016,NL,0,1
2019,NUTS,2016,NL3,1,1
2019,NUTS,2016,NL33,2,1
2019,NUTS,2016,NL337,3,1
2019,NUTS,2016,UK,0,4
2019,NUTS,2016,UKH,1,1
2019,NUTS,2016,UKH1,2,1
2019,NUTS,2016,UKH12,3,1
2019,NUTS,2016,UKJ,1,3
2019,NUTS,2016,UKJ2,2,3
2019,NUTS,2016,UKJ25,3,3
2020,NUTS,2016,AT,0,4
2020,NUTS,2016,AT1,1,2
2020,NUTS,2016,AT13,2,2
2020,NUTS,2016,AT130,3,2
2020,NUTS,2016,AT2,1,1
2020,NUTS,2016,AT22,2,1
2020,NUTS,2016,AT221,3,1
2020,NUTS,2016,AT3,1,1
2020,NUTS,2016,AT31,2,1
2020,NUTS,2016,AT312,3,1
2020,NUTS,2016,BE,0,2
2020,NUTS,2016,BE2,1,2
2020,NUTS,2016,BE21,2,1
2020,NUTS,2016,BE213,3,1
2020,NUTS,2016,BE24,2,1
2020,NUTS,2016,BE242,3,1
2020,NUTS,2016,BG,0,1
2020,NUTS,2016,BG4,1,1
2020,NUTS,2016,BG41,2,1
2020,NUTS,2016,BG411,3,1
2020,NUTS,2016,CH,0,8
2020,NUTS,2016,CH0,1,8
2020,NUTS,2016,CH01,2,2
2020,NUTS,2016,CH011,3,1
2020,NUTS,2016,CH013,3,1
2020,NUTS,2016,CH02,2,2
2020,NUTS,2016,CH021,3,2
2020,NUTS,2016,CH03,2,1
2020,NUTS,2016,CH033,3,1
2020,NUTS,2016,CH04,2,3
2020,NUTS,2016,CH040,3,3
2020,NUTS,2016,CZ,0,4
2020,NUTS,2016,CZ0,1,4
2020,NUTS,2016,CZ01,2,2
2020,NUTS,2016,CZ010,3,2
2020,NUTS,2016,CZ06,2,1
2020,NUTS,2016,CZ064,3,1
2020,NUTS,2016,CZ08,2,1
2020,NUTS,2016,CZ080,3,1
2020,NUTS,2016,DE,0,63
2020,NUTS,2016,DE1,1,7
2020,NUTS,2016,DE12,2,5
2020,NUTS,2016,DE125,3,5
2020,NUTS,2016,DE13,2,1
2020,NUTS,2016,DE131,3,1
2020,NUTS,2016,DE14,2,1
2020,NUTS,2016,DE144,3,1
2020,NUTS,2016,DE2,1,18
2020,NUTS,2016,DE21,2,15
2020,NUTS,2016,DE212,3,15
2020,NUTS,2016,DE25,2,1
2020,NUTS,2016,DE252,3,1
2020,NUTS,2016,DE26,2,2
2020,NUTS,2016,DE263,3,2
2020,NUTS,2016,DE3,1,7
2020,NUTS,2016,DE30,2,7
2020,NUTS,2016,DE300,3,7
2020,NUTS,2016,DE6,1,12
2020,NUTS,2016,DE60,2,12
2020,NUTS,2016,DE600,3,12
2020,NUTS,2016,DE7,1,6
2020,NUTS,2016,DE71,2,3
2020,NUTS,2016,DE711,3,1
2020,NUTS,2016,DE712,3,2
2020,NUTS,2016,DE72,2,3
2020,NUTS,2016,DE721,3,3
2020,NUTS,2016,DE9,1,3
2020,NUTS,2016,DE92,2,2
2020,NUTS,2016,DE929,3,2
2020,NUTS,2016,DE94,2,1
2020,NUTS,2016,DE943,3,1
2020,NUTS,2016,DEA,1,6
2020,NUTS,2016,DEA2,2,6
2020,NUTS,2016,DEA22,3,3
2020,NUTS,2016,DEA26,3,2
2020,NUTS,2016,DEA2D,3,1
2020,NUTS,2016,DEF,1,4
2020,NUTS,2016,DEF0,2,4
2020,NUTS,2016,DEF03,3,4
2020,NUTS,2016,DK,0,3
2020,NUTS,2016,DK0,1,3
2020,NUTS,2016,DK01,2,3
2020,NUTS,2016,DK011,3,3
2020,NUTS,2016,EE,0,1
2020,NUTS,2016,EE0,1,1
2020,NUTS,2016,EE00,2,1
2020,NUTS,2016,EE008,3,1
2020,NUTS,2016,EL,0,2
2020,NUTS,2016,EL3,1,2
2020,NUTS,2016,EL30,2,2
2020,NUTS,2016,EL303,3,2
2020,NUTS,2016,ES,0,11
2020,NUTS,2016,ES2,1,1
2020,NUTS,2016,ES24,2,1
2020,NUTS,2016,ES243,3,1
2020,NUTS,2016,ES3,1,3
2020,NUTS,2016,ES30,2,3
2020,NUTS,2016,ES300,3,3
2020,NUTS,2016,ES4,1,3
2020,NUTS,2016,ES41,2,3
2020,NUTS,2016,ES413,3,3
2020,NUTS,2016,ES5,1,3
2020,NUTS,2016,ES52,2,2
2020,NUTS,2016,ES523,3,2
2020,NUTS,2016,ES53,2,1
2020,NUTS,2016,ES532,3,1
2020,NUTS,2016,ES6,1,1
2020,NUTS,2016,ES62,2,1
2020,NUTS,2016,ES620,3,1
2020,NUTS,2016,FI,0,1
2020,NUTS,2016,FI1,1,1
2020,NUTS,2016,FI1B,2,1
2020,NUTS,2016,FI1B1,3,1
2020,NUTS,2016,FR,0,19
2020,NUTS,2016,FR1,1,7
2020,NUTS,2016,FR10,2,7
2020,NUTS,2016,FR101,3,4
2020,NUTS,2016,FR104,3,3
2020,NUTS,2016,FRE,1,1
2020,NUTS,2016,FRE1,2,1
2020,NUTS,2016,FRE11,3,1
2020,NUTS,2016,FRF,1,2
2020,NUTS,2016,FRF1,2,1
2020,NUTS,2016,FRF11,3,1
2020,NUTS,2016,FRF3,2,1
2020,NUTS,2016,FRF31,3,1
2020,NUTS,2016,FRG,1,1
2020,NUTS,2016,FRG0,2,1
2020,NUTS,2016,FRG04,3,1
2020,NUTS,2016,FRJ,1,2
2020,NUTS,2016,FRJ1,2,2
2020,NUTS,2016,FRJ13,3,2
