year,region_type,region_year_spec,region_id,region_level,ai_covid_count
2020,NUTS,2016,AT,0,6
2020,NUTS,2016,AT1,1,2
2020,NUTS,2016,AT13,2,2
2020,NUTS,2016,AT130,3,2
2020,NUTS,2016,AT2,1,1
2020,NUTS,2016,AT22,2,1
2020,NUTS,2016,AT221,3,1
2020,NUTS,2016,AT3,1,3
2020,NUTS,2016,AT31,2,2
2020,NUTS,2016,AT312,3,2
2020,NUTS,2016,AT32,2,1
2020,NUTS,2016,AT323,3,1
2020,NUTS,2016,CH,0,9
2020,NUTS,2016,CH0,1,9
2020,NUTS,2016,CH01,2,3
2020,NUTS,2016,CH011,3,3
2020,NUTS,2016,CH04,2,6
2020,NUTS,2016,CH040,3,6
2020,NUTS,2016,CZ,0,1
2020,NUTS,2016,CZ0,1,1
2020,NUTS,2016,CZ06,2,1
2020,NUTS,2016,CZ064,3,1
2020,NUTS,2016,DE,0,13
2020,NUTS,2016,DE2,1,2
2020,NUTS,2016,DE21,2,2
2020,NUTS,2016,DE212,3,2
2020,NUTS,2016,DE3,1,1
2020,NUTS,2016,DE30,2,1
2020,NUTS,2016,DE300,3,1
2020,NUTS,2016,DE6,1,2
2020,NUTS,2016,DE60,2,2
2020,NUTS,2016,DE600,3,2
2020,NUTS,2016,DE9,1,2
2020,NUTS,2016,DE91,2,1
2020,NUTS,2016,DE911,3,1
2020,NUTS,2016,DE94,2,1
2020,NUTS,2016,DE943,3,1
2020,NUTS,2016,DEA,1,3
2020,NUTS,2016,DEA2,2,2
2020,NUTS,2016,DEA22,3,1
2020,NUTS,2016,DEA2C,3,1
2020,NUTS,2016,DEA4,2,1
2020,NUTS,2016,DEA47,3,1
2020,NUTS,2016,DEB,1,1
2020,NUTS,2016,DEB1,2,1
2020,NUTS,2016,DEB17,3,1
2020,NUTS,2016,DED,1,2
2020,NUTS,2016,DED4,2,2
2020,NUTS,2016,DED41,3,2
2020,NUTS,2016,DK,0,1
2020,NUTS,2016,DK0,1,1
2020,NUTS,2016,DK01,2,1
2020,NUTS,2016,DK011,3,1
2020,NUTS,2016,EL,0,1
2020,NUTS,2016,EL3,1,1
2020,NUTS,2016,EL30,2,1
2020,NUTS,2016,EL303,3,1
2020,NUTS,2016,ES,0,6
2020,NUTS,2016,ES3,1,1
2020,NUTS,2016,ES30,2,1
2020,NUTS,2016,ES300,3,1
2020,NUTS,2016,ES4,1,1
2020,NUTS,2016,ES41,2,1
2020,NUTS,2016,ES412,3,1
2020,NUTS,2016,ES6,1,4
2020,NUTS,2016,ES61,2,3
2020,NUTS,2016,ES614,3,1
2020,NUTS,2016,ES617,3,1
2020,NUTS,2016,ES618,3,1
2020,NUTS,2016,ES62,2,1
2020,NUTS,2016,ES620,3,1
2020,NUTS,2016,FR,0,5
2020,NUTS,2016,FR1,1,2
2020,NUTS,2016,FR10,2,2
2020,NUTS,2016,FR103,3,1
2020,NUTS,2016,FR104,3,1
2020,NUTS,2016,FRF,1,2
2020,NUTS,2016,FRF1,2,2
2020,NUTS,2016,FRF12,3,2
2020,NUTS,2016,FRI,1,1
2020,NUTS,2016,FRI1,2,1
2020,NUTS,2016,FRI12,3,1
2020,NUTS,2016,HU,0,1
2020,NUTS,2016,HU1,1,1
2020,NUTS,2016,HU11,2,1
2020,NUTS,2016,HU110,3,1
2020,NUTS,2016,IE,0,2
2020,NUTS,2016,IE0,1,2
2020,NUTS,2016,IE05,2,1
2020,NUTS,2016,IE051,3,1
2020,NUTS,2016,IE06,2,1
2020,NUTS,2016,IE061,3,1
2020,NUTS,2016,IT,0,8
2020,NUTS,2016,ITC,1,2
2020,NUTS,2016,ITC4,2,2
2020,NUTS,2016,ITC46,3,1
2020,NUTS,2016,ITC47,3,1
2020,NUTS,2016,ITH,1,2
2020,NUTS,2016,ITH3,2,1
2020,NUTS,2016,ITH36,3,1
2020,NUTS,2016,ITH5,2,1
2020,NUTS,2016,ITH55,3,1
2020,NUTS,2016,ITI,1,4
2020,NUTS,2016,ITI1,2,4
2020,NUTS,2016,ITI14,3,3
2020,NUTS,2016,ITI19,3,1
2020,NUTS,2016,LU,0,2
2020,NUTS,2016,LU0,1,2
2020,NUTS,2016,LU00,2,2
2020,NUTS,2016,LU000,3,2
2020,NUTS,2016,NL,0,2
2020,NUTS,2016,NL3,1,1
2020,NUTS,2016,NL32,2,1
2020,NUTS,2016,NL329,3,1
2020,NUTS,2016,NL4,1,1
2020,NUTS,2016,NL41,2,1
2020,NUTS,2016,NL414,3,1
2020,NUTS,2016,NO,0,1
2020,NUTS,2016,NO0,1,1
2020,NUTS,2016,NO06,2,1
2020,NUTS,2016,NO060,3,1
2020,NUTS,2016,PL,0,1
2020,NUTS,2016,PL9,1,1
2020,NUTS,2016,PL91,2,1
2020,NUTS,2016,PL911,3,1
2020,NUTS,2016,PT,0,1
2020,NUTS,2016,PT1,1,1
2020,NUTS,2016,PT16,2,1
2020,NUTS,2016,PT16E,3,1
2020,NUTS,2016,RO,0,2
2020,NUTS,2016,RO1,1,1
2020,NUTS,2016,RO11,2,1
2020,NUTS,2016,RO113,3,1
2020,NUTS,2016,RO3,1,1
2020,NUTS,2016,RO32,2,1
2020,NUTS,2016,RO321,3,1
2020,NUTS,2016,SE,0,2
2020,NUTS,2016,SE1,1,1
2020,NUTS,2016,SE11,2,1
2020,NUTS,2016,SE110,3,1
2020,NUTS,2016,SE2,1,1
2020,NUTS,2016,SE21,2,1
2020,NUTS,2016,SE213,3,1
2020,NUTS,2016,TR,0,7
2020,NUTS,2016,TR1,1,3
2020,NUTS,2016,TR10,2,3
2020,NUTS,2016,TR100,3,3
2020,NUTS,2016,TR5,1,1
2020,NUTS,2016,TR51,2,1
2020,NUTS,2016,TR510,3,1
2020,NUTS,2016,TR8,1,3
2020,NUTS,2016,TR81,2,3
2020,NUTS,2016,TR811,3,3
2020,NUTS,2016,UK,0,40
2020,NUTS,2016,UKC,1,1
2020,NUTS,2016,UKC1,2,1
2020,NUTS,2016,UKC14,3,1
2020,NUTS,2016,UKD,1,3
2020,NUTS,2016,UKD3,2,1
2020,NUTS,2016,UKD33,3,1
2020,NUTS,2016,UKD4,2,1
2020,NUTS,2016,UKD44,3,1
2020,NUTS,2016,UKD7,2,1
2020,NUTS,2016,UKD72,3,1
2020,NUTS,2016,UKE,1,4
2020,NUTS,2016,UKE3,2,1
2020,NUTS,2016,UKE32,3,1
2020,NUTS,2016,UKE4,2,3
2020,NUTS,2016,UKE41,3,1
2020,NUTS,2016,UKE42,3,2
2020,NUTS,2016,UKF,1,3
2020,NUTS,2016,UKF1,2,1
2020,NUTS,2016,UKF14,3,1
2020,NUTS,2016,UKF2,2,1
2020,NUTS,2016,UKF21,3,1
2020,NUTS,2016,UKF3,2,1
2020,NUTS,2016,UKF30,3,1
