year,region_type,region_year_spec,region_id,region_level,detection_diagnosis_lq
2020,NUTS,2016,AT,0,1.66
2020,NUTS,2016,BE,0,1.91
2020,NUTS,2016,CH,0,1.02
2020,NUTS,2016,CY,0,2.76
2020,NUTS,2016,DE,0,1.46
2020,NUTS,2016,DK,0,1.35
2020,NUTS,2016,EL,0,1.04
2020,NUTS,2016,ES,0,0.59
2020,NUTS,2016,FI,0,0.7
2020,NUTS,2016,FR,0,0.37
2020,NUTS,2016,IE,0,1.83
2020,NUTS,2016,IS,0,3.6
2020,NUTS,2016,IT,0,0.26
2020,NUTS,2016,NL,0,1.33
2020,NUTS,2016,SE,0,2.35
2020,NUTS,2016,TR,0,1.15
2020,NUTS,2016,UK,0,1.28
2020,NUTS,2016,AT1,1,1.92
2020,NUTS,2016,AT3,1,2.08
2020,NUTS,2016,BE1,1,2.79
2020,NUTS,2016,BE2,1,2.15
2020,NUTS,2016,CH0,1,1.02
2020,NUTS,2016,CY0,1,2.76
2020,NUTS,2016,DE1,1,3.07
2020,NUTS,2016,DE2,1,0.29
2020,NUTS,2016,DE3,1,1.0
2020,NUTS,2016,DE6,1,5.35
2020,NUTS,2016,DE7,1,2.66
2020,NUTS,2016,DE9,1,2.16
2020,NUTS,2016,DEA,1,1.49
2020,NUTS,2016,DEE,1,3.76
2020,NUTS,2016,DK0,1,1.35
2020,NUTS,2016,EL4,1,7.6
2020,NUTS,2016,ES2,1,3.34
2020,NUTS,2016,ES5,1,0.38
2020,NUTS,2016,ES7,1,11.75
2020,NUTS,2016,FI1,1,0.7
2020,NUTS,2016,FR1,1,0.23
2020,NUTS,2016,FRJ,1,3.92
2020,NUTS,2016,IE0,1,1.83
2020,NUTS,2016,IS0,1,3.6
2020,NUTS,2016,ITF,1,0.39
2020,NUTS,2016,ITH,1,0.26
2020,NUTS,2016,ITI,1,0.62
2020,NUTS,2016,NL2,1,1.01
2020,NUTS,2016,NL3,1,1.96
2020,NUTS,2016,SE1,1,3.61
2020,NUTS,2016,TR3,1,3.05
2020,NUTS,2016,TR5,1,2.52
2020,NUTS,2016,UKD,1,0.93
2020,NUTS,2016,UKE,1,0.47
