year,region_type,region_year_spec,region_id,region_level,lockdown_social_distancing_2_count
2020,NUTS,2016,BE,0,18
2020,NUTS,2016,BE1,1,2
2020,NUTS,2016,BE10,2,2
2020,NUTS,2016,BE100,3,2
2020,NUTS,2016,BE2,1,14
2020,NUTS,2016,BE21,2,9
2020,NUTS,2016,BE211,3,9
2020,NUTS,2016,BE22,2,4
2020,NUTS,2016,BE221,3,4
2020,NUTS,2016,BE23,2,1
2020,NUTS,2016,BE234,3,1
2020,NUTS,2016,BE3,1,2
2020,NUTS,2016,BE31,2,1
2020,NUTS,2016,BE310,3,1
2020,NUTS,2016,BE32,2,1
2020,NUTS,2016,BE323,3,1
2020,NUTS,2016,CH,0,24
2020,NUTS,2016,CH0,1,24
2020,NUTS,2016,CH01,2,8
2020,NUTS,2016,CH011,3,3
2020,NUTS,2016,CH013,3,5
2020,NUTS,2016,CH02,2,5
2020,NUTS,2016,CH021,3,5
2020,NUTS,2016,CH04,2,10
2020,NUTS,2016,CH040,3,10
2020,NUTS,2016,CH05,2,1
2020,NUTS,2016,CH055,3,1
2020,NUTS,2016,CY,0,2
2020,NUTS,2016,CY0,1,2
2020,NUTS,2016,CY00,2,2
2020,NUTS,2016,CY000,3,2
2020,NUTS,2016,CZ,0,1
2020,NUTS,2016,CZ0,1,1
2020,NUTS,2016,CZ01,2,1
2020,NUTS,2016,CZ010,3,1
2020,NUTS,2016,DE,0,23
2020,NUTS,2016,DE1,1,2
2020,NUTS,2016,DE12,2,2
2020,NUTS,2016,DE125,3,1
2020,NUTS,2016,DE126,3,1
2020,NUTS,2016,DE2,1,8
2020,NUTS,2016,DE21,2,8
2020,NUTS,2016,DE212,3,8
2020,NUTS,2016,DE3,1,4
2020,NUTS,2016,DE30,2,4
2020,NUTS,2016,DE300,3,4
2020,NUTS,2016,DE7,1,1
2020,NUTS,2016,DE71,2,1
2020,NUTS,2016,DE712,3,1
2020,NUTS,2016,DEA,1,7
2020,NUTS,2016,DEA1,2,2
2020,NUTS,2016,DEA13,3,2
2020,NUTS,2016,DEA2,2,2
2020,NUTS,2016,DEA22,3,1
2020,NUTS,2016,DEA26,3,1
2020,NUTS,2016,DEA3,2,1
2020,NUTS,2016,DEA33,3,1
2020,NUTS,2016,DEA4,2,2
2020,NUTS,2016,DEA47,3,2
2020,NUTS,2016,DED,1,1
2020,NUTS,2016,DED4,2,1
2020,NUTS,2016,DED41,3,1
2020,NUTS,2016,DK,0,15
2020,NUTS,2016,DK0,1,15
2020,NUTS,2016,DK01,2,11
2020,NUTS,2016,DK011,3,11
2020,NUTS,2016,DK02,2,2
2020,NUTS,2016,DK021,3,2
2020,NUTS,2016,DK03,2,2
2020,NUTS,2016,DK031,3,2
2020,NUTS,2016,EL,0,5
2020,NUTS,2016,EL3,1,4
2020,NUTS,2016,EL30,2,4
2020,NUTS,2016,EL303,3,4
2020,NUTS,2016,EL4,1,1
2020,NUTS,2016,EL43,2,1
2020,NUTS,2016,EL433,3,1
2020,NUTS,2016,ES,0,15
2020,NUTS,2016,ES1,1,1
2020,NUTS,2016,ES11,2,1
2020,NUTS,2016,ES111,3,1
2020,NUTS,2016,ES2,1,2
2020,NUTS,2016,ES21,2,1
2020,NUTS,2016,ES213,3,1
2020,NUTS,2016,ES24,2,1
2020,NUTS,2016,ES243,3,1
2020,NUTS,2016,ES3,1,4
2020,NUTS,2016,ES30,2,4
2020,NUTS,2016,ES300,3,4
2020,NUTS,2016,ES4,1,2
2020,NUTS,2016,ES41,2,2
2020,NUTS,2016,ES413,3,2
2020,NUTS,2016,ES5,1,4
2020,NUTS,2016,ES51,2,3
2020,NUTS,2016,ES511,3,3
2020,NUTS,2016,ES52,2,1
2020,NUTS,2016,ES521,3,1
2020,NUTS,2016,ES6,1,2
2020,NUTS,2016,ES62,2,2
2020,NUTS,2016,ES620,3,2
2020,NUTS,2016,FR,0,12
2020,NUTS,2016,FR1,1,7
2020,NUTS,2016,FR10,2,7
2020,NUTS,2016,FR101,3,4
2020,NUTS,2016,FR104,3,3
2020,NUTS,2016,FRI,1,1
2020,NUTS,2016,FRI1,2,1
2020,NUTS,2016,FRI12,3,1
2020,NUTS,2016,FRJ,1,1
2020,NUTS,2016,FRJ1,2,1
2020,NUTS,2016,FRJ13,3,1
2020,NUTS,2016,FRK,1,1
2020,NUTS,2016,FRK2,2,1
2020,NUTS,2016,FRK26,3,1
2020,NUTS,2016,FRL,1,2
2020,NUTS,2016,FRL0,2,2
2020,NUTS,2016,FRL04,3,2
2020,NUTS,2016,HU,0,2
2020,NUTS,2016,HU1,1,1
2020,NUTS,2016,HU11,2,1
2020,NUTS,2016,HU110,3,1
2020,NUTS,2016,HU3,1,1
2020,NUTS,2016,HU33,2,1
2020,NUTS,2016,HU333,3,1
2020,NUTS,2016,IE,0,9
2020,NUTS,2016,IE0,1,9
2020,NUTS,2016,IE05,2,1
2020,NUTS,2016,IE053,3,1
2020,NUTS,2016,IE06,2,8
2020,NUTS,2016,IE061,3,8
2020,NUTS,2016,IS,0,1
2020,NUTS,2016,IS0,1,1
2020,NUTS,2016,IS00,2,1
2020,NUTS,2016,IS001,3,1
2020,NUTS,2016,IT,0,26
2020,NUTS,2016,ITC,1,16
2020,NUTS,2016,ITC1,2,6
2020,NUTS,2016,ITC11,3,6
