year,region_type,region_year_spec,region_id,region_level,impact_studies_count
2018,NUTS,2016,FR,0,1
2018,NUTS,2016,FR1,1,1
2018,NUTS,2016,FR10,2,1
2018,NUTS,2016,FR101,3,1
2019,NUTS,2016,ES,0,1
2019,NUTS,2016,ES3,1,1
2019,NUTS,2016,ES30,2,1
2019,NUTS,2016,ES300,3,1
2019,NUTS,2016,NL,0,1
2019,NUTS,2016,NL3,1,1
2019,NUTS,2016,NL33,2,1
2019,NUTS,2016,NL337,3,1
2020,NUTS,2016,AT,0,2
2020,NUTS,2016,AT1,1,2
2020,NUTS,2016,AT13,2,2
2020,NUTS,2016,AT130,3,2
2020,NUTS,2016,BE,0,5
2020,NUTS,2016,BE2,1,5
2020,NUTS,2016,BE21,2,2
2020,NUTS,2016,BE213,3,2
2020,NUTS,2016,BE24,2,3
2020,NUTS,2016,BE242,3,3
2020,NUTS,2016,BG,0,1
2020,NUTS,2016,BG4,1,1
2020,NUTS,2016,BG41,2,1
2020,NUTS,2016,BG411,3,1
2020,NUTS,2016,CH,0,14
2020,NUTS,2016,CH0,1,14
2020,NUTS,2016,CH01,2,6
2020,NUTS,2016,CH011,3,2
2020,NUTS,2016,CH013,3,4
2020,NUTS,2016,CH02,2,3
2020,NUTS,2016,CH021,3,3
2020,NUTS,2016,CH03,2,2
2020,NUTS,2016,CH031,3,1
2020,NUTS,2016,CH033,3,1
2020,NUTS,2016,CH04,2,3
2020,NUTS,2016,CH040,3,3
2020,NUTS,2016,CZ,0,4
2020,NUTS,2016,CZ0,1,4
2020,NUTS,2016,CZ01,2,1
2020,NUTS,2016,CZ010,3,1
2020,NUTS,2016,CZ06,2,3
2020,NUTS,2016,CZ064,3,3
2020,NUTS,2016,DE,0,44
2020,NUTS,2016,DE1,1,9
2020,NUTS,2016,DE12,2,4
2020,NUTS,2016,DE125,3,4
2020,NUTS,2016,DE14,2,5
2020,NUTS,2016,DE144,3,5
2020,NUTS,2016,DE2,1,7
2020,NUTS,2016,DE21,2,4
2020,NUTS,2016,DE212,3,4
2020,NUTS,2016,DE23,2,1
2020,NUTS,2016,DE232,3,1
2020,NUTS,2016,DE25,2,1
2020,NUTS,2016,DE252,3,1
2020,NUTS,2016,DE26,2,1
2020,NUTS,2016,DE263,3,1
2020,NUTS,2016,DE3,1,6
2020,NUTS,2016,DE30,2,6
2020,NUTS,2016,DE300,3,6
2020,NUTS,2016,DE7,1,11
2020,NUTS,2016,DE71,2,6
2020,NUTS,2016,DE712,3,4
2020,NUTS,2016,DE71C,3,2
2020,NUTS,2016,DE72,2,4
2020,NUTS,2016,DE721,3,2
2020,NUTS,2016,DE724,3,2
2020,NUTS,2016,DE73,2,1
2020,NUTS,2016,DE731,3,1
2020,NUTS,2016,DE9,1,3
2020,NUTS,2016,DE91,2,3
2020,NUTS,2016,DE91C,3,3
2020,NUTS,2016,DEA,1,7
2020,NUTS,2016,DEA1,2,2
2020,NUTS,2016,DEA13,3,2
2020,NUTS,2016,DEA2,2,2
2020,NUTS,2016,DEA22,3,2
2020,NUTS,2016,DEA3,2,2
2020,NUTS,2016,DEA33,3,2
2020,NUTS,2016,DEA5,2,1
2020,NUTS,2016,DEA51,3,1
2020,NUTS,2016,DED,1,1
2020,NUTS,2016,DED4,2,1
2020,NUTS,2016,DED41,3,1
2020,NUTS,2016,DK,0,9
2020,NUTS,2016,DK0,1,9
2020,NUTS,2016,DK01,2,4
2020,NUTS,2016,DK011,3,4
2020,NUTS,2016,DK04,2,5
2020,NUTS,2016,DK042,3,5
2020,NUTS,2016,EE,0,3
2020,NUTS,2016,EE0,1,3
2020,NUTS,2016,EE00,2,3
2020,NUTS,2016,EE008,3,3
2020,NUTS,2016,ES,0,8
2020,NUTS,2016,ES2,1,1
2020,NUTS,2016,ES24,2,1
2020,NUTS,2016,ES243,3,1
2020,NUTS,2016,ES3,1,7
2020,NUTS,2016,ES30,2,7
2020,NUTS,2016,ES300,3,7
2020,NUTS,2016,FI,0,4
2020,NUTS,2016,FI1,1,4
2020,NUTS,2016,FI1B,2,4
2020,NUTS,2016,FI1B1,3,4
2020,NUTS,2016,FR,0,16
2020,NUTS,2016,FR1,1,8
2020,NUTS,2016,FR10,2,8
2020,NUTS,2016,FR101,3,3
2020,NUTS,2016,FR104,3,5
2020,NUTS,2016,FRE,1,1
2020,NUTS,2016,FRE1,2,1
