year,region_type,region_year_spec,region_id,region_level,hospitalisation_count
2020,NUTS,2016,AT,0,6
2020,NUTS,2016,AT1,1,2
2020,NUTS,2016,AT13,2,2
2020,NUTS,2016,AT130,3,2
2020,NUTS,2016,AT2,1,2
2020,NUTS,2016,AT22,2,2
2020,NUTS,2016,AT221,3,2
2020,NUTS,2016,AT3,1,2
2020,NUTS,2016,AT31,2,1
2020,NUTS,2016,AT312,3,1
2020,NUTS,2016,AT33,2,1
2020,NUTS,2016,AT332,3,1
2020,NUTS,2016,BE,0,7
2020,NUTS,2016,BE2,1,6
2020,NUTS,2016,BE21,2,4
2020,NUTS,2016,BE213,3,4
2020,NUTS,2016,BE23,2,2
2020,NUTS,2016,BE234,3,2
2020,NUTS,2016,BE3,1,1
2020,NUTS,2016,BE32,2,1
2020,NUTS,2016,BE323,3,1
2020,NUTS,2016,CH,0,22
2020,NUTS,2016,CH0,1,22
2020,NUTS,2016,CH01,2,8
2020,NUTS,2016,CH011,3,4
2020,NUTS,2016,CH013,3,4
2020,NUTS,2016,CH02,2,5
2020,NUTS,2016,CH021,3,4
2020,NUTS,2016,CH022,3,1
2020,NUTS,2016,CH03,2,2
2020,NUTS,2016,CH031,3,2
2020,NUTS,2016,CH04,2,5
2020,NUTS,2016,CH040,3,5
2020,NUTS,2016,CH05,2,2
2020,NUTS,2016,CH055,3,2
2020,NUTS,2016,CY,0,2
2020,NUTS,2016,CY0,1,2
2020,NUTS,2016,CY00,2,2
2020,NUTS,2016,CY000,3,2
2020,NUTS,2016,CZ,0,3
2020,NUTS,2016,CZ0,1,3
2020,NUTS,2016,CZ01,2,3
2020,NUTS,2016,CZ010,3,3
2020,NUTS,2016,DE,0,21
2020,NUTS,2016,DE1,1,5
2020,NUTS,2016,DE12,2,2
2020,NUTS,2016,DE125,3,2
2020,NUTS,2016,DE13,2,3
2020,NUTS,2016,DE131,3,3
2020,NUTS,2016,DE2,1,2
2020,NUTS,2016,DE21,2,1
2020,NUTS,2016,DE212,3,1
2020,NUTS,2016,DE25,2,1
2020,NUTS,2016,DE252,3,1
2020,NUTS,2016,DE3,1,5
2020,NUTS,2016,DE30,2,5
2020,NUTS,2016,DE300,3,5
2020,NUTS,2016,DE6,1,2
2020,NUTS,2016,DE60,2,2
2020,NUTS,2016,DE600,3,2
2020,NUTS,2016,DE7,1,1
2020,NUTS,2016,DE72,2,1
2020,NUTS,2016,DE721,3,1
2020,NUTS,2016,DE9,1,1
2020,NUTS,2016,DE92,2,1
2020,NUTS,2016,DE929,3,1
2020,NUTS,2016,DEA,1,2
2020,NUTS,2016,DEA3,2,2
2020,NUTS,2016,DEA33,3,2
2020,NUTS,2016,DED,1,3
2020,NUTS,2016,DED4,2,2
2020,NUTS,2016,DED41,3,2
2020,NUTS,2016,DED5,2,1
2020,NUTS,2016,DED51,3,1
2020,NUTS,2016,DK,0,14
2020,NUTS,2016,DK0,1,14
2020,NUTS,2016,DK01,2,10
2020,NUTS,2016,DK011,3,10
2020,NUTS,2016,DK03,2,2
2020,NUTS,2016,DK031,3,2
2020,NUTS,2016,DK04,2,2
2020,NUTS,2016,DK042,3,2
2020,NUTS,2016,EL,0,5
2020,NUTS,2016,EL3,1,4
2020,NUTS,2016,EL30,2,4
2020,NUTS,2016,EL303,3,4
2020,NUTS,2016,EL5,1,1
2020,NUTS,2016,EL54,2,1
2020,NUTS,2016,EL543,3,1
2020,NUTS,2016,ES,0,38
2020,NUTS,2016,ES2,1,1
2020,NUTS,2016,ES22,2,1
2020,NUTS,2016,ES220,3,1
2020,NUTS,2016,ES3,1,13
2020,NUTS,2016,ES30,2,13
2020,NUTS,2016,ES300,3,13
2020,NUTS,2016,ES4,1,6
2020,NUTS,2016,ES41,2,6
2020,NUTS,2016,ES415,3,6
2020,NUTS,2016,ES5,1,14
2020,NUTS,2016,ES51,2,12
2020,NUTS,2016,ES511,3,12
2020,NUTS,2016,ES52,2,2
2020,NUTS,2016,ES521,3,1
2020,NUTS,2016,ES523,3,1
2020,NUTS,2016,ES6,1,4
2020,NUTS,2016,ES61,2,2
2020,NUTS,2016,ES617,3,1
2020,NUTS,2016,ES618,3,1
2020,NUTS,2016,ES62,2,2
2020,NUTS,2016,ES620,3,2
2020,NUTS,2016,FI,0,7
2020,NUTS,2016,FI1,1,7
2020,NUTS,2016,FI1B,2,2
2020,NUTS,2016,FI1B1,3,2
2020,NUTS,2016,FI1C,2,3
2020,NUTS,2016,FI1C1,3,3
2020,NUTS,2016,FI1D,2,2
2020,NUTS,2016,FI1D9,3,2
2020,NUTS,2016,FR,0,3
2020,NUTS,2016,FR1,1,2
2020,NUTS,2016,FR10,2,2
2020,NUTS,2016,FR104,3,2
2020,NUTS,2016,FRK,1,1
2020,NUTS,2016,FRK2,2,1
2020,NUTS,2016,FRK26,3,1
2020,NUTS,2016,HR,0,1
2020,NUTS,2016,HR0,1,1
2020,NUTS,2016,HR03,2,1
2020,NUTS,2016,HR035,3,1
2020,NUTS,2016,IE,0,3
2020,NUTS,2016,IE0,1,3
2020,NUTS,2016,IE05,2,2
2020,NUTS,2016,IE051,3,1
2020,NUTS,2016,IE053,3,1
2020,NUTS,2016,IE06,2,1
2020,NUTS,2016,IE061,3,1
2020,NUTS,2016,IS,0,1
2020,NUTS,2016,IS0,1,1
2020,NUTS,2016,IS00,2,1
2020,NUTS,2016,IS001,3,1
2020,NUTS,2016,IT,0,22
2020,NUTS,2016,ITC,1,6
2020,NUTS,2016,ITC1,2,1
2020,NUTS,2016,ITC11,3,1
2020,NUTS,2016,ITC4,2,5
2020,NUTS,2016,ITC47,3,1
2020,NUTS,2016,ITC48,3,1
2020,NUTS,2016,ITC4C,3,3
2020,NUTS,2016,ITF,1,1
2020,NUTS,2016,ITF6,2,1
2020,NUTS,2016,ITF63,3,1
2020,NUTS,2016,ITG,1,1
2020,NUTS,2016,ITG1,2,1
2020,NUTS,2016,ITG13,3,1
2020,NUTS,2016,ITH,1,4
2020,NUTS,2016,ITH5,2,4
2020,NUTS,2016,ITH52,3,1
2020,NUTS,2016,ITH55,3,2
2020,NUTS,2016,ITH56,3,1
2020,NUTS,2016,ITI,1,10
2020,NUTS,2016,ITI1,2,8
2020,NUTS,2016,ITI14,3,6
2020,NUTS,2016,ITI17,3,1
2020,NUTS,2016,ITI19,3,1
2020,NUTS,2016,ITI4,2,2
2020,NUTS,2016,ITI43,3,2
2020,NUTS,2016,LT,0,3
2020,NUTS,2016,LT0,1,3
2020,NUTS,2016,LT01,2,3
2020,NUTS,2016,LT011,3,3
2020,NUTS,2016,LV,0,1
2020,NUTS,2016,LV0,1,1
2020,NUTS,2016,LV00,2,1
2020,NUTS,2016,LV006,3,1
2020,NUTS,2016,NL,0,21
2020,NUTS,2016,NL1,1,3
