year,region_type,region_year_spec,region_id,region_level,serology_count
2020,NUTS,2016,AT,0,8
2020,NUTS,2016,AT1,1,6
2020,NUTS,2016,AT12,2,1
2020,NUTS,2016,AT126,3,1
2020,NUTS,2016,AT13,2,5
2020,NUTS,2016,AT130,3,5
2020,NUTS,2016,AT3,1,2
2020,NUTS,2016,AT33,2,2
2020,NUTS,2016,AT332,3,2
2020,NUTS,2016,BE,0,8
2020,NUTS,2016,BE1,1,1
2020,NUTS,2016,BE10,2,1
2020,NUTS,2016,BE100,3,1
2020,NUTS,2016,BE2,1,7
2020,NUTS,2016,BE21,2,4
2020,NUTS,2016,BE211,3,4
2020,NUTS,2016,BE23,2,3
2020,NUTS,2016,BE234,3,3
2020,NUTS,2016,CH,0,25
2020,NUTS,2016,CH0,1,25
2020,NUTS,2016,CH01,2,14
2020,NUTS,2016,CH011,3,4
2020,NUTS,2016,CH013,3,10
2020,NUTS,2016,CH02,2,3
2020,NUTS,2016,CH021,3,2
2020,NUTS,2016,CH025,3,1
2020,NUTS,2016,CH03,2,3
2020,NUTS,2016,CH031,3,2
2020,NUTS,2016,CH033,3,1
2020,NUTS,2016,CH04,2,3
2020,NUTS,2016,CH040,3,3
2020,NUTS,2016,CH05,2,2
2020,NUTS,2016,CH055,3,2
2020,NUTS,2016,CY,0,1
2020,NUTS,2016,CY0,1,1
2020,NUTS,2016,CY00,2,1
2020,NUTS,2016,CY000,3,1
2020,NUTS,2016,CZ,0,1
2020,NUTS,2016,CZ0,1,1
2020,NUTS,2016,CZ01,2,1
2020,NUTS,2016,CZ010,3,1
2020,NUTS,2016,DE,0,40
2020,NUTS,2016,DE1,1,2
2020,NUTS,2016,DE12,2,2
2020,NUTS,2016,DE125,3,2
2020,NUTS,2016,DE2,1,6
2020,NUTS,2016,DE21,2,2
2020,NUTS,2016,DE212,3,2
2020,NUTS,2016,DE27,2,4
2020,NUTS,2016,DE271,3,4
2020,NUTS,2016,DE3,1,13
2020,NUTS,2016,DE30,2,13
2020,NUTS,2016,DE300,3,13
2020,NUTS,2016,DE6,1,4
2020,NUTS,2016,DE60,2,4
2020,NUTS,2016,DE600,3,4
2020,NUTS,2016,DE7,1,5
2020,NUTS,2016,DE71,2,3
2020,NUTS,2016,DE712,3,3
2020,NUTS,2016,DE72,2,2
2020,NUTS,2016,DE724,3,2
2020,NUTS,2016,DE9,1,3
2020,NUTS,2016,DE92,2,3
2020,NUTS,2016,DE929,3,3
2020,NUTS,2016,DEA,1,3
2020,NUTS,2016,DEA1,2,1
2020,NUTS,2016,DEA13,3,1
2020,NUTS,2016,DEA2,2,2
2020,NUTS,2016,DEA22,3,2
2020,NUTS,2016,DED,1,2
2020,NUTS,2016,DED4,2,2
2020,NUTS,2016,DED41,3,2
2020,NUTS,2016,DEE,1,2
2020,NUTS,2016,DEE0,2,2
2020,NUTS,2016,DEE02,3,1
2020,NUTS,2016,DEE03,3,1
2020,NUTS,2016,DK,0,16
2020,NUTS,2016,DK0,1,16
2020,NUTS,2016,DK01,2,8
2020,NUTS,2016,DK011,3,8
2020,NUTS,2016,DK03,2,3
2020,NUTS,2016,DK031,3,3
2020,NUTS,2016,DK04,2,3
2020,NUTS,2016,DK042,3,3
2020,NUTS,2016,DK05,2,2
2020,NUTS,2016,DK050,3,2
2020,NUTS,2016,EE,0,4
2020,NUTS,2016,EE0,1,4
2020,NUTS,2016,EE00,2,4
2020,NUTS,2016,EE001,3,1
2020,NUTS,2016,EE008,3,3
2020,NUTS,2016,EL,0,5
2020,NUTS,2016,EL3,1,4
2020,NUTS,2016,EL30,2,4
2020,NUTS,2016,EL303,3,4
2020,NUTS,2016,EL6,1,1
2020,NUTS,2016,EL61,2,1
2020,NUTS,2016,EL613,3,1
2020,NUTS,2016,ES,0,10
2020,NUTS,2016,ES3,1,5
2020,NUTS,2016,ES30,2,5
2020,NUTS,2016,ES300,3,5
2020,NUTS,2016,ES5,1,5
2020,NUTS,2016,ES51,2,4
2020,NUTS,2016,ES511,3,4
2020,NUTS,2016,ES52,2,1
2020,NUTS,2016,ES523,3,1
2020,NUTS,2016,FI,0,5
2020,NUTS,2016,FI1,1,5
2020,NUTS,2016,FI1B,2,5
2020,NUTS,2016,FI1B1,3,5
2020,NUTS,2016,FR,0,21
2020,NUTS,2016,FR1,1,12
2020,NUTS,2016,FR10,2,12
2020,NUTS,2016,FR101,3,3
2020,NUTS,2016,FR104,3,9
2020,NUTS,2016,FRF,1,2
2020,NUTS,2016,FRF1,2,2
2020,NUTS,2016,FRF11,3,2
2020,NUTS,2016,FRJ,1,2
2020,NUTS,2016,FRJ1,2,2
2020,NUTS,2016,FRJ13,3,2
2020,NUTS,2016,FRK,1,1
2020,NUTS,2016,FRK2,2,1
2020,NUTS,2016,FRK26,3,1
2020,NUTS,2016,FRL,1,4
2020,NUTS,2016,FRL0,2,4
2020,NUTS,2016,FRL04,3,4
2020,NUTS,2016,HR,0,4
2020,NUTS,2016,HR0,1,4
2020,NUTS,2016,HR03,2,3
2020,NUTS,2016,HR031,3,1
2020,NUTS,2016,HR035,3,2
2020,NUTS,2016,HR04,2,1
2020,NUTS,2016,HR041,3,1
2020,NUTS,2016,HU,0,2
2020,NUTS,2016,HU1,1,1
2020,NUTS,2016,HU11,2,1
2020,NUTS,2016,HU110,3,1
2020,NUTS,2016,HU2,1,1
2020,NUTS,2016,HU23,2,1
2020,NUTS,2016,HU231,3,1
2020,NUTS,2016,IE,0,3
2020,NUTS,2016,IE0,1,3
2020,NUTS,2016,IE05,2,1
2020,NUTS,2016,IE051,3,1
2020,NUTS,2016,IE06,2,2
2020,NUTS,2016,IE061,3,2
2020,NUTS,2016,IT,0,33
2020,NUTS,2016,ITC,1,14
2020,NUTS,2016,ITC1,2,1
2020,NUTS,2016,ITC11,3,1
2020,NUTS,2016,ITC3,2,1
2020,NUTS,2016,ITC33,3,1
2020,NUTS,2016,ITC4,2,12
2020,NUTS,2016,ITC47,3,1
2020,NUTS,2016,ITC4C,3,11
2020,NUTS,2016,ITF,1,4
2020,NUTS,2016,ITF4,2,4
2020,NUTS,2016,ITF46,3,1
2020,NUTS,2016,ITF47,3,3
2020,NUTS,2016,ITG,1,1
2020,NUTS,2016,ITG1,2,1
2020,NUTS,2016,ITG13,3,1
2020,NUTS,2016,ITH,1,9
2020,NUTS,2016,ITH3,2,7
2020,NUTS,2016,ITH31,3,2
2020,NUTS,2016,ITH36,3,5
2020,NUTS,2016,ITH5,2,2
2020,NUTS,2016,ITH55,3,2
2020,NUTS,2016,ITI,1,5
2020,NUTS,2016,ITI1,2,5
2020,NUTS,2016,ITI14,3,3
2020,NUTS,2016,ITI17,3,1
2020,NUTS,2016,ITI19,3,1
2020,NUTS,2016,LU,0,2
2020,NUTS,2016,LU0,1,2
2020,NUTS,2016,LU00,2,2
2020,NUTS,2016,LU000,3,2
2020,NUTS,2016,LV,0,1
2020,NUTS,2016,LV0,1,1
2020,NUTS,2016,LV00,2,1
2020,NUTS,2016,LV006,3,1
2020,NUTS,2016,NL,0,17
2020,NUTS,2016,NL2,1,2
2020,NUTS,2016,NL22,2,2
2020,NUTS,2016,NL226,3,2
2020,NUTS,2016,NL3,1,14
2020,NUTS,2016,NL31,2,7
2020,NUTS,2016,NL310,3,7
2020,NUTS,2016,NL32,2,3
2020,NUTS,2016,NL329,3,3
2020,NUTS,2016,NL33,2,4
2020,NUTS,2016,NL337,3,1
