year,region_type,region_year_spec,region_id,region_level,social_media_count
2020,NUTS,2016,AT,0,8
2020,NUTS,2016,AT1,1,4
2020,NUTS,2016,AT13,2,4
2020,NUTS,2016,AT130,3,4
2020,NUTS,2016,AT2,1,1
2020,NUTS,2016,AT22,2,1
2020,NUTS,2016,AT221,3,1
2020,NUTS,2016,AT3,1,3
2020,NUTS,2016,AT31,2,1
2020,NUTS,2016,AT312,3,1
2020,NUTS,2016,AT33,2,2
2020,NUTS,2016,AT332,3,2
2020,NUTS,2016,BE,0,3
2020,NUTS,2016,BE2,1,3
2020,NUTS,2016,BE21,2,3
2020,NUTS,2016,BE213,3,3
2020,NUTS,2016,CH,0,17
2020,NUTS,2016,CH0,1,17
2020,NUTS,2016,CH01,2,6
2020,NUTS,2016,CH011,3,4
2020,NUTS,2016,CH013,3,2
2020,NUTS,2016,CH04,2,9
2020,NUTS,2016,CH040,3,9
2020,NUTS,2016,CH05,2,1
2020,NUTS,2016,CH055,3,1
2020,NUTS,2016,CH07,2,1
2020,NUTS,2016,CH070,3,1
2020,NUTS,2016,CY,0,1
2020,NUTS,2016,CY0,1,1
2020,NUTS,2016,CY00,2,1
2020,NUTS,2016,CY000,3,1
2020,NUTS,2016,DE,0,59
2020,NUTS,2016,DE1,1,9
2020,NUTS,2016,DE12,2,4
2020,NUTS,2016,DE122,3,1
2020,NUTS,2016,DE125,3,2
2020,NUTS,2016,DE126,3,1
2020,NUTS,2016,DE13,2,2
2020,NUTS,2016,DE134,3,1
2020,NUTS,2016,DE138,3,1
2020,NUTS,2016,DE14,2,3
2020,NUTS,2016,DE142,3,2
2020,NUTS,2016,DE144,3,1
2020,NUTS,2016,DE2,1,7
2020,NUTS,2016,DE21,2,7
2020,NUTS,2016,DE212,3,6
2020,NUTS,2016,DE21H,3,1
2020,NUTS,2016,DE3,1,8
2020,NUTS,2016,DE30,2,8
2020,NUTS,2016,DE300,3,8
2020,NUTS,2016,DE5,1,3
2020,NUTS,2016,DE50,2,3
2020,NUTS,2016,DE501,3,3
2020,NUTS,2016,DE6,1,1
2020,NUTS,2016,DE60,2,1
2020,NUTS,2016,DE600,3,1
2020,NUTS,2016,DE7,1,1
2020,NUTS,2016,DE72,2,1
2020,NUTS,2016,DE721,3,1
2020,NUTS,2016,DE8,1,1
2020,NUTS,2016,DE80,2,1
2020,NUTS,2016,DE803,3,1
2020,NUTS,2016,DE9,1,2
2020,NUTS,2016,DE91,2,2
2020,NUTS,2016,DE911,3,1
2020,NUTS,2016,DE91C,3,1
2020,NUTS,2016,DEA,1,18
2020,NUTS,2016,DEA1,2,4
2020,NUTS,2016,DEA13,3,4
2020,NUTS,2016,DEA2,2,9
2020,NUTS,2016,DEA22,3,4
2020,NUTS,2016,DEA2C,3,4
2020,NUTS,2016,DEA2D,3,1
2020,NUTS,2016,DEA3,2,2
2020,NUTS,2016,DEA33,3,2
2020,NUTS,2016,DEA4,2,2
2020,NUTS,2016,DEA41,3,1
2020,NUTS,2016,DEA47,3,1
2020,NUTS,2016,DEA5,2,1
2020,NUTS,2016,DEA51,3,1
2020,NUTS,2016,DEB,1,2
2020,NUTS,2016,DEB3,2,2
2020,NUTS,2016,DEB32,3,2
2020,NUTS,2016,DED,1,7
2020,NUTS,2016,DED4,2,7
2020,NUTS,2016,DED41,3,7
2020,NUTS,2016,DK,0,5
2020,NUTS,2016,DK0,1,5
2020,NUTS,2016,DK01,2,4
2020,NUTS,2016,DK011,3,1
2020,NUTS,2016,DK012,3,3
2020,NUTS,2016,DK03,2,1
2020,NUTS,2016,DK031,3,1
2020,NUTS,2016,EE,0,2
2020,NUTS,2016,EE0,1,2
2020,NUTS,2016,EE00,2,2
2020,NUTS,2016,EE008,3,2
2020,NUTS,2016,EL,0,3
2020,NUTS,2016,EL3,1,2
2020,NUTS,2016,EL30,2,2
2020,NUTS,2016,EL303,3,2
2020,NUTS,2016,EL5,1,1
2020,NUTS,2016,EL52,2,1
2020,NUTS,2016,EL522,3,1
2020,NUTS,2016,ES,0,7
2020,NUTS,2016,ES1,1,1
2020,NUTS,2016,ES12,2,1
2020,NUTS,2016,ES120,3,1
2020,NUTS,2016,ES2,1,1
2020,NUTS,2016,ES22,2,1
2020,NUTS,2016,ES220,3,1
