year,region_type,region_year_spec,region_id,region_level,biorxiv_count
2011,NUTS,2010,SE,0,1
2011,NUTS,2010,SE1,1,1
2011,NUTS,2010,SE12,2,1
2011,NUTS,2010,SE121,3,1
2011,NUTS,2010,UK,0,1
2011,NUTS,2010,UKJ,1,1
2011,NUTS,2010,UKJ2,2,1
2011,NUTS,2010,UKJ21,3,1
2012,NUTS,2010,IT,0,1
2012,NUTS,2010,ITH,1,1
2012,NUTS,2010,ITH4,2,1
2012,NUTS,2010,ITH42,3,1
2012,NUTS,2010,SE,0,1
2012,NUTS,2010,SE2,1,1
2012,NUTS,2010,SE23,2,1
2012,NUTS,2010,SE232,3,1
2013,NUTS,2013,CH,0,1
2013,NUTS,2013,CH0,1,1
2013,NUTS,2013,CH01,2,1
2013,NUTS,2013,CH011,3,1
2013,NUTS,2013,DE,0,9
2013,NUTS,2013,DE1,1,2
2013,NUTS,2013,DE12,2,2
2013,NUTS,2013,DE125,3,2
2013,NUTS,2013,DE2,1,4
2013,NUTS,2013,DE21,2,3
2013,NUTS,2013,DE212,3,3
2013,NUTS,2013,DE26,2,1
2013,NUTS,2013,DE263,3,1
2013,NUTS,2013,DE3,1,1
2013,NUTS,2013,DE30,2,1
2013,NUTS,2013,DE300,3,1
2013,NUTS,2013,DEA,1,1
2013,NUTS,2013,DEA2,2,1
2013,NUTS,2013,DEA23,3,1
2013,NUTS,2013,DED,1,1
2013,NUTS,2013,DED4,2,1
2013,NUTS,2013,DED43,3,1
2013,NUTS,2013,ES,0,1
2013,NUTS,2013,ES3,1,1
2013,NUTS,2013,ES30,2,1
2013,NUTS,2013,ES300,3,1
2013,NUTS,2013,FR,0,3
2013,NUTS,2013,FR1,1,3
2013,NUTS,2013,FR10,2,3
2013,NUTS,2013,FR101,3,3
2013,NUTS,2013,IE,0,1
2013,NUTS,2013,IE0,1,1
2013,NUTS,2013,IE02,2,1
2013,NUTS,2013,IE021,3,1
2013,NUTS,2013,IT,0,4
2013,NUTS,2013,ITC,1,1
2013,NUTS,2013,ITC4,2,1
2013,NUTS,2013,ITC4C,3,1
2013,NUTS,2013,ITH,1,1
2013,NUTS,2013,ITH2,2,1
2013,NUTS,2013,ITH20,3,1
2013,NUTS,2013,ITI,1,2
2013,NUTS,2013,ITI1,2,2
2013,NUTS,2013,ITI14,3,2
2013,NUTS,2013,SE,0,2
2013,NUTS,2013,SE2,1,2
2013,NUTS,2013,SE22,2,2
2013,NUTS,2013,SE224,3,2
2013,NUTS,2013,TR,0,1
2013,NUTS,2013,TR6,1,1
2013,NUTS,2013,TR62,2,1
2013,NUTS,2013,TR622,3,1
2013,NUTS,2013,UK,0,21
2013,NUTS,2013,UKC,1,1
2013,NUTS,2013,UKC2,2,1
2013,NUTS,2013,UKC22,3,1
2013,NUTS,2013,UKE,1,3
2013,NUTS,2013,UKE2,2,1
2013,NUTS,2013,UKE21,3,1
2013,NUTS,2013,UKE3,2,2
2013,NUTS,2013,UKE32,3,2
2013,NUTS,2013,UKF,1,1
2013,NUTS,2013,UKF1,2,1
2013,NUTS,2013,UKF14,3,1
2013,NUTS,2013,UKH,1,5
2013,NUTS,2013,UKH1,2,4
2013,NUTS,2013,UKH12,3,4
2013,NUTS,2013,UKH3,2,1
2013,NUTS,2013,UKH34,3,1
2013,NUTS,2013,UKI,1,5
2013,NUTS,2013,UKI3,2,4
2013,NUTS,2013,UKI32,3,2
2013,NUTS,2013,UKI33,3,2
2013,NUTS,2013,UKI4,2,1
2013,NUTS,2013,UKI42,3,1
2013,NUTS,2013,UKJ,1,3
2013,NUTS,2013,UKJ1,2,2
2013,NUTS,2013,UKJ14,3,2
2013,NUTS,2013,UKJ2,2,1
2013,NUTS,2013,UKJ22,3,1
2013,NUTS,2013,UKK,1,1
2013,NUTS,2013,UKK1,2,1
2013,NUTS,2013,UKK11,3,1
2013,NUTS,2013,UKM,1,2
2013,NUTS,2013,UKM2,2,2
2013,NUTS,2013,UKM21,3,1
2013,NUTS,2013,UKM25,3,1
2014,NUTS,2013,AT,0,7
2014,NUTS,2013,AT1,1,6
2014,NUTS,2013,AT12,2,2
2014,NUTS,2013,AT124,3,1
2014,NUTS,2013,AT126,3,1
2014,NUTS,2013,AT13,2,4
2014,NUTS,2013,AT130,3,4
2014,NUTS,2013,AT3,1,1
2014,NUTS,2013,AT31,2,1
2014,NUTS,2013,AT312,3,1
2014,NUTS,2013,BE,0,5
2014,NUTS,2013,BE2,1,3
2014,NUTS,2013,BE21,2,1
2014,NUTS,2013,BE211,3,1
2014,NUTS,2013,BE23,2,2
2014,NUTS,2013,BE234,3,2
2014,NUTS,2013,BE3,1,2
2014,NUTS,2013,BE31,2,1
2014,NUTS,2013,BE310,3,1
2014,NUTS,2013,BE33,2,1
2014,NUTS,2013,BE332,3,1
2014,NUTS,2013,CH,0,49
2014,NUTS,2013,CH0,1,49
2014,NUTS,2013,CH01,2,33
2014,NUTS,2013,CH011,3,19
2014,NUTS,2013,CH013,3,14
2014,NUTS,2013,CH02,2,4
2014,NUTS,2013,CH021,3,2
2014,NUTS,2013,CH022,3,2
2014,NUTS,2013,CH03,2,2
2014,NUTS,2013,CH031,3,2
2014,NUTS,2013,CH04,2,10
2014,NUTS,2013,CH040,3,10
2014,NUTS,2013,CZ,0,2
2014,NUTS,2013,CZ0,1,2
2014,NUTS,2013,CZ01,2,1
2014,NUTS,2013,CZ010,3,1
2014,NUTS,2013,CZ06,2,1
2014,NUTS,2013,CZ064,3,1
2014,NUTS,2013,DE,0,70
2014,NUTS,2013,DE1,1,12
2014,NUTS,2013,DE11,2,3
2014,NUTS,2013,DE111,3,3
2014,NUTS,2013,DE12,2,4
2014,NUTS,2013,DE125,3,4
2014,NUTS,2013,DE13,2,1
2014,NUTS,2013,DE131,3,1
2014,NUTS,2013,DE14,2,4
2014,NUTS,2013,DE142,3,3
2014,NUTS,2013,DE144,3,1
2014,NUTS,2013,DE2,1,40
2014,NUTS,2013,DE21,2,40
2014,NUTS,2013,DE212,3,39
2014,NUTS,2013,DE21H,3,1
2014,NUTS,2013,DE3,1,2
2014,NUTS,2013,DE30,2,2
2014,NUTS,2013,DE300,3,2
2014,NUTS,2013,DE7,1,4
2014,NUTS,2013,DE71,2,1
2014,NUTS,2013,DE712,3,1
2014,NUTS,2013,DE73,2,3
2014,NUTS,2013,DE731,3,3
2014,NUTS,2013,DEA,1,4
2014,NUTS,2013,DEA2,2,3
