year,region_type,region_year_spec,region_id,region_level,airborne_count
2020,NUTS,2016,AT,0,2
2020,NUTS,2016,AT1,1,2
2020,NUTS,2016,AT13,2,2
2020,NUTS,2016,AT130,3,2
2020,NUTS,2016,BE,0,8
2020,NUTS,2016,BE2,1,2
2020,NUTS,2016,BE23,2,2
2020,NUTS,2016,BE234,3,2
2020,NUTS,2016,BE3,1,6
2020,NUTS,2016,BE31,2,1
2020,NUTS,2016,BE310,3,1
2020,NUTS,2016,BE33,2,3
2020,NUTS,2016,BE332,3,3
2020,NUTS,2016,BE35,2,2
2020,NUTS,2016,BE352,3,2
2020,NUTS,2016,BG,0,1
2020,NUTS,2016,BG4,1,1
2020,NUTS,2016,BG41,2,1
2020,NUTS,2016,BG411,3,1
2020,NUTS,2016,CH,0,8
2020,NUTS,2016,CH0,1,8
2020,NUTS,2016,CH01,2,2
2020,NUTS,2016,CH011,3,1
2020,NUTS,2016,CH013,3,1
2020,NUTS,2016,CH02,2,1
2020,NUTS,2016,CH021,3,1
2020,NUTS,2016,CH04,2,5
2020,NUTS,2016,CH040,3,5
2020,NUTS,2016,CY,0,1
2020,NUTS,2016,CY0,1,1
2020,NUTS,2016,CY00,2,1
2020,NUTS,2016,CY000,3,1
2020,NUTS,2016,DE,0,25
2020,NUTS,2016,DE1,1,4
2020,NUTS,2016,DE13,2,1
2020,NUTS,2016,DE131,3,1
2020,NUTS,2016,DE14,2,3
2020,NUTS,2016,DE142,3,2
2020,NUTS,2016,DE144,3,1
2020,NUTS,2016,DE2,1,5
2020,NUTS,2016,DE21,2,3
2020,NUTS,2016,DE212,3,3
2020,NUTS,2016,DE25,2,2
2020,NUTS,2016,DE252,3,2
2020,NUTS,2016,DE3,1,7
2020,NUTS,2016,DE30,2,7
2020,NUTS,2016,DE300,3,7
2020,NUTS,2016,DE6,1,1
2020,NUTS,2016,DE60,2,1
2020,NUTS,2016,DE600,3,1
2020,NUTS,2016,DE7,1,3
2020,NUTS,2016,DE71,2,2
2020,NUTS,2016,DE712,3,2
2020,NUTS,2016,DE72,2,1
2020,NUTS,2016,DE724,3,1
2020,NUTS,2016,DEA,1,3
2020,NUTS,2016,DEA1,2,1
2020,NUTS,2016,DEA13,3,1
2020,NUTS,2016,DEA5,2,2
2020,NUTS,2016,DEA51,3,2
2020,NUTS,2016,DED,1,1
2020,NUTS,2016,DED4,2,1
2020,NUTS,2016,DED43,3,1
2020,NUTS,2016,DEE,1,1
2020,NUTS,2016,DEE0,2,1
2020,NUTS,2016,DEE02,3,1
2020,NUTS,2016,EE,0,1
2020,NUTS,2016,EE0,1,1
2020,NUTS,2016,EE00,2,1
2020,NUTS,2016,EE001,3,1
2020,NUTS,2016,EL,0,1
2020,NUTS,2016,EL5,1,1
2020,NUTS,2016,EL51,2,1
2020,NUTS,2016,EL512,3,1
2020,NUTS,2016,ES,0,2
2020,NUTS,2016,ES4,1,1
2020,NUTS,2016,ES41,2,1
2020,NUTS,2016,ES413,3,1
2020,NUTS,2016,ES5,1,1
2020,NUTS,2016,ES51,2,1
2020,NUTS,2016,ES511,3,1
2020,NUTS,2016,FR,0,7
2020,NUTS,2016,FR1,1,4
2020,NUTS,2016,FR10,2,4
2020,NUTS,2016,FR101,3,1
2020,NUTS,2016,FR104,3,3
2020,NUTS,2016,FRI,1,1
2020,NUTS,2016,FRI1,2,1
2020,NUTS,2016,FRI12,3,1
2020,NUTS,2016,FRJ,1,1
2020,NUTS,2016,FRJ1,2,1
2020,NUTS,2016,FRJ13,3,1
2020,NUTS,2016,FRL,1,1
2020,NUTS,2016,FRL0,2,1
2020,NUTS,2016,FRL04,3,1
2020,NUTS,2016,IS,0,2
2020,NUTS,2016,IS0,1,2
2020,NUTS,2016,IS00,2,2
2020,NUTS,2016,IS001,3,2
2020,NUTS,2016,IT,0,20
2020,NUTS,2016,ITC,1,9
2020,NUTS,2016,ITC4,2,9
2020,NUTS,2016,ITC4C,3,9
2020,NUTS,2016,ITF,1,2
2020,NUTS,2016,ITF1,2,1
2020,NUTS,2016,ITF14,3,1
2020,NUTS,2016,ITF4,2,1
2020,NUTS,2016,ITF47,3,1
2020,NUTS,2016,ITH,1,2
2020,NUTS,2016,ITH3,2,2
2020,NUTS,2016,ITH36,3,2
2020,NUTS,2016,ITI,1,7
2020,NUTS,2016,ITI3,2,1
2020,NUTS,2016,ITI32,3,1
2020,NUTS,2016,ITI4,2,6
2020,NUTS,2016,ITI43,3,3
2020,NUTS,2016,ITI45,3,3
2020,NUTS,2016,LU,0,1
2020,NUTS,2016,LU0,1,1
2020,NUTS,2016,LU00,2,1
2020,NUTS,2016,LU000,3,1
2020,NUTS,2016,NL,0,12
2020,NUTS,2016,NL2,1,2
2020,NUTS,2016,NL21,2,2
2020,NUTS,2016,NL213,3,2
2020,NUTS,2016,NL3,1,8
2020,NUTS,2016,NL31,2,1
2020,NUTS,2016,NL310,3,1
2020,NUTS,2016,NL32,2,2
2020,NUTS,2016,NL329,3,2
2020,NUTS,2016,NL33,2,5
2020,NUTS,2016,NL333,3,1
2020,NUTS,2016,NL337,3,1
2020,NUTS,2016,NL33C,3,3
2020,NUTS,2016,NL4,1,2
2020,NUTS,2016,NL41,2,2
2020,NUTS,2016,NL414,3,2
2020,NUTS,2016,NO,0,2
2020,NUTS,2016,NO0,1,2
2020,NUTS,2016,NO01,2,1
2020,NUTS,2016,NO011,3,1
2020,NUTS,2016,NO06,2,1
2020,NUTS,2016,NO060,3,1
2020,NUTS,2016,SE,0,1
2020,NUTS,2016,SE2,1,1
2020,NUTS,2016,SE23,2,1
2020,NUTS,2016,SE232,3,1
2020,NUTS,2016,UK,0,53
2020,NUTS,2016,UKC,1,2
2020,NUTS,2016,UKC1,2,1
2020,NUTS,2016,UKC14,3,1
2020,NUTS,2016,UKC2,2,1
