year,region_type,region_year_spec,region_id,region_level,variants_count
2018,NUTS,2016,DE,0,1
2018,NUTS,2016,DE7,1,1
2018,NUTS,2016,DE72,2,1
2018,NUTS,2016,DE721,3,1
2019,NUTS,2016,UK,0,3
2019,NUTS,2016,UKH,1,1
2019,NUTS,2016,UKH2,2,1
2019,NUTS,2016,UKH23,3,1
2019,NUTS,2016,UKJ,1,2
2019,NUTS,2016,UKJ1,2,2
2019,NUTS,2016,UKJ14,3,2
2020,NUTS,2016,AT,0,7
2020,NUTS,2016,AT1,1,6
2020,NUTS,2016,AT13,2,6
2020,NUTS,2016,AT130,3,6
2020,NUTS,2016,AT3,1,1
2020,NUTS,2016,AT33,2,1
2020,NUTS,2016,AT332,3,1
2020,NUTS,2016,BE,0,4
2020,NUTS,2016,BE1,1,3
2020,NUTS,2016,BE10,2,3
2020,NUTS,2016,BE100,3,3
2020,NUTS,2016,BE3,1,1
2020,NUTS,2016,BE33,2,1
2020,NUTS,2016,BE332,3,1
2020,NUTS,2016,BG,0,1
2020,NUTS,2016,BG4,1,1
2020,NUTS,2016,BG41,2,1
2020,NUTS,2016,BG411,3,1
2020,NUTS,2016,CH,0,20
2020,NUTS,2016,CH0,1,20
2020,NUTS,2016,CH01,2,5
2020,NUTS,2016,CH013,3,5
2020,NUTS,2016,CH03,2,6
2020,NUTS,2016,CH031,3,6
2020,NUTS,2016,CH04,2,9
2020,NUTS,2016,CH040,3,9
2020,NUTS,2016,CY,0,1
2020,NUTS,2016,CY0,1,1
2020,NUTS,2016,CY00,2,1
2020,NUTS,2016,CY000,3,1
2020,NUTS,2016,CZ,0,3
2020,NUTS,2016,CZ0,1,3
2020,NUTS,2016,CZ01,2,2
2020,NUTS,2016,CZ010,3,2
2020,NUTS,2016,CZ06,2,1
2020,NUTS,2016,CZ064,3,1
2020,NUTS,2016,DE,0,18
2020,NUTS,2016,DE1,1,2
2020,NUTS,2016,DE12,2,2
2020,NUTS,2016,DE125,3,2
2020,NUTS,2016,DE2,1,1
2020,NUTS,2016,DE21,2,1
2020,NUTS,2016,DE212,3,1
2020,NUTS,2016,DE3,1,3
2020,NUTS,2016,DE30,2,3
2020,NUTS,2016,DE300,3,3
2020,NUTS,2016,DE4,1,1
2020,NUTS,2016,DE40,2,1
2020,NUTS,2016,DE404,3,1
2020,NUTS,2016,DE6,1,3
2020,NUTS,2016,DE60,2,3
2020,NUTS,2016,DE600,3,3
2020,NUTS,2016,DE7,1,2
2020,NUTS,2016,DE73,2,2
2020,NUTS,2016,DE731,3,2
2020,NUTS,2016,DEA,1,2
2020,NUTS,2016,DEA2,2,2
2020,NUTS,2016,DEA22,3,1
2020,NUTS,2016,DEA23,3,1
2020,NUTS,2016,DED,1,4
2020,NUTS,2016,DED4,2,4
2020,NUTS,2016,DED41,3,3
2020,NUTS,2016,DED43,3,1
2020,NUTS,2016,DK,0,2
2020,NUTS,2016,DK0,1,2
2020,NUTS,2016,DK01,2,2
2020,NUTS,2016,DK011,3,1
2020,NUTS,2016,DK012,3,1
2020,NUTS,2016,EL,0,8
2020,NUTS,2016,EL3,1,3
2020,NUTS,2016,EL30,2,3
2020,NUTS,2016,EL303,3,3
2020,NUTS,2016,EL4,1,4
2020,NUTS,2016,EL43,2,4
2020,NUTS,2016,EL431,3,2
2020,NUTS,2016,EL433,3,1
2020,NUTS,2016,EL434,3,1
2020,NUTS,2016,EL5,1,1
2020,NUTS,2016,EL51,2,1
2020,NUTS,2016,EL512,3,1
2020,NUTS,2016,ES,0,14
2020,NUTS,2016,ES1,1,2
2020,NUTS,2016,ES11,2,2
