year,region_type,region_year_spec,region_id,region_level,indirect_impacts_count
2020,NUTS,2016,AT,0,5
2020,NUTS,2016,AT1,1,2
2020,NUTS,2016,AT13,2,2
2020,NUTS,2016,AT130,3,2
2020,NUTS,2016,AT2,1,1
2020,NUTS,2016,AT22,2,1
2020,NUTS,2016,AT221,3,1
2020,NUTS,2016,AT3,1,2
2020,NUTS,2016,AT32,2,1
2020,NUTS,2016,AT323,3,1
2020,NUTS,2016,AT33,2,1
2020,NUTS,2016,AT332,3,1
2020,NUTS,2016,BE,0,1
2020,NUTS,2016,BE3,1,1
2020,NUTS,2016,BE32,2,1
2020,NUTS,2016,BE323,3,1
2020,NUTS,2016,CH,0,2
2020,NUTS,2016,CH0,1,2
2020,NUTS,2016,CH01,2,1
2020,NUTS,2016,CH011,3,1
2020,NUTS,2016,CH04,2,1
2020,NUTS,2016,CH040,3,1
2020,NUTS,2016,CY,0,1
2020,NUTS,2016,CY0,1,1
2020,NUTS,2016,CY00,2,1
2020,NUTS,2016,CY000,3,1
2020,NUTS,2016,DE,0,19
2020,NUTS,2016,DE1,1,5
2020,NUTS,2016,DE12,2,1
2020,NUTS,2016,DE125,3,1
2020,NUTS,2016,DE13,2,1
2020,NUTS,2016,DE131,3,1
2020,NUTS,2016,DE14,2,3
2020,NUTS,2016,DE144,3,3
2020,NUTS,2016,DE3,1,1
2020,NUTS,2016,DE30,2,1
2020,NUTS,2016,DE300,3,1
2020,NUTS,2016,DE4,1,1
2020,NUTS,2016,DE40,2,1
2020,NUTS,2016,DE404,3,1
2020,NUTS,2016,DE9,1,2
2020,NUTS,2016,DE91,2,1
2020,NUTS,2016,DE91C,3,1
2020,NUTS,2016,DE92,2,1
2020,NUTS,2016,DE929,3,1
2020,NUTS,2016,DEA,1,6
2020,NUTS,2016,DEA2,2,3
2020,NUTS,2016,DEA22,3,3
2020,NUTS,2016,DEA3,2,1
2020,NUTS,2016,DEA33,3,1
2020,NUTS,2016,DEA4,2,1
2020,NUTS,2016,DEA41,3,1
2020,NUTS,2016,DEA5,2,1
2020,NUTS,2016,DEA51,3,1
2020,NUTS,2016,DEC,1,1
2020,NUTS,2016,DEC0,2,1
2020,NUTS,2016,DEC01,3,1
2020,NUTS,2016,DEE,1,3
2020,NUTS,2016,DEE0,2,3
2020,NUTS,2016,DEE03,3,3
2020,NUTS,2016,DK,0,4
2020,NUTS,2016,DK0,1,4
2020,NUTS,2016,DK01,2,3
2020,NUTS,2016,DK011,3,3
2020,NUTS,2016,DK05,2,1
2020,NUTS,2016,DK050,3,1
2020,NUTS,2016,EL,0,1
2020,NUTS,2016,EL5,1,1
2020,NUTS,2016,EL52,2,1
2020,NUTS,2016,EL522,3,1
2020,NUTS,2016,ES,0,10
2020,NUTS,2016,ES2,1,1
2020,NUTS,2016,ES24,2,1
2020,NUTS,2016,ES243,3,1
2020,NUTS,2016,ES3,1,4
2020,NUTS,2016,ES30,2,4
2020,NUTS,2016,ES300,3,4
2020,NUTS,2016,ES4,1,2
2020,NUTS,2016,ES42,2,1
2020,NUTS,2016,ES421,3,1
2020,NUTS,2016,ES43,2,1
2020,NUTS,2016,ES432,3,1
2020,NUTS,2016,ES5,1,2
2020,NUTS,2016,ES51,2,2
2020,NUTS,2016,ES511,3,1
2020,NUTS,2016,ES513,3,1
2020,NUTS,2016,ES6,1,1
2020,NUTS,2016,ES62,2,1
2020,NUTS,2016,ES620,3,1
2020,NUTS,2016,FI,0,1
2020,NUTS,2016,FI1,1,1
2020,NUTS,2016,FI1B,2,1
2020,NUTS,2016,FI1B1,3,1
2020,NUTS,2016,FR,0,3
2020,NUTS,2016,FR1,1,3
2020,NUTS,2016,FR10,2,3
2020,NUTS,2016,FR104,3,2
2020,NUTS,2016,FR107,3,1
2020,NUTS,2016,HR,0,2
2020,NUTS,2016,HR0,1,2
2020,NUTS,2016,HR04,2,2
2020,NUTS,2016,HR041,3,2
2020,NUTS,2016,IE,0,6
2020,NUTS,2016,IE0,1,6
2020,NUTS,2016,IE05,2,3
2020,NUTS,2016,IE051,3,2
2020,NUTS,2016,IE053,3,1
2020,NUTS,2016,IE06,2,3
2020,NUTS,2016,IE061,3,3
2020,NUTS,2016,IT,0,12
2020,NUTS,2016,ITC,1,8
2020,NUTS,2016,ITC3,2,4
2020,NUTS,2016,ITC33,3,4
2020,NUTS,2016,ITC4,2,4
2020,NUTS,2016,ITC4C,3,4
2020,NUTS,2016,ITF,1,1
2020,NUTS,2016,ITF1,2,1
2020,NUTS,2016,ITF11,3,1
2020,NUTS,2016,ITG,1,1
2020,NUTS,2016,ITG1,2,1
2020,NUTS,2016,ITG13,3,1
2020,NUTS,2016,ITH,1,1
2020,NUTS,2016,ITH5,2,1
2020,NUTS,2016,ITH55,3,1
2020,NUTS,2016,ITI,1,1
2020,NUTS,2016,ITI1,2,1
2020,NUTS,2016,ITI14,3,1
2020,NUTS,2016,NL,0,13
2020,NUTS,2016,NL1,1,3
2020,NUTS,2016,NL11,2,3
2020,NUTS,2016,NL113,3,3
2020,NUTS,2016,NL2,1,6
2020,NUTS,2016,NL21,2,3
2020,NUTS,2016,NL213,3,3
2020,NUTS,2016,NL22,2,3
2020,NUTS,2016,NL226,3,3
2020,NUTS,2016,NL3,1,4
2020,NUTS,2016,NL33,2,4
2020,NUTS,2016,NL337,3,1
2020,NUTS,2016,NL33C,3,3
2020,NUTS,2016,NO,0,4
2020,NUTS,2016,NO0,1,4
2020,NUTS,2016,NO01,2,3
2020,NUTS,2016,NO011,3,3
2020,NUTS,2016,NO05,2,1
2020,NUTS,2016,NO051,3,1
2020,NUTS,2016,PL,0,5
2020,NUTS,2016,PL4,1,1
2020,NUTS,2016,PL41,2,1
2020,NUTS,2016,PL415,3,1
2020,NUTS,2016,PL5,1,1
2020,NUTS,2016,PL51,2,1
2020,NUTS,2016,PL514,3,1
2020,NUTS,2016,PL6,1,2
2020,NUTS,2016,PL61,2,1
2020,NUTS,2016,PL613,3,1
2020,NUTS,2016,PL63,2,1
2020,NUTS,2016,PL633,3,1
2020,NUTS,2016,PL9,1,1
2020,NUTS,2016,PL91,2,1
2020,NUTS,2016,PL911,3,1
2020,NUTS,2016,PT,0,6
2020,NUTS,2016,PT1,1,6
2020,NUTS,2016,PT11,2,3
2020,NUTS,2016,PT11A,3,3
2020,NUTS,2016,PT17,2,3
2020,NUTS,2016,PT170,3,3
2020,NUTS,2016,SE,0,4
2020,NUTS,2016,SE1,1,4
2020,NUTS,2016,SE11,2,3
2020,NUTS,2016,SE110,3,3
2020,NUTS,2016,SE12,2,1
2020,NUTS,2016,SE124,3,1
2020,NUTS,2016,TR,0,3
2020,NUTS,2016,TR1,1,1
2020,NUTS,2016,TR10,2,1
2020,NUTS,2016,TR100,3,1
2020,NUTS,2016,TR4,1,1
2020,NUTS,2016,TR41,2,1
2020,NUTS,2016,TR411,3,1
2020,NUTS,2016,TR5,1,1
2020,NUTS,2016,TR51,2,1
2020,NUTS,2016,TR510,3,1
2020,NUTS,2016,UK,0,162
2020,NUTS,2016,UKC,1,3
2020,NUTS,2016,UKC1,2,1
2020,NUTS,2016,UKC12,3,1
2020,NUTS,2016,UKC2,2,2
2020,NUTS,2016,UKC22,3,2
2020,NUTS,2016,UKD,1,18
2020,NUTS,2016,UKD3,2,8
2020,NUTS,2016,UKD33,3,6
2020,NUTS,2016,UKD35,3,1
2020,NUTS,2016,UKD36,3,1
2020,NUTS,2016,UKD4,2,1
2020,NUTS,2016,UKD45,3,1
2020,NUTS,2016,UKD6,2,1
2020,NUTS,2016,UKD62,3,1
2020,NUTS,2016,UKD7,2,8
2020,NUTS,2016,UKD72,3,8
2020,NUTS,2016,UKE,1,7
2020,NUTS,2016,UKE1,2,1
2020,NUTS,2016,UKE11,3,1
2020,NUTS,2016,UKE2,2,1
2020,NUTS,2016,UKE21,3,1
2020,NUTS,2016,UKE3,2,1
2020,NUTS,2016,UKE32,3,1
2020,NUTS,2016,UKE4,2,4
2020,NUTS,2016,UKE42,3,4
2020,NUTS,2016,UKF,1,10
2020,NUTS,2016,UKF1,2,4
2020,NUTS,2016,UKF14,3,3
2020,NUTS,2016,UKF16,3,1
2020,NUTS,2016,UKF2,2,6
2020,NUTS,2016,UKF21,3,3
2020,NUTS,2016,UKF22,3,3
2020,NUTS,2016,UKG,1,11
2020,NUTS,2016,UKG2,2,2
