region_id,region_level,region_type,region_year_spec,sdg_03_project_count,year
AT,0,NUTS,2013,2,2014
BE,0,NUTS,2013,6,2014
CY,0,NUTS,2013,1,2014
CZ,0,NUTS,2013,0,2014
DE,0,NUTS,2013,28,2014
DK,0,NUTS,2013,2,2014
EE,0,NUTS,2013,0,2014
ES,0,NUTS,2013,5,2014
FI,0,NUTS,2013,2,2014
FR,0,NUTS,2013,22,2014
HR,0,NUTS,2013,0,2014
HU,0,NUTS,2013,4,2014
IE,0,NUTS,2013,3,2014
IT,0,NUTS,2013,6,2014
LT,0,NUTS,2013,0,2014
LU,0,NUTS,2013,1,2014
LV,0,NUTS,2013,0,2014
NL,0,NUTS,2013,12,2014
PL,0,NUTS,2013,0,2014
PT,0,NUTS,2013,1,2014
RO,0,NUTS,2013,0,2014
SE,0,NUTS,2013,2,2014
SI,0,NUTS,2013,1,2014
SK,0,NUTS,2013,0,2014
UK,0,NUTS,2013,7,2014
AT,0,NUTS,2013,83,2015
BE,0,NUTS,2013,144,2015
BG,0,NUTS,2013,0,2015
CY,0,NUTS,2013,0,2015
CZ,0,NUTS,2013,18,2015
DE,0,NUTS,2013,397,2015
DK,0,NUTS,2013,96,2015
EE,0,NUTS,2013,17,2015
ES,0,NUTS,2013,173,2015
FI,0,NUTS,2013,52,2015
FR,0,NUTS,2013,257,2015
HR,0,NUTS,2013,11,2015
HU,0,NUTS,2013,34,2015
IE,0,NUTS,2013,48,2015
IT,0,NUTS,2013,278,2015
LT,0,NUTS,2013,4,2015
LU,0,NUTS,2013,6,2015
LV,0,NUTS,2013,5,2015
MT,0,NUTS,2013,0,2015
NL,0,NUTS,2013,376,2015
PL,0,NUTS,2013,8,2015
PT,0,NUTS,2013,49,2015
RO,0,NUTS,2013,2,2015
SE,0,NUTS,2013,102,2015
SI,0,NUTS,2013,15,2015
SK,0,NUTS,2013,6,2015
UK,0,NUTS,2013,292,2015
AT,0,NUTS,2016,83,2016
BE,0,NUTS,2016,141,2016
BG,0,NUTS,2016,0,2016
CY,0,NUTS,2016,2,2016
CZ,0,NUTS,2016,8,2016
DE,0,NUTS,2016,360,2016
DK,0,NUTS,2016,102,2016
EE,0,NUTS,2016,8,2016
ES,0,NUTS,2016,156,2016
FI,0,NUTS,2016,41,2016
FR,0,NUTS,2016,248,2016
HR,0,NUTS,2016,3,2016
HU,0,NUTS,2016,17,2016
IE,0,NUTS,2016,52,2016
IT,0,NUTS,2016,251,2016
LT,0,NUTS,2016,6,2016
LU,0,NUTS,2016,13,2016
LV,0,NUTS,2016,6,2016
MT,0,NUTS,2016,0,2016
NL,0,NUTS,2016,383,2016
PL,0,NUTS,2016,6,2016
PT,0,NUTS,2016,29,2016
RO,0,NUTS,2016,1,2016
SE,0,NUTS,2016,105,2016
SI,0,NUTS,2016,16,2016
SK,0,NUTS,2016,5,2016
UK,0,NUTS,2016,306,2016
AT,0,NUTS,2016,69,2017
BE,0,NUTS,2016,155,2017
BG,0,NUTS,2016,0,2017
CH,0,NUTS,2016,1,2017
CY,0,NUTS,2016,1,2017
CZ,0,NUTS,2016,13,2017
DE,0,NUTS,2016,346,2017
DK,0,NUTS,2016,84,2017
EE,0,NUTS,2016,10,2017
ES,0,NUTS,2016,166,2017
FI,0,NUTS,2016,32,2017
FR,0,NUTS,2016,271,2017
HR,0,NUTS,2016,4,2017
HU,0,NUTS,2016,16,2017
IE,0,NUTS,2016,30,2017
IT,0,NUTS,2016,231,2017
LT,0,NUTS,2016,4,2017
LU,0,NUTS,2016,14,2017
LV,0,NUTS,2016,0,2017
MT,0,NUTS,2016,0,2017
NL,0,NUTS,2016,277,2017
PL,0,NUTS,2016,8,2017
PT,0,NUTS,2016,32,2017
RO,0,NUTS,2016,3,2017
SE,0,NUTS,2016,98,2017
SI,0,NUTS,2016,9,2017
SK,0,NUTS,2016,1,2017
UK,0,NUTS,2016,235,2017
AT,0,NUTS,2016,81,2018
BE,0,NUTS,2016,163,2018
BG,0,NUTS,2016,2,2018
CY,0,NUTS,2016,0,2018
CZ,0,NUTS,2016,10,2018
DE,0,NUTS,2016,344,2018
DK,0,NUTS,2016,98,2018
EE,0,NUTS,2016,6,2018
ES,0,NUTS,2016,151,2018
FI,0,NUTS,2016,36,2018
FR,0,NUTS,2016,218,2018
HR,0,NUTS,2016,13,2018
HU,0,NUTS,2016,10,2018
IE,0,NUTS,2016,49,2018
IT,0,NUTS,2016,253,2018
LT,0,NUTS,2016,4,2018
LU,0,NUTS,2016,14,2018
LV,0,NUTS,2016,4,2018
MT,0,NUTS,2016,0,2018
NL,0,NUTS,2016,301,2018
PL,0,NUTS,2016,26,2018
PT,0,NUTS,2016,37,2018
RO,0,NUTS,2016,4,2018
SE,0,NUTS,2016,88,2018
SI,0,NUTS,2016,13,2018
SK,0,NUTS,2016,7,2018
UK,0,NUTS,2016,218,2018
AT,0,NUTS,2016,102,2019
BE,0,NUTS,2016,229,2019
BG,0,NUTS,2016,0,2019
CH,0,NUTS,2016,0,2019
CY,0,NUTS,2016,1,2019
CZ,0,NUTS,2016,27,2019
DE,0,NUTS,2016,456,2019
DK,0,NUTS,2016,106,2019
EE,0,NUTS,2016,15,2019
ES,0,NUTS,2016,193,2019
FI,0,NUTS,2016,57,2019
FR,0,NUTS,2016,311,2019
HR,0,NUTS,2016,8,2019
HU,0,NUTS,2016,28,2019
IE,0,NUTS,2016,70,2019
IT,0,NUTS,2016,335,2019
LT,0,NUTS,2016,7,2019
LU,0,NUTS,2016,24,2019
LV,0,NUTS,2016,7,2019
MT,0,NUTS,2016,0,2019
NL,0,NUTS,2016,367,2019
PL,0,NUTS,2016,12,2019
PT,0,NUTS,2016,47,2019
RO,0,NUTS,2016,4,2019
SE,0,NUTS,2016,136,2019
SI,0,NUTS,2016,10,2019
SK,0,NUTS,2016,4,2019
UK,0,NUTS,2016,255,2019
AT,0,NUTS,2016,77,2020
BE,0,NUTS,2016,218,2020
BG,0,NUTS,2016,0,2020
CH,0,NUTS,2016,0,2020
CY,0,NUTS,2016,2,2020
CZ,0,NUTS,2016,13,2020
DE,0,NUTS,2016,431,2020
DK,0,NUTS,2016,110,2020
EE,0,NUTS,2016,10,2020
ES,0,NUTS,2016,206,2020
FI,0,NUTS,2016,55,2020
FR,0,NUTS,2016,316,2020
HR,0,NUTS,2016,8,2020
HU,0,NUTS,2016,19,2020
IE,0,NUTS,2016,56,2020
IT,0,NUTS,2016,362,2020
LT,0,NUTS,2016,10,2020
LU,0,NUTS,2016,17,2020
LV,0,NUTS,2016,7,2020
MT,0,NUTS,2016,0,2020
NL,0,NUTS,2016,381,2020
PL,0,NUTS,2016,9,2020
PT,0,NUTS,2016,38,2020
RO,0,NUTS,2016,13,2020
SE,0,NUTS,2016,115,2020
SI,0,NUTS,2016,22,2020
SK,0,NUTS,2016,4,2020
UK,0,NUTS,2016,198,2020
AT,0,NUTS,2021,86,2021
BE,0,NUTS,2021,177,2021
BG,0,NUTS,2021,1,2021
CY,0,NUTS,2021,3,2021
CZ,0,NUTS,2021,13,2021
DE,0,NUTS,2021,373,2021
DK,0,NUTS,2021,83,2021
EE,0,NUTS,2021,18,2021
ES,0,NUTS,2021,198,2021
FI,0,NUTS,2021,46,2021
FR,0,NUTS,2021,226,2021
HR,0,NUTS,2021,7,2021
HU,0,NUTS,2021,18,2021
IE,0,NUTS,2021,59,2021
IT,0,NUTS,2021,317,2021
LT,0,NUTS,2021,9,2021
LU,0,NUTS,2021,18,2021
LV,0,NUTS,2021,12,2021
MT,0,NUTS,2021,0,2021
NL,0,NUTS,2021,305,2021
PL,0,NUTS,2021,10,2021
PT,0,NUTS,2021,42,2021
RO,0,NUTS,2021,12,2021
SE,0,NUTS,2021,108,2021
SI,0,NUTS,2021,17,2021
SK,0,NUTS,2021,14,2021
UK,0,NUTS,2021,154,2021
AT1,1,NUTS,2013,1,2014
AT2,1,NUTS,2013,1,2014
AT3,1,NUTS,2013,0,2014
BE1,1,NUTS,2013,0,2014
BE2,1,NUTS,2013,5,2014
BE3,1,NUTS,2013,1,2014
CY0,1,NUTS,2013,1,2014
CZ0,1,NUTS,2013,0,2014
DE1,1,NUTS,2013,6,2014
DE2,1,NUTS,2013,3,2014
DE3,1,NUTS,2013,4,2014
DE4,1,NUTS,2013,0,2014
DE5,1,NUTS,2013,0,2014
DE6,1,NUTS,2013,3,2014
DE7,1,NUTS,2013,2,2014
DE8,1,NUTS,2013,0,2014
DE9,1,NUTS,2013,4,2014
DEA,1,NUTS,2013,3,2014
DEB,1,NUTS,2013,0,2014
DEC,1,NUTS,2013,1,2014
DED,1,NUTS,2013,2,2014
DEE,1,NUTS,2013,0,2014
DEF,1,NUTS,2013,0,2014
DEG,1,NUTS,2013,0,2014
DK0,1,NUTS,2013,2,2014
EE0,1,NUTS,2013,0,2014
ES1,1,NUTS,2013,0,2014
ES2,1,NUTS,2013,1,2014
ES3,1,NUTS,2013,3,2014
ES4,1,NUTS,2013,1,2014
ES5,1,NUTS,2013,0,2014
ES6,1,NUTS,2013,0,2014
ES7,1,NUTS,2013,0,2014
FI1,1,NUTS,2013,2,2014
FR1,1,NUTS,2013,11,2014
FR2,1,NUTS,2013,0,2014
FR3,1,NUTS,2013,0,2014
FR4,1,NUTS,2013,0,2014
FR5,1,NUTS,2013,1,2014
FR6,1,NUTS,2013,4,2014
FR7,1,NUTS,2013,4,2014
FR8,1,NUTS,2013,2,2014
HR0,1,NUTS,2013,0,2014
HU1,1,NUTS,2013,3,2014
HU2,1,NUTS,2013,0,2014
HU3,1,NUTS,2013,1,2014
IE0,1,NUTS,2013,3,2014
ITC,1,NUTS,2013,0,2014
ITF,1,NUTS,2013,1,2014
ITG,1,NUTS,2013,0,2014
ITH,1,NUTS,2013,1,2014
ITI,1,NUTS,2013,4,2014
LT0,1,NUTS,2013,0,2014
LU0,1,NUTS,2013,1,2014
LV0,1,NUTS,2013,0,2014
NL1,1,NUTS,2013,0,2014
NL2,1,NUTS,2013,0,2014
NL3,1,NUTS,2013,12,2014
NL4,1,NUTS,2013,0,2014
PL1,1,NUTS,2013,0,2014
PL2,1,NUTS,2013,0,2014
PL3,1,NUTS,2013,0,2014
PL4,1,NUTS,2013,0,2014
PL5,1,NUTS,2013,0,2014
PL6,1,NUTS,2013,0,2014
PT1,1,NUTS,2013,1,2014
RO1,1,NUTS,2013,0,2014
RO2,1,NUTS,2013,0,2014
RO3,1,NUTS,2013,0,2014
RO4,1,NUTS,2013,0,2014
SE1,1,NUTS,2013,1,2014
SE2,1,NUTS,2013,1,2014
SE3,1,NUTS,2013,0,2014
SI0,1,NUTS,2013,1,2014
SK0,1,NUTS,2013,0,2014
UKC,1,NUTS,2013,0,2014
UKD,1,NUTS,2013,1,2014
UKE,1,NUTS,2013,0,2014
UKF,1,NUTS,2013,0,2014
UKG,1,NUTS,2013,0,2014
UKH,1,NUTS,2013,0,2014
UKI,1,NUTS,2013,5,2014
UKJ,1,NUTS,2013,0,2014
UKK,1,NUTS,2013,0,2014
UKL,1,NUTS,2013,0,2014
UKM,1,NUTS,2013,0,2014
UKN,1,NUTS,2013,1,2014
AT1,1,NUTS,2013,58,2015
AT2,1,NUTS,2013,9,2015
AT3,1,NUTS,2013,16,2015
BE1,1,NUTS,2013,40,2015
BE2,1,NUTS,2013,83,2015
BE3,1,NUTS,2013,21,2015
BG3,1,NUTS,2013,0,2015
